        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.160166380419e-01,        -6.386290643173e-02
 2.30020000e+00,        +1.414213562373e-01,        +2.160005646677e-01,        -6.386574599511e-02
 2.30040000e+00,        +1.414213562373e-01,        +2.159844863719e-01,        -6.386858235915e-02
 2.30060000e+00,        +1.414213562373e-01,        +2.159684031512e-01,        -6.387141552038e-02
 2.30080000e+00,        +1.414213562373e-01,        +2.159523150025e-01,        -6.387424547531e-02
 2.30100000e+00,        +1.414213562373e-01,        +2.159362219224e-01,        -6.387707222044e-02
 2.30120000e+00,        +1.414213562373e-01,        +2.159201239076e-01,        -6.387989575227e-02
 2.30140000e+00,        +1.414213562373e-01,        +2.159040209549e-01,        -6.388271606729e-02
 2.30160000e+00,        +1.414213562373e-01,        +2.158879130609e-01,        -6.388553316197e-02
 2.30180000e+00,        +1.414213562373e-01,        +2.158718002223e-01,        -6.388834703277e-02
 2.30200000e+00,        +1.414213562373e-01,        +2.158556824359e-01,        -6.389115767615e-02
 2.30220000e+00,        +1.414213562373e-01,        +2.158395596982e-01,        -6.389396508856e-02
 2.30240000e+00,        +1.414213562373e-01,        +2.158234320061e-01,        -6.389676926642e-02
 2.30260000e+00,        +1.414213562373e-01,        +2.158072993562e-01,        -6.389957020618e-02
 2.30280000e+00,        +1.414213562373e-01,        +2.157911617450e-01,        -6.390236790423e-02
 2.30300000e+00,        +1.414213562373e-01,        +2.157750191694e-01,        -6.390516235698e-02
 2.30320000e+00,        +1.414213562373e-01,        +2.157588716260e-01,        -6.390795356083e-02
 2.30340000e+00,        +1.414213562373e-01,        +2.157427191113e-01,        -6.391074151216e-02
 2.30360000e+00,        +1.414213562373e-01,        +2.157265616221e-01,        -6.391352620734e-02
 2.30380000e+00,        +1.414213562373e-01,        +2.157103991550e-01,        -6.391630764273e-02
 2.30400000e+00,        +1.414213562373e-01,        +2.156942317067e-01,        -6.391908581468e-02
 2.30420000e+00,        +1.414213562373e-01,        +2.156780592736e-01,        -6.392186071953e-02
 2.30440000e+00,        +1.414213562373e-01,        +2.156618818526e-01,        -6.392463235361e-02
 2.30460000e+00,        +1.414213562373e-01,        +2.156456994402e-01,        -6.392740071323e-02
 2.30480000e+00,        +1.414213562373e-01,        +2.156295120329e-01,        -6.393016579469e-02
 2.30500000e+00,        +1.414213562373e-01,        +2.156133196275e-01,        -6.393292759430e-02
 2.30520000e+00,        +1.414213562373e-01,        +2.155971222205e-01,        -6.393568610833e-02
 2.30540000e+00,        +1.414213562373e-01,        +2.155809198084e-01,        -6.393844133306e-02
 2.30560000e+00,        +1.414213562373e-01,        +2.155647123880e-01,        -6.394119326473e-02
 2.30580000e+00,        +1.414213562373e-01,        +2.155484999557e-01,        -6.394394189960e-02
 2.30600000e+00,        +1.414213562373e-01,        +2.155322825081e-01,        -6.394668723390e-02
 2.30620000e+00,        +1.414213562373e-01,        +2.155160600418e-01,        -6.394942926384e-02
 2.30640000e+00,        +1.414213562373e-01,        +2.154998325533e-01,        -6.395216798565e-02
 2.30660000e+00,        +1.414213562373e-01,        +2.154836000393e-01,        -6.395490339551e-02
 2.30680000e+00,        +1.414213562373e-01,        +2.154673624962e-01,        -6.395763548961e-02
 2.30700000e+00,        +1.414213562373e-01,        +2.154511199205e-01,        -6.396036426412e-02
 2.30720000e+00,        +1.414213562373e-01,        +2.154348723089e-01,        -6.396308971520e-02
 2.30740000e+00,        +1.414213562373e-01,        +2.154186196578e-01,        -6.396581183899e-02
 2.30760000e+00,        +1.414213562373e-01,        +2.154023619638e-01,        -6.396853063162e-02
 2.30780000e+00,        +1.414213562373e-01,        +2.153860992233e-01,        -6.397124608921e-02
 2.30800000e+00,        +1.414213562373e-01,        +2.153698314329e-01,        -6.397395820787e-02
 2.30820000e+00,        +1.414213562373e-01,        +2.153535585891e-01,        -6.397666698369e-02
 2.30840000e+00,        +1.414213562373e-01,        +2.153372806883e-01,        -6.397937241274e-02
 2.30860000e+00,        +1.414213562373e-01,        +2.153209977270e-01,        -6.398207449109e-02
 2.30880000e+00,        +1.414213562373e-01,        +2.153047097018e-01,        -6.398477321478e-02
 2.30900000e+00,        +1.414213562373e-01,        +2.152884166091e-01,        -6.398746857985e-02
 2.30920000e+00,        +1.414213562373e-01,        +2.152721184453e-01,        -6.399016058232e-02
 2.30940000e+00,        +1.414213562373e-01,        +2.152558152069e-01,        -6.399284921819e-02
 2.30960000e+00,        +1.414213562373e-01,        +2.152395068904e-01,        -6.399553448346e-02
 2.30980000e+00,        +1.414213562373e-01,        +2.152231934921e-01,        -6.399821637410e-02
 2.31000000e+00,        +1.414213562373e-01,        +2.152068750086e-01,        -6.400089488607e-02
 2.31020000e+00,        +1.414213562373e-01,        +2.151905514362e-01,        -6.400357001531e-02
 2.31040000e+00,        +1.414213562373e-01,        +2.151742227714e-01,        -6.400624175776e-02
 2.31060000e+00,        +1.414213562373e-01,        +2.151578890106e-01,        -6.400891010933e-02
 2.31080000e+00,        +1.414213562373e-01,        +2.151415501502e-01,        -6.401157506591e-02
 2.31100000e+00,        +1.414213562373e-01,        +2.151252061866e-01,        -6.401423662339e-02
 2.31120000e+00,        +1.414213562373e-01,        +2.151088571161e-01,        -6.401689477763e-02
 2.31140000e+00,        +1.414213562373e-01,        +2.150925029352e-01,        -6.401954952448e-02
 2.31160000e+00,        +1.414213562373e-01,        +2.150761436402e-01,        -6.402220085977e-02
 2.31180000e+00,        +1.414213562373e-01,        +2.150597792275e-01,        -6.402484877932e-02
 2.31200000e+00,        +1.414213562373e-01,        +2.150434096935e-01,        -6.402749327892e-02
 2.31220000e+00,        +1.414213562373e-01,        +2.150270350345e-01,        -6.403013435436e-02
 2.31240000e+00,        +1.414213562373e-01,        +2.150106552468e-01,        -6.403277200139e-02
 2.31260000e+00,        +1.414213562373e-01,        +2.149942703269e-01,        -6.403540621576e-02
 2.31280000e+00,        +1.414213562373e-01,        +2.149778802709e-01,        -6.403803699320e-02
 2.31300000e+00,        +1.414213562373e-01,        +2.149614850753e-01,        -6.404066432941e-02
 2.31320000e+00,        +1.414213562373e-01,        +2.149450847364e-01,        -6.404328822009e-02
 2.31340000e+00,        +1.414213562373e-01,        +2.149286792504e-01,        -6.404590866090e-02
 2.31360000e+00,        +1.414213562373e-01,        +2.149122686136e-01,        -6.404852564751e-02
 2.31380000e+00,        +1.414213562373e-01,        +2.148958528225e-01,        -6.405113917552e-02
