        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43500000e+00,        -2.500240064262e+00,        -2.983910101566e+01
 2.43500500e+00,        -2.500418429031e+00,        -2.983989019811e+01
 2.43501000e+00,        -2.500597236778e+00,        -2.984068113415e+01
 2.43501500e+00,        -2.500776489299e+00,        -2.984147383058e+01
 2.43502000e+00,        -2.500956188403e+00,        -2.984226829425e+01
 2.43502500e+00,        -2.501136335908e+00,        -2.984306453201e+01
 2.43503000e+00,        -2.501316933643e+00,        -2.984386255080e+01
 2.43503500e+00,        -2.501497983444e+00,        -2.984466235755e+01
 2.43504000e+00,        -2.501679487160e+00,        -2.984546395925e+01
 2.43504500e+00,        -2.501861446649e+00,        -2.984626736291e+01
 2.43505000e+00,        -2.502043863779e+00,        -2.984707257560e+01
 2.43505500e+00,        -2.502226740427e+00,        -2.984787960440e+01
 2.43506000e+00,        -2.502410078484e+00,        -2.984868845644e+01
 2.43506500e+00,        -2.502593879847e+00,        -2.984949913890e+01
 2.43507000e+00,        -2.502778146427e+00,        -2.985031165898e+01
 2.43507500e+00,        -2.502962880142e+00,        -2.985112602391e+01
 2.43508000e+00,        -2.503148082924e+00,        -2.985194224099e+01
 2.43508500e+00,        -2.503333756714e+00,        -2.985276031752e+01
 2.43509000e+00,        -2.503519903463e+00,        -2.985358026088e+01
 2.43509500e+00,        -2.503706525135e+00,        -2.985440207844e+01
 2.43510000e+00,        -2.503893623702e+00,        -2.985522577765e+01
 2.43510500e+00,        -2.504081201150e+00,        -2.985605136599e+01
 2.43511000e+00,        -2.504269259473e+00,        -2.985687885096e+01
 2.43511500e+00,        -2.504457800679e+00,        -2.985770824013e+01
 2.43512000e+00,        -2.504646826785e+00,        -2.985853954108e+01
 2.43512500e+00,        -2.504836339821e+00,        -2.985937276146e+01
 2.43513000e+00,        -2.505026341825e+00,        -2.986020790893e+01
 2.43513500e+00,        -2.505216834852e+00,        -2.986104499121e+01
 2.43514000e+00,        -2.505407820963e+00,        -2.986188401606e+01
 2.43514500e+00,        -2.505599302233e+00,        -2.986272499128e+01
 2.43515000e+00,        -2.505791280750e+00,        -2.986356792471e+01
 2.43515500e+00,        -2.505983758611e+00,        -2.986441282423e+01
 2.43516000e+00,        -2.506176737926e+00,        -2.986525969777e+01
 2.43516500e+00,        -2.506370220818e+00,        -2.986610855330e+01
 2.43517000e+00,        -2.506564209420e+00,        -2.986695939882e+01
 2.43517500e+00,        -2.506758705879e+00,        -2.986781224239e+01
 2.43518000e+00,        -2.506953712352e+00,        -2.986866709211e+01
 2.43518500e+00,        -2.507149231010e+00,        -2.986952395611e+01
 2.43519000e+00,        -2.507345264036e+00,        -2.987038284259e+01
 2.43519500e+00,        -2.507541813625e+00,        -2.987124375977e+01
 2.43520000e+00,        -2.507738881984e+00,        -2.987210671592e+01
 2.43520500e+00,        -2.507936471335e+00,        -2.987297171937e+01
 2.43521000e+00,        -2.508134583909e+00,        -2.987383877848e+01
 2.43521500e+00,        -2.508333221953e+00,        -2.987470790166e+01
 2.43522000e+00,        -2.508532387725e+00,        -2.987557909736e+01
 2.43522500e+00,        -2.508732083498e+00,        -2.987645237408e+01
 2.43523000e+00,        -2.508932311554e+00,        -2.987732774038e+01
 2.43523500e+00,        -2.509133074193e+00,        -2.987820520485e+01
 2.43524000e+00,        -2.509334373726e+00,        -2.987908477613e+01
 2.43524500e+00,        -2.509536212476e+00,        -2.987996646291e+01
 2.43525000e+00,        -2.509738592781e+00,        -2.988085027393e+01
