        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.43500000e+00,        +7.071067811865e+00,        +1.167051336631e+01,        -2.638297305386e+00
 2.43500500e+00,        +7.071067811865e+00,        +1.167038257850e+01,        -2.638306478939e+00
 2.43501000e+00,        +7.071067811865e+00,        +1.167025147794e+01,        -2.638315656712e+00
 2.43501500e+00,        +7.071067811865e+00,        +1.167012006339e+01,        -2.638324838690e+00
 2.43502000e+00,        +7.071067811865e+00,        +1.166998833360e+01,        -2.638334024861e+00
 2.43502500e+00,        +7.071067811865e+00,        +1.166985628730e+01,        -2.638343215210e+00
 2.43503000e+00,        +7.071067811865e+00,        +1.166972392323e+01,        -2.638352409723e+00
 2.43503500e+00,        +7.071067811865e+00,        +1.166959124012e+01,        -2.638361608385e+00
 2.43504000e+00,        +7.071067811865e+00,        +1.166945823669e+01,        -2.638370811183e+00
 2.43504500e+00,        +7.071067811865e+00,        +1.166932491164e+01,        -2.638380018101e+00
 2.43505000e+00,        +7.071067811865e+00,        +1.166919126369e+01,        -2.638389229124e+00
 2.43505500e+00,        +7.071067811865e+00,        +1.166905729154e+01,        -2.638398444236e+00
 2.43506000e+00,        +7.071067811865e+00,        +1.166892299387e+01,        -2.638407663422e+00
 2.43506500e+00,        +7.071067811865e+00,        +1.166878836937e+01,        -2.638416886667e+00
 2.43507000e+00,        +7.071067811865e+00,        +1.166865341673e+01,        -2.638426113953e+00
 2.43507500e+00,        +7.071067811865e+00,        +1.166851813461e+01,        -2.638435345265e+00
 2.43508000e+00,        +7.071067811865e+00,        +1.166838252167e+01,        -2.638444580586e+00
 2.43508500e+00,        +7.071067811865e+00,        +1.166824657658e+01,        -2.638453819898e+00
 2.43509000e+00,        +7.071067811865e+00,        +1.166811029798e+01,        -2.638463063185e+00
 2.43509500e+00,        +7.071067811865e+00,        +1.166797368451e+01,        -2.638472310429e+00
 2.43510000e+00,        +7.071067811865e+00,        +1.166783673481e+01,        -2.638481561612e+00
 2.43510500e+00,        +7.071067811865e+00,        +1.166769944750e+01,        -2.638490816717e+00
 2.43511000e+00,        +7.071067811865e+00,        +1.166756182121e+01,        -2.638500075724e+00
 2.43511500e+00,        +7.071067811865e+00,        +1.166742385455e+01,        -2.638509338616e+00
 2.43512000e+00,        +7.071067811865e+00,        +1.166728554612e+01,        -2.638518605372e+00
