        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        -1.566971476366e-10,        -1.601356916692e-10,        +1.764346130989e-10,        +1.860153515473e-10,        -1.177025684694e-06,        -1.225905067237e-06,        -5.640847272333e-10,        -5.844298713281e-10,        +1.699782058046e-10,        +1.792467694893e-10,        -1.169484885455e-06,        -1.218058388941e-06,        -1.089298207220e-09,        -1.131549311378e-09,        +1.530515829017e-10,        +1.614772966873e-10,        -1.140462919115e-06,        -1.187845882435e-06,        +7.265543293711e-10,        +7.502378800119e-10,        +1.222923641262e-09,        +1.274210109895e-09,        -3.339723027942e-07,        -3.481176556049e-07
 2.43500500e+00,        -1.571945131311e-10,        -1.606380751446e-10,        +1.764672397516e-10,        +1.860400796128e-10,        -1.178637989879e-06,        -1.227500705133e-06,        -5.651391440897e-10,        -5.854834781148e-10,        +1.700038677343e-10,        +1.792646722735e-10,        -1.171086210562e-06,        -1.219643135791e-06,        -1.091059725193e-09,        -1.133302204158e-09,        +1.530665774312e-10,        +1.614851031631e-10,        -1.142023136689e-06,        -1.189389895156e-06,        +7.281642325267e-10,        +7.518543761687e-10,        +1.224549927720e-09,        +1.275817897290e-09,        -3.344039028715e-07,        -3.485438164492e-07
 2.43501000e+00,        -1.576932558275e-10,        -1.611417834122e-10,        +1.764999362417e-10,        +1.860648536252e-10,        -1.180254676681e-06,        -1.229100472934e-06,        -5.661964519389e-10,        -5.865398363505e-10,        +1.700295807902e-10,        +1.792826035524e-10,        -1.172691887433e-06,        -1.221231984348e-06,        -1.092826055265e-09,        -1.135059657859e-09,        +1.530815948473e-10,        +1.614929126989e-10,        -1.143587594283e-06,        -1.190937904133e-06,        +7.297785363394e-10,        +7.534750780979e-10,        +1.226180624200e-09,        +1.277429836470e-09,        -3.348366749946e-07,        -3.489710795911e-07
 2.43501500e+00,        -1.581933813601e-10,        -1.616468216376e-10,        +1.765327028530e-10,        +1.860896737619e-10,        -1.181875762966e-06,        -1.230704386673e-06,        -5.672566625658e-10,        -5.875989567133e-10,        +1.700553451764e-10,        +1.793005634394e-10,        -1.174301933810e-06,        -1.222824950535e-06,        -1.094597217052e-09,        -1.136821690188e-09,        +1.530966352420e-10,        +1.615007253042e-10,        -1.145156309184e-06,        -1.192489924879e-06,        +7.313972587495e-10,        +7.551000021377e-10,        +1.227815748682e-09,        +1.279045943550e-09,        -3.352706239419e-07,        -3.493994493101e-07
 2.43502000e+00,        -1.586948953664e-10,        -1.621531949840e-10,        +1.765655398695e-10,        +1.861145402005e-10,        -1.183501266694e-06,        -1.232312462467e-06,        -5.683197878287e-10,        -5.886608499476e-10,        +1.700811610985e-10,        +1.793185520431e-10,        -1.175916367534e-06,        -1.224422050359e-06,        -1.096373230295e-09,        -1.138588318962e-09,        +1.531116987090e-10,        +1.615085409896e-10,        -1.146729298772e-06,        -1.194045972992e-06,        +7.330204178098e-10,        +7.567291647124e-10,        +1.229455319241e-09,        +1.280666234732e-09,        -3.357057545177e-07,        -3.498289299074e-07
 2.43502500e+00,        -1.591978035245e-10,        -1.626609086526e-10,        +1.765984475771e-10,        +1.861394531196e-10,        -1.185131205925e-06,        -1.233924716517e-06,        -5.693858396467e-10,        -5.897255268468e-10,        +1.701070287670e-10,        +1.793365694732e-10,        -1.177535206540e-06,        -1.226023299910e-06,        -1.098154114837e-09,        -1.140359562063e-09,        +1.531267853332e-10,        +1.615163597616e-10,        -1.148306580525e-06,        -1.195606064146e-06,        +7.346480316626e-10,        +7.583625823209e-10,        +1.231099354052e-09,        +1.282290726299e-09,        -3.361420715526e-07,        -3.502595257068e-07
 2.43503000e+00,        -1.597021115532e-10,        -1.631699678668e-10,        +1.766314262639e-10,        +1.861644126986e-10,        -1.186765598819e-06,        -1.235541165107e-06,        -5.704548299986e-10,        -5.907929982611e-10,        +1.701329483948e-10,        +1.793546158411e-10,        -1.179158468864e-06,        -1.227628715362e-06,        -1.099939890603e-09,        -1.142135437483e-09,        +1.531418952168e-10,        +1.615241816362e-10,        -1.149888172013e-06,        -1.197170214100e-06,        +7.362801185524e-10,        +7.600002715597e-10,        +1.232747871391e-09,        +1.283919434622e-09,        -3.365795799034e-07,        -3.506912410546e-07
 2.43503500e+00,        -1.602078251810e-10,        -1.636803778867e-10,        +1.766644762186e-10,        +1.861894191180e-10,        -1.188404463631e-06,        -1.237161824607e-06,        -5.715267709340e-10,        -5.918632751026e-10,        +1.701589201921e-10,        +1.793726912560e-10,        -1.180786172637e-06,        -1.229238312972e-06,        -1.101730577658e-09,        -1.143915963304e-09,        +1.531570284492e-10,        +1.615320066195e-10,        -1.151474090904e-06,        -1.198738438693e-06,        +7.379166968229e-10,        +7.616422490948e-10,        +1.234400889629e-09,        +1.285552376154e-09,        -3.370182844534e-07,        -3.511240803193e-07
 2.43504000e+00,        -1.607149501863e-10,        -1.641921439813e-10,        +1.766975977321e-10,        +1.862144725591e-10,        -1.190047818719e-06,        -1.238786711470e-06,        -5.726016745693e-10,        -5.929363683320e-10,        +1.701849443685e-10,        +1.793907958318e-10,        -1.182418336091e-06,        -1.230852109082e-06,        -1.103526196159e-09,        -1.145701157684e-09,        +1.531721851265e-10,        +1.615398347258e-10,        -1.153064354961e-06,        -1.200310753847e-06,        +7.395577849179e-10,        +7.632885317023e-10,        +1.236058427242e-09,        +1.287189567434e-09,        -3.374581901127e-07,        -3.515580478925e-07
 2.43504500e+00,        -1.612234923800e-10,        -1.647052714716e-10,        +1.767307910969e-10,        +1.862395732042e-10,        -1.191695682541e-06,        -1.240415842237e-06,        -5.736795530850e-10,        -5.940122889695e-10,        +1.702110211375e-10,        +1.794089296848e-10,        -1.184054977560e-06,        -1.232470120119e-06,        -1.105326766389e-09,        -1.147491038913e-09,        +1.531873653434e-10,        +1.615476659631e-10,        -1.154658982045e-06,        -1.201887175566e-06,        +7.412034013878e-10,        +7.649391362291e-10,        +1.237720502805e-09,        +1.288831025089e-09,        -3.378993018183e-07,        -3.519931481886e-07
