        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43500000e+00,        -1.194378539954e+00,        +1.131126728485e+00,        -1.723704074689e+01,        +1.656951212946e+01,        -1.468336706455e-02,        +1.406676507607e-02,        -1.305387824235e+00,        +1.236004261221e+00,        -3.819582897839e+01,        +3.669327747934e+01,        -2.199749323269e-02,        +2.101725754816e-02,        -1.487943434387e+00,        +1.408801150448e+00,        -7.671199238158e+01,        +7.367483898587e+01,        -4.200023917561e-02,        +4.008293453962e-02,        +1.329892209950e+00,        -1.264350230011e+00,        -2.124727405376e+02,        +2.040382256502e+02,        -4.479441614489e-01,        +4.300986883231e-01
 2.43500500e+00,        -1.194405124499e+00,        +1.131207868224e+00,        -1.726145459218e+01,        +1.659411026698e+01,        -1.469897201586e-02,        +1.408267285660e-02,        -1.305402282083e+00,        +1.236078833825e+00,        -3.824762585249e+01,        +3.674554035528e+01,        -2.201549022725e-02,        +2.103583466578e-02,        -1.487972654002e+00,        +1.408898817730e+00,        -7.681410205198e+01,        +7.377793264288e+01,        -4.203047766890e-02,        +4.011436985019e-02,        +1.330184878874e+00,        -1.264691619813e+00,        -2.127531017376e+02,        +2.043213772481e+02,        -4.485285101970e-01,        +4.306890350432e-01
 2.43501000e+00,        -1.194431716649e+00,        +1.131289159224e+00,        -1.728593171412e+01,        +1.661877535031e+01,        -1.471461725109e-02,        +1.409862374336e-02,        -1.305416720837e+00,        +1.236153543235e+00,        -3.829955687794e+01,        +3.679794536038e+01,        -2.203353327571e-02,        +2.105446168997e-02,        -1.488001907759e+00,        +1.408996697428e+00,        -7.691647609715e+01,        +7.388130657005e+01,        -4.206079313615e-02,        +4.014588918149e-02,        +1.330477710128e+00,        -1.265033354836e+00,        -2.130341887296e+02,        +2.046052985107e+02,        -4.491143687322e-01,        +4.312809835643e-01
 2.43501500e+00,        -1.194458316425e+00,        +1.131370602094e+00,        -1.731047235838e+01,        +1.664350765240e+01,        -1.473030292666e-02,        +1.411461791213e-02,        -1.305431140413e+00,        +1.236228389999e+00,        -3.835162257557e+01,        +3.685049307413e+01,        -2.205162255686e-02,        +2.107313882416e-02,        -1.488031195778e+00,        +1.409094790396e+00,        -7.701911554350e+01,        +7.398496191007e+01,        -4.209118587605e-02,        +4.017749287596e-02,        +1.330770704283e+00,        -1.265375436421e+00,        -2.133160043313e+02,        +2.048899925761e+02,        -4.497017429160e-01,        +4.318745404171e-01
 2.43502000e+00,        -1.194484923847e+00,        +1.131452197445e+00,        -1.733507677190e+01,        +1.666830744769e+01,        -1.474602919981e-02,        +1.413065553964e-02,        -1.305445540728e+00,        +1.236303374667e+00,        -3.840382346891e+01,        +3.690318407918e+01,        -2.206975825039e-02,        +2.109186627290e-02,        -1.488060518183e+00,        +1.409193097493e+00,        -7.712202142277e+01,        +7.408889981189e+01,        -4.212165618886e-02,        +4.020918127787e-02,        +1.331063861911e+00,        -1.265717865922e+00,        -2.135985513752e+02,        +2.051754625995e+02,        -4.502906386408e-01,        +4.324697121681e-01
 2.43502500e+00,        -1.194511538937e+00,        +1.131533945892e+00,        -1.735974520292e+01,        +1.669317501214e+01,        -1.476179622857e-02,        +1.414673680358e-02,        -1.305459921696e+00,        +1.236378497794e+00,        -3.845616008421e+01,        +3.695601896136e+01,        -2.208794053691e-02,        +2.111064424185e-02,        -1.488089875095e+00,        +1.409291619584e+00,        -7.722519477203e+01,        +7.419312143072e+01,        -4.215220437639e-02,        +4.024095473339e-02,        +1.331357183590e+00,        -1.266060644697e+00,        -2.138818327084e+02,        +2.054617117532e+02,        -4.508810618288e-01,        +4.330665054195e-01
 2.43503000e+00,        -1.194538161716e+00,        +1.131615848051e+00,        -1.738447790095e+01,        +1.671811062318e+01,        -1.477760417182e-02,        +1.416286188261e-02,        -1.305474283233e+00,        +1.236453759935e+00,        -3.850863295048e+01,        +3.700899830969e+01,        -2.210616959801e-02,        +2.112947293780e-02,        -1.488119266637e+00,        +1.409390357537e+00,        -7.732863663378e+01,        +7.429762792806e+01,        -4.218283074202e-02,        +4.027281359055e-02,        +1.331650669898e+00,        -1.266403774110e+00,        -2.141658511929e+02,        +2.057487432269e+02,        -4.514730184337e-01,        +4.336649268096e-01
 2.43503500e+00,        -1.194564792207e+00,        +1.131697904546e+00,        -1.740927511680e+01,        +1.674311455977e+01,        -1.479345318923e-02,        +1.417903095637e-02,        -1.305488625252e+00,        +1.236529161650e+00,        -3.856124259942e+01,        +3.706212271640e+01,        -2.212444561616e-02,        +2.114835256867e-02,        -1.488148692933e+00,        +1.409489312226e+00,        -7.743234805586e+01,        +7.440242047174e+01,        -4.221353559068e-02,        +4.030475819930e-02,        +1.331944321417e+00,        -1.266747255537e+00,        -2.144506097053e+02,        +2.060365602276e+02,        -4.520665144395e-01,        +4.342649830126e-01
 2.43504000e+00,        -1.194591430430e+00,        +1.131780115999e+00,        -1.743413710260e+01,        +1.676818710240e+01,        -1.480934344134e-02,        +1.419524420546e-02,        -1.305502947666e+00,        +1.236604703502e+00,        -3.861398956554e+01,        +3.711539277695e+01,        -2.214276877483e-02,        +2.116728334349e-02,        -1.488178154108e+00,        +1.409588484527e+00,        -7.753633009165e+01,        +7.450750023598e+01,        -4.224431922891e-02,        +4.033678891150e-02,        +1.332238138733e+00,        -1.267091090356e+00,        -2.147361111375e+02,        +2.063251659800e+02,        -4.526615558618e-01,        +4.348666807395e-01
 2.43504500e+00,        -1.194618076407e+00,        +1.131862483038e+00,        -1.745906411176e+01,        +1.679332853309e+01,        -1.482527508950e-02,        +1.421150181150e-02,        -1.305517250390e+00,        +1.236680386056e+00,        -3.866687438612e+01,        +3.716880909009e+01,        -2.216113925843e-02,        +2.118626547245e-02,        -1.488207650285e+00,        +1.409687875324e+00,        -7.764058379994e+01,        +7.461286840143e+01,        -4.227518196484e-02,        +4.036890608093e-02,        +1.332532122433e+00,        -1.267435279957e+00,        -2.150223583963e+02,        +2.066145637263e+02,        -4.532581487471e-01,        +4.354700267380e-01
 2.43505000e+00,        -1.194644730159e+00,        +1.131945006296e+00,        -1.748405639906e+01,        +1.681853913541e+01,        -1.484124829591e-02,        +1.422780395709e-02,        -1.305531533336e+00,        +1.236756209881e+00,        -3.871989760125e+01,        +3.722237225783e+01,        -2.217955725233e-02,        +2.120529916692e-02,        -1.488237181590e+00,        +1.409787485504e+00,        -7.774511024510e+01,        +7.471852615524e+01,        -4.230612410821e-02,        +4.040111006330e-02,        +1.332826273108e+00,        -1.267779825735e+00,        -2.153093544035e+02,        +2.069047567265e+02,        -4.538562991739e-01,        +4.360750277927e-01
