        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43500000e+00,        +3.666997139607e-04,        +1.310201976170e-03,        -9.869297261928e-05
 2.43500500e+00,        +3.672184037735e-04,        +1.310263544019e-03,        -9.869964247743e-05
 2.43501000e+00,        +3.677391093944e-04,        +1.310325259691e-03,        -9.870632854764e-05
 2.43501500e+00,        +3.682618414252e-04,        +1.310387123873e-03,        -9.871303090311e-05
 2.43502000e+00,        +3.687866105378e-04,        +1.310449137369e-03,        -9.871974961067e-05
 2.43502500e+00,        +3.693134274747e-04,        +1.310511300509e-03,        -9.872648474132e-05
 2.43503000e+00,        +3.698423030497e-04,        +1.310573614098e-03,        -9.873323636683e-05
 2.43503500e+00,        +3.703732481481e-04,        +1.310636078530e-03,        -9.874000455914e-05
 2.43504000e+00,        +3.709062737278e-04,        +1.310698694139e-03,        -9.874678938946e-05
 2.43504500e+00,        +3.714413908194e-04,        +1.310761462150e-03,        -9.875359092620e-05
 2.43505000e+00,        +3.719786105273e-04,        +1.310824382787e-03,        -9.876040924851e-05
 2.43505500e+00,        +3.725179440297e-04,        +1.310887456670e-03,        -9.876724441804e-05
 2.43506000e+00,        +3.730594025794e-04,        +1.310950684776e-03,        -9.877409652373e-05
 2.43506500e+00,        +3.736029975050e-04,        +1.311014067186e-03,        -9.878096562704e-05
 2.43507000e+00,        +3.741487402102e-04,        +1.311077604606e-03,        -9.878785180336e-05
 2.43507500e+00,        +3.746966421759e-04,        +1.311141298130e-03,        -9.879475513171e-05
 2.43508000e+00,        +3.752467149599e-04,        +1.311205147915e-03,        -9.880167568482e-05
 2.43508500e+00,        +3.757989701975e-04,        +1.311269154892e-03,        -9.880861353742e-05
 2.43509000e+00,        +3.763534196027e-04,        +1.311333319237e-03,        -9.881556877270e-05
 2.43509500e+00,        +3.769100749682e-04,        +1.311397642008e-03,        -9.882254145016e-05
 2.43510000e+00,        +3.774689481667e-04,        +1.311462123619e-03,        -9.882953166527e-05
 2.43510500e+00,        +3.780300511508e-04,        +1.311526765039e-03,        -9.883653948135e-05
 2.43511000e+00,        +3.785933959543e-04,        +1.311591566631e-03,        -9.884356498323e-05
 2.43511500e+00,        +3.791589946927e-04,        +1.311656529213e-03,        -9.885060824446e-05
 2.43512000e+00,        +3.797268595634e-04,        +1.311721653083e-03,        -9.885766935373e-05
 2.43512500e+00,        +3.802970028471e-04,        +1.311786939117e-03,        -9.886474837685e-05
 2.43513000e+00,        +3.808694369079e-04,        +1.311852388133e-03,        -9.887184540143e-05
 2.43513500e+00,        +3.814441741945e-04,        +1.311918000601e-03,        -9.887896050204e-05
 2.43514000e+00,        +3.820212272401e-04,        +1.311983777100e-03,        -9.888609376144e-05
 2.43514500e+00,        +3.826006086641e-04,        +1.312049718731e-03,        -9.889324526488e-05
 2.43515000e+00,        +3.831823311722e-04,        +1.312115825547e-03,        -9.890041508504e-05
 2.43515500e+00,        +3.837664075569e-04,        +1.312182098704e-03,        -9.890760331294e-05
