        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43500000e+00,        +1.414213562373e-01,        +2.334102673262e-01,        -5.276594610766e-02
 2.43500500e+00,        +1.414213562373e-01,        +2.334076515699e-01,        -5.276612957873e-02
 2.43501000e+00,        +1.414213562373e-01,        +2.334050295588e-01,        -5.276631313418e-02
 2.43501500e+00,        +1.414213562373e-01,        +2.334024012678e-01,        -5.276649677375e-02
 2.43502000e+00,        +1.414213562373e-01,        +2.333997666719e-01,        -5.276668049716e-02
 2.43502500e+00,        +1.414213562373e-01,        +2.333971257460e-01,        -5.276686430414e-02
 2.43503000e+00,        +1.414213562373e-01,        +2.333944784646e-01,        -5.276704819440e-02
 2.43503500e+00,        +1.414213562373e-01,        +2.333918248024e-01,        -5.276723216765e-02
 2.43504000e+00,        +1.414213562373e-01,        +2.333891647337e-01,        -5.276741622360e-02
 2.43504500e+00,        +1.414213562373e-01,        +2.333864982328e-01,        -5.276760036196e-02
 2.43505000e+00,        +1.414213562373e-01,        +2.333838252738e-01,        -5.276778458242e-02
 2.43505500e+00,        +1.414213562373e-01,        +2.333811458307e-01,        -5.276796888466e-02
 2.43506000e+00,        +1.414213562373e-01,        +2.333784598774e-01,        -5.276815326839e-02
 2.43506500e+00,        +1.414213562373e-01,        +2.333757673875e-01,        -5.276833773328e-02
 2.43507000e+00,        +1.414213562373e-01,        +2.333730683346e-01,        -5.276852227901e-02
 2.43507500e+00,        +1.414213562373e-01,        +2.333703626921e-01,        -5.276870690525e-02
 2.43508000e+00,        +1.414213562373e-01,        +2.333676504334e-01,        -5.276889161166e-02
 2.43508500e+00,        +1.414213562373e-01,        +2.333649315315e-01,        -5.276907639791e-02
 2.43509000e+00,        +1.414213562373e-01,        +2.333622059595e-01,        -5.276926126365e-02
 2.43509500e+00,        +1.414213562373e-01,        +2.333594736901e-01,        -5.276944620853e-02
 2.43510000e+00,        +1.414213562373e-01,        +2.333567346961e-01,        -5.276963123219e-02
 2.43510500e+00,        +1.414213562373e-01,        +2.333539889500e-01,        -5.276981633428e-02
 2.43511000e+00,        +1.414213562373e-01,        +2.333512364242e-01,        -5.277000151443e-02
 2.43511500e+00,        +1.414213562373e-01,        +2.333484770909e-01,        -5.277018677226e-02
 2.43512000e+00,        +1.414213562373e-01,        +2.333457109223e-01,        -5.277037210739e-02
 2.43512500e+00,        +1.414213562373e-01,        +2.333429378903e-01,        -5.277055751944e-02
 2.43513000e+00,        +1.414213562373e-01,        +2.333401579666e-01,        -5.277074300802e-02
 2.43513500e+00,        +1.414213562373e-01,        +2.333373711229e-01,        -5.277092857274e-02
 2.43514000e+00,        +1.414213562373e-01,        +2.333345773307e-01,        -5.277111421318e-02
 2.43514500e+00,        +1.414213562373e-01,        +2.333317765613e-01,        -5.277129992894e-02
 2.43515000e+00,        +1.414213562373e-01,        +2.333289687858e-01,        -5.277148571960e-02
 2.43515500e+00,        +1.414213562373e-01,        +2.333261539753e-01,        -5.277167158475e-02
 2.43516000e+00,        +1.414213562373e-01,        +2.333233321006e-01,        -5.277185752395e-02
 2.43516500e+00,        +1.414213562373e-01,        +2.333205031323e-01,        -5.277204353677e-02
 2.43517000e+00,        +1.414213562373e-01,        +2.333176670410e-01,        -5.277222962277e-02
 2.43517500e+00,        +1.414213562373e-01,        +2.333148237971e-01,        -5.277241578150e-02
 2.43518000e+00,        +1.414213562373e-01,        +2.333119733706e-01,        -5.277260201250e-02
 2.43518500e+00,        +1.414213562373e-01,        +2.333091157318e-01,        -5.277278831532e-02
 2.43519000e+00,        +1.414213562373e-01,        +2.333062508503e-01,        -5.277297468949e-02
 2.43519500e+00,        +1.414213562373e-01,        +2.333033786959e-01,        -5.277316113453e-02
 2.43520000e+00,        +1.414213562373e-01,        +2.333004992382e-01,        -5.277334764995e-02
 2.43520500e+00,        +1.414213562373e-01,        +2.332976124463e-01,        -5.277353423528e-02
 2.43521000e+00,        +1.414213562373e-01,        +2.332947182897e-01,        -5.277372089001e-02
 2.43521500e+00,        +1.414213562373e-01,        +2.332918167371e-01,        -5.277390761365e-02
 2.43522000e+00,        +1.414213562373e-01,        +2.332889077576e-01,        -5.277409440567e-02
 2.43522500e+00,        +1.414213562373e-01,        +2.332859913196e-01,        -5.277428126557e-02
 2.43523000e+00,        +1.414213562373e-01,        +2.332830673918e-01,        -5.277446819281e-02
 2.43523500e+00,        +1.414213562373e-01,        +2.332801359423e-01,        -5.277465518686e-02
 2.43524000e+00,        +1.414213562373e-01,        +2.332771969393e-01,        -5.277484224719e-02
 2.43524500e+00,        +1.414213562373e-01,        +2.332742503508e-01,        -5.277502937324e-02
 2.43525000e+00,        +1.414213562373e-01,        +2.332712961446e-01,        -5.277521656446e-02
 2.43525500e+00,        +1.414213562373e-01,        +2.332683342881e-01,        -5.277540382027e-02
 2.43526000e+00,        +1.414213562373e-01,        +2.332653647488e-01,        -5.277559114012e-02
 2.43526500e+00,        +1.414213562373e-01,        +2.332623874938e-01,        -5.277577852342e-02
 2.43527000e+00,        +1.414213562373e-01,        +2.332594024903e-01,        -5.277596596958e-02
 2.43527500e+00,        +1.414213562373e-01,        +2.332564097050e-01,        -5.277615347800e-02
 2.43528000e+00,        +1.414213562373e-01,        +2.332534091046e-01,        -5.277634104807e-02
 2.43528500e+00,        +1.414213562373e-01,        +2.332504006555e-01,        -5.277652867920e-02
 2.43529000e+00,        +1.414213562373e-01,        +2.332473843240e-01,        -5.277671637074e-02
 2.43529500e+00,        +1.414213562373e-01,        +2.332443600761e-01,        -5.277690412207e-02
 2.43530000e+00,        +1.414213562373e-01,        +2.332413278777e-01,        -5.277709193256e-02
 2.43530500e+00,        +1.414213562373e-01,        +2.332382876945e-01,        -5.277727980154e-02
 2.43531000e+00,        +1.414213562373e-01,        +2.332352394920e-01,        -5.277746772837e-02
 2.43531500e+00,        +1.414213562373e-01,        +2.332321832355e-01,        -5.277765571237e-02
 2.43532000e+00,        +1.414213562373e-01,        +2.332291188899e-01,        -5.277784375288e-02
