        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        -1.566966583598e-10,        -1.601365564205e-10,        +1.764351183296e-10,        +1.860151916459e-10,        -1.177025685840e-06,        -1.225905066603e-06,        -5.640847560524e-10,        -5.844298141708e-10,        +1.699782078769e-10,        +1.792468099291e-10,        -1.169484885078e-06,        -1.218058388695e-06,        -1.089298309161e-09,        -1.131548985489e-09,        +1.530517522225e-10,        +1.614769514049e-10,        -1.140462917802e-06,        -1.187845883559e-06,        +7.265558470603e-10,        +7.502365049723e-10,        +1.222922459811e-09,        +1.274211820045e-09,        -3.339723008954e-07,        -3.481176549899e-07
 2.43500500e+00,        -1.571940240362e-10,        -1.606389400338e-10,        +1.764677449582e-10,        +1.860399196916e-10,        -1.178637991025e-06,        -1.227500704500e-06,        -5.651391730167e-10,        -5.854834208717e-10,        +1.700038697332e-10,        +1.792647127997e-10,        -1.171086210185e-06,        -1.219643135546e-06,        -1.091059827326e-09,        -1.133301877974e-09,        +1.530667466509e-10,        +1.614847578929e-10,        -1.142023135377e-06,        -1.189389896281e-06,        +7.281657500241e-10,        +7.518530006818e-10,        +1.224548746324e-09,        +1.275819607895e-09,        -3.344039009723e-07,        -3.485438158346e-07
 2.43501000e+00,        -1.576927669231e-10,        -1.611426484515e-10,        +1.765004414245e-10,        +1.860646936847e-10,        -1.180254677827e-06,        -1.229100472300e-06,        -5.661964809721e-10,        -5.865397790193e-10,        +1.700295827119e-10,        +1.792826441668e-10,        -1.172691887056e-06,        -1.221231984103e-06,        -1.092826157595e-09,        -1.135059331372e-09,        +1.530817639713e-10,        +1.614925674425e-10,        -1.143587592971e-06,        -1.190937905257e-06,        +7.297800536449e-10,        +7.534737021698e-10,        +1.226179442860e-09,        +1.277431547528e-09,        -3.348366730951e-07,        -3.489710789770e-07
 2.43501500e+00,        -1.581928926372e-10,        -1.616476868230e-10,        +1.765332080113e-10,        +1.860895138019e-10,        -1.181875764111e-06,        -1.230704386039e-06,        -5.672566917063e-10,        -5.875988992965e-10,        +1.700553470236e-10,        +1.793006041423e-10,        -1.174301933433e-06,        -1.222824950290e-06,        -1.094597319577e-09,        -1.136821363401e-09,        +1.530968042712e-10,        +1.615003800631e-10,        -1.145156307872e-06,        -1.192489926005e-06,        +7.313987758680e-10,        +7.550986257659e-10,        +1.227814567398e-09,        +1.279047655063e-09,        -3.352706220420e-07,        -3.493994486963e-07
 2.43502000e+00,        -1.586944068280e-10,        -1.621540603158e-10,        +1.765660450034e-10,        +1.861143802208e-10,        -1.183501267840e-06,        -1.232312461833e-06,        -5.683198170773e-10,        -5.886607924421e-10,        +1.700811628711e-10,        +1.793185928348e-10,        -1.175916367157e-06,        -1.224422050114e-06,        -1.096373333023e-09,        -1.138587991883e-09,        +1.531118676352e-10,        +1.615081957593e-10,        -1.146729297461e-06,        -1.194045974117e-06,        +7.330219347347e-10,        +7.567277878934e-10,        +1.229454138014e-09,        +1.280667946698e-09,        -3.357057526175e-07,        -3.498289292941e-07
 2.43502500e+00,        -1.591973151736e-10,        -1.626617741257e-10,        +1.765989526866e-10,        +1.861392931198e-10,        -1.185131207071e-06,        -1.233924715883e-06,        -5.693858690010e-10,        -5.897254692533e-10,        +1.701070304664e-10,        +1.793366103560e-10,        -1.177535206163e-06,        -1.226023299666e-06,        -1.098154217753e-09,        -1.140359234670e-09,        +1.531269541662e-10,        +1.615160145512e-10,        -1.148306579213e-06,        -1.195606065272e-06,        +7.346495483973e-10,        +7.583612050592e-10,        +1.231098172883e-09,        +1.282292438719e-09,        -3.361420696520e-07,        -3.502595250939e-07
 2.43503000e+00,        -1.597016233823e-10,        -1.631708334870e-10,        +1.766319313486e-10,        +1.861642526789e-10,        -1.186765599965e-06,        -1.235541164473e-06,        -5.704548594613e-10,        -5.907929405783e-10,        +1.701329500199e-10,        +1.793546568131e-10,        -1.179158468486e-06,        -1.227628715118e-06,        -1.099939993717e-09,        -1.142135109791e-09,        +1.531420639504e-10,        +1.615238364368e-10,        -1.149888170702e-06,        -1.197170215227e-06,        +7.362816350958e-10,        +7.599988938513e-10,        +1.232746690279e-09,        +1.283921147495e-09,        -3.365795780024e-07,        -3.506912404421e-07
 2.43503500e+00,        -1.602073371959e-10,        -1.636812436477e-10,        +1.766649812786e-10,        +1.861892590780e-10,        -1.188404464777e-06,        -1.237161823972e-06,        -5.715268005036e-10,        -5.918632173323e-10,        +1.701589217390e-10,        +1.793727323165e-10,        -1.180786172259e-06,        -1.229238312728e-06,        -1.101730680957e-09,        -1.143915635309e-09,        +1.531571970891e-10,        +1.615316614344e-10,        -1.151474089593e-06,        -1.198738439820e-06,        +7.379182131758e-10,        +7.616408709458e-10,        +1.234399708575e-09,        +1.285554089480e-09,        -3.370182825520e-07,        -3.511240797072e-07
 2.43504000e+00,        -1.607144623922e-10,        -1.641930098916e-10,        +1.766981027674e-10,        +1.862143124988e-10,        -1.190047819865e-06,        -1.238786710835e-06,        -5.726017042459e-10,        -5.929363104739e-10,        +1.701849458405e-10,        +1.793908369825e-10,        -1.182418335714e-06,        -1.230852108838e-06,        -1.103526299664e-09,        -1.145700829392e-09,        +1.531723536671e-10,        +1.615394895568e-10,        -1.153064353650e-06,        -1.200310754974e-06,        +7.395593010796e-10,        +7.632871531074e-10,        +1.236057246247e-09,        +1.287191281214e-09,        -3.374581882110e-07,        -3.515580472809e-07
 2.43504500e+00,        -1.612230047650e-10,        -1.647061375240e-10,        +1.767312961070e-10,        +1.862394131235e-10,        -1.191695683687e-06,        -1.240415841602e-06,        -5.736795828708e-10,        -5.940122310255e-10,        +1.702110225350e-10,        +1.794089709207e-10,        -1.184054977183e-06,        -1.232470119876e-06,        -1.105326870088e-09,        -1.147490710306e-09,        +1.531875337831e-10,        +1.615473208087e-10,        -1.154658980735e-06,        -1.201887176694e-06,        +7.412049173545e-10,        +7.649377571879e-10,        +1.237719321869e-09,        +1.288832739323e-09,        -3.378992999162e-07,        -3.519931475774e-07
