        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43500000e+00,        -1.194377369405e+00,        +1.131128137343e+00,        -1.723704243155e+01,        +1.656950998562e+01,        -1.468341241879e-02,        +1.406668341763e-02,        -1.305386729715e+00,        +1.236005653359e+00,        -3.819583062858e+01,        +3.669327533911e+01,        -2.199753389150e-02,        +2.101718019405e-02,        -1.487942500675e+00,        +1.408802484031e+00,        -7.671199394953e+01,        +7.367483684509e+01,        -4.200026157280e-02,        +4.008286735282e-02,        +1.329890772604e+00,        -1.264349857457e+00,        -2.124727409527e+02,        +2.040382239540e+02,        -4.479439922524e-01,        +4.300988005334e-01
 2.43500500e+00,        -1.194403953271e+00,        +1.131209276892e+00,        -1.726145627776e+01,        +1.659410812345e+01,        -1.469901737070e-02,        +1.408259119201e-02,        -1.305401186905e+00,        +1.236080225792e+00,        -3.824762750358e+01,        +3.674553821535e+01,        -2.201553089002e-02,        +2.103575730333e-02,        -1.487971719696e+00,        +1.408900151176e+00,        -7.681410362082e+01,        +7.377793050240e+01,        -4.203050005922e-02,        +4.011430264858e-02,        +1.330183441280e+00,        -1.264691246890e+00,        -2.127531021533e+02,        +2.043213755519e+02,        -4.485283409307e-01,        +4.306891472277e-01
 2.43501000e+00,        -1.194430544742e+00,        +1.131290567703e+00,        -1.728593340060e+01,        +1.661877320709e+01,        -1.471466260655e-02,        +1.409854207266e-02,        -1.305415625001e+00,        +1.236154935032e+00,        -3.829955852993e+01,        +3.679794322076e+01,        -2.203357394247e-02,        +2.105438431921e-02,        -1.488000972858e+00,        +1.408998030737e+00,        -7.691647766689e+01,        +7.388130442986e+01,        -4.206081551960e-02,        +4.014582196511e-02,        +1.330476272287e+00,        -1.265032981543e+00,        -2.130341891459e+02,        +2.046052968146e+02,        -4.491141993961e-01,        +4.312810957231e-01
 2.43501500e+00,        -1.194457143838e+00,        +1.131372010384e+00,        -1.731047404577e+01,        +1.664350550948e+01,        -1.473034828274e-02,        +1.411453623535e-02,        -1.305430043919e+00,        +1.236229781625e+00,        -3.835162422846e+01,        +3.685049093481e+01,        -2.205166322762e-02,        +2.107306144512e-02,        -1.488030260283e+00,        +1.409096123568e+00,        -7.701911711413e+01,        +7.398495977017e+01,        -4.209120825264e-02,        +4.017742564483e-02,        +1.330769266195e+00,        -1.265375062759e+00,        -2.133160047481e+02,        +2.048899908801e+02,        -4.497015735102e-01,        +4.318746525500e-01
 2.43502000e+00,        -1.194483750580e+00,        +1.131453605546e+00,        -1.733507846020e+01,        +1.666830530509e+01,        -1.474607455651e-02,        +1.413057385681e-02,        -1.305444443576e+00,        +1.236304766124e+00,        -3.840382512271e+01,        +3.690318194018e+01,        -2.206979892514e-02,        +2.109178888562e-02,        -1.488059582093e+00,        +1.409194430529e+00,        -7.712202299429e+01,        +7.408889767230e+01,        -4.212167855860e-02,        +4.020911403203e-02,        +1.331062423576e+00,        -1.265717491890e+00,        -2.135985517925e+02,        +2.051754609036e+02,        -4.502904691651e-01,        +4.324698242753e-01
 2.43502500e+00,        -1.194510364990e+00,        +1.131535353804e+00,        -1.735974689213e+01,        +1.669317286984e+01,        -1.476184158590e-02,        +1.414665511472e-02,        -1.305458823885e+00,        +1.236379889081e+00,        -3.845616173891e+01,        +3.695601682266e+01,        -2.208798121568e-02,        +2.111056684635e-02,        -1.488088938410e+00,        +1.409292952484e+00,        -7.722519634444e+01,        +7.419311929141e+01,        -4.215222673929e-02,        +4.024088747285e-02,        +1.331355745007e+00,        -1.266060270294e+00,        -2.138818331263e+02,        +2.054617100573e+02,        -4.508808922833e-01,        +4.330666175009e-01
 2.43503000e+00,        -1.194536987090e+00,        +1.131617255776e+00,        -1.738447959107e+01,        +1.671810848118e+01,        -1.477764952979e-02,        +1.416278018776e-02,        -1.305473184763e+00,        +1.236455151053e+00,        -3.850863460608e+01,        +3.700899617129e+01,        -2.210621028080e-02,        +2.112939553412e-02,        -1.488118329358e+00,        +1.409391690301e+00,        -7.732863820708e+01,        +7.429762578906e+01,        -4.218285309807e-02,        +4.027274631536e-02,        +1.331649231067e+00,        -1.266403399338e+00,        -2.141658516113e+02,        +2.057487415311e+02,        -4.514728488184e-01,        +4.336650388652e-01
 2.43503500e+00,        -1.194563616900e+00,        +1.131699312083e+00,        -1.740927680784e+01,        +1.674311241808e+01,        -1.479349854785e-02,        +1.417894925555e-02,        -1.305487526123e+00,        +1.236530552599e+00,        -3.856124425592e+01,        +3.706212057830e+01,        -2.212448630300e-02,        +2.114827515682e-02,        -1.488147755060e+00,        +1.409490644854e+00,        -7.743234963006e+01,        +7.440241833301e+01,        -4.221355793990e-02,        +4.030469090948e-02,        +1.331942882338e+00,        -1.266746880395e+00,        -2.144506101243e+02,        +2.060365585318e+02,        -4.520663447544e-01,        +4.342650950423e-01
 2.43504000e+00,        -1.194590254443e+00,        +1.131781523348e+00,        -1.743413879454e+01,        +1.676818496101e+01,        -1.480938880061e-02,        +1.419516249871e-02,        -1.305501847880e+00,        +1.236606094282e+00,        -3.861399122295e+01,        +3.711539063916e+01,        -2.214280946571e-02,        +2.116720592352e-02,        -1.488177215640e+00,        +1.409589817020e+00,        -7.753633166674e+01,        +7.450749809755e+01,        -4.224434157130e-02,        +4.033672160709e-02,        +1.332236699405e+00,        -1.267090714844e+00,        -2.147361115570e+02,        +2.063251642843e+02,        -4.526613861068e-01,        +4.348667927434e-01
 2.43504500e+00,        -1.194616899740e+00,        +1.131863890201e+00,        -1.745906580462e+01,        +1.679332639201e+01,        -1.482532044942e-02,        +1.421142009885e-02,        -1.305516149945e+00,        +1.236681776668e+00,        -3.866687604444e+01,        +3.716880695260e+01,        -2.216117995337e-02,        +2.118618804439e-02,        -1.488206711222e+00,        +1.409689207682e+00,        -7.764058537593e+01,        +7.461286626330e+01,        -4.227520430041e-02,        +4.036883876195e-02,        +1.332530682857e+00,        -1.267434904075e+00,        -2.150223588163e+02,        +2.066145620306e+02,        -4.532579789223e-01,        +4.354701387160e-01
