        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43500000e+00,        +3.666996803906e-04,        +1.310231111569e-03,        -9.869293925430e-05
 2.43500500e+00,        +3.672183701980e-04,        +1.310292666589e-03,        -9.869960911088e-05
 2.43501000e+00,        +3.677390758136e-04,        +1.310354369545e-03,        -9.870629518409e-05
 2.43501500e+00,        +3.682618078390e-04,        +1.310416221032e-03,        -9.871299753574e-05
 2.43502000e+00,        +3.687865769462e-04,        +1.310478221738e-03,        -9.871971624400e-05
 2.43502500e+00,        +3.693133938777e-04,        +1.310540372559e-03,        -9.872645137706e-05
 2.43503000e+00,        +3.698422694473e-04,        +1.310602672975e-03,        -9.873320300140e-05
 2.43503500e+00,        +3.703732145402e-04,        +1.310665124681e-03,        -9.873997119239e-05
 2.43504000e+00,        +3.709062401146e-04,        +1.310727727597e-03,        -9.874675601981e-05
 2.43504500e+00,        +3.714413572009e-04,        +1.310790483050e-03,        -9.875355756047e-05
 2.43505000e+00,        +3.719785769034e-04,        +1.310853390763e-03,        -9.876037587521e-05
 2.43505500e+00,        +3.725179104003e-04,        +1.310916451957e-03,        -9.876721104949e-05
 2.43506000e+00,        +3.730593689447e-04,        +1.310979667308e-03,        -9.877406314958e-05
 2.43506500e+00,        +3.736029638649e-04,        +1.311043036867e-03,        -9.878093225303e-05
 2.43507000e+00,        +3.741487065648e-04,        +1.311106561735e-03,        -9.878781843162e-05
 2.43507500e+00,        +3.746966085251e-04,        +1.311170242410e-03,        -9.879472176065e-05
 2.43508000e+00,        +3.752466813037e-04,        +1.311234079432e-03,        -9.880164231076e-05
 2.43508500e+00,        +3.757989365359e-04,        +1.311298073368e-03,        -9.880858016365e-05
 2.43509000e+00,        +3.763533859358e-04,        +1.311362225035e-03,        -9.881553539361e-05
 2.43509500e+00,        +3.769100412959e-04,        +1.311426535084e-03,        -9.882250807433e-05
 2.43510000e+00,        +3.774689144890e-04,        +1.311491003999e-03,        -9.882949828518e-05
 2.43510500e+00,        +3.780300174677e-04,        +1.311555632401e-03,        -9.883650610085e-05
 2.43511000e+00,        +3.785933622659e-04,        +1.311620421129e-03,        -9.884353160128e-05
 2.43511500e+00,        +3.791589609988e-04,        +1.311685370888e-03,        -9.885057486497e-05
 2.43512000e+00,        +3.797268258642e-04,        +1.311750482042e-03,        -9.885763597251e-05
 2.43512500e+00,        +3.802969691426e-04,        +1.311815755202e-03,        -9.886471499277e-05
 2.43513000e+00,        +3.808694031980e-04,        +1.311881191567e-03,        -9.887181201210e-05
 2.43513500e+00,        +3.814441404792e-04,        +1.311946790896e-03,        -9.887892711707e-05
 2.43514000e+00,        +3.820211935195e-04,        +1.312012554763e-03,        -9.888606037670e-05
 2.43514500e+00,        +3.826005749381e-04,        +1.312078483183e-03,        -9.889321187435e-05
 2.43515000e+00,        +3.831822974408e-04,        +1.312144577105e-03,        -9.890038169784e-05
 2.43515500e+00,        +3.837663738202e-04,        +1.312210837833e-03,        -9.890756992245e-05
 2.43516000e+00,        +3.843528169569e-04,        +1.312277264578e-03,        -9.891477663586e-05
 2.43516500e+00,        +3.849416398199e-04,        +1.312343859574e-03,        -9.892200191295e-05
 2.43517000e+00,        +3.855328554678e-04,        +1.312410622384e-03,        -9.892924584477e-05
 2.43517500e+00,        +3.861264770491e-04,        +1.312477554284e-03,        -9.893650851447e-05
 2.43518000e+00,        +3.867225178029e-04,        +1.312544655846e-03,        -9.894379000141e-05
 2.43518500e+00,        +3.873209910600e-04,        +1.312611927426e-03,        -9.895109039082e-05
 2.43519000e+00,        +3.879219102436e-04,        +1.312679370304e-03,        -9.895840977493e-05
 2.43519500e+00,        +3.885252888698e-04,        +1.312746984911e-03,        -9.896574823330e-05
 2.43520000e+00,        +3.891311405487e-04,        +1.312814771707e-03,        -9.897310585155e-05
 2.43520500e+00,        +3.897394789847e-04,        +1.312882732206e-03,        -9.898048271914e-05
 2.43521000e+00,        +3.903503179782e-04,        +1.312950866076e-03,        -9.898787892491e-05
 2.43521500e+00,        +3.909636714251e-04,        +1.313019174661e-03,        -9.899529455773e-05
 2.43522000e+00,        +3.915795533191e-04,        +1.313087658893e-03,        -9.900272969842e-05
 2.43522500e+00,        +3.921979777510e-04,        +1.313156318945e-03,        -9.901018443782e-05
 2.43523000e+00,        +3.928189589111e-04,        +1.313225155679e-03,        -9.901765887571e-05
 2.43523500e+00,        +3.934425110883e-04,        +1.313294169996e-03,        -9.902515309023e-05
 2.43524000e+00,        +3.940686486725e-04,        +1.313363362469e-03,        -9.903266717959e-05
 2.43524500e+00,        +3.946973861545e-04,        +1.313432734377e-03,        -9.904020123303e-05
 2.43525000e+00,        +3.953287381272e-04,        +1.313502286021e-03,        -9.904775533527e-05
 2.43525500e+00,        +3.959627192866e-04,        +1.313572018112e-03,        -9.905532959044e-05
 2.43526000e+00,        +3.965993444322e-04,        +1.313641931109e-03,        -9.906292408110e-05
 2.43526500e+00,        +3.972386284682e-04,        +1.313712026617e-03,        -9.907053890815e-05
 2.43527000e+00,        +3.978805864046e-04,        +1.313782304815e-03,        -9.907817416230e-05
 2.43527500e+00,        +3.985252333576e-04,        +1.313852766701e-03,        -9.908582993516e-05
 2.43528000e+00,        +3.991725845509e-04,        +1.313923413071e-03,        -9.909350632818e-05
 2.43528500e+00,        +3.998226553164e-04,        +1.313994244216e-03,        -9.910120343406e-05
 2.43529000e+00,        +4.004754610955e-04,        +1.314065261892e-03,        -9.910892134644e-05
 2.43529500e+00,        +4.011310174393e-04,        +1.314136465716e-03,        -9.911666016417e-05
 2.43530000e+00,        +4.017893400102e-04,        +1.314207857613e-03,        -9.912441998799e-05
 2.43530500e+00,        +4.024504445829e-04,        +1.314279437575e-03,        -9.913220090983e-05
 2.43531000e+00,        +4.031143470446e-04,        +1.314351206479e-03,        -9.914000303471e-05
 2.43531500e+00,        +4.037810633970e-04,        +1.314423165870e-03,        -9.914782645894e-05
 2.43532000e+00,        +4.044506097565e-04,        +1.314495315709e-03,        -9.915567127786e-05
 2.43532500e+00,        +4.051230023555e-04,        +1.314567657203e-03,        -9.916353759804e-05
 2.43533000e+00,        +4.057982575433e-04,        +1.314640191006e-03,        -9.917142552073e-05
 2.43533500e+00,        +4.064763917876e-04,        +1.314712918083e-03,        -9.917933514835e-05
 2.43534000e+00,        +4.071574216744e-04,        +1.314785839246e-03,        -9.918726657628e-05
 2.43534500e+00,        +4.078413639105e-04,        +1.314858955649e-03,        -9.919521991803e-05
 2.43535000e+00,        +4.085282353233e-04,        +1.314932267473e-03,        -9.920319526940e-05
 2.43535500e+00,        +4.092180528624e-04,        +1.315005776080e-03,        -9.921119273509e-05
 2.43536000e+00,        +4.099108336010e-04,        +1.315079481807e-03,        -9.921921242669e-05
 2.43536500e+00,        +4.106065947360e-04,        +1.315153386246e-03,        -9.922725444316e-05
 2.43537000e+00,        +4.113053535902e-04,        +1.315227489336e-03,        -9.923531889535e-05
 2.43537500e+00,        +4.120071276127e-04,        +1.315301793146e-03,        -9.924340588740e-05
 2.43538000e+00,        +4.127119343801e-04,        +1.315376297236e-03,        -9.925151552060e-05
 2.43538500e+00,        +4.134197915980e-04,        +1.315451003623e-03,        -9.925964792069e-05
