        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +3.104232863668e-10,        +2.860114446337e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.302603485625e-15,        +1.063903267141e-05,        +7.915442575497e-13,        +2.767526518260e-03,        +1.006935471005e-10,        +3.243749793356e-01,        +7.361598513424e-11,        +2.573882497203e-01,        +5.157601431328e-11,        +1.661473754657e-01,        +4.816541221480e-11,        +1.684037933394e-01,        +5.153513735077e-11,        +1.660156940993e-01,        +4.816509417316e-11,        +1.684026813502e-01,        +5.153519859165e-11,        +1.660158913811e-01,        +4.816473102091e-11,        +1.684014116379e-01,        +5.156270499793e-11,        +1.661045007332e-01,        +4.815076693097e-11,        +1.683525881023e-01
 2.43500500e+00,        +3.111253917383e-10,        +2.867134970478e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.311390014182e-15,        +1.064326506969e-05,        +7.936589626868e-13,        +2.768125570854e-03,        +1.008367117804e-10,        +3.241031251644e-01,        +7.375126372229e-11,        +2.572298286676e-01,        +5.171340168705e-11,        +1.662140187213e-01,        +4.829390109293e-11,        +1.684395802437e-01,        +5.167252868438e-11,        +1.660826472429e-01,        +4.829363287358e-11,        +1.684386447476e-01,        +5.167259015568e-11,        +1.660828448201e-01,        +4.829326877127e-11,        +1.684373748307e-01,        +5.170005774897e-11,        +1.661711294604e-01,        +4.827921810990e-11,        +1.683883689014e-01
 2.43501000e+00,        +3.118302922342e-10,        +2.874183444786e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.320211636069e-15,        +1.064749550879e-05,        +7.957821101459e-13,        +2.768724145251e-03,        +1.009804399156e-10,        +3.238313994195e-01,        +7.388707331993e-11,        +2.570715291467e-01,        +5.185133760313e-11,        +1.662806305046e-01,        +4.842290329392e-11,        +1.684753399501e-01,        +5.181046857011e-11,        +1.661495687250e-01,        +4.842268502629e-11,        +1.684745805427e-01,        +5.181053027280e-11,        +1.661497665977e-01,        +4.842231997014e-11,        +1.684733104214e-01,        +5.183795890532e-11,        +1.662377267260e-01,        +4.840818246309e-11,        +1.684241225135e-01
 2.43501500e+00,        +3.125380027124e-10,        +2.881260017837e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.329068538110e-15,        +1.065172397986e-05,        +7.979137448584e-13,        +2.769322240682e-03,        +1.011247344857e-10,        +3.235598026738e-01,        +7.402341673143e-11,        +2.569133513573e-01,        +5.198982498119e-11,        +1.663472106752e-01,        +4.855242155084e-11,        +1.685110724137e-01,        +5.194895992766e-11,        +1.662164584045e-01,        +4.855225336484e-11,        +1.685104886899e-01,        +5.194902186274e-11,        +1.662166565726e-01,        +4.855188735108e-11,        +1.685092183646e-01,        +5.197641138593e-11,        +1.663042923896e-01,        +4.853766272279e-11,        +1.684598488936e-01
 2.43502000e+00,        +3.132485381296e-10,        +2.888364839198e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.337960908377e-15,        +1.065595047405e-05,        +8.000539120555e-13,        +2.769919856377e-03,        +1.012695984899e-10,        +3.232883355006e-01,        +7.416029677967e-11,        +2.567552954989e-01,        +5.212886676040e-11,        +1.664137590926e-01,        +4.868245861497e-11,        +1.685467775895e-01,        +5.208800569623e-11,        +1.662833161401e-01,        +4.868234064104e-11,        +1.685463691442e-01,        +5.208806786468e-11,        +1.662835146038e-01,        +4.868197366585e-11,        +1.685450986149e-01,        +5.211541812924e-11,        +1.663708263107e-01,        +4.866766163952e-11,        +1.684955479968e-01
 2.43502500e+00,        +3.139619135423e-10,        +2.895498059428e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.346888936191e-15,        +1.066017498247e-05,        +8.022026572695e-13,        +2.770516991567e-03,        +1.014150349474e-10,        +3.230169984736e-01,        +7.429771630626e-11,        +2.565973617711e-01,        +5.226846589947e-11,        +1.664802756161e-01,        +4.881301725592e-11,        +1.685824554328e-01,        +5.222760883457e-11,        +1.663501417905e-01,        +4.881294962500e-11,        +1.685822218601e-01,        +5.222767123740e-11,        +1.663503405497e-01,        +4.881258168456e-11,        +1.685809511273e-01,        +5.225498209324e-11,        +1.664373283488e-01,        +4.879818198209e-11,        +1.685312197782e-01
 2.43503000e+00,        +3.146781441073e-10,        +2.902659830097e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.355852812143e-15,        +1.066439749625e-05,        +8.043600263372e-13,        +2.771113645481e-03,        +1.015610468976e-10,        +3.227457921670e-01,        +7.443567817172e-11,        +2.564395503734e-01,        +5.240862537693e-11,        +1.665467601050e-01,        +4.894410026184e-11,        +1.686181058984e-01,        +5.236777232123e-11,        +1.664169352142e-01,        +4.894408310539e-11,        +1.686180467924e-01,        +5.236783495944e-11,        +1.664171342690e-01,        +4.894371419584e-11,        +1.686167758562e-01,        +5.239510625570e-11,        +1.665037983630e-01,        +4.892922653783e-11,        +1.685668641929e-01
 2.43503500e+00,        +3.153972450827e-10,        +2.909850303780e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.364852728091e-15,        +1.066861800651e-05,        +8.065260654007e-13,        +2.771709817350e-03,        +1.017076373998e-10,        +3.224747171558e-01,        +7.457418525552e-11,        +2.562818615055e-01,        +5.254934819114e-11,        +1.666132124184e-01,        +4.907571043944e-11,        +1.686537289416e-01,        +5.250849915461e-11,        +1.664836962696e-01,        +4.907574388942e-11,        +1.686538438959e-01,        +5.250856202922e-11,        +1.664838956201e-01,        +4.907537400691e-11,        +1.686525727566e-01,        +5.253579361423e-11,        +1.665702362126e-01,        +4.906079811266e-11,        +1.686024811961e-01
 2.43504000e+00,        +3.161192318285e-10,        +2.917069634077e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.373888877184e-15,        +1.067283650434e-05,        +8.087008209119e-13,        +2.772305506405e-03,        +1.018548095339e-10,        +3.222037740151e-01,        +7.471324045639e-11,        +2.561242953668e-01,        +5.269063736058e-11,        +1.666796324153e-01,        +4.920785061428e-11,        +1.686893245175e-01,        +5.264979235323e-11,        +1.665504248150e-01,        +4.920793480318e-11,        +1.686896131252e-01,        +5.264985546524e-11,        +1.665506244612e-01,        +4.920756394383e-11,        +1.686883417831e-01,        +5.267704718658e-11,        +1.666366417566e-01,        +4.919289953132e-11,        +1.686380707428e-01
 2.43504500e+00,        +3.168441198077e-10,        +2.924317975614e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.382961453861e-15,        +1.067705298086e-05,        +8.108843396337e-13,        +2.772900711877e-03,        +1.020025664005e-10,        +3.219329633208e-01,        +7.485284669235e-11,        +2.559668521568e-01,        +5.283249592394e-11,        +1.667460199546e-01,        +4.934052363084e-11,        +1.687248925811e-01,        +5.279165495580e-11,        +1.666171207086e-01,        +4.934065869167e-11,        +1.687253544352e-01,        +5.279171830625e-11,        +1.666173206506e-01,        +4.934028685156e-11,        +1.687240828905e-01,        +5.281887001068e-11,        +1.667030148539e-01,        +4.932553363747e-11,        +1.686736327882e-01
