        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.43500000e+00,        +7.071067811865e+00,        +1.167051336631e+01,        -2.638297305383e+00
 2.43500500e+00,        +7.071067811865e+00,        +1.167038257850e+01,        -2.638306478936e+00
 2.43501000e+00,        +7.071067811865e+00,        +1.167025147794e+01,        -2.638315656709e+00
 2.43501500e+00,        +7.071067811865e+00,        +1.167012006339e+01,        -2.638324838688e+00
 2.43502000e+00,        +7.071067811865e+00,        +1.166998833360e+01,        -2.638334024858e+00
 2.43502500e+00,        +7.071067811865e+00,        +1.166985628730e+01,        -2.638343215207e+00
 2.43503000e+00,        +7.071067811865e+00,        +1.166972392323e+01,        -2.638352409720e+00
 2.43503500e+00,        +7.071067811865e+00,        +1.166959124012e+01,        -2.638361608382e+00
 2.43504000e+00,        +7.071067811865e+00,        +1.166945823669e+01,        -2.638370811180e+00
 2.43504500e+00,        +7.071067811865e+00,        +1.166932491164e+01,        -2.638380018098e+00
 2.43505000e+00,        +7.071067811865e+00,        +1.166919126369e+01,        -2.638389229121e+00
 2.43505500e+00,        +7.071067811865e+00,        +1.166905729153e+01,        -2.638398444233e+00
 2.43506000e+00,        +7.071067811865e+00,        +1.166892299387e+01,        -2.638407663420e+00
 2.43506500e+00,        +7.071067811865e+00,        +1.166878836937e+01,        -2.638416886664e+00
 2.43507000e+00,        +7.071067811865e+00,        +1.166865341673e+01,        -2.638426113950e+00
 2.43507500e+00,        +7.071067811865e+00,        +1.166851813461e+01,        -2.638435345262e+00
 2.43508000e+00,        +7.071067811865e+00,        +1.166838252167e+01,        -2.638444580583e+00
 2.43508500e+00,        +7.071067811865e+00,        +1.166824657658e+01,        -2.638453819895e+00
 2.43509000e+00,        +7.071067811865e+00,        +1.166811029797e+01,        -2.638463063182e+00
 2.43509500e+00,        +7.071067811865e+00,        +1.166797368450e+01,        -2.638472310426e+00
 2.43510000e+00,        +7.071067811865e+00,        +1.166783673480e+01,        -2.638481561610e+00
 2.43510500e+00,        +7.071067811865e+00,        +1.166769944750e+01,        -2.638490816714e+00
 2.43511000e+00,        +7.071067811865e+00,        +1.166756182121e+01,        -2.638500075721e+00
 2.43511500e+00,        +7.071067811865e+00,        +1.166742385455e+01,        -2.638509338613e+00
 2.43512000e+00,        +7.071067811865e+00,        +1.166728554611e+01,        -2.638518605369e+00
 2.43512500e+00,        +7.071067811865e+00,        +1.166714689451e+01,        -2.638527875972e+00
 2.43513000e+00,        +7.071067811865e+00,        +1.166700789833e+01,        -2.638537150401e+00
 2.43513500e+00,        +7.071067811865e+00,        +1.166686855615e+01,        -2.638546428637e+00
 2.43514000e+00,        +7.071067811865e+00,        +1.166672886654e+01,        -2.638555710659e+00
 2.43514500e+00,        +7.071067811865e+00,        +1.166658882806e+01,        -2.638564996447e+00
 2.43515000e+00,        +7.071067811865e+00,        +1.166644843929e+01,        -2.638574285980e+00
 2.43515500e+00,        +7.071067811865e+00,        +1.166630769876e+01,        -2.638583579237e+00
 2.43516000e+00,        +7.071067811865e+00,        +1.166616660503e+01,        -2.638592876197e+00
 2.43516500e+00,        +7.071067811865e+00,        +1.166602515661e+01,        -2.638602176838e+00
 2.43517000e+00,        +7.071067811865e+00,        +1.166588335205e+01,        -2.638611481138e+00
 2.43517500e+00,        +7.071067811865e+00,        +1.166574118985e+01,        -2.638620789075e+00
 2.43518000e+00,        +7.071067811865e+00,        +1.166559866853e+01,        -2.638630100625e+00
 2.43518500e+00,        +7.071067811865e+00,        +1.166545578659e+01,        -2.638639415766e+00
 2.43519000e+00,        +7.071067811865e+00,        +1.166531254251e+01,        -2.638648734474e+00
