        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        -1.566966587361e-10,        -1.601365758607e-10,        +1.764351186591e-10,        +1.860151923456e-10,        -1.177025685842e-06,        -1.225905066607e-06,        -5.640847562303e-10,        -5.844298340746e-10,        +1.699782081586e-10,        +1.792468081219e-10,        -1.169484885080e-06,        -1.218058388697e-06,        -1.089298309625e-09,        -1.131549004059e-09,        +1.530517526908e-10,        +1.614769455666e-10,        -1.140462917804e-06,        -1.187845883560e-06,        +7.265558405837e-10,        +7.502365085362e-10,        +1.222922458487e-09,        +1.274211813229e-09,        -3.339723008910e-07,        -3.481176549999e-07
 2.43500500e+00,        -1.571940244064e-10,        -1.606389594713e-10,        +1.764677452860e-10,        +1.860399203901e-10,        -1.178637991027e-06,        -1.227500704503e-06,        -5.651391731810e-10,        -5.854834407759e-10,        +1.700038700130e-10,        +1.792647109861e-10,        -1.171086210187e-06,        -1.219643135547e-06,        -1.091059827783e-09,        -1.133301896522e-09,        +1.530667471226e-10,        +1.614847520573e-10,        -1.142023135379e-06,        -1.189389896282e-06,        +7.281657435586e-10,        +7.518530042460e-10,        +1.224548744999e-09,        +1.275819601074e-09,        -3.344039009679e-07,        -3.485438158445e-07
 2.43501000e+00,        -1.576927672771e-10,        -1.611426678852e-10,        +1.765004417503e-10,        +1.860646943817e-10,        -1.180254677830e-06,        -1.229100472304e-06,        -5.661964811258e-10,        -5.865397989172e-10,        +1.700295829916e-10,        +1.792826423552e-10,        -1.172691887058e-06,        -1.221231984104e-06,        -1.092826158038e-09,        -1.135059349923e-09,        +1.530817644405e-10,        +1.614925616064e-10,        -1.143587592973e-06,        -1.190937905259e-06,        +7.297800471782e-10,        +7.534737057317e-10,        +1.226179441534e-09,        +1.277431540702e-09,        -3.348366730906e-07,        -3.489710789869e-07
 2.43501500e+00,        -1.581928929846e-10,        -1.616477062516e-10,        +1.765332083355e-10,        +1.860895144975e-10,        -1.181875764114e-06,        -1.230704386043e-06,        -5.672566918502e-10,        -5.875989191897e-10,        +1.700553473010e-10,        +1.793006023302e-10,        -1.174301933436e-06,        -1.222824950291e-06,        -1.094597320004e-09,        -1.136821381958e-09,        +1.530968047427e-10,        +1.615003742234e-10,        -1.145156307874e-06,        -1.192489926006e-06,        +7.313987694045e-10,        +7.550986293294e-10,        +1.227814566071e-09,        +1.279047648231e-09,        -3.352706220376e-07,        -3.493994487063e-07
 2.43502000e+00,        -1.586944071575e-10,        -1.621540797379e-10,        +1.765660453254e-10,        +1.861143809149e-10,        -1.183501267842e-06,        -1.232312461837e-06,        -5.683198172068e-10,        -5.886608123308e-10,        +1.700811631508e-10,        +1.793185910246e-10,        -1.175916367160e-06,        -1.224422050116e-06,        -1.096373333441e-09,        -1.138588010419e-09,        +1.531118681107e-10,        +1.615081899224e-10,        -1.146729297463e-06,        -1.194045974119e-06,        +7.330219282755e-10,        +7.567277914586e-10,        +1.229454136686e-09,        +1.280667939862e-09,        -3.357057526130e-07,        -3.498289293040e-07
 2.43502500e+00,        -1.591973154942e-10,        -1.626617935476e-10,        +1.765989530070e-10,        +1.861392938127e-10,        -1.185131207074e-06,        -1.233924715887e-06,        -5.693858691188e-10,        -5.897254891396e-10,        +1.701070307423e-10,        +1.793366085420e-10,        -1.177535206166e-06,        -1.226023299667e-06,        -1.098154218161e-09,        -1.140359253217e-09,        +1.531269546401e-10,        +1.615160087094e-10,        -1.148306579216e-06,        -1.195606065273e-06,        +7.346495419413e-10,        +7.583612086223e-10,        +1.231098171554e-09,        +1.282292431878e-09,        -3.361420696475e-07,        -3.502595251039e-07
 2.43503000e+00,        -1.597016236920e-10,        -1.631708529033e-10,        +1.766319316672e-10,        +1.861642533703e-10,        -1.186765599968e-06,        -1.235541164477e-06,        -5.704548595662e-10,        -5.907929604625e-10,        +1.701329502950e-10,        +1.793546549968e-10,        -1.179158468489e-06,        -1.227628715120e-06,        -1.099939994110e-09,        -1.142135128329e-09,        +1.531420644276e-10,        +1.615238305992e-10,        -1.149888170704e-06,        -1.197170215228e-06,        +7.362816286476e-10,        +7.599988974138e-10,        +1.232746688949e-09,        +1.283921140649e-09,        -3.365795779979e-07,        -3.506912404521e-07
 2.43503500e+00,        -1.602073374939e-10,        -1.636812630640e-10,        +1.766649815953e-10,        +1.861892597682e-10,        -1.188404464780e-06,        -1.237161823976e-06,        -5.715268005975e-10,        -5.918632372111e-10,        +1.701589220156e-10,        +1.793727305016e-10,        -1.180786172262e-06,        -1.229238312730e-06,        -1.101730681347e-09,        -1.143915653848e-09,        +1.531571975667e-10,        +1.615316555959e-10,        -1.151474089595e-06,        -1.198738439821e-06,        +7.379182067276e-10,        +7.616408745046e-10,        +1.234399707245e-09,        +1.285554082630e-09,        -3.370182825476e-07,        -3.511240797172e-07
 2.43504000e+00,        -1.607144626746e-10,        -1.641930293025e-10,        +1.766981030821e-10,        +1.862143131876e-10,        -1.190047819868e-06,        -1.238786710839e-06,        -5.726017043285e-10,        -5.929363303489e-10,        +1.701849461173e-10,        +1.793908351659e-10,        -1.182418335717e-06,        -1.230852108840e-06,        -1.103526300041e-09,        -1.145700847920e-09,        +1.531723541441e-10,        +1.615394837155e-10,        -1.153064353652e-06,        -1.200310754975e-06,        +7.395592946376e-10,        +7.632871566667e-10,        +1.236057244916e-09,        +1.287191274358e-09,        -3.374581882065e-07,        -3.515580472909e-07
 2.43504500e+00,        -1.612230050374e-10,        -1.647061569303e-10,        +1.767312964200e-10,        +1.862394138109e-10,        -1.191695683690e-06,        -1.240415841606e-06,        -5.736795829384e-10,        -5.940122508977e-10,        +1.702110228099e-10,        +1.794089691028e-10,        -1.184054977186e-06,        -1.232470119877e-06,        -1.105326870453e-09,        -1.147490728842e-09,        +1.531875342636e-10,        +1.615473149698e-10,        -1.154658980737e-06,        -1.201887176695e-06,        +7.412049109126e-10,        +7.649377607513e-10,        +1.237719320537e-09,        +1.288832732462e-09,        -3.378992999117e-07,        -3.519931475874e-07
