        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43500000e+00,        -1.194377367537e+00,        +1.131128137138e+00,        -1.723704242987e+01,        +1.656950998674e+01,        -1.468342300026e-02,        +1.406668513216e-02,        -1.305386729399e+00,        +1.236005654032e+00,        -3.819583062716e+01,        +3.669327534024e+01,        -2.199754333347e-02,        +2.101718206136e-02,        -1.487942500490e+00,        +1.408802484724e+00,        -7.671199394859e+01,        +7.367483684636e+01,        -4.200026921197e-02,        +4.008286830494e-02,        +1.329890771890e+00,        -1.264349856861e+00,        -2.124727409527e+02,        +2.040382239546e+02,        -4.479439927985e-01,        +4.300988003754e-01
 2.43500500e+00,        -1.194403951405e+00,        +1.131209276688e+00,        -1.726145627607e+01,        +1.659410812457e+01,        -1.469902795122e-02,        +1.408259290101e-02,        -1.305401186590e+00,        +1.236080226466e+00,        -3.824762750217e+01,        +3.674553821649e+01,        -2.201554033122e-02,        +2.103575916565e-02,        -1.487971719512e+00,        +1.408900151869e+00,        -7.681410361988e+01,        +7.377793050366e+01,        -4.203050769765e-02,        +4.011430359697e-02,        +1.330183440567e+00,        -1.264691246294e+00,        -2.127531021533e+02,        +2.043213755526e+02,        -4.485283414767e-01,        +4.306891470695e-01
 2.43501000e+00,        -1.194430542877e+00,        +1.131290567501e+00,        -1.728593339892e+01,        +1.661877320820e+01,        -1.471467318612e-02,        +1.409854377612e-02,        -1.305415624688e+00,        +1.236154935706e+00,        -3.829955852852e+01,        +3.679794322190e+01,        -2.203358338291e-02,        +2.105438617652e-02,        -1.488000972675e+00,        +1.408998031430e+00,        -7.691647766595e+01,        +7.388130443112e+01,        -4.206082315730e-02,        +4.014582290977e-02,        +1.330476271574e+00,        -1.265032980946e+00,        -2.130341891459e+02,        +2.046052968153e+02,        -4.491141999421e-01,        +4.312810955644e-01
 2.43501500e+00,        -1.194457141975e+00,        +1.131372010184e+00,        -1.731047404408e+01,        +1.664350551060e+01,        -1.473035886138e-02,        +1.411453793328e-02,        -1.305430043607e+00,        +1.236229782301e+00,        -3.835162422705e+01,        +3.685049093595e+01,        -2.205167266730e-02,        +2.107306329742e-02,        -1.488030260101e+00,        +1.409096124262e+00,        -7.701911711319e+01,        +7.398495977144e+01,        -4.209121588961e-02,        +4.017742658577e-02,        +1.330769265481e+00,        -1.265375062162e+00,        -2.133160047481e+02,        +2.048899908807e+02,        -4.497015740562e-01,        +4.318746523911e-01
 2.43502000e+00,        -1.194483748719e+00,        +1.131453605348e+00,        -1.733507845852e+01,        +1.666830530620e+01,        -1.474608513421e-02,        +1.413057554921e-02,        -1.305444443265e+00,        +1.236304766799e+00,        -3.840382512129e+01,        +3.690318194131e+01,        -2.206980836407e-02,        +2.109179073292e-02,        -1.488059581912e+00,        +1.409194431223e+00,        -7.712202299335e+01,        +7.408889767356e+01,        -4.212168619485e-02,        +4.020911496924e-02,        +1.331062422862e+00,        -1.265717491293e+00,        -2.135985517925e+02,        +2.051754609042e+02,        -4.502904697111e-01,        +4.324698241161e-01
 2.43502500e+00,        -1.194510363131e+00,        +1.131535353608e+00,        -1.735974689045e+01,        +1.669317287095e+01,        -1.476185216267e-02,        +1.414665680160e-02,        -1.305458823577e+00,        +1.236379889757e+00,        -3.845616173750e+01,        +3.695601682379e+01,        -2.208799065387e-02,        +2.111056868866e-02,        -1.488088938231e+00,        +1.409292953178e+00,        -7.722519634350e+01,        +7.419311929268e+01,        -4.215223437481e-02,        +4.024088840634e-02,        +1.331355744293e+00,        -1.266060269697e+00,        -2.138818331263e+02,        +2.054617100579e+02,        -4.508808928293e-01,        +4.330666173413e-01
 2.43503000e+00,        -1.194536985233e+00,        +1.131617255581e+00,        -1.738447958939e+01,        +1.671810848229e+01,        -1.477766010562e-02,        +1.416278186911e-02,        -1.305473184456e+00,        +1.236455151729e+00,        -3.850863460467e+01,        +3.700899617243e+01,        -2.210621971822e-02,        +2.112939737142e-02,        -1.488118329180e+00,        +1.409391690996e+00,        -7.732863820614e+01,        +7.429762579032e+01,        -4.218286073286e-02,        +4.027274724512e-02,        +1.331649230353e+00,        -1.266403398741e+00,        -2.141658516113e+02,        +2.057487415317e+02,        -4.514728493644e-01,        +4.336650387053e-01
 2.43503500e+00,        -1.194563615045e+00,        +1.131699311889e+00,        -1.740927680615e+01,        +1.674311241919e+01,        -1.479350912274e-02,        +1.417895093138e-02,        -1.305487525818e+00,        +1.236530553276e+00,        -3.856124425451e+01,        +3.706212057944e+01,        -2.212449573967e-02,        +2.114827698914e-02,        -1.488147754883e+00,        +1.409490645549e+00,        -7.743234962913e+01,        +7.440241833428e+01,        -4.221356557397e-02,        +4.030469183553e-02,        +1.331942881625e+00,        -1.266746879797e+00,        -2.144506101243e+02,        +2.060365585325e+02,        -4.520663453003e-01,        +4.342650948821e-01
 2.43504000e+00,        -1.194590252590e+00,        +1.131781523156e+00,        -1.743413879286e+01,        +1.676818496212e+01,        -1.480939937457e-02,        +1.419516416902e-02,        -1.305501847575e+00,        +1.236606094960e+00,        -3.861399122154e+01,        +3.711539064029e+01,        -2.214281890164e-02,        +2.116720775084e-02,        -1.488177215464e+00,        +1.409589817715e+00,        -7.753633166580e+01,        +7.450749809882e+01,        -4.224434920465e-02,        +4.033672252941e-02,        +1.332236698692e+00,        -1.267090714246e+00,        -2.147361115570e+02,        +2.063251642849e+02,        -4.526613866527e-01,        +4.348667925829e-01
 2.43504500e+00,        -1.194616897888e+00,        +1.131863890011e+00,        -1.745906580294e+01,        +1.679332639312e+01,        -1.482533102246e-02,        +1.421142176364e-02,        -1.305516149642e+00,        +1.236681777346e+00,        -3.866687604302e+01,        +3.716880695373e+01,        -2.216118938856e-02,        +2.118618986673e-02,        -1.488206711047e+00,        +1.409689208377e+00,        -7.764058537500e+01,        +7.461286626456e+01,        -4.227521193303e-02,        +4.036883968055e-02,        +1.332530682144e+00,        -1.267434903477e+00,        -2.150223588163e+02,        +2.066145620313e+02,        -4.532579794682e-01,        +4.354701385552e-01
