        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +9.728230651184e-10,        +9.703903026090e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.186753497278e-14,        +1.219906825640e-05,        +2.850282495708e-12,        +2.937253688588e-03,        +2.176967885493e-10,        +2.237783995416e-01,        +2.055932651373e-10,        +2.118665701672e-01,        +1.856512500664e-10,        +1.908376319632e-01,        +1.733885413564e-10,        +1.786791777394e-01,        +1.854799878115e-10,        +1.906615852996e-01,        +1.733548012765e-10,        +1.786444081421e-01,        +1.856570198887e-10,        +1.908435629722e-01,        +1.735358073315e-10,        +1.788309372682e-01,        +1.856613777157e-10,        +1.908480425401e-01,        +1.734023525203e-10,        +1.786934103259e-01
 2.43500500e+00,        +9.747601003610e-10,        +9.723233124737e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.189194601094e-14,        +1.219986949254e-05,        +2.856162063532e-12,        +2.937461260973e-03,        +2.180824586112e-10,        +2.237293653386e-01,        +2.059525798859e-10,        +2.118149151047e-01,        +1.860323823718e-10,        +1.908494021277e-01,        +1.737450992620e-10,        +1.786906649600e-01,        +1.858613295040e-10,        +1.906739201113e-01,        +1.737116336493e-10,        +1.786562467657e-01,        +1.860385453960e-10,        +1.908557247338e-01,        +1.738928335494e-10,        +1.788426044285e-01,        +1.860425496919e-10,        +1.908598327147e-01,        +1.737589565208e-10,        +1.787049166585e-01
 2.43501000e+00,        +9.767031292275e-10,        +9.742623079137e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191643270513e-14,        +1.220067014074e-05,        +2.862059833361e-12,        +2.937668644382e-03,        +2.184693148450e-10,        +2.236803674601e-01,        +2.063130005877e-10,        +2.117632991771e-01,        +1.864146959754e-10,        +1.908611638450e-01,        +1.741027632385e-10,        +1.787021439958e-01,        +1.862438527913e-10,        +1.906862456134e-01,        +1.740695724515e-10,        +1.786680763872e-01,        +1.864212528688e-10,        +1.908678771371e-01,        +1.742509665970e-10,        +1.788542625345e-01,        +1.864249031166e-10,        +1.908716144526e-01,        +1.741166667612e-10,        +1.787164148165e-01
 2.43501500e+00,        +9.786521764681e-10,        +9.762073136541e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.194099536803e-14,        +1.220147020070e-05,        +2.867975880372e-12,        +2.937875838726e-03,        +2.188573621343e-10,        +2.236314059242e-01,        +2.066745317965e-10,        +2.117117224034e-01,        +1.867981957594e-10,        +1.908729171109e-01,        +1.744615378591e-10,        +1.787136148428e-01,        +1.866275625560e-10,        +1.906985618011e-01,        +1.744286222567e-10,        +1.786798970024e-01,        +1.868051471911e-10,        +1.908800201776e-01,        +1.746102110494e-10,        +1.788659115817e-01,        +1.868084428726e-10,        +1.908833877495e-01,        +1.744754878156e-10,        +1.787279047956e-01
 2.43502000e+00,        +9.806072669613e-10,        +9.781583545484e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.196563431394e-14,        +1.220226967216e-05,        +2.873910280134e-12,        +2.938082843918e-03,        +2.192466053881e-10,        +2.235824807494e-01,        +2.070371780900e-10,        +2.116601848027e-01,        +1.871828866311e-10,        +1.908846619209e-01,        +1.748214277207e-10,        +1.787250774967e-01,        +1.870124637063e-10,        +1.907108686699e-01,        +1.747887876624e-10,        +1.786917086069e-01,        +1.871902332718e-10,        +1.908921538506e-01,        +1.749705715053e-10,        +1.788775515658e-01,        +1.871931738681e-10,        +1.908951526009e-01,        +1.748354242816e-10,        +1.787393865918e-01
 2.43502500e+00,        +9.825684257142e-10,        +9.801154555783e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.199034985878e-14,        +1.220306855481e-05,        +2.879863108603e-12,        +2.938289659869e-03,        +2.196370495403e-10,        +2.235335919538e-01,        +2.074009440695e-10,        +2.116086863941e-01,        +1.875687735233e-10,        +1.908963982707e-01,        +1.751824374441e-10,        +1.787365319535e-01,        +1.873985611753e-10,        +1.907231662152e-01,        +1.751500732898e-10,        +1.787035111965e-01,        +1.875765160455e-10,        +1.909042781516e-01,        +1.753320525870e-10,        +1.788891824827e-01,        +1.875791010365e-10,        +1.909069090024e-01,        +1.751964807807e-10,        +1.787508602008e-01
 2.43503000e+00,        +9.845356778635e-10,        +9.820786418554e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.201514232012e-14,        +1.220386684837e-05,        +2.885834442134e-12,        +2.938496286491e-03,        +2.200286995509e-10,        +2.234847395559e-01,        +2.077658343599e-10,        +2.115572271966e-01,        +1.879558613945e-10,        +1.909081261559e-01,        +1.755445716739e-10,        +1.787479782090e-01,        +1.877858599222e-10,        +1.907354544324e-01,        +1.755124837842e-10,        +1.787153047668e-01,        +1.879640004724e-10,        +1.909163930760e-01,        +1.756946589412e-10,        +1.789008043280e-01,        +1.879662293369e-10,        +1.909186569498e-01,        +1.755586619584e-10,        +1.787623256186e-01
 2.43503500e+00,        +9.865090486755e-10,        +9.840479386204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.204001201716e-14,        +1.220466455257e-05,        +2.891824357472e-12,        +2.938702723697e-03,        +2.204215604049e-10,        +2.234359235740e-01,        +2.081318536102e-10,        +2.115058072293e-01,        +1.883441552286e-10,        +1.909198455721e-01,        +1.759078350788e-10,        +1.787594162591e-01,        +1.881743649314e-10,        +1.907477333168e-01,        +1.758760238147e-10,        +1.787270893136e-01,        +1.883526915379e-10,        +1.909284986192e-01,        +1.760583952383e-10,        +1.789124170974e-01,        +1.883545637540e-10,        +1.909303964387e-01,        +1.759219724840e-10,        +1.787737828409e-01
 2.43504000e+00,        +9.884885635483e-10,        +9.860233712459e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.206495927076e-14,        +1.220546166711e-05,        +2.897832931763e-12,        +2.938908971398e-03,        +2.208156371136e-10,        +2.233871440262e-01,        +2.084990064933e-10,        +2.114544265111e-01,        +1.887336600356e-10,        +1.909315565151e-01,        +1.762722323517e-10,        +1.787708460996e-01,        +1.885640812134e-10,        +1.907600028639e-01,        +1.762406980748e-10,        +1.787388648325e-01,        +1.887425942538e-10,        +1.909405947767e-01,        +1.764232661730e-10,        +1.789240207867e-01,        +1.887441092984e-10,        +1.909421274646e-01,        +1.762864170513e-10,        +1.787852318638e-01
 2.43504500e+00,        +9.904742480114e-10,        +9.880049652359e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.208998440347e-14,        +1.220625819171e-05,        +2.903860242553e-12,        +2.939115029507e-03,        +2.212109347142e-10,        +2.233384009310e-01,        +2.088672977065e-10,        +2.114030850610e-01,        +1.891243808514e-10,        +1.909432589803e-01,        +1.766377682099e-10,        +1.787822677265e-01,        +1.889550138048e-10,        +1.907722630691e-01,        +1.766065112825e-10,        +1.787506313193e-01,        +1.891337136578e-10,        +1.909526815438e-01,        +1.767892764645e-10,        +1.789356153916e-01,        +1.891348710067e-10,        +1.909538500233e-01,        +1.766520003784e-10,        +1.787966726829e-01
