        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43500000e+00,        +1.414213562373e-01,        +2.826837568050e-01,        -5.201527417212e-03
 2.43500500e+00,        +1.414213562373e-01,        +2.826833487147e-01,        -5.210159885272e-03
 2.43501000e+00,        +1.414213562373e-01,        +2.826829391761e-01,        -5.218809524882e-03
 2.43501500e+00,        +1.414213562373e-01,        +2.826825281830e-01,        -5.227476389085e-03
 2.43502000e+00,        +1.414213562373e-01,        +2.826821157291e-01,        -5.236160531149e-03
 2.43502500e+00,        +1.414213562373e-01,        +2.826817018079e-01,        -5.244862004554e-03
 2.43503000e+00,        +1.414213562373e-01,        +2.826812864130e-01,        -5.253580863008e-03
 2.43503500e+00,        +1.414213562373e-01,        +2.826808695380e-01,        -5.262317160434e-03
 2.43504000e+00,        +1.414213562373e-01,        +2.826804511764e-01,        -5.271070950985e-03
 2.43504500e+00,        +1.414213562373e-01,        +2.826800313216e-01,        -5.279842289032e-03
 2.43505000e+00,        +1.414213562373e-01,        +2.826796099671e-01,        -5.288631229176e-03
 2.43505500e+00,        +1.414213562373e-01,        +2.826791871063e-01,        -5.297437826241e-03
 2.43506000e+00,        +1.414213562373e-01,        +2.826787627326e-01,        -5.306262135280e-03
 2.43506500e+00,        +1.414213562373e-01,        +2.826783368392e-01,        -5.315104211577e-03
 2.43507000e+00,        +1.414213562373e-01,        +2.826779094195e-01,        -5.323964110642e-03
 2.43507500e+00,        +1.414213562373e-01,        +2.826774804668e-01,        -5.332841888218e-03
 2.43508000e+00,        +1.414213562373e-01,        +2.826770499743e-01,        -5.341737600284e-03
 2.43508500e+00,        +1.414213562373e-01,        +2.826766179351e-01,        -5.350651303044e-03
 2.43509000e+00,        +1.414213562373e-01,        +2.826761843424e-01,        -5.359583052948e-03
 2.43509500e+00,        +1.414213562373e-01,        +2.826757491894e-01,        -5.368532906671e-03
 2.43510000e+00,        +1.414213562373e-01,        +2.826753124690e-01,        -5.377500921135e-03
 2.43510500e+00,        +1.414213562373e-01,        +2.826748741744e-01,        -5.386487153493e-03
 2.43511000e+00,        +1.414213562373e-01,        +2.826744342985e-01,        -5.395491661142e-03
 2.43511500e+00,        +1.414213562373e-01,        +2.826739928343e-01,        -5.404514501721e-03
 2.43512000e+00,        +1.414213562373e-01,        +2.826735497748e-01,        -5.413555733107e-03
 2.43512500e+00,        +1.414213562373e-01,        +2.826731051127e-01,        -5.422615413424e-03
 2.43513000e+00,        +1.414213562373e-01,        +2.826726588411e-01,        -5.431693601040e-03
 2.43513500e+00,        +1.414213562373e-01,        +2.826722109525e-01,        -5.440790354569e-03
 2.43514000e+00,        +1.414213562373e-01,        +2.826717614400e-01,        -5.449905732871e-03
