        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43500000e+00,        -3.883959388797e-03,        -2.108777598143e+00
 2.43500500e+00,        -3.889483545445e-03,        -2.112280259845e+00
 2.43501000e+00,        -3.895025215137e-03,        -2.115789902957e+00
 2.43501500e+00,        -3.900584471067e-03,        -2.119306549107e+00
 2.43502000e+00,        -3.906161386806e-03,        -2.122830220015e+00
 2.43502500e+00,        -3.911756036261e-03,        -2.126360937486e+00
 2.43503000e+00,        -3.917368493802e-03,        -2.129898723419e+00
 2.43503500e+00,        -3.922998834122e-03,        -2.133443599804e+00
 2.43504000e+00,        -3.928647132341e-03,        -2.136995588720e+00
 2.43504500e+00,        -3.934313463982e-03,        -2.140554712339e+00
 2.43505000e+00,        -3.939997904883e-03,        -2.144120992925e+00
 2.43505500e+00,        -3.945700531381e-03,        -2.147694452836e+00
 2.43506000e+00,        -3.951421420157e-03,        -2.151275114520e+00
 2.43506500e+00,        -3.957160648325e-03,        -2.154863000523e+00
 2.43507000e+00,        -3.962918293380e-03,        -2.158458133482e+00
 2.43507500e+00,        -3.968694433195e-03,        -2.162060536128e+00
 2.43508000e+00,        -3.974489146136e-03,        -2.165670231292e+00
 2.43508500e+00,        -3.980302510930e-03,        -2.169287241894e+00
 2.43509000e+00,        -3.986134606733e-03,        -2.172911590955e+00
 2.43509500e+00,        -3.991985513068e-03,        -2.176543301591e+00
 2.43510000e+00,        -3.997855309975e-03,        -2.180182397016e+00
 2.43510500e+00,        -4.003744077852e-03,        -2.183828900541e+00
 2.43511000e+00,        -4.009651897513e-03,        -2.187482835574e+00
 2.43511500e+00,        -4.015578850264e-03,        -2.191144225624e+00
 2.43512000e+00,        -4.021525017775e-03,        -2.194813094297e+00
 2.43512500e+00,        -4.027490482205e-03,        -2.198489465301e+00
 2.43513000e+00,        -4.033475326089e-03,        -2.202173362444e+00
 2.43513500e+00,        -4.039479632484e-03,        -2.205864809632e+00
 2.43514000e+00,        -4.045503484807e-03,        -2.209563830875e+00
 2.43514500e+00,        -4.051546966978e-03,        -2.213270450285e+00
 2.43515000e+00,        -4.057610163335e-03,        -2.216984692075e+00
 2.43515500e+00,        -4.063693158691e-03,        -2.220706580561e+00
 2.43516000e+00,        -4.069796038290e-03,        -2.224436140166e+00
 2.43516500e+00,        -4.075918887856e-03,        -2.228173395411e+00
 2.43517000e+00,        -4.082061793516e-03,        -2.231918370925e+00
