        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.43500000e+00,        +7.071067811865e+00,        +1.413418784025e+01,        -2.600763708606e-01
 2.43500500e+00,        +7.071067811865e+00,        +1.413416743573e+01,        -2.605079942636e-01
 2.43501000e+00,        +7.071067811865e+00,        +1.413414695880e+01,        -2.609404762441e-01
 2.43501500e+00,        +7.071067811865e+00,        +1.413412640915e+01,        -2.613738194543e-01
 2.43502000e+00,        +7.071067811865e+00,        +1.413410578645e+01,        -2.618080265574e-01
 2.43502500e+00,        +7.071067811865e+00,        +1.413408509039e+01,        -2.622431002277e-01
 2.43503000e+00,        +7.071067811865e+00,        +1.413406432065e+01,        -2.626790431504e-01
 2.43503500e+00,        +7.071067811865e+00,        +1.413404347690e+01,        -2.631158580217e-01
 2.43504000e+00,        +7.071067811865e+00,        +1.413402255882e+01,        -2.635535475492e-01
 2.43504500e+00,        +7.071067811865e+00,        +1.413400156608e+01,        -2.639921144516e-01
 2.43505000e+00,        +7.071067811865e+00,        +1.413398049836e+01,        -2.644315614588e-01
 2.43505500e+00,        +7.071067811865e+00,        +1.413395935532e+01,        -2.648718913121e-01
 2.43506000e+00,        +7.071067811865e+00,        +1.413393813663e+01,        -2.653131067640e-01
 2.43506500e+00,        +7.071067811865e+00,        +1.413391684196e+01,        -2.657552105789e-01
 2.43507000e+00,        +7.071067811865e+00,        +1.413389547098e+01,        -2.661982055321e-01
 2.43507500e+00,        +7.071067811865e+00,        +1.413387402334e+01,        -2.666420944109e-01
 2.43508000e+00,        +7.071067811865e+00,        +1.413385249871e+01,        -2.670868800142e-01
 2.43508500e+00,        +7.071067811865e+00,        +1.413383089675e+01,        -2.675325651522e-01
 2.43509000e+00,        +7.071067811865e+00,        +1.413380921712e+01,        -2.679791526474e-01
 2.43509500e+00,        +7.071067811865e+00,        +1.413378745947e+01,        -2.684266453336e-01
 2.43510000e+00,        +7.071067811865e+00,        +1.413376562345e+01,        -2.688750460567e-01
 2.43510500e+00,        +7.071067811865e+00,        +1.413374370872e+01,        -2.693243576746e-01
 2.43511000e+00,        +7.071067811865e+00,        +1.413372171493e+01,        -2.697745830571e-01
 2.43511500e+00,        +7.071067811865e+00,        +1.413369964172e+01,        -2.702257250860e-01
 2.43512000e+00,        +7.071067811865e+00,        +1.413367748874e+01,        -2.706777866554e-01
 2.43512500e+00,        +7.071067811865e+00,        +1.413365525564e+01,        -2.711307706712e-01
 2.43513000e+00,        +7.071067811865e+00,        +1.413363294205e+01,        -2.715846800520e-01
 2.43513500e+00,        +7.071067811865e+00,        +1.413361054763e+01,        -2.720395177284e-01
 2.43514000e+00,        +7.071067811865e+00,        +1.413358807200e+01,        -2.724952866436e-01
 2.43514500e+00,        +7.071067811865e+00,        +1.413356551480e+01,        -2.729519897529e-01
 2.43515000e+00,        +7.071067811865e+00,        +1.413354287567e+01,        -2.734096300246e-01
 2.43515500e+00,        +7.071067811865e+00,        +1.413352015425e+01,        -2.738682104392e-01
 2.43516000e+00,        +7.071067811865e+00,        +1.413349735015e+01,        -2.743277339899e-01
