        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        +1.483249065661e-11,        +4.965740774128e-10,        -5.027378642243e-12,        -2.966862087142e-10,        +7.667982383374e-08,        +3.224223086219e-06,        +4.058960597875e-11,        +1.577883352696e-09,        -6.411927379388e-12,        -3.553592434379e-10,        +7.619109583226e-08,        +3.204137163727e-06,        +7.865232745399e-11,        +3.182345834213e-09,        -4.215499976313e-12,        -2.612601562679e-10,        +7.429290409591e-08,        +3.125251601106e-06,        -1.460945420984e-10,        -5.619903279325e-09,        -6.347492698511e-11,        -2.617728955078e-09,        +2.167951667616e-08,        +9.289477260211e-07
 2.43500500e+00,        +1.488080040082e-11,        +4.976765598939e-10,        -5.032688353278e-12,        -2.965699300852e-10,        +7.687661391251e-08,        +3.227541752547e-06,        +4.070403437103e-11,        +1.580101527239e-09,        -6.420769420177e-12,        -3.553018992579e-10,        +7.638660092165e-08,        +3.207433129844e-06,        +7.886392743470e-11,        +3.186188372296e-09,        -4.218870854031e-12,        -2.611150159684e-10,        +7.448347274235e-08,        +3.128462173130e-06,        -1.465084968246e-10,        -5.628116074074e-09,        -6.364104262782e-11,        -2.620647859033e-09,        +2.173385863928e-08,        +9.298233249603e-07
 2.43501000e+00,        +1.492929116444e-11,        +4.987813910805e-10,        -5.037998695079e-12,        -2.964533578325e-10,        +7.707404607921e-08,        +3.230867252922e-06,        +4.081885957436e-11,        +1.582324348443e-09,        -6.429623562148e-12,        -3.552443824991e-10,        +7.658274382931e-08,        +3.210735883292e-06,        +7.907624017159e-11,        +3.190038900258e-09,        -4.222236336743e-12,        -2.609695232490e-10,        +7.467466293993e-08,        +3.131679356687e-06,        -1.469238958792e-10,        -5.636345826239e-09,        -6.380770825798e-11,        -2.623572742276e-09,        +2.178837481550e-08,        +9.307007259716e-07
 2.43501500e+00,        +1.497796375931e-11,        +4.998885781888e-10,        -5.043309638108e-12,        -2.963364910485e-10,        +7.727212305375e-08,        +3.234199608450e-06,        +4.093408331523e-11,        +1.584551830639e-09,        -6.438489824454e-12,        -3.551866926320e-10,        +7.677952725691e-08,        +3.214045445031e-06,        +7.928926872659e-11,        +3.193897442767e-09,        -4.225596369761e-12,        -2.608236770146e-10,        +7.486647732114e-08,        +3.134903172196e-06,        -1.473407455503e-10,        -5.644592588184e-09,        -6.397492621855e-11,        -2.626503623267e-09,        +2.184306593718e-08,        +9.315799346198e-07
 2.43502000e+00,        +1.502681900197e-11,        +5.009981285193e-10,        -5.048621152537e-12,        -2.962193288261e-10,        +7.747084757044e-08,        +3.237538840326e-06,        +4.104970732886e-11,        +1.586783988264e-09,        -6.447368225748e-12,        -3.551288291283e-10,        +7.697695392043e-08,        +3.217361836110e-06,        +7.950301617921e-11,        +3.197764024606e-09,        -4.228950898574e-12,        -2.606774761861e-10,        +7.505891853241e-08,        +3.138133640160e-06,        -1.477590521591e-10,        -5.652856412539e-09,        -6.414269886495e-11,        -2.629440520546e-09,        +2.189793274059e-08,        +9.324609564928e-07
 2.43502500e+00,        +1.507585771332e-11,        +5.021100493861e-10,        -5.053933208383e-12,        -2.961018702562e-10,        +7.767022237776e-08,        +3.240884969830e-06,        +4.116573336018e-11,        +1.589020835750e-09,        -6.456258785343e-12,        -3.550707914489e-10,        +7.717502654996e-08,        +3.220685077665e-06,        +7.971748562290e-11,        +3.201638670657e-09,        -4.232299866774e-12,        -2.605309196552e-10,        +7.525198923389e-08,        +3.141370781167e-06,        -1.481788220610e-10,        -5.661137352103e-09,        -6.431102856487e-11,        -2.632383452726e-09,        +2.195297596578e-08,        +9.333437972015e-07
 2.43503000e+00,        +1.512508071888e-11,        +5.032243481220e-10,        -5.059245775324e-12,        -2.959841144207e-10,        +7.787025023889e-08,        +3.244238018331e-06,        +4.128216316343e-11,        +1.591262387642e-09,        -6.465161521761e-12,        -3.550125790654e-10,        +7.737374789015e-08,        +3.224015190920e-06,        +7.993268017098e-11,        +3.205521405903e-09,        -4.235643219706e-12,        -2.603840063443e-10,        +7.544569209995e-08,        +3.144614615890e-06,        -1.486000616451e-10,        -5.669435459934e-09,        -6.447991769864e-11,        -2.635332438499e-09,        +2.200819635675e-08,        +9.342284623803e-07
 2.43503500e+00,        +1.517448884822e-11,        +5.043410320864e-10,        -5.064558822900e-12,        -2.958660603990e-10,        +7.807093393122e-08,        +3.247598007286e-06,        +4.139899850167e-11,        +1.593508658541e-09,        -6.474076454317e-12,        -3.549541914251e-10,        +7.757312069979e-08,        +3.227352197182e-06,        +8.014860295099e-11,        +3.209412255426e-09,        -4.238980901417e-12,        -2.602367351330e-10,        +7.564002981870e-08,        +3.147865165087e-06,        -1.490227773342e-10,        -5.677750789284e-09,        -6.464936865890e-11,        -2.638287496635e-09,        +2.206359466129e-08,        +9.351149576863e-07
 2.43504000e+00,        +1.522408293566e-11,        +5.054601086997e-10,        -5.069872320106e-12,        -2.957477072687e-10,        +7.827227624707e-08,        +3.250964958240e-06,        +4.151624114795e-11,        +1.595759663051e-09,        -6.483003601842e-12,        -3.548956279954e-10,        +7.777314775247e-08,        +3.230696117851e-06,        +8.036525710639e-11,        +3.213311244372e-09,        -4.242312854661e-12,        -2.600891049036e-10,        +7.583500509272e-08,        +3.151122449602e-06,        -1.494469755864e-10,        -5.686083393630e-09,        -6.481938385124e-11,        -2.641248645979e-09,        +2.211917163121e-08,        +9.360032888002e-07
 2.43504500e+00,        +1.527386382014e-11,        +5.065815853857e-10,        -5.075186236046e-12,        -2.956290541039e-10,        +7.847427999331e-08,        +3.254338892828e-06,        +4.163389288451e-11,        +1.598015415915e-09,        -6.491942983204e-12,        -3.548368882300e-10,        +7.797383183628e-08,        +3.234046974414e-06,        +8.058264579992e-11,        +3.217218398073e-09,        -4.245639023420e-12,        -2.599411145575e-10,        +7.603062063868e-08,        +3.154386490366e-06,        -1.498726628936e-10,        -5.694433326672e-09,        -6.498996569379e-11,        -2.644215905456e-09,        +2.217492802221e-08,        +9.368934614265e-07
