        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43500000e+00,        +2.558427494945e+00,        -4.280144984184e-02,        +4.552947660596e+01,        -1.103852561384e+00,        -7.646724523172e-03,        +4.719962317544e-05,        +3.003032666638e+00,        -5.072542365587e-02,        +1.012993972481e+02,        -2.431211204214e+00,        -8.129929576049e-03,        +1.434107636939e-04,        +3.315078084556e+00,        -5.438854992381e-02,        +2.025214551293e+02,        -4.840433186688e+00,        +3.853976558587e-02,        -8.010362823169e-04,        -4.749462281871e+00,        +7.696711824928e-02,        +5.564215420294e+02,        -1.329900969141e+01,        -7.833445619113e-01,        +1.943819477816e-02
 2.43500500e+00,        +2.557605125074e+00,        -4.285426772702e-02,        +4.558053324171e+01,        -1.106756751608e+00,        -7.629607491356e-03,        +4.690896286869e-05,        +3.002196337987e+00,        -5.079160742325e-02,        +1.014081558456e+02,        -2.437527445785e+00,        -8.129967319903e-03,        +1.436486896311e-04,        +3.313910465993e+00,        -5.445492058946e-02,        +2.027349515807e+02,        -4.852942615524e+00,        +3.855545668024e-02,        -8.026802233870e-04,        -4.746790726481e+00,        +7.702269739154e-02,        +5.570073493745e+02,        -1.333335735911e+01,        -7.843224484723e-01,        +1.949108786198e-02
 2.43501000e+00,        +2.556780872263e+00,        -4.290712535405e-02,        +4.563169531767e+01,        -1.109670580120e+00,        -7.612452902574e-03,        +4.661637677098e-05,        +3.001358120405e+00,        -5.085785710574e-02,        +1.015171387051e+02,        -2.443864470519e+00,        -8.130004062313e-03,        +1.438870612220e-04,        +3.312740337566e+00,        -5.452133412907e-02,        +2.029488879754e+02,        -4.865493056797e+00,        +3.857117899537e-02,        -8.043286073516e-04,        -4.744111802921e+00,        +7.707813919791e-02,        +5.575943634813e+02,        -1.336781760001e+01,        -7.853023569804e-01,        +1.954416019223e-02
 2.43501500e+00,        +2.555954730714e+00,        -4.296002264454e-02,        +4.568296315943e+01,        -1.112594088055e+00,        -7.595260640180e-03,        +4.632185487593e-05,        +3.000518008071e+00,        -5.092417270547e-02,        +1.016263465190e+02,        -2.450222366780e+00,        -8.130039799457e-03,        +1.441258797175e-04,        +3.311567691533e+00,        -5.458779040713e-02,        +2.031632656720e+02,        -4.878084684605e+00,        +3.858693262835e-02,        -8.059814513314e-04,        -4.741425488265e+00,        +7.713344244781e-02,        +5.581825880768e+02,        -1.340239089190e+01,        -7.862842936815e-01,        +1.959741254043e-02
 2.43502000e+00,        +2.555126694602e+00,        -4.301295951905e-02,        +4.573433709397e+01,        -1.115527316765e+00,        -7.578030587046e-03,        +4.602538711648e-05,        +2.999675995138e+00,        -5.099055422381e-02,        +1.017357799827e+02,        -2.456601223402e+00,        -8.130074527581e-03,        +1.443651463710e-04,        +3.310392520118e+00,        -5.465428928658e-02,        +2.033780860348e+02,        -4.890717673966e+00,        +3.860271767672e-02,        -8.076387725358e-04,        -4.738731759490e+00,        +7.718860591178e-02,        +5.587720269034e+02,        -1.343707771508e+01,        -7.872682648477e-01,        +1.965084568223e-02
 2.43502500e+00,        +2.554296758081e+00,        -4.306593589681e-02,        +4.578581744958e+01,        -1.118470307818e+00,        -7.560762625559e-03,        +4.572696336911e-05,        +2.998832075738e+00,        -5.105700166115e-02,        +1.018454397947e+02,        -2.463001129681e+00,        -8.130108242855e-03,        +1.446048624424e-04,        +3.309214815514e+00,        -5.472083062854e-02,        +2.035933504337e+02,        -4.903392200810e+00,        +3.861853423839e-02,        -8.093005882550e-04,        -4.736030593481e+00,        +7.724362835214e-02,        +5.593626837190e+02,        -1.347187855238e+01,        -7.882542767768e-01,        +1.970446039735e-02
 2.43503000e+00,        +2.553464915278e+00,        -4.311895169583e-02,        +4.583740455593e+01,        -1.121423103005e+00,        -7.543456637621e-03,        +4.542657344731e-05,        +2.997986243976e+00,        -5.112351501703e-02,        +1.019553266561e+02,        -2.469422175392e+00,        -8.130140941450e-03,        +1.448450291927e-04,        +3.308034569880e+00,        -5.478741429236e-02,        +2.038090602445e+02,        -4.916108442006e+00,        +3.863438241167e-02,        -8.109669158691e-04,        -4.733321967026e+00,        +7.729850852206e-02,        +5.599545622971e+02,        -1.350679388918e+01,        -7.892423357926e-01,        +1.975825746969e-02
 2.43503500e+00,        +2.552631160297e+00,        -4.317200683376e-02,        +4.588909874403e+01,        -1.124385744331e+00,        -7.526112504649e-03,        +4.512420711419e-05,        +2.997138493933e+00,        -5.119009429089e-02,        +1.020654412709e+02,        -2.475864450769e+00,        -8.130172619558e-03,        +1.450856478936e-04,        +3.306851775344e+00,        -5.485404013649e-02,        +2.040252168482e+02,        -4.928866575335e+00,        +3.865026229529e-02,        -8.126377728434e-04,        -4.730605856818e+00,        +7.735324516714e-02,        +5.605476664264e+02,        -1.354182421338e+01,        -7.902324482449e-01,        +1.981223768724e-02
 2.43504000e+00,        +2.551795487217e+00,        -4.322510122535e-02,        +4.594090034628e+01,        -1.127358274032e+00,        -7.508730107561e-03,        +4.481985406455e-05,        +2.996288819667e+00,        -5.125673947967e-02,        +1.021757843462e+02,        -2.482328046538e+00,        -8.130203273288e-03,        +1.453267198187e-04,        +3.305666424001e+00,        -5.492070801602e-02,        +2.042418216319e+02,        -4.941666779535e+00,        +3.866617398838e-02,        -8.143131767220e-04,        -4.727882239452e+00,        +7.740783702430e-02,        +5.611419999117e+02,        -1.357697001550e+01,        -7.912246205099e-01,        +1.986640184225e-02
 2.43504500e+00,        +2.550957890092e+00,        -4.327823478596e-02,        +4.599280969644e+01,        -1.130340734562e+00,        -7.491309326787e-03,        +4.451350393800e-05,        +2.995437215210e+00,        -5.132345058122e-02,        +1.022863565920e+02,        -2.488813053894e+00,        -8.130232898789e-03,        +1.455682462438e-04,        +3.304478507914e+00,        -5.498741778598e-02,        +2.044588759883e+02,        -4.954509234276e+00,        +3.868211759047e-02,        -8.159931451498e-04,        -4.725151091425e+00,        +7.746228282184e-02,        +5.617375665734e+02,        -1.361223178861e+01,        -7.922188589903e-01,        +1.992075073115e-02
 2.43505000e+00,        +2.550118362952e+00,        -4.333140742883e-02,        +4.604482712966e+01,        -1.133333168598e+00,        -7.473850042263e-03,        +4.420514631242e-05,        +2.994583674570e+00,        -5.139022759165e-02,        +1.023971587209e+02,        -2.495319564515e+00,        -8.130261492168e-03,        +1.458102284532e-04,        +3.303288019110e+00,        -5.505416929892e-02,        +2.046763813159e+02,        -4.967394120174e+00,        +3.869809320153e-02,        -8.176776958505e-04,        -4.722412389141e+00,        +7.751658127809e-02,        +5.623343702476e+02,        -1.364761002840e+01,        -7.932151701151e-01,        +1.997528515460e-02
 2.43505500e+00,        +2.549276899803e+00,        -4.338461906572e-02,        +4.609695298248e+01,        -1.136335619049e+00,        -7.456352133421e-03,        +4.389477070127e-05,        +2.993728191728e+00,        -5.145707050588e-02,        +1.025081914490e+02,        -2.501847670569e+00,        -8.130289049505e-03,        +1.460526677318e-04,        +3.302094949586e+00,        -5.512096240521e-02,        +2.048943390191e+02,        -4.980321618813e+00,        +3.871410092191e-02,        -8.193668466391e-04,        -4.719666108900e+00,        +7.757073110478e-02,        +5.629324147864e+02,        -1.368310523317e+01,        -7.942135603399e-01,        +2.003000591756e-02
 2.43506000e+00,        +2.548433494624e+00,        -4.343786960772e-02,        +4.614918759282e+01,        -1.139348129049e+00,        -7.438815479191e-03,        +4.358236656394e-05,        +2.992870760643e+00,        -5.152397931854e-02,        +1.026194554950e+02,        -2.508397464707e+00,        -8.130315566923e-03,        +1.462955653746e-04,        +3.300899291305e+00,        -5.518779695408e-02,        +2.051127505078e+02,        -4.993291912724e+00,        +3.873014085240e-02,        -8.210606154164e-04,        -4.716912226906e+00,        +7.762473100338e-02,        +5.635317040579e+02,        -1.371871790388e+01,        -7.952140361474e-01,        +2.008491382923e-02
 2.43506500e+00,        +2.547588141370e+00,        -4.349115896485e-02,        +4.620153130005e+01,        -1.142370741959e+00,        -7.421239958004e-03,        +4.326792329452e-05,        +2.992011375245e+00,        -5.159095402353e-02,        +1.027309515806e+02,        -2.514969040075e+00,        -8.130341040431e-03,        +1.465389226784e-04,        +3.299701036194e+00,        -5.525467279314e-02,        +2.053316171981e+02,        -5.006305185415e+00,        +3.874621309420e-02,        -8.227590201784e-04,        -4.714150719265e+00,        +7.767857966626e-02,        +5.641322419464e+02,        -1.375444854412e+01,        -7.962166040472e-01,        +2.014000970319e-02
 2.43507000e+00,        +2.546740833971e+00,        -4.354448704495e-02,        +4.625398444490e+01,        -1.145403501376e+00,        -7.403625447785e-03,        +4.295143022024e-05,        +2.991150029442e+00,        -5.165799461291e-02,        +1.028426804307e+02,        -2.521562490311e+00,        -8.130365466108e-03,        +1.467827409414e-04,        +3.298500176150e+00,        -5.532158976721e-02,        +2.055509405118e+02,        -5.019361621363e+00,        +3.876231774893e-02,        -8.244620790074e-04,        -4.711381561982e+00,        +7.773227577795e-02,        +5.647340323519e+02,        -1.379029766016e+01,        -7.972212705756e-01,        +2.019529435734e-02
 2.43507500e+00,        +2.545891566330e+00,        -4.359785375571e-02,        +4.630654736954e+01,        -1.148446451123e+00,        -7.385971825941e-03,        +4.263287661700e-05,        +2.990286717115e+00,        -5.172510107894e-02,        +1.029546427730e+02,        -2.528177909552e+00,        -8.130388839974e-03,        +1.470270214750e-04,        +3.297296703034e+00,        -5.538854772047e-02,        +2.057707218768e+02,        -5.032461406024e+00,        +3.877845491863e-02,        -8.261698100752e-04,        -4.708604730962e+00,        +7.778581801301e-02,        +5.653370791912e+02,        -1.382626576096e+01,        -7.982280422966e-01,        +2.025076861396e-02
 2.43508000e+00,        +2.545040332327e+00,        -4.365125900225e-02,        +4.635922041758e+01,        -1.151499635262e+00,        -7.368278969371e-03,        +4.231225168853e-05,        +2.989421432120e+00,        -5.179227341168e-02,        +1.030668393385e+02,        -2.534815392437e+00,        -8.130411158046e-03,        +1.472717655910e-04,        +3.296090608672e+00,        -5.545554649393e-02,        +2.059909627268e+02,        -5.045604725844e+00,        +3.879462470576e-02,        -8.278822316425e-04,        -4.705820202008e+00,        +7.783920503856e-02,        +5.659413863974e+02,        -1.386235335819e+01,        -7.992369258015e-01,        +2.030643329972e-02
 2.43508500e+00,        +2.544187125814e+00,        -4.370470269012e-02,        +4.641200393403e+01,        -1.154563098087e+00,        -7.350546754474e-03,        +4.198954457755e-05,        +2.988554168286e+00,        -5.185951160193e-02,        +1.031792708609e+02,        -2.541475034106e+00,        -8.130432416297e-03,        +1.475169746015e-04,        +3.294881884859e+00,        -5.552258592843e-02,        +2.062116645015e+02,        -5.058791768254e+00,        +3.881082721323e-02,        -8.295993620743e-04,        -4.703027950825e+00,        +7.789243550923e-02,        +5.665469579193e+02,        -1.389856096622e+01,        -8.002479277085e-01,        +2.036228924576e-02
 2.43509000e+00,        +2.543331940618e+00,        -4.375818472169e-02,        +4.646489826539e+01,        -1.157636884130e+00,        -7.332775057106e-03,        +4.166474436437e-05,        +2.987684919417e+00,        -5.192681563770e-02,        +1.032919380772e+02,        -2.548156930209e+00,        -8.130452610741e-03,        +1.477626498319e-04,        +3.293670523352e+00,        -5.558966586111e-02,        +2.064328286466e+02,        -5.072022721693e+00,        +3.882706254435e-02,        -8.313212198100e-04,        -4.700227953013e+00,        +7.794550807432e-02,        +5.671537977231e+02,        -1.393488910220e+01,        -8.012610546646e-01,        +2.041833728766e-02
 2.43509500e+00,        +2.542474770542e+00,        -4.381170499854e-02,        +4.651790375956e+01,        -1.160721038160e+00,        -7.314963752624e-03,        +4.133784006330e-05,        +2.986813679292e+00,        -5.199418550658e-02,        +1.034048417275e+02,        -2.554861176902e+00,        -8.130471737276e-03,        +1.480087926088e-04,        +3.292456515875e+00,        -5.565678612779e-02,        +2.066544566139e+02,        -5.085297775589e+00,        +3.884333080288e-02,        -8.330478233863e-04,        -4.697420184073e+00,        +7.799842137098e-02,        +5.677619097910e+02,        -1.397133828597e+01,        -8.022763133433e-01,        +2.047457826544e-02
 2.43510000e+00,        +2.541615609359e+00,        -4.386526342290e-02,        +4.657102076593e+01,        -1.163815605185e+00,        -7.297112715852e-03,        +4.100882062858e-05,        +2.985940441661e+00,        -5.206162119712e-02,        +1.035179825549e+02,        -2.561587870859e+00,        -8.130489791926e-03,        +1.482554042613e-04,        +3.291239854118e+00,        -5.572394656415e-02,        +2.068765498613e+02,        -5.098617120397e+00,        +3.885963209301e-02,        -8.347791914517e-04,        -4.694604619399e+00,        +7.805117402864e-02,        +5.683712981221e+02,        -1.400790904022e+01,        -8.032937104470e-01,        +2.053101302374e-02
 2.43510500e+00,        +2.540754450819e+00,        -4.391885989262e-02,        +4.662424963532e+01,        -1.166920630457e+00,        -7.279221821089e-03,        +4.067767494218e-05,        +2.985065200251e+00,        -5.212912269387e-02,        +1.036313613056e+02,        -2.568337109271e+00,        -8.130506770567e-03,        +1.485024861271e-04,        +3.290020529734e+00,        -5.579114700111e-02,        +2.070991098528e+02,        -5.111980947584e+00,        +3.887596651936e-02,        -8.365153427228e-04,        -4.691781234283e+00,        +7.810376466689e-02,        +5.689819667322e+02,        -1.404460189038e+01,        -8.043132527058e-01,        +2.058764241167e-02
 2.43511000e+00,        +2.539891288645e+00,        -4.397249430623e-02,        +4.667759072007e+01,        -1.170036159468e+00,        -7.261290942115e-03,        +4.034439182379e-05,        +2.984187948760e+00,        -5.219668998244e-02,        +1.037449787291e+02,        -2.575108989845e+00,        -8.130522669122e-03,        +1.487500395447e-04,        +3.288798534344e+00,        -5.585838726961e-02,        +2.073221380584e+02,        -5.125389449635e+00,        +3.889233418699e-02,        -8.382562960279e-04,        -4.688950003917e+00,        +7.815619189459e-02,        +5.695939196539e+02,        -1.408141736471e+01,        -8.053349468780e-01,        +2.064446728293e-02
 2.43511500e+00,        +2.539026116534e+00,        -4.402616655956e-02,        +4.673104437396e+01,        -1.173162237958e+00,        -7.243319952166e-03,        +4.000896003382e-05,        +2.983308680860e+00,        -5.226432304609e-02,        +1.038588355777e+02,        -2.581903610818e+00,        -8.130537483479e-03,        +1.489980658697e-04,        +3.287573859530e+00,        -5.592566719727e-02,        +2.075456359545e+02,        -5.138842820077e+00,        +3.890873520140e-02,        -8.400020702725e-04,        -4.686110903383e+00,        +7.820845431489e-02,        +5.702071609369e+02,        -1.411835599430e+01,        -8.063587997505e-01,        +2.070148849584e-02
 2.43512000e+00,        +2.538158928153e+00,        -4.407987654840e-02,        +4.678461095227e+01,        -1.176298911906e+00,        -7.225308723953e-03,        +3.967136825138e-05,        +2.982427390198e+00,        -5.233202186838e-02,        +1.039729326073e+02,        -2.588721070946e+00,        -8.130551209491e-03,        +1.492465664416e-04,        +3.286346496841e+00,        -5.599298661106e-02,        +2.077696050235e+02,        -5.152341253460e+00,        +3.892516966855e-02,        -8.417526844835e-04,        -4.683263907660e+00,        +7.826055051653e-02,        +5.708216946477e+02,        -1.415541831306e+01,        -8.073848181386e-01,        +2.075870691335e-02
 2.43512500e+00,        +2.537289717146e+00,        -4.413362416625e-02,        +4.683829081178e+01,        -1.179446227546e+00,        -7.207257129639e-03,        +3.933160510297e-05,        +2.981544070391e+00,        -5.239978643101e-02,        +1.040872705766e+02,        -2.595561469524e+00,        -8.130563843043e-03,        +1.494955426249e-04,        +3.285116437788e+00,        -5.606034533513e-02,        +2.079940467541e+02,        -5.165884945392e+00,        +3.894163769482e-02,        -8.435081577614e-04,        -4.680408991623e+00,        +7.831247908066e-02,        +5.714375248701e+02,        -1.419260485781e+01,        -8.084130088862e-01,        +2.081612340308e-02
 2.43513000e+00,        +2.536418477130e+00,        -4.418740930645e-02,        +4.689208431076e+01,        -1.182604231355e+00,        -7.189165040876e-03,        +3.898965914404e-05,        +2.980658715032e+00,        -5.246761671585e-02,        +1.042018502478e+02,        -2.602424906370e+00,        -8.130575379977e-03,        +1.497449957782e-04,        +3.283883673849e+00,        -5.612774319279e-02,        +2.082189626414e+02,        -5.179474092518e+00,        +3.895813938704e-02,        -8.452685093197e-04,        -4.677546130042e+00,        +7.836423857785e-02,        +5.720546557050e+02,        -1.422991616820e+01,        -8.094433788661e-01,        +2.087373883733e-02
 2.43513500e+00,        +2.535545201693e+00,        -4.424123185874e-02,        +4.694599180901e+01,        -1.185772970064e+00,        -7.171032328736e-03,        +3.864551886319e-05,        +2.979771317685e+00,        -5.253551270152e-02,        +1.043166723862e+02,        -2.609311481849e+00,        -8.130585816084e-03,        +1.499949272757e-04,        +3.282648196464e+00,        -5.619518000309e-02,        +2.084443541866e+02,        -5.193108892550e+00,        +3.897467485250e-02,        -8.470337584484e-04,        -4.674675297573e+00,        +7.841582757296e-02,        +5.726730912706e+02,        -1.426735278682e+01,        -8.104759349801e-01,        +2.093155409313e-02
 2.43514000e+00,        +2.534669884396e+00,        -4.429509171277e-02,        +4.700001366782e+01,        -1.188952490655e+00,        -7.152858863775e-03,        +3.829917266601e-05,        +2.978881871887e+00,        -5.260347436699e-02,        +1.044317377601e+02,        -2.616221296861e+00,        -8.130595147182e-03,        +1.502453384771e-04,        +3.281409997038e+00,        -5.626265558458e-02,        +2.086702228974e+02,        -5.206789544258e+00,        +3.899124419895e-02,        -8.488039245591e-04,        -4.671796468774e+00,        +7.846724461279e-02,        +5.732928357024e+02,        -1.430491525917e+01,        -8.115106841591e-01,        +2.098957005228e-02
 2.43514500e+00,        +2.533792518774e+00,        -4.434898875782e-02,        +4.705415025003e+01,        -1.192142840364e+00,        -7.134644515988e-03,        +3.795060891996e-05,        +2.977990371148e+00,        -5.267150169113e-02,        +1.045470471414e+02,        -2.623154452850e+00,        -8.130603369053e-03,        +1.504962307725e-04,        +3.280169066937e+00,        -5.633016975442e-02,        +2.088965702878e+02,        -5.220516247483e+00,        +3.900784753456e-02,        -8.505790271486e-04,        -4.668909618090e+00,        +7.851848824429e-02,        +5.739138931535e+02,        -1.434260413365e+01,        -8.125476333635e-01,        +2.104778760133e-02
 2.43515000e+00,        +2.532913098335e+00,        -4.440292287960e-02,        +4.710840192003e+01,        -1.195344066683e+00,        -7.116389154811e-03,        +3.759981589404e-05,        +2.977096808951e+00,        -5.273959464973e-02,        +1.046626013051e+02,        -2.630111051814e+00,        -8.130610477471e-03,        +1.507476055380e-04,        +3.278925397494e+00,        -5.639772232598e-02,        +2.091233978782e+02,        -5.234289203153e+00,        +3.902448496802e-02,        -8.523590858151e-04,        -4.666014719855e+00,        +7.856955699547e-02,        +5.745362677948e+02,        -1.438041996170e+01,        -8.135867895829e-01,        +2.110620763171e-02
 2.43515500e+00,        +2.532031616557e+00,        -4.445689396268e-02,        +4.716276904370e+01,        -1.198556217362e+00,        -7.098092649157e-03,        +3.724678179458e-05,        +2.976201178751e+00,        -5.280775321777e-02,        +1.047784010294e+02,        -2.637091196295e+00,        -8.130616468164e-03,        +1.509994641588e-04,        +3.277678980003e+00,        -5.646531311069e-02,        +2.093507071954e+02,        -5.248108613270e+00,        +3.904115660841e-02,        -8.541441202551e-04,        -4.663111748302e+00,        +7.862044938791e-02,        +5.751599638142e+02,        -1.441836329766e+01,        -8.146281598364e-01,        +2.116483103964e-02
 2.43516000e+00,        +2.531148066891e+00,        -4.451090189205e-02,        +4.721725198853e+01,        -1.201779340406e+00,        -7.079754867345e-03,        +3.689149476512e-05,        +2.975303473972e+00,        -5.287597737099e-02,        +1.048944470961e+02,        -2.644094989390e+00,        -8.130621336886e-03,        +1.512518080259e-04,        +3.276429805718e+00,        -5.653294191961e-02,        +2.095784997728e+02,        -5.261974680931e+00,        +3.905786256530e-02,        -8.559341502796e-04,        -4.660200677549e+00,        +7.867116393443e-02,        +5.757849854180e+02,        -1.445643469890e+01,        -8.156717511734e-01,        +2.122365872626e-02
 2.43516500e+00,        +2.530262442761e+00,        -4.456494654952e-02,        +4.727185112352e+01,        -1.205013484084e+00,        -7.061375677162e-03,        +3.653394288750e-05,        +2.974403688015e+00,        -5.294426708239e-02,        +1.050107402899e+02,        -2.651122534756e+00,        -8.130625079328e-03,        +1.515046385512e-04,        +3.275177865862e+00,        -5.660060856017e-02,        +2.098067771501e+02,        -5.275887610326e+00,        +3.907460294872e-02,        -8.577291957710e-04,        -4.657281481604e+00,        +7.872169913635e-02,        +5.764113368299e+02,        -1.449463472579e+01,        -8.167175706723e-01,        +2.128269159757e-02
 2.43517000e+00,        +2.529374737565e+00,        -4.461902781518e-02,        +4.732656681927e+01,        -1.208258696925e+00,        -7.042954945827e-03,        +3.617411414158e-05,        +2.973501814250e+00,        -5.301262232365e-02,        +1.051272813992e+02,        -2.658173936611e+00,        -8.130627691189e-03,        +1.517579571210e-04,        +3.273923151618e+00,        -5.666831283745e-02,        +2.100355408738e+02,        -5.289847606757e+00,        +3.909137786920e-02,        -8.595292767434e-04,        -4.654354134368e+00,        +7.877205348192e-02,        +5.770390222919e+02,        -1.453296394172e+01,        -8.177656254426e-01,        +2.134193056454e-02
 2.43517500e+00,        +2.528484944666e+00,        -4.467314556931e-02,        +4.738139944796e+01,        -1.211515027725e+00,        -7.024492539966e-03,        +3.581199647299e-05,        +2.972597846018e+00,        -5.308104306697e-02,        +1.052440712155e+02,        -2.665249299744e+00,        -8.130629168152e-03,        +1.520117651594e-04,        +3.272665654128e+00,        -5.673605455586e-02,        +2.102647924969e+02,        -5.303854876647e+00,        +3.910818743769e-02,        -8.613344132948e-04,        -4.651418609621e+00,        +7.882222545361e-02,        +5.776680460639e+02,        -1.457142291320e+01,        -8.188159226235e-01,        +2.140137654319e-02
 2.43518000e+00,        +2.527593057406e+00,        -4.472729968954e-02,        +4.743634938331e+01,        -1.214782525540e+00,        -7.005988325680e-03,        +3.544757773736e-05,        +2.971691776633e+00,        -5.314952928235e-02,        +1.053611105339e+02,        -2.672348729499e+00,        -8.130629505850e-03,        +1.522660640807e-04,        +3.271405364500e+00,        -5.680383351673e-02,        +2.104945335787e+02,        -5.317909627515e+00,        +3.912503176563e-02,        -8.631446256295e-04,        -4.648474881049e+00,        +7.887221351942e-02,        +5.782984124237e+02,        -1.461001220973e+01,        -8.198684693842e-01,        +2.146103045441e-02
 2.43518500e+00,        +2.526699069094e+00,        -4.478149005072e-02,        +4.749141700069e+01,        -1.218061239700e+00,        -6.987442168469e-03,        +3.508084569511e-05,        +2.970783599380e+00,        -5.321808093732e-02,        +1.054784001526e+02,        -2.679472331811e+00,        -8.130628699939e-03,        +1.525208552865e-04,        +3.270142273804e+00,        -5.687164951769e-02,        +2.107247656856e+02,        -5.332012068035e+00,        +3.914191096494e-02,        -8.649599340707e-04,        -4.645522922202e+00,        +7.892201614023e-02,        +5.789301256676e+02,        -1.464873240396e+01,        -8.209232729254e-01,        +2.152089322423e-02
 2.43519000e+00,        +2.525802973013e+00,        -4.483571652849e-02,        +4.754660267703e+01,        -1.221351219799e+00,        -6.968853933260e-03,        +3.471178807711e-05,        +2.969873307515e+00,        -5.328669800065e-02,        +1.055959408734e+02,        -2.686620213177e+00,        -8.130626746019e-03,        +1.527761402191e-04,        +3.268876373069e+00,        -5.693950235670e-02,        +2.109554903905e+02,        -5.346162407997e+00,        +3.915882514803e-02,        -8.667803590209e-04,        -4.642562706539e+00,        +7.897163176373e-02,        +5.795631901104e+02,        -1.468758407162e+01,        -8.219803404779e-01,        +2.158096578372e-02
