        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43500000e+00,        +7.077152013282e-04,        -3.813133610028e-06,        +9.269339948315e-05
 2.43500500e+00,        +7.090379632171e-04,        -3.814583322653e-06,        +9.269854923476e-05
 2.43501000e+00,        +7.103648285160e-04,        -3.816036588337e-06,        +9.270369717116e-05
 2.43501500e+00,        +7.116958141914e-04,        -3.817493421935e-06,        +9.270884324698e-05
 2.43502000e+00,        +7.130309372978e-04,        -3.818953831729e-06,        +9.271398741648e-05
 2.43502500e+00,        +7.143702149779e-04,        -3.820417836722e-06,        +9.271912963360e-05
 2.43503000e+00,        +7.157136644636e-04,        -3.821885445074e-06,        +9.272426985190e-05
 2.43503500e+00,        +7.170613030754e-04,        -3.823356668323e-06,        +9.272940802458e-05
 2.43504000e+00,        +7.184131482242e-04,        -3.824831524704e-06,        +9.273454410448e-05
 2.43504500e+00,        +7.197692174113e-04,        -3.826310023058e-06,        +9.273967804408e-05
 2.43505000e+00,        +7.211295282291e-04,        -3.827792180110e-06,        +9.274480979548e-05
 2.43505500e+00,        +7.224940983614e-04,        -3.829278008405e-06,        +9.274993931042e-05
 2.43506000e+00,        +7.238629455842e-04,        -3.830767519390e-06,        +9.275506654026e-05
 2.43506500e+00,        +7.252360877667e-04,        -3.832260728910e-06,        +9.276019143598e-05
 2.43507000e+00,        +7.266135428706e-04,        -3.833757648705e-06,        +9.276531394818e-05
 2.43507500e+00,        +7.279953289522e-04,        -3.835258291993e-06,        +9.277043402710e-05
 2.43508000e+00,        +7.293814641625e-04,        -3.836762674023e-06,        +9.277555162256e-05
 2.43508500e+00,        +7.307719667465e-04,        -3.838270808252e-06,        +9.278066668401e-05
 2.43509000e+00,        +7.321668550464e-04,        -3.839782708592e-06,        +9.278577916051e-05
 2.43509500e+00,        +7.335661474991e-04,        -3.841298387996e-06,        +9.279088900071e-05
 2.43510000e+00,        +7.349698626399e-04,        -3.842817860082e-06,        +9.279599615289e-05
 2.43510500e+00,        +7.363780191005e-04,        -3.844341138214e-06,        +9.280110056490e-05
 2.43511000e+00,        +7.377906356114e-04,        -3.845868239770e-06,        +9.280620218420e-05
 2.43511500e+00,        +7.392077310017e-04,        -3.847399178708e-06,        +9.281130095785e-05
 2.43512000e+00,        +7.406293241997e-04,        -3.848933963466e-06,        +9.281639683248e-05
 2.43512500e+00,        +7.420554342339e-04,        -3.850472612475e-06,        +9.282148975433e-05
 2.43513000e+00,        +7.434860802334e-04,        -3.852015140463e-06,        +9.282657966921e-05
 2.43513500e+00,        +7.449212814285e-04,        -3.853561561823e-06,        +9.283166652250e-05
 2.43514000e+00,        +7.463610571515e-04,        -3.855111889852e-06,        +9.283675025919e-05
 2.43514500e+00,        +7.478054268374e-04,        -3.856666138550e-06,        +9.284183082382e-05
 2.43515000e+00,        +7.492544100246e-04,        -3.858224324408e-06,        +9.284690816049e-05
 2.43515500e+00,        +7.507080263545e-04,        -3.859786459266e-06,        +9.285198221290e-05
 2.43516000e+00,        +7.521662955743e-04,        -3.861352560151e-06,        +9.285705292429e-05
 2.43516500e+00,        +7.536292375351e-04,        -3.862922642157e-06,        +9.286212023746e-05
 2.43517000e+00,        +7.550968721951e-04,        -3.864496719145e-06,        +9.286718409479e-05
 2.43517500e+00,        +7.565692196186e-04,        -3.866074804142e-06,        +9.287224443819e-05
 2.43518000e+00,        +7.580462999768e-04,        -3.867656915416e-06,        +9.287730120913e-05
 2.43518500e+00,        +7.595281335494e-04,        -3.869243068605e-06,        +9.288235434862e-05
 2.43519000e+00,        +7.610147407245e-04,        -3.870833275107e-06,        +9.288740379723e-05
 2.43519500e+00,        +7.625061419995e-04,        -3.872427553323e-06,        +9.289244949506e-05
 2.43520000e+00,        +7.640023579818e-04,        -3.874025917277e-06,        +9.289749138173e-05
 2.43520500e+00,        +7.655034093896e-04,        -3.875628381796e-06,        +9.290252939642e-05
 2.43521000e+00,        +7.670093170530e-04,        -3.877234963910e-06,        +9.290756347783e-05
 2.43521500e+00,        +7.685201019134e-04,        -3.878845678444e-06,        +9.291259356417e-05
 2.43522000e+00,        +7.700357850259e-04,        -3.880460541189e-06,        +9.291761959320e-05
 2.43522500e+00,        +7.715563875587e-04,        -3.882079565777e-06,        +9.292264150217e-05
 2.43523000e+00,        +7.730819307950e-04,        -3.883702772418e-06,        +9.292765922787e-05
 2.43523500e+00,        +7.746124361324e-04,        -3.885330171206e-06,        +9.293267270658e-05
 2.43524000e+00,        +7.761479250849e-04,        -3.886961784135e-06,        +9.293768187409e-05
 2.43524500e+00,        +7.776884192828e-04,        -3.888597624022e-06,        +9.294268666570e-05
 2.43525000e+00,        +7.792339404738e-04,        -3.890237705436e-06,        +9.294768701621e-05
 2.43525500e+00,        +7.807845105243e-04,        -3.891882045315e-06,        +9.295268285990e-05
 2.43526000e+00,        +7.823401514188e-04,        -3.893530662869e-06,        +9.295767413057e-05
 2.43526500e+00,        +7.839008852620e-04,        -3.895183570497e-06,        +9.296266076147e-05
 2.43527000e+00,        +7.854667342788e-04,        -3.896840789594e-06,        +9.296764268537e-05
 2.43527500e+00,        +7.870377208156e-04,        -3.898502332925e-06,        +9.297261983448e-05
 2.43528000e+00,        +7.886138673408e-04,        -3.900168215723e-06,        +9.297759214053e-05
 2.43528500e+00,        +7.901951964454e-04,        -3.901838458308e-06,        +9.298255953467e-05
 2.43529000e+00,        +7.917817308447e-04,        -3.903513075269e-06,        +9.298752194756e-05
 2.43529500e+00,        +7.933734933774e-04,        -3.905192084784e-06,        +9.299247930931e-05
 2.43530000e+00,        +7.949705070087e-04,        -3.906875501785e-06,        +9.299743154947e-05
 2.43530500e+00,        +7.965727948292e-04,        -3.908563344829e-06,        +9.300237859707e-05
 2.43531000e+00,        +7.981803800564e-04,        -3.910255630760e-06,        +9.300732038057e-05
 2.43531500e+00,        +7.997932860361e-04,        -3.911952378017e-06,        +9.301225682788e-05
 2.43532000e+00,        +8.014115362424e-04,        -3.913653600115e-06,        +9.301718786636e-05
 2.43532500e+00,        +8.030351542787e-04,        -3.915359316331e-06,        +9.302211342280e-05
 2.43533000e+00,        +8.046641638791e-04,        -3.917069547529e-06,        +9.302703342342e-05
 2.43533500e+00,        +8.062985889090e-04,        -3.918784305603e-06,        +9.303194779387e-05
 2.43534000e+00,        +8.079384533651e-04,        -3.920503609929e-06,        +9.303685645923e-05
 2.43534500e+00,        +8.095837813782e-04,        -3.922227482288e-06,        +9.304175934398e-05
 2.43535000e+00,        +8.112345972119e-04,        -3.923955934616e-06,        +9.304665637203e-05
 2.43535500e+00,        +8.128909252651e-04,        -3.925688987808e-06,        +9.305154746670e-05
 2.43536000e+00,        +8.145527900724e-04,        -3.927426659741e-06,        +9.305643255069e-05
 2.43536500e+00,        +8.162202163042e-04,        -3.929168966199e-06,        +9.306131154614e-05
 2.43537000e+00,        +8.178932287697e-04,        -3.930915929829e-06,        +9.306618437456e-05
 2.43537500e+00,        +8.195718524148e-04,        -3.932667565321e-06,        +9.307105095685e-05
 2.43538000e+00,        +8.212561123259e-04,        -3.934423891412e-06,        +9.307591121329e-05
 2.43538500e+00,        +8.229460337296e-04,        -3.936184927199e-06,        +9.308076506356e-05
 2.43539000e+00,        +8.246416419925e-04,        -3.937950690796e-06,        +9.308561242671e-05
 2.43539500e+00,        +8.263429626251e-04,        -3.939721204459e-06,        +9.309045322115e-05
 2.43540000e+00,        +8.280500212792e-04,        -3.941496479465e-06,        +9.309528736465e-05
 2.43540500e+00,        +8.297628437518e-04,        -3.943276541461e-06,        +9.310011477437e-05
 2.43541000e+00,        +8.314814559845e-04,        -3.945061403919e-06,        +9.310493536680e-05
 2.43541500e+00,        +8.332058840650e-04,        -3.946851090876e-06,        +9.310974905779e-05
 2.43542000e+00,        +8.349361542278e-04,        -3.948645617917e-06,        +9.311455576252e-05
 2.43542500e+00,        +8.366722928555e-04,        -3.950445006023e-06,        +9.311935539554e-05
 2.43543000e+00,        +8.384143264796e-04,        -3.952249273161e-06,        +9.312414787070e-05
 2.43543500e+00,        +8.401622817816e-04,        -3.954058438498e-06,        +9.312893310121e-05
 2.43544000e+00,        +8.419161855940e-04,        -3.955872525283e-06,        +9.313371099958e-05
 2.43544500e+00,        +8.436760649011e-04,        -3.957691549175e-06,        +9.313848147764e-05
 2.43545000e+00,        +8.454419468407e-04,        -3.959515529422e-06,        +9.314324444656e-05
 2.43545500e+00,        +8.472138587047e-04,        -3.961344489541e-06,        +9.314799981678e-05
 2.43546000e+00,        +8.489918279393e-04,        -3.963178447212e-06,        +9.315274749807e-05
 2.43546500e+00,        +8.507758821481e-04,        -3.965017421388e-06,        +9.315748739947e-05
 2.43547000e+00,        +8.525660490908e-04,        -3.966861432329e-06,        +9.316221942935e-05
 2.43547500e+00,        +8.543623566863e-04,        -3.968710501893e-06,        +9.316694349532e-05
 2.43548000e+00,        +8.561648330128e-04,        -3.970564652959e-06,        +9.317165950429e-05
 2.43548500e+00,        +8.579735063087e-04,        -3.972423898798e-06,        +9.317636736245e-05
 2.43549000e+00,        +8.597884049742e-04,        -3.974288264392e-06,        +9.318106697524e-05
 2.43549500e+00,        +8.616095575723e-04,        -3.976157775269e-06,        +9.318575824739e-05
 2.43550000e+00,        +8.634369928297e-04,        -3.978032441752e-06,        +9.319044108284e-05
 2.43550500e+00,        +8.652707396384e-04,        -3.979912289999e-06,        +9.319511538481e-05
 2.43551000e+00,        +8.671108270558e-04,        -3.981797342023e-06,        +9.319978105577e-05
 2.43551500e+00,        +8.689572843077e-04,        -3.983687619381e-06,        +9.320443799741e-05
 2.43552000e+00,        +8.708101407870e-04,        -3.985583138977e-06,        +9.320908611065e-05
 2.43552500e+00,        +8.726694260577e-04,        -3.987483924651e-06,        +9.321372529564e-05
 2.43553000e+00,        +8.745351698531e-04,        -3.989389999475e-06,        +9.321835545174e-05
 2.43553500e+00,        +8.764074020794e-04,        -3.991301384534e-06,        +9.322297647755e-05
 2.43554000e+00,        +8.782861528154e-04,        -3.993218096883e-06,        +9.322758827084e-05
 2.43554500e+00,        +8.801714523147e-04,        -3.995140164501e-06,        +9.323219072860e-05
 2.43555000e+00,        +8.820633310062e-04,        -3.997067605835e-06,        +9.323678374700e-05
 2.43555500e+00,        +8.839618194954e-04,        -3.999000443891e-06,        +9.324136722140e-05
 2.43556000e+00,        +8.858669485664e-04,        -4.000938702937e-06,        +9.324594104635e-05
 2.43556500e+00,        +8.877787491820e-04,        -4.002882399495e-06,        +9.325050511556e-05
 2.43557000e+00,        +8.896972524858e-04,        -4.004831560039e-06,        +9.325505932190e-05
 2.43557500e+00,        +8.916224898029e-04,        -4.006786204320e-06,        +9.325960355741e-05
 2.43558000e+00,        +8.935544926417e-04,        -4.008746362034e-06,        +9.326413771328e-05
 2.43558500e+00,        +8.954932926952e-04,        -4.010712047877e-06,        +9.326866167985e-05
 2.43559000e+00,        +8.974389218411e-04,        -4.012683287486e-06,        +9.327317534658e-05
 2.43559500e+00,        +8.993914121452e-04,        -4.014660102855e-06,        +9.327767860208e-05
 2.43560000e+00,        +9.013507958604e-04,        -4.016642520209e-06,        +9.328217133407e-05
 2.43560500e+00,        +9.033171054302e-04,        -4.018630559907e-06,        +9.328665342939e-05
 2.43561000e+00,        +9.052903734884e-04,        -4.020624246679e-06,        +9.329112477400e-05
 2.43561500e+00,        +9.072706328612e-04,        -4.022623602334e-06,        +9.329558525294e-05
 2.43562000e+00,        +9.092579165685e-04,        -4.024628652941e-06,        +9.330003475036e-05
 2.43562500e+00,        +9.112522578253e-04,        -4.026639418560e-06,        +9.330447314950e-05
 2.43563000e+00,        +9.132536900424e-04,        -4.028655927422e-06,        +9.330890033266e-05
 2.43563500e+00,        +9.152622468290e-04,        -4.030678199253e-06,        +9.331331618123e-05
 2.43564000e+00,        +9.172779619934e-04,        -4.032706263130e-06,        +9.331772057566e-05
 2.43564500e+00,        +9.193008695442e-04,        -4.034740140865e-06,        +9.332211339544e-05
 2.43565000e+00,        +9.213310036923e-04,        -4.036779851484e-06,        +9.332649451914e-05
 2.43565500e+00,        +9.233683988518e-04,        -4.038825427947e-06,        +9.333086382434e-05
 2.43566000e+00,        +9.254130896418e-04,        -4.040876890625e-06,        +9.333522118767e-05
 2.43566500e+00,        +9.274651108880e-04,        -4.042934264825e-06,        +9.333956648476e-05
 2.43567000e+00,        +9.295244976235e-04,        -4.044997576684e-06,        +9.334389959030e-05
 2.43567500e+00,        +9.315912850913e-04,        -4.047066850821e-06,        +9.334822037794e-05
 2.43568000e+00,        +9.336655087450e-04,        -4.049142107756e-06,        +9.335252872036e-05
 2.43568500e+00,        +9.357472042502e-04,        -4.051223381547e-06,        +9.335682448922e-05
 2.43569000e+00,        +9.378364074873e-04,        -4.053310690465e-06,        +9.336110755518e-05
 2.43569500e+00,        +9.399331545509e-04,        -4.055404062450e-06,        +9.336537778783e-05
 2.43570000e+00,        +9.420374817536e-04,        -4.057503527875e-06,        +9.336963505579e-05
 2.43570500e+00,        +9.441494256261e-04,        -4.059609103466e-06,        +9.337387922657e-05
 2.43571000e+00,        +9.462690229194e-04,        -4.061720819725e-06,        +9.337811016668e-05
 2.43571500e+00,        +9.483963106058e-04,        -4.063838705812e-06,        +9.338232774154e-05
 2.43572000e+00,        +9.505313258818e-04,        -4.065962783235e-06,        +9.338653181552e-05
 2.43572500e+00,        +9.526741061679e-04,        -4.068093083676e-06,        +9.339072225189e-05
 2.43573000e+00,        +9.548246891117e-04,        -4.070229625199e-06,        +9.339489891285e-05
 2.43573500e+00,        +9.569831125889e-04,        -4.072372445823e-06,        +9.339906165950e-05
 2.43574000e+00,        +9.591494147051e-04,        -4.074521563810e-06,        +9.340321035182e-05
 2.43574500e+00,        +9.613236337973e-04,        -4.076677009823e-06,        +9.340734484869e-05
 2.43575000e+00,        +9.635058084360e-04,        -4.078838808280e-06,        +9.341146500787e-05
 2.43575500e+00,        +9.656959774264e-04,        -4.081006991033e-06,        +9.341557068597e-05
 2.43576000e+00,        +9.678941798111e-04,        -4.083181580028e-06,        +9.341966173846e-05
 2.43576500e+00,        +9.701004548698e-04,        -4.085362610219e-06,        +9.342373801965e-05
 2.43577000e+00,        +9.723148421237e-04,        -4.087550104789e-06,        +9.342779938272e-05
 2.43577500e+00,        +9.745373813347e-04,        -4.089744090592e-06,        +9.343184567963e-05
 2.43578000e+00,        +9.767681125091e-04,        -4.091944598325e-06,        +9.343587676119e-05
 2.43578500e+00,        +9.790070758991e-04,        -4.094151653479e-06,        +9.343989247699e-05
 2.43579000e+00,        +9.812543120034e-04,        -4.096365287649e-06,        +9.344389267545e-05
 2.43579500e+00,        +9.835098615699e-04,        -4.098585527649e-06,        +9.344787720375e-05
 2.43580000e+00,        +9.857737655978e-04,        -4.100812405342e-06,        +9.345184590786e-05
 2.43580500e+00,        +9.880460653390e-04,        -4.103045942911e-06,        +9.345579863249e-05
 2.43581000e+00,        +9.903268022999e-04,        -4.105286177709e-06,        +9.345973522114e-05
 2.43581500e+00,        +9.926160182437e-04,        -4.107533134117e-06,        +9.346365551604e-05
 2.43582000e+00,        +9.949137551923e-04,        -4.109786841183e-06,        +9.346755935815e-05
 2.43582500e+00,        +9.972200554269e-04,        -4.112047332483e-06,        +9.347144658714e-05
 2.43583000e+00,        +9.995349614930e-04,        -4.114314632662e-06,        +9.347531704142e-05
 2.43583500e+00,        +1.001858516198e-03,        -4.116588772981e-06,        +9.347917055808e-05
 2.43584000e+00,        +1.004190762618e-03,        -4.118869787596e-06,        +9.348300697291e-05
 2.43584500e+00,        +1.006531744095e-03,        -4.121157704303e-06,        +9.348682612037e-05
 2.43585000e+00,        +1.008881504244e-03,        -4.123452553628e-06,        +9.349062783359e-05
 2.43585500e+00,        +1.011240086948e-03,        -4.125754362152e-06,        +9.349441194436e-05
 2.43586000e+00,        +1.013607536370e-03,        -4.128063168745e-06,        +9.349817828310e-05
 2.43586500e+00,        +1.015983896944e-03,        -4.130378994714e-06,        +9.350192667889e-05
 2.43587000e+00,        +1.018369213387e-03,        -4.132701880780e-06,        +9.350565695939e-05
 2.43587500e+00,        +1.020763530692e-03,        -4.135031853026e-06,        +9.350936895090e-05
 2.43588000e+00,        +1.023166894139e-03,        -4.137368943915e-06,        +9.351306247831e-05
 2.43588500e+00,        +1.025579349289e-03,        -4.139713188356e-06,        +9.351673736507e-05
 2.43589000e+00,        +1.028000941994e-03,        -4.142064613208e-06,        +9.352039343325e-05
 2.43589500e+00,        +1.030431718391e-03,        -4.144423251455e-06,        +9.352403050343e-05
 2.43590000e+00,        +1.032871724912e-03,        -4.146789137709e-06,        +9.352764839476e-05
 2.43590500e+00,        +1.035321008278e-03,        -4.149162303814e-06,        +9.353124692493e-05
 2.43591000e+00,        +1.037779615511e-03,        -4.151542782174e-06,        +9.353482591013e-05
 2.43591500e+00,        +1.040247593927e-03,        -4.153930600939e-06,        +9.353838516509e-05
 2.43592000e+00,        +1.042724991145e-03,        -4.156325802815e-06,        +9.354192450299e-05
 2.43592500e+00,        +1.045211855084e-03,        -4.158728415471e-06,        +9.354544373554e-05
 2.43593000e+00,        +1.047708233969e-03,        -4.161138469448e-06,        +9.354894267289e-05
 2.43593500e+00,        +1.050214176333e-03,        -4.163556001743e-06,        +9.355242112365e-05
