        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +2.273917898026e-09,        +2.328696725940e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.146167841380e-13,        +1.823358637961e-04,        +6.180086463718e-12,        +2.653882059813e-03,        +1.009381626945e-09,        +4.438953701103e-01,        +1.018450060967e-09,        +4.373476587235e-01,        +2.392557080230e-10,        +1.052173907557e-01,        +2.686516012758e-10,        +1.153656456348e-01,        +2.877602872513e-10,        +1.265482309195e-01,        +2.553977192429e-10,        +1.096741007096e-01,        +4.267376211248e-10,        +1.876662396190e-01,        +3.985436636283e-10,        +1.711445115153e-01,        +2.829606692238e-10,        +1.244375047443e-01,        +3.110965089965e-10,        +1.335925393509e-01
 2.40002500e+00,        +2.273232215875e-09,        +2.328037043018e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.140832499924e-13,        +1.821561594547e-04,        +6.175393112720e-12,        +2.652618063462e-03,        +1.009023008847e-09,        +4.438715067474e-01,        +1.018203439821e-09,        +4.373656522670e-01,        +2.392763767591e-10,        +1.052582200306e-01,        +2.686029701139e-10,        +1.153774468149e-01,        +2.875674557806e-10,        +1.265015750579e-01,        +2.552279220909e-10,        +1.096322426897e-01,        +4.266341910298e-10,        +1.876773468414e-01,        +3.984599141353e-10,        +1.711570334889e-01,        +2.829295422054e-10,        +1.244613463726e-01,        +3.109949805275e-10,        +1.335867835352e-01
 2.40005000e+00,        +2.272549088032e-09,        +2.327379876932e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.135506297532e-13,        +1.819765442828e-04,        +6.170713216930e-12,        +2.651356264653e-03,        +1.008665054191e-09,        +4.438474220437e-01,        +1.017957284513e-09,        +4.373833831781e-01,        +2.392973606144e-10,        +1.052990942526e-01,        +2.685547500630e-10,        +1.153893065437e-01,        +2.873751817364e-10,        +1.264549941956e-01,        +2.550586156838e-10,        +1.095904532869e-01,        +4.265313665749e-10,        +1.876885163102e-01,        +3.983767087174e-10,        +1.711696112293e-01,        +2.828987693602e-10,        +1.244852183172e-01,        +3.108939025164e-10,        +1.335810735488e-01
 2.40007500e+00,        +2.271868512733e-09,        +2.326725225956e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.130189214261e-13,        +1.817970182303e-04,        +6.166046759064e-12,        +2.650096663876e-03,        +1.008307762189e-09,        +4.438231158792e-01,        +1.017711594618e-09,        +4.374008513186e-01,        +2.393186596825e-10,        +1.053400134476e-01,        +2.685069409415e-10,        +1.154012248400e-01,        +2.871834645373e-10,        +1.264084883997e-01,        +2.548897995331e-10,        +1.095487325661e-01,        +4.264291473418e-10,        +1.876997480056e-01,        +3.982940470402e-10,        +1.711822447261e-01,        +2.828683506915e-10,        +1.245091206230e-01,        +3.107932746973e-10,        +1.335754094339e-01
 2.40010000e+00,        +2.271190488225e-09,        +2.326073088384e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.124881230223e-13,        +1.816175812468e-04,        +6.161393721915e-12,        +2.648839261623e-03,        +1.007951132057e-09,        +4.437985881339e-01,        +1.017466369715e-09,        +4.374180565502e-01,        +2.393402740589e-10,        +1.053809776413e-01,        +2.684595425707e-10,        +1.154132017224e-01,        +2.869923036051e-10,        +1.263620577371e-01,        +2.547214731532e-10,        +1.095070805923e-01,        +4.263275329154e-10,        +1.877110419076e-01,        +3.982119287722e-10,        +1.711949339687e-01,        +2.828382862045e-10,        +1.245330533352e-01,        +3.106930968069e-10,        +1.335697912325e-01
 2.40012500e+00,        +2.270515012775e-09,        +2.325423462520e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.119582325582e-13,        +1.814382332821e-04,        +6.156754088359e-12,        +2.647584058383e-03,        +1.007595163017e-09,        +4.437738386875e-01,        +1.017221609385e-09,        +4.374349987347e-01,        +2.393622038410e-10,        +1.054219868595e-01,        +2.684125547742e-10,        +1.154252372096e-01,        +2.868016983649e-10,        +1.263157022751e-01,        +2.545536360615e-10,        +1.094654974306e-01,        +4.262265228840e-10,        +1.877223979960e-01,        +3.981303535853e-10,        +1.712076789463e-01,        +2.828085759064e-10,        +1.245570164986e-01,        +3.105933685846e-10,        +1.335642189866e-01
 2.40015000e+00,        +2.269842084661e-09,        +2.324776346687e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.114292480557e-13,        +1.812589742855e-04,        +6.152127841347e-12,        +2.646331054647e-03,        +1.007239854291e-09,        +4.437488674201e-01,        +1.016977313214e-09,        +4.374516777337e-01,        +2.393844491284e-10,        +1.054630411279e-01,        +2.683659773782e-10,        +1.154373313203e-01,        +2.866116482454e-10,        +1.262694220811e-01,        +2.543862877784e-10,        +1.094239831461e-01,        +4.261261168399e-10,        +1.877338162507e-01,        +3.980493211543e-10,        +1.712204796481e-01,        +2.827792198068e-10,        +1.245810101583e-01,        +3.104940897724e-10,        +1.335586927383e-01
 2.40017500e+00,        +2.269171702178e-09,        +2.324131739221e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.109011675416e-13,        +1.810798042066e-04,        +6.147514963912e-12,        +2.645080250904e-03,        +1.006885205107e-09,        +4.437236742116e-01,        +1.016733480788e-09,        +4.374680934088e-01,        +2.394070100224e-10,        +1.055041404723e-01,        +2.683198102114e-10,        +1.154494840733e-01,        +2.864221526786e-10,        +1.262232172223e-01,        +2.542194278274e-10,        +1.093825378043e-01,        +4.260263143783e-10,        +1.877452966514e-01,        +3.979688311573e-10,        +1.712333360633e-01,        +2.827502179172e-10,        +1.246050343594e-01,        +3.103952601150e-10,        +1.335532125297e-01
 2.40020000e+00,        +2.268503863636e-09,        +2.323489638472e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.103739890482e-13,        +1.809007229948e-04,        +6.142915439165e-12,        +2.643831647644e-03,        +1.006531214698e-09,        +4.436982589418e-01,        +1.016490111697e-09,        +4.374842456216e-01,        +2.394298866266e-10,        +1.055452849186e-01,        +2.682740531053e-10,        +1.154616954873e-01,        +2.862332111001e-10,        +1.261770877662e-01,        +2.540530557349e-10,        +1.093411614703e-01,        +4.259271150984e-10,        +1.877568391776e-01,        +3.978888832754e-10,        +1.712462481808e-01,        +2.827215702511e-10,        +1.246290891468e-01,        +3.102968793597e-10,        +1.335477784027e-01
 2.40022500e+00,        +2.267838567361e-09,        +2.322850042809e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.098477106129e-13,        +1.807217305991e-04,        +6.138329250297e-12,        +2.642585245354e-03,        +1.006177882299e-09,        +4.436726214909e-01,        +1.016247205533e-09,        +4.375001342336e-01,        +2.394530790462e-10,        +1.055864744927e-01,        +2.682287058936e-10,        +1.154739655812e-01,        +2.860448229485e-10,        +1.261310337805e-01,        +2.538871710302e-10,        +1.092998542098e-01,        +4.258285186026e-10,        +1.877684438086e-01,        +3.978094771929e-10,        +1.712592159896e-01,        +2.826932768242e-10,        +1.246531745657e-01,        +3.101989472564e-10,        +1.335423903996e-01
