        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +6.404211588424e-02,        +1.175241598118e-01
 2.40002500e+00,        +1.414213562373e-01,        +6.412737972961e-02,        +1.175805656930e-01
 2.40005000e+00,        +1.414213562373e-01,        +6.421265972514e-02,        +1.176368930448e-01
 2.40007500e+00,        +1.414213562373e-01,        +6.429795588368e-02,        +1.176931419539e-01
 2.40010000e+00,        +1.414213562373e-01,        +6.438326821824e-02,        +1.177493125067e-01
 2.40012500e+00,        +1.414213562373e-01,        +6.446859674202e-02,        +1.178054047894e-01
 2.40015000e+00,        +1.414213562373e-01,        +6.455394146841e-02,        +1.178614188878e-01
 2.40017500e+00,        +1.414213562373e-01,        +6.463930241097e-02,        +1.179173548876e-01
 2.40020000e+00,        +1.414213562373e-01,        +6.472467958346e-02,        +1.179732128742e-01
 2.40022500e+00,        +1.414213562373e-01,        +6.481007299982e-02,        +1.180289929328e-01
 2.40025000e+00,        +1.414213562373e-01,        +6.489548267416e-02,        +1.180846951483e-01
 2.40027500e+00,        +1.414213562373e-01,        +6.498090862079e-02,        +1.181403196055e-01
 2.40030000e+00,        +1.414213562373e-01,        +6.506635085419e-02,        +1.181958663886e-01
 2.40032500e+00,        +1.414213562373e-01,        +6.515180938903e-02,        +1.182513355820e-01
 2.40035000e+00,        +1.414213562373e-01,        +6.523728424017e-02,        +1.183067272695e-01
 2.40037500e+00,        +1.414213562373e-01,        +6.532277542263e-02,        +1.183620415349e-01
 2.40040000e+00,        +1.414213562373e-01,        +6.540828295163e-02,        +1.184172784615e-01
 2.40042500e+00,        +1.414213562373e-01,        +6.549380684257e-02,        +1.184724381328e-01
 2.40045000e+00,        +1.414213562373e-01,        +6.557934711103e-02,        +1.185275206315e-01
 2.40047500e+00,        +1.414213562373e-01,        +6.566490377277e-02,        +1.185825260405e-01
 2.40050000e+00,        +1.414213562373e-01,        +6.575047684373e-02,        +1.186374544422e-01
 2.40052500e+00,        +1.414213562373e-01,        +6.583606634004e-02,        +1.186923059189e-01
 2.40055000e+00,        +1.414213562373e-01,        +6.592167227801e-02,        +1.187470805526e-01
 2.40057500e+00,        +1.414213562373e-01,        +6.600729467411e-02,        +1.188017784251e-01
 2.40060000e+00,        +1.414213562373e-01,        +6.609293354502e-02,        +1.188563996178e-01
 2.40062500e+00,        +1.414213562373e-01,        +6.617858890758e-02,        +1.189109442121e-01
 2.40065000e+00,        +1.414213562373e-01,        +6.626426077884e-02,        +1.189654122890e-01
 2.40067500e+00,        +1.414213562373e-01,        +6.634994917599e-02,        +1.190198039293e-01
 2.40070000e+00,        +1.414213562373e-01,        +6.643565411643e-02,        +1.190741192136e-01
 2.40072500e+00,        +1.414213562373e-01,        +6.652137561772e-02,        +1.191283582222e-01
 2.40075000e+00,        +1.414213562373e-01,        +6.660711369762e-02,        +1.191825210353e-01
 2.40077500e+00,        +1.414213562373e-01,        +6.669286837406e-02,        +1.192366077325e-01
