        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +4.842639986450e-02,        +5.336157404040e-02
 2.30020000e+00,        +1.414213562373e-01,        +4.886146082335e-02,        +5.365939982674e-02
 2.30040000e+00,        +1.414213562373e-01,        +4.929948561843e-02,        +5.395415234362e-02
 2.30060000e+00,        +1.414213562373e-01,        +4.974046637891e-02,        +5.424578423058e-02
 2.30080000e+00,        +1.414213562373e-01,        +5.018439465649e-02,        +5.453424768080e-02
 2.30100000e+00,        +1.414213562373e-01,        +5.063126141104e-02,        +5.481949444163e-02
 2.30120000e+00,        +1.414213562373e-01,        +5.108105699592e-02,        +5.510147581546e-02
 2.30140000e+00,        +1.414213562373e-01,        +5.153377114314e-02,        +5.538014266072e-02
 2.30160000e+00,        +1.414213562373e-01,        +5.198939294814e-02,        +5.565544539319e-02
 2.30180000e+00,        +1.414213562373e-01,        +5.244791085437e-02,        +5.592733398760e-02
 2.30200000e+00,        +1.414213562373e-01,        +5.290931263764e-02,        +5.619575797941e-02
 2.30220000e+00,        +1.414213562373e-01,        +5.337358539011e-02,        +5.646066646699e-02
 2.30240000e+00,        +1.414213562373e-01,        +5.384071550411e-02,        +5.672200811399e-02
 2.30260000e+00,        +1.414213562373e-01,        +5.431068865566e-02,        +5.697973115209e-02
 2.30280000e+00,        +1.414213562373e-01,        +5.478348978770e-02,        +5.723378338408e-02
 2.30300000e+00,        +1.414213562373e-01,        +5.525910309306e-02,        +5.748411218714e-02
 2.30320000e+00,        +1.414213562373e-01,        +5.573751199725e-02,        +5.773066451666e-02
 2.30340000e+00,        +1.414213562373e-01,        +5.621869914086e-02,        +5.797338691026e-02
 2.30360000e+00,        +1.414213562373e-01,        +5.670264636178e-02,        +5.821222549226e-02
 2.30380000e+00,        +1.414213562373e-01,        +5.718933467716e-02,        +5.844712597849e-02
 2.30400000e+00,        +1.414213562373e-01,        +5.767874426505e-02,        +5.867803368151e-02
 2.30420000e+00,        +1.414213562373e-01,        +5.817085444586e-02,        +5.890489351627e-02
 2.30440000e+00,        +1.414213562373e-01,        +5.866564366351e-02,        +5.912765000615e-02
 2.30460000e+00,        +1.414213562373e-01,        +5.916308946639e-02,        +5.934624728947e-02
 2.30480000e+00,        +1.414213562373e-01,        +5.966316848796e-02,        +5.956062912640e-02
 2.30500000e+00,        +1.414213562373e-01,        +6.016585642726e-02,        +5.977073890644e-02
 2.30520000e+00,        +1.414213562373e-01,        +6.067112802906e-02,        +5.997651965628e-02
 2.30540000e+00,        +1.414213562373e-01,        +6.117895706382e-02,        +6.017791404821e-02
 2.30560000e+00,        +1.414213562373e-01,        +6.168931630744e-02,        +6.037486440904e-02
 2.30580000e+00,        +1.414213562373e-01,        +6.220217752073e-02,        +6.056731272958e-02
 2.30600000e+00,        +1.414213562373e-01,        +6.271751142875e-02,        +6.075520067457e-02
 2.30620000e+00,        +1.414213562373e-01,        +6.323528769982e-02,        +6.093846959331e-02
 2.30640000e+00,        +1.414213562373e-01,        +6.375547492446e-02,        +6.111706053077e-02
 2.30660000e+00,        +1.414213562373e-01,        +6.427804059404e-02,        +6.129091423934e-02
 2.30680000e+00,        +1.414213562373e-01,        +6.480295107928e-02,        +6.145997119120e-02
 2.30700000e+00,        +1.414213562373e-01,        +6.533017160858e-02,        +6.162417159129e-02
 2.30720000e+00,        +1.414213562373e-01,        +6.585966624616e-02,        +6.178345539101e-02
 2.30740000e+00,        +1.414213562373e-01,        +6.639139787004e-02,        +6.193776230248e-02
 2.30760000e+00,        +1.414213562373e-01,        +6.692532814994e-02,        +6.208703181357e-02
 2.30780000e+00,        +1.414213562373e-01,        +6.746141752496e-02,        +6.223120320363e-02
 2.30800000e+00,        +1.414213562373e-01,        +6.799962518119e-02,        +6.237021555992e-02
 2.30820000e+00,        +1.414213562373e-01,        +6.853990902923e-02,        +6.250400779479e-02
 2.30840000e+00,        +1.414213562373e-01,        +6.908222568155e-02,        +6.263251866361e-02
 2.30860000e+00,        +1.414213562373e-01,        +6.962653042986e-02,        +6.275568678356e-02
 2.30880000e+00,        +1.414213562373e-01,        +7.017277722237e-02,        +6.287345065310e-02
 2.30900000e+00,        +1.414213562373e-01,        +7.072091864102e-02,        +6.298574867237e-02
 2.30920000e+00,        +1.414213562373e-01,        +7.127090587866e-02,        +6.309251916434e-02
 2.30940000e+00,        +1.414213562373e-01,        +7.182268871632e-02,        +6.319370039692e-02
 2.30960000e+00,        +1.414213562373e-01,        +7.237621550037e-02,        +6.328923060583e-02
 2.30980000e+00,        +1.414213562373e-01,        +7.293143311978e-02,        +6.337904801847e-02
 2.31000000e+00,        +1.414213562373e-01,        +7.348828698349e-02,        +6.346309087865e-02
 2.31020000e+00,        +1.414213562373e-01,        +7.404672099775e-02,        +6.354129747227e-02
 2.31040000e+00,        +1.414213562373e-01,        +7.460667754367e-02,        +6.361360615394e-02
 2.31060000e+00,        +1.414213562373e-01,        +7.516809745486e-02,        +6.367995537462e-02
 2.31080000e+00,        +1.414213562373e-01,        +7.573091999521e-02,        +6.374028371015e-02
 2.31100000e+00,        +1.414213562373e-01,        +7.629508283691e-02,        +6.379452989092e-02
 2.31120000e+00,        +1.414213562373e-01,        +7.686052203865e-02,        +6.384263283244e-02
 2.31140000e+00,        +1.414213562373e-01,        +7.742717202410e-02,        +6.388453166705e-02
 2.31160000e+00,        +1.414213562373e-01,        +7.799496556060e-02,        +6.392016577660e-02
 2.31180000e+00,        +1.414213562373e-01,        +7.856383373827e-02,        +6.394947482629e-02
 2.31200000e+00,        +1.414213562373e-01,        +7.913370594939e-02,        +6.397239879955e-02
 2.31220000e+00,        +1.414213562373e-01,        +7.970450986819e-02,        +6.398887803401e-02
 2.31240000e+00,        +1.414213562373e-01,        +8.027617143104e-02,        +6.399885325865e-02
 2.31260000e+00,        +1.414213562373e-01,        +8.084861481713e-02,        +6.400226563201e-02
 2.31280000e+00,        +1.414213562373e-01,        +8.142176242962e-02,        +6.399905678163e-02
 2.31300000e+00,        +1.414213562373e-01,        +8.199553487736e-02,        +6.398916884452e-02
 2.31320000e+00,        +1.414213562373e-01,        +8.256985095716e-02,        +6.397254450896e-02
 2.31340000e+00,        +1.414213562373e-01,        +8.314462763670e-02,        +6.394912705734e-02
 2.31360000e+00,        +1.414213562373e-01,        +8.371978003813e-02,        +6.391886041026e-02
 2.31380000e+00,        +1.414213562373e-01,        +8.429522142231e-02,        +6.388168917178e-02
 2.31400000e+00,        +1.414213562373e-01,        +8.487086317394e-02,        +6.383755867593e-02
 2.31420000e+00,        +1.414213562373e-01,        +8.544661478742e-02,        +6.378641503433e-02
 2.31440000e+00,        +1.414213562373e-01,        +8.602238385354e-02,        +6.372820518512e-02
 2.31460000e+00,        +1.414213562373e-01,        +8.659807604720e-02,        +6.366287694306e-02
 2.31480000e+00,        +1.414213562373e-01,        +8.717359511602e-02,        +6.359037905078e-02
 2.31500000e+00,        +1.414213562373e-01,        +8.774884286998e-02,        +6.351066123133e-02
 2.31520000e+00,        +1.414213562373e-01,        +8.832371917219e-02,        +6.342367424192e-02
 2.31540000e+00,        +1.414213562373e-01,        +8.889812193070e-02,        +6.332936992878e-02
 2.31560000e+00,        +1.414213562373e-01,        +8.947194709163e-02,        +6.322770128332e-02
 2.31580000e+00,        +1.414213562373e-01,        +9.004508863350e-02,        +6.311862249938e-02
 2.31600000e+00,        +1.414213562373e-01,        +9.061743856280e-02,        +6.300208903175e-02
 2.31620000e+00,        +1.414213562373e-01,        +9.118888691111e-02,        +6.287805765576e-02
 2.31640000e+00,        +1.414213562373e-01,        +9.175932173346e-02,        +6.274648652807e-02
