        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.405013933819e+00,        +1.501523010553e+02
 2.30020000e+00,        -2.423510065239e+00,        +1.498980053645e+02
 2.30040000e+00,        -2.442207910207e+00,        +1.496432475710e+02
 2.30060000e+00,        -2.461110255275e+00,        +1.493880293922e+02
 2.30080000e+00,        -2.480219932090e+00,        +1.491323526773e+02
 2.30100000e+00,        -2.499539818201e+00,        +1.488762194113e+02
 2.30120000e+00,        -2.519072837893e+00,        +1.486196317204e+02
 2.30140000e+00,        -2.538821963025e+00,        +1.483625918764e+02
 2.30160000e+00,        -2.558790213895e+00,        +1.481051023025e+02
 2.30180000e+00,        -2.578980660114e+00,        +1.478471655780e+02
 2.30200000e+00,        -2.599396421498e+00,        +1.475887844444e+02
 2.30220000e+00,        -2.620040668983e+00,        +1.473299618103e+02
 2.30240000e+00,        -2.640916625551e+00,        +1.470707007582e+02
 2.30260000e+00,        -2.662027567174e+00,        +1.468110045497e+02
 2.30280000e+00,        -2.683376823781e+00,        +1.465508766324e+02
 2.30300000e+00,        -2.704967780241e+00,        +1.462903206462e+02
 2.30320000e+00,        -2.726803877362e+00,        +1.460293404296e+02
 2.30340000e+00,        -2.748888612917e+00,        +1.457679400274e+02
 2.30360000e+00,        -2.771225542678e+00,        +1.455061236972e+02
 2.30380000e+00,        -2.793818281482e+00,        +1.452438959171e+02
 2.30400000e+00,        -2.816670504308e+00,        +1.449812613933e+02
 2.30420000e+00,        -2.839785947385e+00,        +1.447182250680e+02
 2.30440000e+00,        -2.863168409305e+00,        +1.444547921279e+02
 2.30460000e+00,        -2.886821752175e+00,        +1.441909680121e+02
 2.30480000e+00,        -2.910749902782e+00,        +1.439267584212e+02
 2.30500000e+00,        -2.934956853778e+00,        +1.436621693266e+02
 2.30520000e+00,        -2.959446664893e+00,        +1.433972069795e+02
 2.30540000e+00,        -2.984223464171e+00,        +1.431318779206e+02
 2.30560000e+00,        -3.009291449224e+00,        +1.428661889904e+02
