        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +2.421319993225e+00,        +2.668078702020e+00
 2.30020000e+00,        +7.071067811865e+00,        +2.443073041168e+00,        +2.682969991337e+00
 2.30040000e+00,        +7.071067811865e+00,        +2.464974280922e+00,        +2.697707617181e+00
 2.30060000e+00,        +7.071067811865e+00,        +2.487023318946e+00,        +2.712289211529e+00
 2.30080000e+00,        +7.071067811865e+00,        +2.509219732825e+00,        +2.726712384040e+00
 2.30100000e+00,        +7.071067811865e+00,        +2.531563070552e+00,        +2.740974722082e+00
 2.30120000e+00,        +7.071067811865e+00,        +2.554052849796e+00,        +2.755073790773e+00
 2.30140000e+00,        +7.071067811865e+00,        +2.576688557157e+00,        +2.769007133036e+00
 2.30160000e+00,        +7.071067811865e+00,        +2.599469647407e+00,        +2.782772269660e+00
 2.30180000e+00,        +7.071067811865e+00,        +2.622395542719e+00,        +2.796366699380e+00
 2.30200000e+00,        +7.071067811865e+00,        +2.645465631882e+00,        +2.809787898971e+00
 2.30220000e+00,        +7.071067811865e+00,        +2.668679269505e+00,        +2.823033323349e+00
 2.30240000e+00,        +7.071067811865e+00,        +2.692035775206e+00,        +2.836100405699e+00
 2.30260000e+00,        +7.071067811865e+00,        +2.715534432783e+00,        +2.848986557605e+00
 2.30280000e+00,        +7.071067811865e+00,        +2.739174489385e+00,        +2.861689169204e+00
 2.30300000e+00,        +7.071067811865e+00,        +2.762955154653e+00,        +2.874205609357e+00
 2.30320000e+00,        +7.071067811865e+00,        +2.786875599862e+00,        +2.886533225833e+00
 2.30340000e+00,        +7.071067811865e+00,        +2.810934957043e+00,        +2.898669345513e+00
 2.30360000e+00,        +7.071067811865e+00,        +2.835132318089e+00,        +2.910611274613e+00
 2.30380000e+00,        +7.071067811865e+00,        +2.859466733858e+00,        +2.922356298924e+00
 2.30400000e+00,        +7.071067811865e+00,        +2.883937213252e+00,        +2.933901684075e+00
 2.30420000e+00,        +7.071067811865e+00,        +2.908542722293e+00,        +2.945244675814e+00
 2.30440000e+00,        +7.071067811865e+00,        +2.933282183176e+00,        +2.956382500308e+00
 2.30460000e+00,        +7.071067811865e+00,        +2.958154473319e+00,        +2.967312364473e+00
 2.30480000e+00,        +7.071067811865e+00,        +2.983158424398e+00,        +2.978031456320e+00
 2.30500000e+00,        +7.071067811865e+00,        +3.008292821363e+00,        +2.988536945322e+00
 2.30520000e+00,        +7.071067811865e+00,        +3.033556401453e+00,        +2.998825982814e+00
