        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +2.480844318301e-09,        +2.524673013014e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.554304488895e-13,        +1.835788104597e-04,        +6.772495215831e-12,        +2.682523709376e-03,        +1.107113950229e-09,        +4.462649840869e-01,        +1.100008306743e-09,        +4.357032776415e-01,        +2.588074227168e-10,        +1.043223151117e-01,        +2.912999256766e-10,        +1.153812490469e-01,        +3.128643621558e-10,        +1.261120497759e-01,        +2.778614531966e-10,        +1.100583924192e-01,        +4.641834116744e-10,        +1.871070297520e-01,        +4.327873157156e-10,        +1.714231163738e-01,        +3.073809991347e-10,        +1.239017687918e-01,        +3.391980102009e-10,        +1.343532443419e-01
 2.40002500e+00,        +2.480271485759e-09,        +2.524138590667e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.548727798374e-13,        +1.833963670708e-04,        +6.767768262687e-12,        +2.681218966229e-03,        +1.106802871412e-09,        +4.462426301990e-01,        +1.099827524214e-09,        +4.357239052881e-01,        +2.588481799277e-10,        +1.043628414929e-01,        +2.912666127679e-10,        +1.153924803673e-01,        +3.126752431807e-10,        +1.260649267534e-01,        +2.776946805766e-10,        +1.100156233907e-01,        +4.641013961192e-10,        +1.871171759963e-01,        +4.327258185269e-10,        +1.714350472383e-01,        +3.073700578776e-10,        +1.239259732826e-01,        +3.391107577332e-10,        +1.343471230094e-01
 2.40005000e+00,        +2.479701249136e-09,        +2.523606727201e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.543160229739e-13,        +1.832140154513e-04,        +6.763055207646e-12,        +2.679916460338e-03,        +1.106492409214e-09,        +4.462200475155e-01,        +1.099647158690e-09,        +4.357442650780e-01,        +2.588892783016e-10,        +1.044034148839e-01,        +2.912337350395e-10,        +1.154037718716e-01,        +3.124866954526e-10,        +1.260178804045e-01,        +2.775284116371e-10,        +1.099729243252e-01,        +4.640200157800e-10,        +1.871273871970e-01,        +4.326648911604e-10,        +1.714470351093e-01,        +3.073594878602e-10,        +1.239502089081e-01,        +3.390239723985e-10,        +1.343410479709e-01
 2.40007500e+00,        +2.479133607293e-09,        +2.523077421510e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.537601763867e-13,        +1.830317555503e-04,        +6.758356035523e-12,        +2.678616192236e-03,        +1.106182563030e-09,        +4.461972359116e-01,        +1.099467209911e-09,        +4.357643568674e-01,        +2.589307180210e-10,        +1.044440353111e-01,        +2.912012924026e-10,        +1.154151235788e-01,        +3.122987185013e-10,        +1.259709107982e-01,        +2.773626459881e-10,        +1.099302952908e-01,        +4.639392703630e-10,        +1.871376633345e-01,        +4.326045334009e-10,        +1.714590799762e-01,        +3.073492891922e-10,        +1.239744757152e-01,        +3.389376540384e-10,        +1.343350192701e-01
 2.40010000e+00,        +2.478568559103e-09,        +2.522550672503e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.532052381685e-13,        +1.828495873168e-04,        +6.753670731213e-12,        +2.677318162458e-03,        +1.105873332259e-09,        +4.461741952619e-01,        +1.099287677618e-09,        +4.357841805124e-01,        +2.589724992706e-10,        +1.044847028013e-01,        +2.911692847713e-10,        +1.154265355084e-01,        +3.121113118599e-10,        +1.259240180037e-01,        +2.771973832426e-10,        +1.098877363552e-01,        +4.638591595779e-10,        +1.871480043892e-01,        +4.325447450366e-10,        +1.714711818286e-01,        +3.073394619856e-10,        +1.239987737506e-01,        +3.388518024969e-10,        +1.343290369508e-01
 2.40012500e+00,        +2.478006103455e-09,        +2.522026479105e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.526512064169e-13,        +1.826675106997e-04,        +6.748999279689e-12,        +2.676022371536e-03,        +1.105564716307e-09,        +4.461509254417e-01,        +1.099108561555e-09,        +4.358037358691e-01,        +2.590146222371e-10,        +1.045254173813e-01,        +2.911377120624e-10,        +1.154380076793e-01,        +3.119244750651e-10,        +1.258772020901e-01,        +2.770326230168e-10,        +1.098452475864e-01,        +4.637796831381e-10,        +1.871584103411e-01,        +4.324855258588e-10,        +1.714833406556e-01,        +3.073300063544e-10,        +1.240231030609e-01,        +3.387664176207e-10,        +1.343231010568e-01
 2.40015000e+00,        +2.477446239254e-09,        +2.521504840254e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.520980792341e-13,        +1.824855256477e-04,        +6.744341666003e-12,        +2.674728820002e-03,        +1.105256714578e-09,        +4.461274263257e-01,        +1.098929861468e-09,        +4.358230227936e-01,        +2.590570871094e-10,        +1.045661790778e-01,        +2.911065741950e-10,        +1.154495401110e-01,        +3.117382076569e-10,        +1.258304631267e-01,        +2.768683649296e-10,        +1.098028290526e-01,        +4.637008407605e-10,        +1.871688811702e-01,        +4.324268756619e-10,        +1.714955564465e-01,        +3.073209224149e-10,        +1.240474636929e-01,        +3.386814992592e-10,        +1.343172116319e-01
 2.40017500e+00,        +2.476888965418e-09,        +2.520985754906e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.515458547276e-13,        +1.823036321095e-04,        +6.739697875281e-12,        +2.673437508390e-03,        +1.104949326485e-09,        +4.461036977889e-01,        +1.098751577108e-09,        +4.358420411419e-01,        +2.590998940787e-10,        +1.046069879176e-01,        +2.910758710911e-10,        +1.154611328226e-01,        +3.115525091784e-10,        +1.257838011830e-01,        +2.767046086032e-10,        +1.097604808217e-01,        +4.636226321656e-10,        +1.871794168566e-01,        +4.323687942438e-10,        +1.715078291904e-01,        +3.073122102855e-10,        +1.240718556932e-01,        +3.385970472646e-10,        +1.343113687198e-01
 2.40020000e+00,        +2.476334280883e-09,        +2.520469222030e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.509945310093e-13,        +1.821218300336e-04,        +6.735067892731e-12,        +2.672148437229e-03,        +1.104642551442e-09,        +4.460797397063e-01,        +1.098573708225e-09,        +4.358607907701e-01,        +2.591430433381e-10,        +1.046478439274e-01,        +2.910456026753e-10,        +1.154727858335e-01,        +3.113673791766e-10,        +1.257372163283e-01,        +2.765413536626e-10,        +1.097182029622e-01,        +4.635450570773e-10,        +1.871900173800e-01,        +4.323112814053e-10,        +1.715201588763e-01,        +3.073038700870e-10,        +1.240962791087e-01,        +3.385130614917e-10,        +1.343055723645e-01
 2.40022500e+00,        +2.475782184600e-09,        +2.519955240610e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.504441061963e-13,        +1.819401193684e-04,        +6.730451703636e-12,        +2.670861607052e-03,        +1.104336388867e-09,        +4.460555519529e-01,        +1.098396254575e-09,        +4.358792715339e-01,        +2.591865350829e-10,        +1.046887471342e-01,        +2.910157688749e-10,        +1.154844991629e-01,        +3.111828172014e-10,        +1.256907086322e-01,        +2.763785997359e-10,        +1.096759955423e-01,        +4.634681152234e-10,        +1.872006827201e-01,        +4.322543369506e-10,        +1.715325454931e-01,        +3.072959019422e-10,        +1.241207339861e-01,        +3.384295417980e-10,        +1.342998226096e-01
