        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -4.700439349966e-02,        +1.379423472768e+02
 2.40002500e+00,        -4.699080544489e-02,        +1.378970568360e+02
 2.40005000e+00,        -4.697722839138e-02,        +1.378517764623e+02
 2.40007500e+00,        -4.696366231395e-02,        +1.378065061088e+02
 2.40010000e+00,        -4.695010718746e-02,        +1.377612457290e+02
 2.40012500e+00,        -4.693656298687e-02,        +1.377159952761e+02
 2.40015000e+00,        -4.692302968722e-02,        +1.376707547035e+02
 2.40017500e+00,        -4.690950726358e-02,        +1.376255239645e+02
 2.40020000e+00,        -4.689599569112e-02,        +1.375803030125e+02
 2.40022500e+00,        -4.688249494508e-02,        +1.375350918008e+02
 2.40025000e+00,        -4.686900500076e-02,        +1.374898902830e+02
 2.40027500e+00,        -4.685552583354e-02,        +1.374446984125e+02
 2.40030000e+00,        -4.684205741887e-02,        +1.373995161426e+02
 2.40032500e+00,        -4.682859973226e-02,        +1.373543434269e+02
 2.40035000e+00,        -4.681515274930e-02,        +1.373091802189e+02
 2.40037500e+00,        -4.680171644564e-02,        +1.372640264720e+02
 2.40040000e+00,        -4.678829079701e-02,        +1.372188821399e+02
 2.40042500e+00,        -4.677487577920e-02,        +1.371737471759e+02
 2.40045000e+00,        -4.676147136808e-02,        +1.371286215337e+02
 2.40047500e+00,        -4.674807753959e-02,        +1.370835051669e+02
 2.40050000e+00,        -4.673469426970e-02,        +1.370383980290e+02
 2.40052500e+00,        -4.672132153452e-02,        +1.369933000737e+02
 2.40055000e+00,        -4.670795931017e-02,        +1.369482112546e+02
 2.40057500e+00,        -4.669460757286e-02,        +1.369031315253e+02
 2.40060000e+00,        -4.668126629887e-02,        +1.368580608394e+02
 2.40062500e+00,        -4.666793546455e-02,        +1.368129991506e+02
 2.40065000e+00,        -4.665461504630e-02,        +1.367679464127e+02
 2.40067500e+00,        -4.664130502060e-02,        +1.367229025792e+02
 2.40070000e+00,        -4.662800536401e-02,        +1.366778676040e+02
 2.40072500e+00,        -4.661471605314e-02,        +1.366328414407e+02
 2.40075000e+00,        -4.660143706467e-02,        +1.365878240431e+02
 2.40077500e+00,        -4.658816837537e-02,        +1.365428153649e+02
 2.40080000e+00,        -4.657490996204e-02,        +1.364978153599e+02
 2.40082500e+00,        -4.656166180155e-02,        +1.364528239818e+02
 2.40085000e+00,        -4.654842387089e-02,        +1.364078411845e+02
 2.40087500e+00,        -4.653519614704e-02,        +1.363628669217e+02
 2.40090000e+00,        -4.652197860711e-02,        +1.363179011472e+02
 2.40092500e+00,        -4.650877122827e-02,        +1.362729438150e+02
 2.40095000e+00,        -4.649557398768e-02,        +1.362279948787e+02
 2.40097500e+00,        -4.648238686268e-02,        +1.361830542923e+02
 2.40100000e+00,        -4.646920983059e-02,        +1.361381220096e+02
 2.40102500e+00,        -4.645604286884e-02,        +1.360931979845e+02
 2.40105000e+00,        -4.644288595490e-02,        +1.360482821708e+02
 2.40107500e+00,        -4.642973906632e-02,        +1.360033745224e+02
 2.40110000e+00,        -4.641660218072e-02,        +1.359584749933e+02
 2.40112500e+00,        -4.640347527577e-02,        +1.359135835373e+02
 2.40115000e+00,        -4.639035832924e-02,        +1.358687001084e+02
 2.40117500e+00,        -4.637725131890e-02,        +1.358238246604e+02
 2.40120000e+00,        -4.636415422265e-02,        +1.357789571473e+02
 2.40122500e+00,        -4.635106701841e-02,        +1.357340975230e+02
 2.40125000e+00,        -4.633798968420e-02,        +1.356892457415e+02
 2.40127500e+00,        -4.632492219808e-02,        +1.356444017568e+02
 2.40130000e+00,        -4.631186453818e-02,        +1.355995655227e+02
 2.40132500e+00,        -4.629881668269e-02,        +1.355547369933e+02
