        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.849338369081e+00,        +4.711188972157e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.853055877981e+00,        +4.715322482856e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.856775836327e+00,        +4.719452138014e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.860498243454e+00,        +4.723577941248e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.864223098706e+00,        +4.727699896170e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.867950401443e+00,        +4.731818006382e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.871680151038e+00,        +4.735932275474e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.875412346878e+00,        +4.740042707029e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.879146988360e+00,        +4.744149304623e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.882884074899e+00,        +4.748252071819e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.886623605920e+00,        +4.752351012172e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.890365580861e+00,        +4.756446129230e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.894109999177e+00,        +4.760537426530e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.897856860332e+00,        +4.764624907600e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.901606163805e+00,        +4.768708575959e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.905357909088e+00,        +4.772788435118e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.909112095687e+00,        +4.776864488577e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.912868723121e+00,        +4.780936739829e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.916627790920e+00,        +4.785005192355e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.920389298631e+00,        +4.789069849632e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.924153245810e+00,        +4.793130715123e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.927919632030e+00,        +4.797187792284e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.931688456875e+00,        +4.801241084561e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.935459719941e+00,        +4.805290595394e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.939233420841e+00,        +4.809336328210e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.943009559197e+00,        +4.813378286429e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.946788134648e+00,        +4.817416473462e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.950569146841e+00,        +4.821450892711e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.954352595442e+00,        +4.825481547569e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.958138480126e+00,        +4.829508441419e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.961926800582e+00,        +4.833531577636e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.965717556513e+00,        +4.837550959586e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.969510747634e+00,        +4.841566590626e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.973306373674e+00,        +4.845578474104e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.977104434375e+00,        +4.849586613359e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.980904929490e+00,        +4.853591011720e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.984707858788e+00,        +4.857591672509e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.988513222050e+00,        +4.861588599038e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.992321019068e+00,        +4.865581794610e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.996131249650e+00,        +4.869571262520e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.999943913616e+00,        +4.873557006052e+00
 2.40102500e+00,        +7.071067811865e+00,        +2.003759010798e+00,        +4.877539028483e+00
 2.40105000e+00,        +7.071067811865e+00,        +2.007576541041e+00,        +4.881517333081e+00
 2.40107500e+00,        +7.071067811865e+00,        +2.011396504206e+00,        +4.885491923104e+00
 2.40110000e+00,        +7.071067811865e+00,        +2.015218900163e+00,        +4.889462801801e+00
 2.40112500e+00,        +7.071067811865e+00,        +2.019043728797e+00,        +4.893429972415e+00
 2.40115000e+00,        +7.071067811865e+00,        +2.022870990007e+00,        +4.897393438176e+00
 2.40117500e+00,        +7.071067811865e+00,        +2.026700683701e+00,        +4.901353202307e+00
 2.40120000e+00,        +7.071067811865e+00,        +2.030532809805e+00,        +4.905309268023e+00
 2.40122500e+00,        +7.071067811865e+00,        +2.034367368255e+00,        +4.909261638529e+00
 2.40125000e+00,        +7.071067811865e+00,        +2.038204359000e+00,        +4.913210317021e+00
 2.40127500e+00,        +7.071067811865e+00,        +2.042043782002e+00,        +4.917155306686e+00
 2.40130000e+00,        +7.071067811865e+00,        +2.045885637238e+00,        +4.921096610705e+00
 2.40132500e+00,        +7.071067811865e+00,        +2.049729924695e+00,        +4.925034232245e+00
 2.40135000e+00,        +7.071067811865e+00,        +2.053576644375e+00,        +4.928968174468e+00
 2.40137500e+00,        +7.071067811865e+00,        +2.057425796292e+00,        +4.932898440526e+00
 2.40140000e+00,        +7.071067811865e+00,        +2.061277380474e+00,        +4.936825033562e+00
 2.40142500e+00,        +7.071067811865e+00,        +2.065131396959e+00,        +4.940747956711e+00
 2.40145000e+00,        +7.071067811865e+00,        +2.068987845802e+00,        +4.944667213098e+00
 2.40147500e+00,        +7.071067811865e+00,        +2.072846727068e+00,        +4.948582805839e+00
 2.40150000e+00,        +7.071067811865e+00,        +2.076708040836e+00,        +4.952494738043e+00
 2.40152500e+00,        +7.071067811865e+00,        +2.080571787198e+00,        +4.956403012809e+00
 2.40155000e+00,        +7.071067811865e+00,        +2.084437966259e+00,        +4.960307633227e+00
 2.40157500e+00,        +7.071067811865e+00,        +2.088306578135e+00,        +4.964208602378e+00
 2.40160000e+00,        +7.071067811865e+00,        +2.092177622957e+00,        +4.968105923334e+00
 2.40162500e+00,        +7.071067811865e+00,        +2.096051100870e+00,        +4.971999599160e+00
 2.40165000e+00,        +7.071067811865e+00,        +2.099927012028e+00,        +4.975889632910e+00
 2.40167500e+00,        +7.071067811865e+00,        +2.103805356601e+00,        +4.979776027631e+00
 2.40170000e+00,        +7.071067811865e+00,        +2.107686134772e+00,        +4.983658786359e+00
 2.40172500e+00,        +7.071067811865e+00,        +2.111569346734e+00,        +4.987537912123e+00
 2.40175000e+00,        +7.071067811865e+00,        +2.115454992696e+00,        +4.991413407944e+00
 2.40177500e+00,        +7.071067811865e+00,        +2.119343072878e+00,        +4.995285276831e+00
 2.40180000e+00,        +7.071067811865e+00,        +2.123233587514e+00,        +4.999153521788e+00
 2.40182500e+00,        +7.071067811865e+00,        +2.127126536851e+00,        +5.003018145806e+00
 2.40185000e+00,        +7.071067811865e+00,        +2.131021921147e+00,        +5.006879151872e+00
 2.40187500e+00,        +7.071067811865e+00,        +2.134919740675e+00,        +5.010736542960e+00
 2.40190000e+00,        +7.071067811865e+00,        +2.138819995719e+00,        +5.014590322038e+00
 2.40192500e+00,        +7.071067811865e+00,        +2.142722686578e+00,        +5.018440492063e+00
 2.40195000e+00,        +7.071067811865e+00,        +2.146627813563e+00,        +5.022287055986e+00
 2.40197500e+00,        +7.071067811865e+00,        +2.150535376996e+00,        +5.026130016747e+00
 2.40200000e+00,        +7.071067811865e+00,        +2.154445377216e+00,        +5.029969377277e+00
 2.40202500e+00,        +7.071067811865e+00,        +2.158357814570e+00,        +5.033805140500e+00
 2.40205000e+00,        +7.071067811865e+00,        +2.162272689421e+00,        +5.037637309331e+00
 2.40207500e+00,        +7.071067811865e+00,        +2.166190002145e+00,        +5.041465886674e+00
 2.40210000e+00,        +7.071067811865e+00,        +2.170109753129e+00,        +5.045290875428e+00
 2.40212500e+00,        +7.071067811865e+00,        +2.174031942774e+00,        +5.049112278478e+00
 2.40215000e+00,        +7.071067811865e+00,        +2.177956571495e+00,        +5.052930098706e+00
 2.40217500e+00,        +7.071067811865e+00,        +2.181883639716e+00,        +5.056744338982e+00
 2.40220000e+00,        +7.071067811865e+00,        +2.185813147879e+00,        +5.060555002167e+00
 2.40222500e+00,        +7.071067811865e+00,        +2.189745096435e+00,        +5.064362091114e+00
 2.40225000e+00,        +7.071067811865e+00,        +2.193679485849e+00,        +5.068165608668e+00
 2.40227500e+00,        +7.071067811865e+00,        +2.197616316600e+00,        +5.071965557665e+00
 2.40230000e+00,        +7.071067811865e+00,        +2.201555589178e+00,        +5.075761940931e+00
 2.40232500e+00,        +7.071067811865e+00,        +2.205497304088e+00,        +5.079554761284e+00
 2.40235000e+00,        +7.071067811865e+00,        +2.209441461845e+00,        +5.083344021534e+00
 2.40237500e+00,        +7.071067811865e+00,        +2.213388062981e+00,        +5.087129724481e+00
 2.40240000e+00,        +7.071067811865e+00,        +2.217337108036e+00,        +5.090911872917e+00
 2.40242500e+00,        +7.071067811865e+00,        +2.221288597566e+00,        +5.094690469625e+00
 2.40245000e+00,        +7.071067811865e+00,        +2.225242532140e+00,        +5.098465517380e+00
 2.40247500e+00,        +7.071067811865e+00,        +2.229198912339e+00,        +5.102237018947e+00
 2.40250000e+00,        +7.071067811865e+00,        +2.233157738756e+00,        +5.106004977083e+00
 2.40252500e+00,        +7.071067811865e+00,        +2.237119011998e+00,        +5.109769394537e+00
 2.40255000e+00,        +7.071067811865e+00,        +2.241082732686e+00,        +5.113530274047e+00
 2.40257500e+00,        +7.071067811865e+00,        +2.245048901452e+00,        +5.117287618344e+00
 2.40260000e+00,        +7.071067811865e+00,        +2.249017518940e+00,        +5.121041430152e+00
 2.40262500e+00,        +7.071067811865e+00,        +2.252988585811e+00,        +5.124791712181e+00
 2.40265000e+00,        +7.071067811865e+00,        +2.256962102735e+00,        +5.128538467138e+00
 2.40267500e+00,        +7.071067811865e+00,        +2.260938070396e+00,        +5.132281697718e+00
 2.40270000e+00,        +7.071067811865e+00,        +2.264916489492e+00,        +5.136021406608e+00
 2.40272500e+00,        +7.071067811865e+00,        +2.268897360732e+00,        +5.139757596486e+00
 2.40275000e+00,        +7.071067811865e+00,        +2.272880684840e+00,        +5.143490270022e+00
 2.40277500e+00,        +7.071067811865e+00,        +2.276866462551e+00,        +5.147219429878e+00
 2.40280000e+00,        +7.071067811865e+00,        +2.280854694615e+00,        +5.150945078704e+00
 2.40282500e+00,        +7.071067811865e+00,        +2.284845381792e+00,        +5.154667219144e+00
 2.40285000e+00,        +7.071067811865e+00,        +2.288838524859e+00,        +5.158385853834e+00
 2.40287500e+00,        +7.071067811865e+00,        +2.292834124601e+00,        +5.162100985398e+00
 2.40290000e+00,        +7.071067811865e+00,        +2.296832181821e+00,        +5.165812616455e+00
