        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.343626953625e+00,        +1.671221249172e+02
 2.30020000e+00,        -2.362845529440e+00,        +1.668710307032e+02
 2.30040000e+00,        -2.382281476565e+00,        +1.666193974822e+02
 2.30060000e+00,        -2.401937845707e+00,        +1.663672272839e+02
 2.30080000e+00,        -2.421817737050e+00,        +1.661145222946e+02
 2.30100000e+00,        -2.441924301135e+00,        +1.658612848632e+02
 2.30120000e+00,        -2.462260739761e+00,        +1.656075175062e+02
 2.30140000e+00,        -2.482830306898e+00,        +1.653532229142e+02
 2.30160000e+00,        -2.503636309621e+00,        +1.650984039575e+02
 2.30180000e+00,        -2.524682109055e+00,        +1.648430636927e+02
 2.30200000e+00,        -2.545971121345e+00,        +1.645872053692e+02
 2.30220000e+00,        -2.567506818643e+00,        +1.643308324356e+02
 2.30240000e+00,        -2.589292730106e+00,        +1.640739485470e+02
 2.30260000e+00,        -2.611332442923e+00,        +1.638165575718e+02
 2.30280000e+00,        -2.633629603353e+00,        +1.635586635994e+02
 2.30300000e+00,        -2.656187917787e+00,        +1.633002709478e+02
 2.30320000e+00,        -2.679011153828e+00,        +1.630413841713e+02
 2.30340000e+00,        -2.702103141390e+00,        +1.627820080688e+02
 2.30360000e+00,        -2.725467773820e+00,        +1.625221476926e+02
 2.30380000e+00,        -2.749109009039e+00,        +1.622618083563e+02
 2.30400000e+00,        -2.773030870703e+00,        +1.620009956448e+02
 2.30420000e+00,        -2.797237449389e+00,        +1.617397154230e+02
 2.30440000e+00,        -2.821732903798e+00,        +1.614779738455e+02
 2.30460000e+00,        -2.846521461985e+00,        +1.612157773671e+02
 2.30480000e+00,        -2.871607422608e+00,        +1.609531327526e+02
 2.30500000e+00,        -2.896995156201e+00,        +1.606900470874e+02
 2.30520000e+00,        -2.922689106470e+00,        +1.604265277893e+02
 2.30540000e+00,        -2.948693791614e+00,        +1.601625826192e+02
 2.30560000e+00,        -2.975013805666e+00,        +1.598982196931e+02
 2.30580000e+00,        -3.001653819866e+00,        +1.596334474949e+02
 2.30600000e+00,        -3.028618584046e+00,        +1.593682748880e+02
 2.30620000e+00,        -3.055912928055e+00,        +1.591027111297e+02
 2.30640000e+00,        -3.083541763198e+00,        +1.588367658836e+02
 2.30660000e+00,        -3.111510083702e+00,        +1.585704492346e+02
 2.30680000e+00,        -3.139822968216e+00,        +1.583037717027e+02
 2.30700000e+00,        -3.168485581329e+00,        +1.580367442586e+02
 2.30720000e+00,        -3.197503175113e+00,        +1.577693783393e+02
 2.30740000e+00,        -3.226881090704e+00,        +1.575016858637e+02
 2.30760000e+00,        -3.256624759898e+00,        +1.572336792501e+02
 2.30780000e+00,        -3.286739706782e+00,        +1.569653714330e+02
 2.30800000e+00,        -3.317231549388e+00,        +1.566967758811e+02
 2.30820000e+00,        -3.348106001379e+00,        +1.564279066165e+02
 2.30840000e+00,        -3.379368873758e+00,        +1.561587782333e+02
 2.30860000e+00,        -3.411026076613e+00,        +1.558894059178e+02
 2.30880000e+00,        -3.443083620878e+00,        +1.556198054695e+02
 2.30900000e+00,        -3.475547620138e+00,        +1.553499933223e+02
 2.30920000e+00,        -3.508424292448e+00,        +1.550799865670e+02
 2.30940000e+00,        -3.541719962190e+00,        +1.548098029744e+02
 2.30960000e+00,        -3.575441061954e+00,        +1.545394610189e+02
 2.30980000e+00,        -3.609594134450e+00,        +1.542689799042e+02
 2.31000000e+00,        -3.644185834447e+00,        +1.539983795881e+02
 2.31020000e+00,        -3.679222930736e+00,        +1.537276808101e+02
 2.31040000e+00,        -3.714712308133e+00,        +1.534569051190e+02
 2.31060000e+00,        -3.750660969493e+00,        +1.531860749015e+02
 2.31080000e+00,        -3.787076037763e+00,        +1.529152134124e+02
 2.31100000e+00,        -3.823964758059e+00,        +1.526443448059e+02
 2.31120000e+00,        -3.861334499765e+00,        +1.523734941676e+02
 2.31140000e+00,        -3.899192758661e+00,        +1.521026875481e+02
 2.31160000e+00,        -3.937547159072e+00,        +1.518319519984e+02
 2.31180000e+00,        -3.976405456046e+00,        +1.515613156055e+02
 2.31200000e+00,        -4.015775537543e+00,        +1.512908075305e+02
 2.31220000e+00,        -4.055665426658e+00,        +1.510204580480e+02
 2.31240000e+00,        -4.096083283851e+00,        +1.507502985862e+02
 2.31260000e+00,        -4.137037409204e+00,        +1.504803617702e+02
 2.31280000e+00,        -4.178536244682e+00,        +1.502106814652e+02
 2.31300000e+00,        -4.220588376422e+00,        +1.499412928231e+02
 2.31320000e+00,        -4.263202537017e+00,        +1.496722323300e+02
 2.31340000e+00,        -4.306387607815e+00,        +1.494035378560e+02
 2.31360000e+00,        -4.350152621226e+00,        +1.491352487070e+02
 2.31380000e+00,        -4.394506763021e+00,        +1.488674056783e+02
 2.31400000e+00,        -4.439459374634e+00,        +1.486000511115e+02
 2.31420000e+00,        -4.485019955456e+00,        +1.483332289524e+02
 2.31440000e+00,        -4.531198165110e+00,        +1.480669848124e+02
 2.31460000e+00,        -4.578003825720e+00,        +1.478013660317e+02
 2.31480000e+00,        -4.625446924144e+00,        +1.475364217462e+02
 2.31500000e+00,        -4.673537614183e+00,        +1.472722029560e+02
 2.31520000e+00,        -4.722286218752e+00,        +1.470087625980e+02
 2.31540000e+00,        -4.771703232000e+00,        +1.467461556212e+02
 2.31560000e+00,        -4.821799321379e+00,        +1.464844390648e+02
 2.31580000e+00,        -4.872585329649e+00,        +1.462236721407e+02
 2.31600000e+00,        -4.924072276799e+00,        +1.459639163190e+02
 2.31620000e+00,        -4.976271361890e+00,        +1.457052354171e+02
 2.31640000e+00,        -5.029193964787e+00,        +1.454476956937e+02
 2.31660000e+00,        -5.082851647780e+00,        +1.451913659460e+02
 2.31680000e+00,        -5.137256157069e+00,        +1.449363176116e+02
 2.31700000e+00,        -5.192419424100e+00,        +1.446826248759e+02
 2.31720000e+00,        -5.248353566729e+00,        +1.444303647826e+02
 2.31740000e+00,        -5.305070890194e+00,        +1.441796173514e+02
 2.31760000e+00,        -5.362583887874e+00,        +1.439304656989e+02
 2.31780000e+00,        -5.420905241797e+00,        +1.436829961675e+02
 2.31800000e+00,        -5.480047822883e+00,        +1.434372984578e+02
 2.31820000e+00,        -5.540024690886e+00,        +1.431934657696e+02
 2.31840000e+00,        -5.600849093986e+00,        +1.429515949475e+02
 2.31860000e+00,        -5.662534468019e+00,        +1.427117866349e+02
 2.31880000e+00,        -5.725094435272e+00,        +1.424741454341e+02
 2.31900000e+00,        -5.788542802824e+00,        +1.422387800751e+02
 2.31920000e+00,        -5.852893560359e+00,        +1.420058035919e+02
 2.31940000e+00,        -5.918160877416e+00,        +1.417753335070e+02
 2.31960000e+00,        -5.984359099992e+00,        +1.415474920255e+02
 2.31980000e+00,        -6.051502746446e+00,        +1.413224062381e+02
 2.32000000e+00,        -6.119606502623e+00,        +1.411002083338e+02
 2.32020000e+00,        -6.188685216114e+00,        +1.408810358238e+02
 2.32040000e+00,        -6.258753889565e+00,        +1.406650317750e+02
 2.32060000e+00,        -6.329827672933e+00,        +1.404523450560e+02
 2.32080000e+00,        -6.401921854576e+00,        +1.402431305944e+02
 2.32100000e+00,        -6.475051851063e+00,        +1.400375496473e+02
 2.32120000e+00,        -6.549233195570e+00,        +1.398357700844e+02
 2.32140000e+00,        -6.624481524710e+00,        +1.396379666851e+02
 2.32160000e+00,        -6.700812563639e+00,        +1.394443214502e+02
 2.32180000e+00,        -6.778242109272e+00,        +1.392550239292e+02
 2.32200000e+00,        -6.856786011398e+00,        +1.390702715622e+02
 2.32220000e+00,        -6.936460151494e+00,        +1.388902700396e+02
 2.32240000e+00,        -7.017280418996e+00,        +1.387152336788e+02
 2.32260000e+00,        -7.099262684778e+00,        +1.385453858180e+02
 2.32280000e+00,        -7.182422771548e+00,        +1.383809592303e+02
 2.32300000e+00,        -7.266776420855e+00,        +1.382221965554e+02
 2.32320000e+00,        -7.352339256363e+00,        +1.380693507531e+02
 2.32340000e+00,        -7.439126743026e+00,        +1.379226855764e+02
 2.32360000e+00,        -7.527154141737e+00,        +1.377824760662e+02
 2.32380000e+00,        -7.616436459022e+00,        +1.376490090686e+02
 2.32400000e+00,        -7.706988391267e+00,        +1.375225837738e+02
 2.32420000e+00,        -7.798824262944e+00,        +1.374035122786e+02
