        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.807984301729e+00,        +1.203268266650e+00
 2.30020000e+00,        +7.071067811865e+00,        +1.824928618310e+00,        +1.223611299928e+00
 2.30040000e+00,        +7.071067811865e+00,        +1.842066840150e+00,        +1.243853147901e+00
 2.30060000e+00,        +7.071067811865e+00,        +1.859399394938e+00,        +1.263991226421e+00
 2.30080000e+00,        +7.071067811865e+00,        +1.876926686127e+00,        +1.284022916869e+00
 2.30100000e+00,        +7.071067811865e+00,        +1.894649092087e+00,        +1.303945565966e+00
 2.30120000e+00,        +7.071067811865e+00,        +1.912566965246e+00,        +1.323756485595e+00
 2.30140000e+00,        +7.071067811865e+00,        +1.930680631213e+00,        +1.343452952633e+00
 2.30160000e+00,        +7.071067811865e+00,        +1.948990387877e+00,        +1.363032208787e+00
 2.30180000e+00,        +7.071067811865e+00,        +1.967496504488e+00,        +1.382491460457e+00
 2.30200000e+00,        +7.071067811865e+00,        +1.986199220723e+00,        +1.401827878598e+00
 2.30220000e+00,        +7.071067811865e+00,        +2.005098745729e+00,        +1.421038598606e+00
 2.30240000e+00,        +7.071067811865e+00,        +2.024195257138e+00,        +1.440120720207e+00
 2.30260000e+00,        +7.071067811865e+00,        +2.043488900081e+00,        +1.459071307373e+00
 2.30280000e+00,        +7.071067811865e+00,        +2.062979786164e+00,        +1.477887388246e+00
 2.30300000e+00,        +7.071067811865e+00,        +2.082667992428e+00,        +1.496565955079e+00
 2.30320000e+00,        +7.071067811865e+00,        +2.102553560299e+00,        +1.515103964200e+00
 2.30340000e+00,        +7.071067811865e+00,        +2.122636494501e+00,        +1.533498335983e+00
 2.30360000e+00,        +7.071067811865e+00,        +2.142916761963e+00,        +1.551745954851e+00
 2.30380000e+00,        +7.071067811865e+00,        +2.163394290695e+00,        +1.569843669288e+00
 2.30400000e+00,        +7.071067811865e+00,        +2.184068968650e+00,        +1.587788291877e+00
 2.30420000e+00,        +7.071067811865e+00,        +2.204940642561e+00,        +1.605576599357e+00
 2.30440000e+00,        +7.071067811865e+00,        +2.226009116760e+00,        +1.623205332707e+00
 2.30460000e+00,        +7.071067811865e+00,        +2.247274151975e+00,        +1.640671197244e+00
 2.30480000e+00,        +7.071067811865e+00,        +2.268735464107e+00,        +1.657970862757e+00
 2.30500000e+00,        +7.071067811865e+00,        +2.290392722986e+00,        +1.675100963653e+00
 2.30520000e+00,        +7.071067811865e+00,        +2.312245551109e+00,        +1.692058099145e+00
 2.30540000e+00,        +7.071067811865e+00,        +2.334293522350e+00,        +1.708838833452e+00
 2.30560000e+00,        +7.071067811865e+00,        +2.356536160660e+00,        +1.725439696035e+00
 2.30580000e+00,        +7.071067811865e+00,        +2.378972938743e+00,        +1.741857181862e+00
 2.30600000e+00,        +7.071067811865e+00,        +2.401603276706e+00,        +1.758087751706e+00
 2.30620000e+00,        +7.071067811865e+00,        +2.424426540703e+00,        +1.774127832464e+00
 2.30640000e+00,        +7.071067811865e+00,        +2.447442041543e+00,        +1.789973817523e+00
 2.30660000e+00,        +7.071067811865e+00,        +2.470649033296e+00,        +1.805622067149e+00
 2.30680000e+00,        +7.071067811865e+00,        +2.494046711868e+00,        +1.821068908914e+00
 2.30700000e+00,        +7.071067811865e+00,        +2.517634213564e+00,        +1.836310638165e+00
 2.30720000e+00,        +7.071067811865e+00,        +2.541410613629e+00,        +1.851343518521e+00
 2.30740000e+00,        +7.071067811865e+00,        +2.565374924781e+00,        +1.866163782414e+00
 2.30760000e+00,        +7.071067811865e+00,        +2.589526095713e+00,        +1.880767631671e+00
 2.30780000e+00,        +7.071067811865e+00,        +2.613863009593e+00,        +1.895151238135e+00
 2.30800000e+00,        +7.071067811865e+00,        +2.638384482539e+00,        +1.909310744329e+00
 2.30820000e+00,        +7.071067811865e+00,        +2.663089262086e+00,        +1.923242264160e+00
