        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +2.318424703139e-09,        +2.370125124869e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.174943084090e-13,        +1.800767166791e-04,        +6.255643652112e-12,        +2.639372743015e-03,        +1.035635064312e-09,        +4.466977352810e-01,        +1.041303866090e-09,        +4.393455244889e-01,        +2.436401338372e-10,        +1.050886550283e-01,        +2.728351409100e-10,        +1.151142351293e-01,        +2.905863348161e-10,        +1.253378358256e-01,        +2.582328276607e-10,        +1.089532467932e-01,        +4.329763242514e-10,        +1.867545336560e-01,        +4.039735446230e-10,        +1.704439737735e-01,        +2.874158748326e-10,        +1.239703296999e-01,        +3.159039818713e-10,        +1.332857824917e-01
 2.40002500e+00,        +2.317798963844e-09,        +2.369529055725e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.169659432573e-13,        +1.798973723613e-04,        +6.251092133360e-12,        +2.638115839204e-03,        +1.035298265232e-09,        +4.466730209919e-01,        +1.041082390797e-09,        +4.393625764079e-01,        +2.436687234880e-10,        +1.051293607811e-01,        +2.727947643500e-10,        +1.151261528914e-01,        +2.904019395073e-10,        +1.252921172360e-01,        +2.580700099661e-10,        +1.089119415281e-01,        +4.328845019238e-10,        +1.867653358537e-01,        +4.039015057258e-10,        +1.704564477697e-01,        +2.873942708693e-10,        +1.239944772400e-01,        +3.158112654357e-10,        +1.332801826898e-01
 2.40005000e+00,        +2.317175760531e-09,        +2.368935485501e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.164384715112e-13,        +1.797181200513e-04,        +6.246553985576e-12,        +2.636861165620e-03,        +1.034962104911e-09,        +4.466480801928e-01,        +1.040861359844e-09,        +4.393793609892e-01,        +2.436976355472e-10,        +1.051701125560e-01,        +2.727548023651e-10,        +1.151381302000e-01,        +2.902180964127e-10,        +1.252464751945e-01,        +2.579076796810e-10,        +1.088707063825e-01,        +4.327932879704e-10,        +1.867762020224e-01,        +4.038300124379e-10,        +1.704689785389e-01,        +2.873730229947e-10,        +1.240186557660e-01,        +3.157189993918e-10,        +1.332746296065e-01
 2.40007500e+00,        +2.316555091715e-09,        +2.368344412751e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.159118912434e-13,        +1.795389596953e-04,        +6.242029192639e-12,        +2.635608722715e-03,        +1.034626582642e-09,        +4.466229127649e-01,        +1.040640772875e-09,        +4.393958780965e-01,        +2.437268701419e-10,        +1.052109103787e-01,        +2.727152548154e-10,        +1.151501670733e-01,        +2.900348050102e-10,        +1.252009097679e-01,        +2.577458363671e-10,        +1.088295414212e-01,        +4.327026820275e-10,        +1.867871321407e-01,        +4.037590644781e-10,        +1.704815660697e-01,        +2.873521312566e-10,        +1.240428653237e-01,        +3.156271835215e-10,        +1.332691232838e-01
 2.40010000e+00,        +2.315936955923e-09,        +2.367755836041e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.153862005314e-13,        +1.793598912393e-04,        +6.237517738506e-12,        +2.634358510942e-03,        +1.034291697724e-09,        +4.465975185891e-01,        +1.040420629537e-09,        +4.394121275935e-01,        +2.437564274013e-10,        +1.052517542751e-01,        +2.726761215636e-10,        +1.151622635295e-01,        +2.898520647812e-10,        +1.251554210230e-01,        +2.575844795893e-10,        +1.087884467091e-01,        +4.326126837348e-10,        +1.867981261875e-01,        +4.036886615683e-10,        +1.704942103504e-01,        +2.873315957044e-10,        +1.240671059588e-01,        +3.155358176092e-10,        +1.332636637639e-01
 2.40012500e+00,        +2.315321351698e-09,        +2.367169753954e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.148613974581e-13,        +1.791809146293e-04,        +6.233019607212e-12,        +2.633110530752e-03,        +1.033957449458e-09,        +4.465718975465e-01,        +1.040200929476e-09,        +4.394281093439e-01,        +2.437863074568e-10,        +1.052926442707e-01,        +2.726374024749e-10,        +1.151744195868e-01,        +2.896698752105e-10,        +1.251100090266e-01,        +2.574236089152e-10,        +1.087474223111e-01,        +4.325232927354e-10,        +1.868091841412e-01,        +4.036188034333e-10,        +1.705069113692e-01,        +2.873114163900e-10,        +1.240913777171e-01,        +3.154449014422e-10,        +1.332582510888e-01
 2.40015000e+00,        +2.314708277599e-09,        +2.366586165087e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.143374801113e-13,        +1.790020298113e-04,        +6.228534782870e-12,        +2.631864782596e-03,        +1.033623837148e-09,        +4.465460495180e-01,        +1.039981672345e-09,        +4.394438232114e-01,        +2.438165104415e-10,        +1.053335803916e-01,        +2.725990974171e-10,        +1.151866352633e-01,        +2.894882357860e-10,        +1.250646738458e-01,        +2.572632239157e-10,        +1.087064682922e-01,        +4.324345086762e-10,        +1.868203059803e-01,        +4.035494898014e-10,        +1.705196691145e-01,        +2.872915933671e-10,        +1.241156806443e-01,        +3.153544348102e-10,        +1.332528853005e-01
 2.40017500e+00,        +2.314097732199e-09,        +2.366005068052e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.138144465837e-13,        +1.788232367310e-04,        +6.224063249670e-12,        +2.630621266925e-03,        +1.033290860105e-09,        +4.465199743846e-01,        +1.039762857797e-09,        +4.394592690595e-01,        +2.438470364908e-10,        +1.053745626634e-01,        +2.725612062604e-10,        +1.151989105775e-01,        +2.893071459994e-10,        +1.250194155475e-01,        +2.571033241644e-10,        +1.086655847175e-01,        +4.323463312073e-10,        +1.868314916832e-01,        +4.034807204039e-10,        +1.705324835741e-01,        +2.872721266918e-10,        +1.241400147862e-01,        +3.152644175056e-10,        +1.332475664412e-01
 2.40020000e+00,        +2.313489714085e-09,        +2.365426461477e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.132922949732e-13,        +1.786445353342e-04,        +6.219604991880e-12,        +2.629379984190e-03,        +1.032958517639e-09,        +4.464936720273e-01,        +1.039544485490e-09,        +4.394744467519e-01,        +2.438778857420e-10,        +1.054155911121e-01,        +2.725237288778e-10,        +1.152112455475e-01,        +2.891266053452e-10,        +1.249742341991e-01,        +2.569439092381e-10,        +1.086247716522e-01,        +4.322587599825e-10,        +1.868427412280e-01,        +4.034124949752e-10,        +1.705453547363e-01,        +2.872530164221e-10,        +1.241643801886e-01,        +3.151748493235e-10,        +1.332422945530e-01
 2.40022500e+00,        +2.312884221863e-09,        +2.364850344004e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.127710233827e-13,        +1.784659255664e-04,        +6.215159993848e-12,        +2.628140934840e-03,        +1.032626809069e-09,        +4.464671423273e-01,        +1.039326555082e-09,        +4.394893561520e-01,        +2.439090583345e-10,        +1.054566657634e-01,        +2.724866651447e-10,        +1.152236401917e-01,        +2.889466133217e-10,        +1.249291298676e-01,        +2.567849787163e-10,        +1.085840291617e-01,        +4.321717946590e-10,        +1.868540545929e-01,        +4.033448132528e-10,        +1.705582825888e-01,        +2.872342626180e-10,        +1.241887768972e-01,        +3.150857300616e-10,        +1.332370696778e-01
