        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +5.493104382599e-02,        +1.109728829026e-01
 2.40002500e+00,        +1.414213562373e-01,        +5.501305898904e-02,        +1.110370649027e-01
 2.40005000e+00,        +1.414213562373e-01,        +5.509510037941e-02,        +1.111011693900e-01
 2.40007500e+00,        +1.414213562373e-01,        +5.517716800297e-02,        +1.111651964457e-01
 2.40010000e+00,        +1.414213562373e-01,        +5.525926186577e-02,        +1.112291461508e-01
 2.40012500e+00,        +1.414213562373e-01,        +5.534138197410e-02,        +1.112930185859e-01
 2.40015000e+00,        +1.414213562373e-01,        +5.542352833442e-02,        +1.113568138316e-01
 2.40017500e+00,        +1.414213562373e-01,        +5.550570095341e-02,        +1.114205319680e-01
 2.40020000e+00,        +1.414213562373e-01,        +5.558789983798e-02,        +1.114841730753e-01
 2.40022500e+00,        +1.414213562373e-01,        +5.567012499521e-02,        +1.115477372332e-01
 2.40025000e+00,        +1.414213562373e-01,        +5.575237643241e-02,        +1.116112245212e-01
 2.40027500e+00,        +1.414213562373e-01,        +5.583465415708e-02,        +1.116746350188e-01
 2.40030000e+00,        +1.414213562373e-01,        +5.591695817695e-02,        +1.117379688050e-01
 2.40032500e+00,        +1.414213562373e-01,        +5.599928849992e-02,        +1.118012259588e-01
 2.40035000e+00,        +1.414213562373e-01,        +5.608164513414e-02,        +1.118644065589e-01
 2.40037500e+00,        +1.414213562373e-01,        +5.616402808792e-02,        +1.119275106837e-01
 2.40040000e+00,        +1.414213562373e-01,        +5.624643736980e-02,        +1.119905384114e-01
 2.40042500e+00,        +1.414213562373e-01,        +5.632887298853e-02,        +1.120534898201e-01
 2.40045000e+00,        +1.414213562373e-01,        +5.641133495305e-02,        +1.121163649876e-01
 2.40047500e+00,        +1.414213562373e-01,        +5.649382327251e-02,        +1.121791639914e-01
 2.40050000e+00,        +1.414213562373e-01,        +5.657633795626e-02,        +1.122418869089e-01
 2.40052500e+00,        +1.414213562373e-01,        +5.665887901387e-02,        +1.123045338172e-01
 2.40055000e+00,        +1.414213562373e-01,        +5.674144645510e-02,        +1.123671047933e-01
 2.40057500e+00,        +1.414213562373e-01,        +5.682404028992e-02,        +1.124295999138e-01
 2.40060000e+00,        +1.414213562373e-01,        +5.690666052849e-02,        +1.124920192552e-01
 2.40062500e+00,        +1.414213562373e-01,        +5.698930718120e-02,        +1.125543628937e-01
 2.40065000e+00,        +1.414213562373e-01,        +5.707198025862e-02,        +1.126166309054e-01
 2.40067500e+00,        +1.414213562373e-01,        +5.715467977154e-02,        +1.126788233662e-01
 2.40070000e+00,        +1.414213562373e-01,        +5.723740573094e-02,        +1.127409403515e-01
 2.40072500e+00,        +1.414213562373e-01,        +5.732015814801e-02,        +1.128029819367e-01
 2.40075000e+00,        +1.414213562373e-01,        +5.740293703414e-02,        +1.128649481971e-01
 2.40077500e+00,        +1.414213562373e-01,        +5.748574240094e-02,        +1.129268392076e-01
 2.40080000e+00,        +1.414213562373e-01,        +5.756857426019e-02,        +1.129886550428e-01
 2.40082500e+00,        +1.414213562373e-01,        +5.765143262390e-02,        +1.130503957772e-01
 2.40085000e+00,        +1.414213562373e-01,        +5.773431750428e-02,        +1.131120614853e-01
