        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -4.462315882298e-02,        +1.279322238101e+02
 2.40002500e+00,        -4.460807912562e-02,        +1.278898138027e+02
 2.40005000e+00,        -4.459301266490e-02,        +1.278474148991e+02
 2.40007500e+00,        -4.457795941240e-02,        +1.278050270538e+02
 2.40010000e+00,        -4.456291933980e-02,        +1.277626502212e+02
 2.40012500e+00,        -4.454789241886e-02,        +1.277202843556e+02
 2.40015000e+00,        -4.453287862139e-02,        +1.276779294115e+02
 2.40017500e+00,        -4.451787791931e-02,        +1.276355853435e+02
 2.40020000e+00,        -4.450289028460e-02,        +1.275932521059e+02
 2.40022500e+00,        -4.448791568933e-02,        +1.275509296533e+02
 2.40025000e+00,        -4.447295410565e-02,        +1.275086179403e+02
 2.40027500e+00,        -4.445800550577e-02,        +1.274663169214e+02
 2.40030000e+00,        -4.444306986199e-02,        +1.274240265512e+02
 2.40032500e+00,        -4.442814714670e-02,        +1.273817467843e+02
 2.40035000e+00,        -4.441323733235e-02,        +1.273394775754e+02
 2.40037500e+00,        -4.439834039147e-02,        +1.272972188791e+02
 2.40040000e+00,        -4.438345629666e-02,        +1.272549706502e+02
 2.40042500e+00,        -4.436858502064e-02,        +1.272127328433e+02
 2.40045000e+00,        -4.435372653615e-02,        +1.271705054132e+02
 2.40047500e+00,        -4.433888081603e-02,        +1.271282883147e+02
 2.40050000e+00,        -4.432404783320e-02,        +1.270860815025e+02
 2.40052500e+00,        -4.430922756066e-02,        +1.270438849314e+02
 2.40055000e+00,        -4.429441997148e-02,        +1.270016985562e+02
 2.40057500e+00,        -4.427962503880e-02,        +1.269595223319e+02
 2.40060000e+00,        -4.426484273584e-02,        +1.269173562133e+02
 2.40062500e+00,        -4.425007303591e-02,        +1.268752001552e+02
 2.40065000e+00,        -4.423531591237e-02,        +1.268330541126e+02
 2.40067500e+00,        -4.422057133868e-02,        +1.267909180404e+02
 2.40070000e+00,        -4.420583928835e-02,        +1.267487918936e+02
