        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +1.643297883045e-09,        +1.664028822101e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.813746283490e-13,        +5.971982550908e-04,        +8.396822910993e-12,        +5.046080211753e-03,        +8.604183379870e-10,        +5.235924337665e-01,        +7.877305623250e-10,        +4.733875710940e-01,        +1.489479785492e-10,        +9.063967043712e-02,        +2.071014879130e-10,        +1.244578730623e-01,        +2.092996405381e-10,        +1.273656119792e-01,        +1.912423851403e-10,        +1.149273273397e-01,        +3.115198824163e-10,        +1.895699408065e-01,        +2.668385227017e-10,        +1.603569115856e-01,        +9.035364024174e-11,        +5.498311728748e-02,        +1.574291610814e-10,        +9.460723215274e-02
 2.30020000e+00,        +1.647376189946e-09,        +1.668272366786e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.874601705027e-13,        +5.994138901176e-04,        +8.451938981139e-12,        +5.066282430500e-03,        +8.612109109520e-10,        +5.227773208135e-01,        +7.881203122833e-10,        +4.724170513005e-01,        +1.494100477046e-10,        +9.069576737628e-02,        +2.079006263963e-10,        +1.246203141258e-01,        +2.104087330940e-10,        +1.277235487426e-01,        +1.922210917658e-10,        +1.152216482108e-01,        +3.128358523830e-10,        +1.898994621218e-01,        +2.678715845081e-10,        +1.605682560241e-01,        +9.061308959993e-11,        +5.500449147738e-02,        +1.581318795377e-10,        +9.478780724656e-02
 2.30040000e+00,        +1.651479333123e-09,        +1.672539407217e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.935885578910e-13,        +6.016354779396e-04,        +8.507443692282e-12,        +5.086543046802e-03,        +8.620048462406e-10,        +5.219592089053e-01,        +7.885061932581e-10,        +4.714425201916e-01,        +1.498753599504e-10,        +9.075218620324e-02,        +2.087052591117e-10,        +1.247834629254e-01,        +2.115263422701e-10,        +1.280829484376e-01,        +1.932074783830e-10,        +1.155174446410e-01,        +3.141600740748e-10,        +1.902294916889e-01,        +2.689110303367e-10,        +1.607800863623e-01,        +9.087503281870e-11,        +5.502644265419e-02,        +1.588400604478e-10,        +9.496939788829e-02
 2.30060000e+00,        +1.655607450388e-09,        +1.676830057501e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.997599906805e-13,        +6.038629449549e-04,        +8.563338811394e-12,        +5.106861469406e-03,        +8.628001623973e-10,        +5.211381249796e-01,        +7.888881859571e-10,        +4.704640058354e-01,        +1.503439341920e-10,        +9.080892584579e-02,        +2.095154116615e-10,        +1.249473139656e-01,        +2.126525157127e-10,        +1.284438020999e-01,        +1.942015892405e-10,        +1.158147114383e-01,        +3.154925749577e-10,        +1.905600116041e-01,        +2.699568806984e-10,        +1.609923912628e-01,        +9.113949070848e-11,        +5.504897352759e-02,        +1.595537365944e-10,        +9.515200176707e-02
 2.30080000e+00,        +1.659760677908e-09,        +1.681144429849e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.005974665489e-12,        +6.060962154838e-04,        +8.619626072258e-12,        +5.127237088746e-03,        +8.635968779383e-10,        +5.203140967449e-01,        +7.892662712293e-10,        +4.694815372290e-01,        +1.508157891871e-10,        +9.086598519565e-02,        +2.103311092195e-10,        +1.251118615897e-01,        +2.137873005622e-10,        +1.288061004263e-01,        +1.952034681674e-10,        +1.161134431412e-01,        +3.168333815788e-10,        +1.908910036224e-01,        +2.710091553762e-10,        +1.612051591549e-01,        +9.140648411878e-11,        +5.507208679868e-02,        +1.602729405025e-10,        +9.533561641516e-02
 2.30100000e+00,        +1.663939150109e-09,        +1.685482634469e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.012232775205e-12,        +6.083352117410e-04,        +8.676307173833e-12,        +5.147669276679e-03,        +8.643950113420e-10,        +5.194871526916e-01,        +7.896404300732e-10,        +4.684951443133e-01,        +1.512909435350e-10,        +9.092336310801e-02,        +2.111523765091e-10,        +1.252770999777e-01,        +2.149307434219e-10,        +1.291698337694e-01,        +1.962131585456e-10,        +1.164136340137e-01,        +3.181825195284e-10,        +1.912224491549e-01,        +2.720678733957e-10,        +1.614183782329e-01,        +9.167603393230e-11,        +5.509578515916e-02,        +1.609977044204e-10,        +9.552023920499e-02
 2.30120000e+00,        +1.668142999567e-09,        +1.689844779468e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.018534508808e-12,        +6.105798538091e-04,        +8.733383778573e-12,        +5.168157386222e-03,        +8.651945810381e-10,        +5.186573221018e-01,        +7.900106436443e-10,        +4.675048579866e-01,        +1.517694156650e-10,        +9.098105840111e-02,        +2.119792377809e-10,        +1.254430231442e-01,        +2.160828903242e-10,        +1.295349921322e-01,        +1.972307032800e-10,        +1.167152780400e-01,        +3.195400134010e-10,        +1.915543292656e-01,        +2.731330529941e-10,        +1.616320364526e-01,        +9.194816105870e-11,        +5.512007129040e-02,        +1.617280602994e-10,        +9.570586734621e-02
 2.30140000e+00,        +1.672372356903e-09,        +1.694230970736e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.024880051173e-12,        +6.128300596113e-04,        +8.790857510705e-12,        +5.188700751283e-03,        +8.659956053973e-10,        +5.178246350596e-01,        +7.903768932633e-10,        +4.665107101188e-01,        +1.522512238249e-10,        +9.103906985572e-02,        +2.128117167885e-10,        +1.256096249356e-01,        +2.172437866971e-10,        +1.299015651630e-01,        +1.982561447694e-10,        +1.170183689201e-01,        +3.209058867548e-10,        +1.918866246684e-01,        +2.742047115892e-10,        +1.618461215297e-01,        +9.222288642820e-11,        +5.514494786255e-02,        +1.624640397740e-10,        +9.589249788265e-02
 2.30160000e+00,        +1.676627350675e-09,        +1.698641311844e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.031269582883e-12,        +6.150857448844e-04,        +8.848729954453e-12,        +5.209298686400e-03,        +8.667981027200e-10,        +5.169891224613e-01,        +7.907391604246e-10,        +4.655127335660e-01,        +1.527363860688e-10,        +9.109739621469e-02,        +2.136498367652e-10,        +1.257768990284e-01,        +2.184134773287e-10,        +1.302695421501e-01,        +1.992895248751e-10,        +1.173229000646e-01,        +3.222801620710e-10,        +1.922193157241e-01,        +2.752828657468e-10,        +1.620606209371e-01,        +9.250023098494e-11,        +5.517041753358e-02,        +1.632056741403e-10,        +9.608012768935e-02
 2.30180000e+00,        +1.680908107257e-09,        +1.703075903924e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.037703280025e-12,        +6.173468231515e-04,        +8.907002652220e-12,        +5.229950486470e-03,        +8.676020912249e-10,        +5.161508160257e-01,        +7.910974268043e-10,        +4.645109621842e-01,        +1.532249202446e-10,        +9.115603618251e-02,        +2.144936203989e-10,        +1.259448389263e-01,        +2.195920063316e-10,        +1.306389120164e-01,        +2.003308848892e-10,        +1.176288645901e-01,        +3.236628607114e-10,        +1.925523824378e-01,        +2.763675311479e-10,        +1.622755219020e-01,        +9.278021567997e-11,        +5.519648294835e-02,        +1.639529943346e-10,        +9.626875346948e-02
