        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +4.238316848668e-02,        +4.294648212362e-02
 2.30020000e+00,        +1.414213562373e-01,        +4.278265876375e-02,        +4.328796577238e-02
 2.30040000e+00,        +1.414213562373e-01,        +4.318547072624e-02,        +4.362676398320e-02
 2.30060000e+00,        +1.414213562373e-01,        +4.359160266460e-02,        +4.396282757508e-02
 2.30080000e+00,        +1.414213562373e-01,        +4.400105232549e-02,        +4.429610682696e-02
 2.30100000e+00,        +1.414213562373e-01,        +4.441381689645e-02,        +4.462655147656e-02
 2.30120000e+00,        +1.414213562373e-01,        +4.482989299017e-02,        +4.495411071949e-02
 2.30140000e+00,        +1.414213562373e-01,        +4.524927662865e-02,        +4.527873320853e-02
 2.30160000e+00,        +1.414213562373e-01,        +4.567196322685e-02,        +4.560036705315e-02
 2.30180000e+00,        +1.414213562373e-01,        +4.609794757613e-02,        +4.591895981939e-02
 2.30200000e+00,        +1.414213562373e-01,        +4.652722382743e-02,        +4.623445852986e-02
 2.30220000e+00,        +1.414213562373e-01,        +4.695978547394e-02,        +4.654680966412e-02
 2.30240000e+00,        +1.414213562373e-01,        +4.739562533368e-02,        +4.685595915931e-02
 2.30260000e+00,        +1.414213562373e-01,        +4.783473553161e-02,        +4.716185241108e-02
 2.30280000e+00,        +1.414213562373e-01,        +4.827710748143e-02,        +4.746443427485e-02
 2.30300000e+00,        +1.414213562373e-01,        +4.872273186715e-02,        +4.776364906739e-02
 2.30320000e+00,        +1.414213562373e-01,        +4.917159862425e-02,        +4.805944056873e-02
 2.30340000e+00,        +1.414213562373e-01,        +4.962369692054e-02,        +4.835175202445e-02
 2.30360000e+00,        +1.414213562373e-01,        +5.007901513669e-02,        +4.864052614833e-02
 2.30380000e+00,        +1.414213562373e-01,        +5.053754084647e-02,        +4.892570512538e-02
 2.30400000e+00,        +1.414213562373e-01,        +5.099926079665e-02,        +4.920723061526e-02
 2.30420000e+00,        +1.414213562373e-01,        +5.146416088654e-02,        +4.948504375614e-02
 2.30440000e+00,        +1.414213562373e-01,        +5.193222614726e-02,        +4.975908516899e-02
 2.30460000e+00,        +1.414213562373e-01,        +5.240344072070e-02,        +5.002929496228e-02
 2.30480000e+00,        +1.414213562373e-01,        +5.287778783812e-02,        +5.029561273720e-02
 2.30500000e+00,        +1.414213562373e-01,        +5.335524979844e-02,        +5.055797759331e-02
 2.30520000e+00,        +1.414213562373e-01,        +5.383580794626e-02,        +5.081632813472e-02
 2.30540000e+00,        +1.414213562373e-01,        +5.431944264956e-02,        +5.107060247678e-02
 2.30560000e+00,        +1.414213562373e-01,        +5.480613327705e-02,        +5.132073825328e-02
 2.30580000e+00,        +1.414213562373e-01,        +5.529585817529e-02,        +5.156667262425e-02
 2.30600000e+00,        +1.414213562373e-01,        +5.578859464550e-02,        +5.180834228428e-02
 2.30620000e+00,        +1.414213562373e-01,        +5.628431892005e-02,        +5.204568347148e-02
 2.30640000e+00,        +1.414213562373e-01,        +5.678300613868e-02,        +5.227863197699e-02
 2.30660000e+00,        +1.414213562373e-01,        +5.728463032450e-02,        +5.250712315517e-02
 2.30680000e+00,        +1.414213562373e-01,        +5.778916435966e-02,        +5.273109193444e-02
 2.30700000e+00,        +1.414213562373e-01,        +5.829657996080e-02,        +5.295047282874e-02
 2.30720000e+00,        +1.414213562373e-01,        +5.880684765424e-02,        +5.316519994972e-02
 2.30740000e+00,        +1.414213562373e-01,        +5.931993675093e-02,        +5.337520701965e-02
 2.30760000e+00,        +1.414213562373e-01,        +5.983581532121e-02,        +5.358042738503e-02
 2.30780000e+00,        +1.414213562373e-01,        +6.035445016928e-02,        +5.378079403098e-02
 2.30800000e+00,        +1.414213562373e-01,        +6.087580680756e-02,        +5.397623959639e-02
 2.30820000e+00,        +1.414213562373e-01,        +6.139984943081e-02,        +5.416669638987e-02
 2.30840000e+00,        +1.414213562373e-01,        +6.192654089008e-02,        +5.435209640653e-02
