        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +2.119158424334e+00,        +2.147324106181e+00
 2.30020000e+00,        +7.071067811865e+00,        +2.139132938188e+00,        +2.164398288619e+00
 2.30040000e+00,        +7.071067811865e+00,        +2.159273536312e+00,        +2.181338199160e+00
 2.30060000e+00,        +7.071067811865e+00,        +2.179580133230e+00,        +2.198141378754e+00
 2.30080000e+00,        +7.071067811865e+00,        +2.200052616275e+00,        +2.214805341348e+00
 2.30100000e+00,        +7.071067811865e+00,        +2.220690844822e+00,        +2.231327573828e+00
 2.30120000e+00,        +7.071067811865e+00,        +2.241494649509e+00,        +2.247705535975e+00
 2.30140000e+00,        +7.071067811865e+00,        +2.262463831433e+00,        +2.263936660426e+00
 2.30160000e+00,        +7.071067811865e+00,        +2.283598161342e+00,        +2.280018352658e+00
 2.30180000e+00,        +7.071067811865e+00,        +2.304897378807e+00,        +2.295947990969e+00
 2.30200000e+00,        +7.071067811865e+00,        +2.326361191371e+00,        +2.311722926493e+00
 2.30220000e+00,        +7.071067811865e+00,        +2.347989273697e+00,        +2.327340483206e+00
 2.30240000e+00,        +7.071067811865e+00,        +2.369781266684e+00,        +2.342797957966e+00
 2.30260000e+00,        +7.071067811865e+00,        +2.391736776580e+00,        +2.358092620554e+00
 2.30280000e+00,        +7.071067811865e+00,        +2.413855374071e+00,        +2.373221713743e+00
 2.30300000e+00,        +7.071067811865e+00,        +2.436136593358e+00,        +2.388182453370e+00
 2.30320000e+00,        +7.071067811865e+00,        +2.458579931213e+00,        +2.402972028437e+00
 2.30340000e+00,        +7.071067811865e+00,        +2.481184846027e+00,        +2.417587601223e+00
 2.30360000e+00,        +7.071067811865e+00,        +2.503950756834e+00,        +2.432026307417e+00
 2.30380000e+00,        +7.071067811865e+00,        +2.526877042324e+00,        +2.446285256269e+00
 2.30400000e+00,        +7.071067811865e+00,        +2.549963039833e+00,        +2.460361530763e+00
 2.30420000e+00,        +7.071067811865e+00,        +2.573208044327e+00,        +2.474252187807e+00
 2.30440000e+00,        +7.071067811865e+00,        +2.596611307363e+00,        +2.487954258449e+00
 2.30460000e+00,        +7.071067811865e+00,        +2.620172036035e+00,        +2.501464748114e+00
 2.30480000e+00,        +7.071067811865e+00,        +2.643889391906e+00,        +2.514780636860e+00
 2.30500000e+00,        +7.071067811865e+00,        +2.667762489922e+00,        +2.527898879666e+00
 2.30520000e+00,        +7.071067811865e+00,        +2.691790397313e+00,        +2.540816406736e+00
 2.30540000e+00,        +7.071067811865e+00,        +2.715972132478e+00,        +2.553530123839e+00
 2.30560000e+00,        +7.071067811865e+00,        +2.740306663852e+00,        +2.566036912664e+00
 2.30580000e+00,        +7.071067811865e+00,        +2.764792908765e+00,        +2.578333631212e+00
 2.30600000e+00,        +7.071067811865e+00,        +2.789429732275e+00,        +2.590417114214e+00
 2.30620000e+00,        +7.071067811865e+00,        +2.814215946002e+00,        +2.602284173574e+00
 2.30640000e+00,        +7.071067811865e+00,        +2.839150306934e+00,        +2.613931598849e+00
 2.30660000e+00,        +7.071067811865e+00,        +2.864231516225e+00,        +2.625356157759e+00
 2.30680000e+00,        +7.071067811865e+00,        +2.889458217983e+00,        +2.636554596722e+00
 2.30700000e+00,        +7.071067811865e+00,        +2.914828998040e+00,        +2.647523641437e+00
 2.30720000e+00,        +7.071067811865e+00,        +2.940342382712e+00,        +2.658259997486e+00
 2.30740000e+00,        +7.071067811865e+00,        +2.965996837547e+00,        +2.668760350983e+00
 2.30760000e+00,        +7.071067811865e+00,        +2.991790766060e+00,        +2.679021369252e+00
 2.30780000e+00,        +7.071067811865e+00,        +3.017722508464e+00,        +2.689039701549e+00
 2.30800000e+00,        +7.071067811865e+00,        +3.043790340378e+00,        +2.698811979820e+00
 2.30820000e+00,        +7.071067811865e+00,        +3.069992471541e+00,        +2.708334819493e+00
 2.30840000e+00,        +7.071067811865e+00,        +3.096327044504e+00,        +2.717604820326e+00
 2.30860000e+00,        +7.071067811865e+00,        +3.122792133324e+00,        +2.726618567280e+00
 2.30880000e+00,        +7.071067811865e+00,        +3.149385742245e+00,        +2.735372631446e+00
 2.30900000e+00,        +7.071067811865e+00,        +3.176105804375e+00,        +2.743863571014e+00
 2.30920000e+00,        +7.071067811865e+00,        +3.202950180357e+00,        +2.752087932285e+00
 2.30940000e+00,        +7.071067811865e+00,        +3.229916657036e+00,        +2.760042250733e+00
