        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +2.480844329292e-09,        +2.524673023980e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.554303096758e-13,        +1.835787535310e-04,        +6.772495689627e-12,        +2.682523885391e-03,        +1.107114541995e-09,        +4.462652206439e-01,        +1.100008834250e-09,        +4.357034846898e-01,        +2.588074213083e-10,        +1.043223140817e-01,        +2.912999096478e-10,        +1.153812421969e-01,        +3.128640551959e-10,        +1.261119254851e-01,        +2.778612231355e-10,        +1.100583008161e-01,        +4.641833315365e-10,        +1.871069966204e-01,        +4.327871400268e-10,        +1.714230460405e-01,        +3.073808145745e-10,        +1.239016938488e-01,        +3.391979136756e-10,        +1.343532055256e-01
 2.40002500e+00,        +2.480271496712e-09,        +2.524138601595e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.548726404255e-13,        +1.833963100526e-04,        +6.767768735443e-12,        +2.681219141914e-03,        +1.106803463365e-09,        +4.462428668928e-01,        +1.099828051851e-09,        +4.357241124383e-01,        +2.588481785276e-10,        +1.043628404676e-01,        +2.912665967200e-10,        +1.153924735099e-01,        +3.126749361569e-10,        +1.260648024103e-01,        +2.776944505270e-10,        +1.100155317745e-01,        +4.641013158774e-10,        +1.871171428179e-01,        +4.327256427159e-10,        +1.714349768441e-01,        +3.073698732627e-10,        +1.239258983020e-01,        +3.391106611768e-10,        +1.343470841746e-01
 2.40005000e+00,        +2.479701260052e-09,        +2.523606738092e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.543158833642e-13,        +1.832139583438e-04,        +6.763055679363e-12,        +2.679916635694e-03,        +1.106493001353e-09,        +4.462202843459e-01,        +1.099647686458e-09,        +4.357444723300e-01,        +2.588892769096e-10,        +1.044034138629e-01,        +2.912337189722e-10,        +1.154037650068e-01,        +3.124863883655e-10,        +1.260177560094e-01,        +2.775281815994e-10,        +1.099728326963e-01,        +4.640199354338e-10,        +1.871273539717e-01,        +4.326647152272e-10,        +1.714469646544e-01,        +3.073593031910e-10,        +1.239501338902e-01,        +3.390238758111e-10,        +1.343410091176e-01
 2.40007500e+00,        +2.479133618171e-09,        +2.523077432364e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.537600365797e-13,        +1.830316983537e-04,        +6.758356506205e-12,        +2.678616367264e-03,        +1.106183155356e-09,        +4.461974728783e-01,        +1.099467737810e-09,        +4.357645642209e-01,        +2.589307166367e-10,        +1.044440342944e-01,        +2.912012763160e-10,        +1.154151167066e-01,        +3.122984113518e-10,        +1.259707863516e-01,        +2.773624159626e-10,        +1.099302036492e-01,        +4.639391899119e-10,        +1.871376300621e-01,        +4.326043573455e-10,        +1.714590094606e-01,        +3.073491044691e-10,        +1.239744006601e-01,        +3.389375574201e-10,        +1.343349803983e-01
 2.40010000e+00,        +2.478568569944e-09,        +2.522550683320e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.532050981644e-13,        +1.828495300312e-04,        +6.753671200863e-12,        +2.677318337158e-03,        +1.105873924772e-09,        +4.461744323647e-01,        +1.099288205647e-09,        +4.357843879671e-01,        +2.589724978936e-10,        +1.044847017888e-01,        +2.911692686653e-10,        +1.154265286286e-01,        +3.121110046487e-10,        +1.259238935059e-01,        +2.771971532296e-10,        +1.098876447013e-01,        +4.638590790216e-10,        +1.871479710695e-01,        +4.325445688589e-10,        +1.714711112522e-01,        +3.073392772088e-10,        +1.239986986584e-01,        +3.388517058477e-10,        +1.343289980607e-01
 2.40012500e+00,        +2.478006114259e-09,        +2.522026489885e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.526510662161e-13,        +1.826674533253e-04,        +6.748999748310e-12,        +2.676022545909e-03,        +1.105565309005e-09,        +4.461511626801e-01,        +1.099109089714e-09,        +4.358039434248e-01,        +2.590146208670e-10,        +1.045254163727e-01,        +2.911376959367e-10,        +1.154380007920e-01,        +3.119241677930e-10,        +1.258770775416e-01,        +2.770323930167e-10,        +1.098451559204e-01,        +4.637796024761e-10,        +1.871583769739e-01,        +4.324853495589e-10,        +1.714832700186e-01,        +3.073298215242e-10,        +1.240230279319e-01,        +3.387663209408e-10,        +1.343230621484e-01
 2.40015000e+00,        +2.477446250020e-09,        +2.521504850997e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.520979388371e-13,        +1.824854681846e-04,        +6.744342133597e-12,        +2.674728994049e-03,        +1.105257307463e-09,        +4.461276636995e-01,        +1.098930389757e-09,        +4.358232304500e-01,        +2.590570857459e-10,        +1.045661780730e-01,        +2.911065580497e-10,        +1.154495332161e-01,        +3.117379003246e-10,        +1.258303385279e-01,        +2.768681349427e-10,        +1.098027373745e-01,        +4.637007599923e-10,        +1.871688477555e-01,        +4.324266992398e-10,        +1.714954857488e-01,        +3.073207375317e-10,        +1.240473885273e-01,        +3.386814025486e-10,        +1.343171727053e-01
 2.40017500e+00,        +2.476888976147e-09,        +2.520985765612e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.515457141347e-13,        +1.823035745579e-04,        +6.739698341852e-12,        +2.673437682111e-03,        +1.104949919555e-09,        +4.461039352979e-01,        +1.098752105526e-09,        +4.358422488986e-01,        +2.590998927214e-10,        +1.046069869165e-01,        +2.910758549261e-10,        +1.154611259201e-01,        +3.115522017868e-10,        +1.257836765342e-01,        +2.767043786298e-10,        +1.097603891320e-01,        +4.636225512908e-10,        +1.871793833941e-01,        +4.323686176995e-10,        +1.715077584321e-01,        +3.073120253497e-10,        +1.240717804912e-01,        +3.385969505235e-10,        +1.343113297751e-01
 2.40020000e+00,        +2.476334291576e-09,        +2.520469232699e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.509943902209e-13,        +1.821217723936e-04,        +6.735068358281e-12,        +2.672148610625e-03,        +1.104643144698e-09,        +4.460799773502e-01,        +1.098574236772e-09,        +4.358609986268e-01,        +2.591430419866e-10,        +1.046478429298e-01,        +2.910455864905e-10,        +1.154727789233e-01,        +3.113670717262e-10,        +1.257370916299e-01,        +2.765411237030e-10,        +1.097181112609e-01,        +4.635449760956e-10,        +1.871899838695e-01,        +4.323111047387e-10,        +1.715200880575e-01,        +3.073036850989e-10,        +1.240962038705e-01,        +3.385129647200e-10,        +1.343055334016e-01
 2.40022500e+00,        +2.475782195256e-09,        +2.519955251243e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.504439652128e-13,        +1.819400616403e-04,        +6.730452168168e-12,        +2.670861780124e-03,        +1.104336982308e-09,        +4.460557897313e-01,        +1.098396783251e-09,        +4.358794794906e-01,        +2.591865337369e-10,        +1.046887461399e-01,        +2.910157526701e-10,        +1.154844922451e-01,        +3.111825096931e-10,        +1.256905838847e-01,        +2.763783697905e-10,        +1.096759038297e-01,        +4.634680341342e-10,        +1.872006491614e-01,        +4.322541601617e-10,        +1.715324746138e-01,        +3.072957169020e-10,        +1.241206587118e-01,        +3.384294449958e-10,        +1.342997836286e-01
