        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -4.700439492144e-02,        +1.379423472882e+02
 2.40002500e+00,        -4.699080686024e-02,        +1.378970568472e+02
 2.40005000e+00,        -4.697722980032e-02,        +1.378517764733e+02
 2.40007500e+00,        -4.696366371650e-02,        +1.378065061196e+02
 2.40010000e+00,        -4.695010858366e-02,        +1.377612457396e+02
 2.40012500e+00,        -4.693656437672e-02,        +1.377159952865e+02
 2.40015000e+00,        -4.692303107073e-02,        +1.376707547137e+02
 2.40017500e+00,        -4.690950864080e-02,        +1.376255239745e+02
 2.40020000e+00,        -4.689599706206e-02,        +1.375803030223e+02
 2.40022500e+00,        -4.688249630976e-02,        +1.375350918105e+02
 2.40025000e+00,        -4.686900635920e-02,        +1.374898902925e+02
 2.40027500e+00,        -4.685552718577e-02,        +1.374446984217e+02
 2.40030000e+00,        -4.684205876491e-02,        +1.373995161517e+02
 2.40032500e+00,        -4.682860107212e-02,        +1.373543434358e+02
 2.40035000e+00,        -4.681515408300e-02,        +1.373091802275e+02
 2.40037500e+00,        -4.680171777320e-02,        +1.372640264805e+02
 2.40040000e+00,        -4.678829211847e-02,        +1.372188821481e+02
 2.40042500e+00,        -4.677487709456e-02,        +1.371737471840e+02
 2.40045000e+00,        -4.676147267737e-02,        +1.371286215416e+02
 2.40047500e+00,        -4.674807884283e-02,        +1.370835051746e+02
 2.40050000e+00,        -4.673469556692e-02,        +1.370383980365e+02
 2.40052500e+00,        -4.672132282573e-02,        +1.369933000810e+02
 2.40055000e+00,        -4.670796059540e-02,        +1.369482112617e+02
 2.40057500e+00,        -4.669460885213e-02,        +1.369031315322e+02
 2.40060000e+00,        -4.668126757220e-02,        +1.368580608461e+02
 2.40062500e+00,        -4.666793673195e-02,        +1.368129991572e+02
 2.40065000e+00,        -4.665461630780e-02,        +1.367679464190e+02
 2.40067500e+00,        -4.664130627623e-02,        +1.367229025854e+02
 2.40070000e+00,        -4.662800661378e-02,        +1.366778676100e+02
 2.40072500e+00,        -4.661471729707e-02,        +1.366328414465e+02
 2.40075000e+00,        -4.660143830279e-02,        +1.365878240487e+02
 2.40077500e+00,        -4.658816960768e-02,        +1.365428153703e+02
 2.40080000e+00,        -4.657491118857e-02,        +1.364978153651e+02
 2.40082500e+00,        -4.656166302234e-02,        +1.364528239868e+02
 2.40085000e+00,        -4.654842508594e-02,        +1.364078411893e+02
 2.40087500e+00,        -4.653519735639e-02,        +1.363628669264e+02
 2.40090000e+00,        -4.652197981077e-02,        +1.363179011517e+02
 2.40092500e+00,        -4.650877242624e-02,        +1.362729438193e+02
 2.40095000e+00,        -4.649557518001e-02,        +1.362279948829e+02
 2.40097500e+00,        -4.648238804938e-02,        +1.361830542963e+02
 2.40100000e+00,        -4.646921101169e-02,        +1.361381220134e+02
 2.40102500e+00,        -4.645604404435e-02,        +1.360931979881e+02
 2.40105000e+00,        -4.644288712485e-02,        +1.360482821742e+02
 2.40107500e+00,        -4.642974023072e-02,        +1.360033745257e+02
 2.40110000e+00,        -4.641660333961e-02,        +1.359584749964e+02
 2.40112500e+00,        -4.640347642916e-02,        +1.359135835402e+02
 2.40115000e+00,        -4.639035947713e-02,        +1.358687001111e+02
 2.40117500e+00,        -4.637725246134e-02,        +1.358238246629e+02
 2.40120000e+00,        -4.636415535964e-02,        +1.357789571497e+02
 2.40122500e+00,        -4.635106814998e-02,        +1.357340975252e+02
 2.40125000e+00,        -4.633799081038e-02,        +1.356892457436e+02
 2.40127500e+00,        -4.632492331888e-02,        +1.356444017586e+02
 2.40130000e+00,        -4.631186565362e-02,        +1.355995655244e+02
 2.40132500e+00,        -4.629881779281e-02,        +1.355547369948e+02
 2.40135000e+00,        -4.628577971468e-02,        +1.355099161239e+02
 2.40137500e+00,        -4.627275139759e-02,        +1.354651028655e+02
 2.40140000e+00,        -4.625973281991e-02,        +1.354202971738e+02
 2.40142500e+00,        -4.624672396011e-02,        +1.353754990027e+02
 2.40145000e+00,        -4.623372479667e-02,        +1.353307083062e+02
 2.40147500e+00,        -4.622073530820e-02,        +1.352859250382e+02
 2.40150000e+00,        -4.620775547333e-02,        +1.352411491529e+02
