        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.849338368995e+00,        +4.711188970344e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.853055877907e+00,        +4.715322481065e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.856775836265e+00,        +4.719452136244e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.860498243403e+00,        +4.723577939501e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.864223098666e+00,        +4.727699894445e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.867950401415e+00,        +4.731818004678e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.871680151022e+00,        +4.735932273792e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.875412346873e+00,        +4.740042705369e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.879146988367e+00,        +4.744149302984e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.882884074917e+00,        +4.748252070202e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.886623605949e+00,        +4.752351010577e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.890365580902e+00,        +4.756446127656e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.894109999229e+00,        +4.760537424977e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.897856860395e+00,        +4.764624906068e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.901606163880e+00,        +4.768708574448e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.905357909175e+00,        +4.772788433627e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.909112095785e+00,        +4.776864487107e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.912868723230e+00,        +4.780936738379e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.916627791041e+00,        +4.785005190927e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.920389298763e+00,        +4.789069848224e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.924153245953e+00,        +4.793130713735e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.927919632185e+00,        +4.797187790916e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.931688457040e+00,        +4.801241083214e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.935459720118e+00,        +4.805290594067e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.939233421029e+00,        +4.809336326903e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.943009559397e+00,        +4.813378285142e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.946788134858e+00,        +4.817416472195e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.950569147064e+00,        +4.821450891464e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.954352595675e+00,        +4.825481546341e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.958138480370e+00,        +4.829508440211e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.961926800838e+00,        +4.833531576448e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.965717556780e+00,        +4.837550958417e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.969510747913e+00,        +4.841566589477e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.973306373964e+00,        +4.845578472974e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.977104434675e+00,        +4.849586612247e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.980904929802e+00,        +4.853591010628e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.984707859111e+00,        +4.857591671436e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.988513222384e+00,        +4.861588597984e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.992321019413e+00,        +4.865581793575e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.996131250006e+00,        +4.869571261503e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.999943913983e+00,        +4.873557005054e+00
 2.40102500e+00,        +7.071067811865e+00,        +2.003759011176e+00,        +4.877539027503e+00
 2.40105000e+00,        +7.071067811865e+00,        +2.007576541431e+00,        +4.881517332120e+00
 2.40107500e+00,        +7.071067811865e+00,        +2.011396504607e+00,        +4.885491922161e+00
 2.40110000e+00,        +7.071067811865e+00,        +2.015218900575e+00,        +4.889462800877e+00
 2.40112500e+00,        +7.071067811865e+00,        +2.019043729220e+00,        +4.893429971508e+00
 2.40115000e+00,        +7.071067811865e+00,        +2.022870990440e+00,        +4.897393437287e+00
 2.40117500e+00,        +7.071067811865e+00,        +2.026700684146e+00,        +4.901353201437e+00
 2.40120000e+00,        +7.071067811865e+00,        +2.030532810261e+00,        +4.905309267171e+00
 2.40122500e+00,        +7.071067811865e+00,        +2.034367368721e+00,        +4.909261637694e+00
 2.40125000e+00,        +7.071067811865e+00,        +2.038204359477e+00,        +4.913210316204e+00
 2.40127500e+00,        +7.071067811865e+00,        +2.042043782491e+00,        +4.917155305888e+00
 2.40130000e+00,        +7.071067811865e+00,        +2.045885637737e+00,        +4.921096609923e+00
 2.40132500e+00,        +7.071067811865e+00,        +2.049729925205e+00,        +4.925034231481e+00
 2.40135000e+00,        +7.071067811865e+00,        +2.053576644896e+00,        +4.928968173721e+00
 2.40137500e+00,        +7.071067811865e+00,        +2.057425796824e+00,        +4.932898439797e+00
 2.40140000e+00,        +7.071067811865e+00,        +2.061277381017e+00,        +4.936825032850e+00
 2.40142500e+00,        +7.071067811865e+00,        +2.065131397513e+00,        +4.940747956017e+00
 2.40145000e+00,        +7.071067811865e+00,        +2.068987846367e+00,        +4.944667212421e+00
 2.40147500e+00,        +7.071067811865e+00,        +2.072846727644e+00,        +4.948582805179e+00
 2.40150000e+00,        +7.071067811865e+00,        +2.076708041423e+00,        +4.952494737400e+00
 2.40152500e+00,        +7.071067811865e+00,        +2.080571787795e+00,        +4.956403012183e+00
 2.40155000e+00,        +7.071067811865e+00,        +2.084437966867e+00,        +4.960307632617e+00
 2.40157500e+00,        +7.071067811865e+00,        +2.088306578754e+00,        +4.964208601785e+00
 2.40160000e+00,        +7.071067811865e+00,        +2.092177623587e+00,        +4.968105922758e+00
 2.40162500e+00,        +7.071067811865e+00,        +2.096051101510e+00,        +4.971999598600e+00
 2.40165000e+00,        +7.071067811865e+00,        +2.099927012679e+00,        +4.975889632367e+00
 2.40167500e+00,        +7.071067811865e+00,        +2.103805357263e+00,        +4.979776027104e+00
 2.40170000e+00,        +7.071067811865e+00,        +2.107686135444e+00,        +4.983658785849e+00
 2.40172500e+00,        +7.071067811865e+00,        +2.111569347417e+00,        +4.987537911629e+00
 2.40175000e+00,        +7.071067811865e+00,        +2.115454993390e+00,        +4.991413407466e+00
 2.40177500e+00,        +7.071067811865e+00,        +2.119343073583e+00,        +4.995285276369e+00
 2.40180000e+00,        +7.071067811865e+00,        +2.123233588229e+00,        +4.999153521342e+00
 2.40182500e+00,        +7.071067811865e+00,        +2.127126537577e+00,        +5.003018145376e+00
 2.40185000e+00,        +7.071067811865e+00,        +2.131021921883e+00,        +5.006879151458e+00
 2.40187500e+00,        +7.071067811865e+00,        +2.134919741422e+00,        +5.010736542562e+00
 2.40190000e+00,        +7.071067811865e+00,        +2.138819996477e+00,        +5.014590321655e+00
 2.40192500e+00,        +7.071067811865e+00,        +2.142722687346e+00,        +5.018440491696e+00
 2.40195000e+00,        +7.071067811865e+00,        +2.146627814342e+00,        +5.022287055635e+00
 2.40197500e+00,        +7.071067811865e+00,        +2.150535377786e+00,        +5.026130016411e+00
 2.40200000e+00,        +7.071067811865e+00,        +2.154445378016e+00,        +5.029969376956e+00
 2.40202500e+00,        +7.071067811865e+00,        +2.158357815380e+00,        +5.033805140195e+00
 2.40205000e+00,        +7.071067811865e+00,        +2.162272690242e+00,        +5.037637309041e+00
 2.40207500e+00,        +7.071067811865e+00,        +2.166190002977e+00,        +5.041465886399e+00
 2.40210000e+00,        +7.071067811865e+00,        +2.170109753971e+00,        +5.045290875167e+00
 2.40212500e+00,        +7.071067811865e+00,        +2.174031943627e+00,        +5.049112278233e+00
 2.40215000e+00,        +7.071067811865e+00,        +2.177956572358e+00,        +5.052930098476e+00
 2.40217500e+00,        +7.071067811865e+00,        +2.181883640590e+00,        +5.056744338766e+00
 2.40220000e+00,        +7.071067811865e+00,        +2.185813148763e+00,        +5.060555001966e+00
 2.40222500e+00,        +7.071067811865e+00,        +2.189745097329e+00,        +5.064362090928e+00
 2.40225000e+00,        +7.071067811865e+00,        +2.193679486754e+00,        +5.068165608497e+00
 2.40227500e+00,        +7.071067811865e+00,        +2.197616317515e+00,        +5.071965557508e+00
 2.40230000e+00,        +7.071067811865e+00,        +2.201555590104e+00,        +5.075761940789e+00
 2.40232500e+00,        +7.071067811865e+00,        +2.205497305024e+00,        +5.079554761156e+00
 2.40235000e+00,        +7.071067811865e+00,        +2.209441462792e+00,        +5.083344021420e+00
 2.40237500e+00,        +7.071067811865e+00,        +2.213388063937e+00,        +5.087129724382e+00
