        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +2.318421863121e-09,        +2.370122553252e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.174939166995e-13,        +1.800767683140e-04,        +6.255636778173e-12,        +2.639372706525e-03,        +1.035633751637e-09,        +4.466977162830e-01,        +1.041302858323e-09,        +4.393455759891e-01,        +2.436398409476e-10,        +1.050886574282e-01,        +2.728348230672e-10,        +1.151142259259e-01,        +2.905860019185e-10,        +1.253378457738e-01,        +2.582325397039e-10,        +1.089532435146e-01,        +4.329758188093e-10,        +1.867545444151e-01,        +4.039730632236e-10,        +1.704439555960e-01,        +2.874155098014e-10,        +1.239703241128e-01,        +3.159036051978e-10,        +1.332857681829e-01
 2.40002500e+00,        +2.317796118770e-09,        +2.369526478766e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.169655510769e-13,        +1.798974239797e-04,        +6.251085247781e-12,        +2.638115802376e-03,        +1.035296950431e-09,        +4.466730020153e-01,        +1.041081380658e-09,        +4.393626279290e-01,        +2.436684299405e-10,        +1.051293631770e-01,        +2.727944458492e-10,        +1.151261436805e-01,        +2.904016060704e-10,        +1.252921271714e-01,        +2.580697215265e-10,        +1.089119382456e-01,        +4.328839954934e-10,        +1.867653466100e-01,        +4.039010233978e-10,        +1.704564295936e-01,        +2.873939051465e-10,        +1.239944716531e-01,        +3.158108880676e-10,        +1.332801683787e-01
 2.40005000e+00,        +2.317172910405e-09,        +2.368932903202e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.164380788621e-13,        +1.797181716531e-04,        +6.246547088373e-12,        +2.636861128455e-03,        +1.034960787986e-09,        +4.466480612379e-01,        +1.040860347335e-09,        +4.393794125312e-01,        +2.436973413414e-10,        +1.051701149479e-01,        +2.727544832064e-10,        +1.151381209817e-01,        +2.902177624369e-10,        +1.252464851171e-01,        +2.579073907590e-10,        +1.088707030960e-01,        +4.327927805519e-10,        +1.867762127757e-01,        +4.038295291815e-10,        +1.704689603642e-01,        +2.873726565804e-10,        +1.240186501792e-01,        +3.157186213293e-10,        +1.332746152930e-01
 2.40007500e+00,        +2.316552236539e-09,        +2.368341825115e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.159114981276e-13,        +1.795390112804e-04,        +6.242022283828e-12,        +2.635608685214e-03,        +1.034625263596e-09,        +4.466228938318e-01,        +1.040639757998e-09,        +4.393959296596e-01,        +2.437265752775e-10,        +1.052109127665e-01,        +2.727149349987e-10,        +1.151501578474e-01,        +2.900344704960e-10,        +1.252009196776e-01,        +2.577455469631e-10,        +1.088295381308e-01,        +4.327021736211e-10,        +1.867871428911e-01,        +4.037585802934e-10,        +1.704815478964e-01,        +2.873517641506e-10,        +1.240428597371e-01,        +3.156268047649e-10,        +1.332691089681e-01
 2.40010000e+00,        +2.315934095700e-09,        +2.367753243071e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.153858069512e-13,        +1.793599428077e-04,        +6.237510818101e-12,        +2.634358473104e-03,        +1.034290376559e-09,        +4.465974996780e-01,        +1.040419612293e-09,        +4.394121791778e-01,        +2.437561318781e-10,        +1.052517566586e-01,        +2.726758010888e-10,        +1.151622542961e-01,        +2.898517297291e-10,        +1.251554309198e-01,        +2.575841897036e-10,        +1.087884434146e-01,        +4.326121743405e-10,        +1.867981369348e-01,        +4.036881764553e-10,        +1.704941921785e-01,        +2.873312279067e-10,        +1.240671003723e-01,        +3.155354381588e-10,        +1.332636494458e-01
 2.40012500e+00,        +2.315318486431e-09,        +2.367167155652e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.148610034155e-13,        +1.791809661810e-04,        +6.233012675228e-12,        +2.633110492576e-03,        +1.033956126176e-09,        +4.465718786575e-01,        +1.040199909868e-09,        +4.394281609496e-01,        +2.437860112743e-10,        +1.052926466501e-01,        +2.726370813420e-10,        +1.151744103457e-01,        +2.896695396210e-10,        +1.251100189104e-01,        +2.574233185484e-10,        +1.087474190125e-01,        +4.325227823536e-10,        +1.868091948855e-01,        +4.036183173922e-10,        +1.705068931987e-01,        +2.873110479006e-10,        +1.240913721306e-01,        +3.154445212981e-10,        +1.332582367684e-01
 2.40015000e+00,        +2.314705407290e-09,        +2.366583561455e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.143370856083e-13,        +1.790020813462e-04,        +6.228527839322e-12,        +2.631864744084e-03,        +1.033622511753e-09,        +4.465460306513e-01,        +1.039980650375e-09,        +4.394438748385e-01,        +2.438162135993e-10,        +1.053335827667e-01,        +2.725987756260e-10,        +1.151866260147e-01,        +2.894878996596e-10,        +1.250646837165e-01,        +2.572629330680e-10,        +1.087064649895e-01,        +4.324339973069e-10,        +1.868203167215e-01,        +4.035490028323e-10,        +1.705196509453e-01,        +2.872912241859e-10,        +1.241156750579e-01,        +3.153540539727e-10,        +1.332528709777e-01
 2.40017500e+00,        +2.314094856851e-09,        +2.366002459094e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.138140516226e-13,        +1.788232882492e-04,        +6.224056294573e-12,        +2.630621228076e-03,        +1.033289532597e-09,        +4.465199555405e-01,        +1.039761833467e-09,        +4.394593207082e-01,        +2.438467389886e-10,        +1.053745650342e-01,        +2.725608838111e-10,        +1.151989013213e-01,        +2.893068093364e-10,        +1.250194254051e-01,        +2.571030328363e-10,        +1.086655814106e-01,        +4.323458188507e-10,        +1.868315024213e-01,        +4.034802325069e-10,        +1.705324654064e-01,        +2.872717568186e-10,        +1.241400091998e-01,        +3.152640359749e-10,        +1.332475521161e-01
 2.40020000e+00,        +2.313486833701e-09,        +2.365423847195e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.132918995560e-13,        +1.786445868356e-04,        +6.219598025249e-12,        +2.629379945004e-03,        +1.032957188023e-09,        +4.464936532060e-01,        +1.039543458802e-09,        +4.394744984222e-01,        +2.438775875794e-10,        +1.054155934786e-01,        +2.725234057702e-10,        +1.152112362836e-01,        +2.891262681462e-10,        +1.249742440434e-01,        +2.569436174299e-10,        +1.086247683410e-01,        +4.322582466388e-10,        +1.868427519629e-01,        +4.034120061503e-10,        +1.705453365699e-01,        +2.872526458569e-10,        +1.241643746022e-01,        +3.151744670999e-10,        +1.332422802254e-01
 2.40022500e+00,        +2.312881336445e-09,        +2.364847724401e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.127706275116e-13,        +1.784659770510e-04,        +6.215153015697e-12,        +2.628140895318e-03,        +1.032625477346e-09,        +4.464671235288e-01,        +1.039325526038e-09,        +4.394894078441e-01,        +2.439087595112e-10,        +1.054566681255e-01,        +2.724863413787e-10,        +1.152236309202e-01,        +2.889462755872e-10,        +1.249291396987e-01,        +2.567846864284e-10,        +1.085840258461e-01,        +4.321712803283e-10,        +1.868540653247e-01,        +4.033443235002e-10,        +1.705582644237e-01,        +2.872338913607e-10,        +1.241887713108e-01,        +3.150853471453e-10,        +1.332370553479e-01
