        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -4.462283836024e-02,        +1.279318507540e+02
 2.40002500e+00,        -4.460775861104e-02,        +1.278894407972e+02
 2.40005000e+00,        -4.459269209866e-02,        +1.278470419443e+02
 2.40007500e+00,        -4.457763879470e-02,        +1.278046541497e+02
 2.40010000e+00,        -4.456259867083e-02,        +1.277622773680e+02
 2.40012500e+00,        -4.454757169877e-02,        +1.277199115533e+02
 2.40015000e+00,        -4.453255785038e-02,        +1.276775566603e+02
 2.40017500e+00,        -4.451755709756e-02,        +1.276352126434e+02
 2.40020000e+00,        -4.450256941230e-02,        +1.275928794571e+02
 2.40022500e+00,        -4.448759476664e-02,        +1.275505570558e+02
 2.40025000e+00,        -4.447263313277e-02,        +1.275082453942e+02
 2.40027500e+00,        -4.445768448287e-02,        +1.274659444268e+02
 2.40030000e+00,        -4.444274878927e-02,        +1.274236541082e+02
 2.40032500e+00,        -4.442782602432e-02,        +1.273813743930e+02
 2.40035000e+00,        -4.441291616049e-02,        +1.273391052359e+02
 2.40037500e+00,        -4.439801917032e-02,        +1.272968465915e+02
 2.40040000e+00,        -4.438313502642e-02,        +1.272545984146e+02
 2.40042500e+00,        -4.436826370144e-02,        +1.272123606598e+02
 2.40045000e+00,        -4.435340516820e-02,        +1.271701332819e+02
 2.40047500e+00,        -4.433855939950e-02,        +1.271279162356e+02
 2.40050000e+00,        -4.432372636828e-02,        +1.270857094757e+02
 2.40052500e+00,        -4.430890604751e-02,        +1.270435129571e+02
 2.40055000e+00,        -4.429409841029e-02,        +1.270013266345e+02
 2.40057500e+00,        -4.427930342974e-02,        +1.269591504628e+02
 2.40060000e+00,        -4.426452107909e-02,        +1.269169843969e+02
 2.40062500e+00,        -4.424975133165e-02,        +1.268748283916e+02
 2.40065000e+00,        -4.423499416077e-02,        +1.268326824019e+02
 2.40067500e+00,        -4.422024953992e-02,        +1.267905463827e+02
 2.40070000e+00,        -4.420551744260e-02,        +1.267484202890e+02
 2.40072500e+00,        -4.419079784242e-02,        +1.267063040757e+02
 2.40075000e+00,        -4.417609071307e-02,        +1.266641976978e+02
 2.40077500e+00,        -4.416139602827e-02,        +1.266221011104e+02
 2.40080000e+00,        -4.414671376185e-02,        +1.265800142684e+02
 2.40082500e+00,        -4.413204388772e-02,        +1.265379371269e+02
 2.40085000e+00,        -4.411738637982e-02,        +1.264958696410e+02
 2.40087500e+00,        -4.410274121223e-02,        +1.264538117658e+02
 2.40090000e+00,        -4.408810835903e-02,        +1.264117634564e+02
 2.40092500e+00,        -4.407348779446e-02,        +1.263697246678e+02
 2.40095000e+00,        -4.405887949272e-02,        +1.263276953553e+02
 2.40097500e+00,        -4.404428342821e-02,        +1.262856754740e+02
 2.40100000e+00,        -4.402969957531e-02,        +1.262436649791e+02
 2.40102500e+00,        -4.401512790851e-02,        +1.262016638258e+02
 2.40105000e+00,        -4.400056840235e-02,        +1.261596719692e+02
 2.40107500e+00,        -4.398602103148e-02,        +1.261176893646e+02
 2.40110000e+00,        -4.397148577061e-02,        +1.260757159672e+02
 2.40112500e+00,        -4.395696259449e-02,        +1.260337517324e+02
 2.40115000e+00,        -4.394245147797e-02,        +1.259917966153e+02
 2.40117500e+00,        -4.392795239597e-02,        +1.259498505712e+02
 2.40120000e+00,        -4.391346532349e-02,        +1.259079135555e+02
 2.40122500e+00,        -4.389899023558e-02,        +1.258659855235e+02
 2.40125000e+00,        -4.388452710739e-02,        +1.258240664305e+02
 2.40127500e+00,        -4.387007591410e-02,        +1.257821562319e+02
 2.40130000e+00,        -4.385563663099e-02,        +1.257402548829e+02
 2.40132500e+00,        -4.384120923341e-02,        +1.256983623390e+02
 2.40135000e+00,        -4.382679369679e-02,        +1.256564785556e+02
 2.40137500e+00,        -4.381238999660e-02,        +1.256146034881e+02
 2.40140000e+00,        -4.379799810840e-02,        +1.255727370918e+02
 2.40142500e+00,        -4.378361800783e-02,        +1.255308793222e+02
 2.40145000e+00,        -4.376924967057e-02,        +1.254890301348e+02
 2.40147500e+00,        -4.375489307240e-02,        +1.254471894849e+02
 2.40150000e+00,        -4.374054818916e-02,        +1.254053573281e+02
 2.40152500e+00,        -4.372621499676e-02,        +1.253635336198e+02
 2.40155000e+00,        -4.371189347116e-02,        +1.253217183154e+02
 2.40157500e+00,        -4.369758358844e-02,        +1.252799113706e+02
 2.40160000e+00,        -4.368328532469e-02,        +1.252381127407e+02
 2.40162500e+00,        -4.366899865609e-02,        +1.251963223814e+02
 2.40165000e+00,        -4.365472355892e-02,        +1.251545402481e+02
 2.40167500e+00,        -4.364046000950e-02,        +1.251127662963e+02
 2.40170000e+00,        -4.362620798419e-02,        +1.250710004816e+02
 2.40172500e+00,        -4.361196745950e-02,        +1.250292427596e+02
 2.40175000e+00,        -4.359773841192e-02,        +1.249874930858e+02
 2.40177500e+00,        -4.358352081807e-02,        +1.249457514158e+02
