        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +4.238316848638e-02,        +4.294648212300e-02
 2.30020000e+00,        +1.414213562373e-01,        +4.278265876345e-02,        +4.328796577177e-02
 2.30040000e+00,        +1.414213562373e-01,        +4.318547072593e-02,        +4.362676398259e-02
 2.30060000e+00,        +1.414213562373e-01,        +4.359160266429e-02,        +4.396282757447e-02
 2.30080000e+00,        +1.414213562373e-01,        +4.400105232519e-02,        +4.429610682635e-02
 2.30100000e+00,        +1.414213562373e-01,        +4.441381689614e-02,        +4.462655147596e-02
 2.30120000e+00,        +1.414213562373e-01,        +4.482989298986e-02,        +4.495411071889e-02
 2.30140000e+00,        +1.414213562373e-01,        +4.524927662834e-02,        +4.527873320793e-02
 2.30160000e+00,        +1.414213562373e-01,        +4.567196322653e-02,        +4.560036705256e-02
 2.30180000e+00,        +1.414213562373e-01,        +4.609794757582e-02,        +4.591895981880e-02
 2.30200000e+00,        +1.414213562373e-01,        +4.652722382711e-02,        +4.623445852927e-02
 2.30220000e+00,        +1.414213562373e-01,        +4.695978547362e-02,        +4.654680966354e-02
 2.30240000e+00,        +1.414213562373e-01,        +4.739562533336e-02,        +4.685595915873e-02
 2.30260000e+00,        +1.414213562373e-01,        +4.783473553128e-02,        +4.716185241051e-02
 2.30280000e+00,        +1.414213562373e-01,        +4.827710748110e-02,        +4.746443427428e-02
 2.30300000e+00,        +1.414213562373e-01,        +4.872273186683e-02,        +4.776364906682e-02
 2.30320000e+00,        +1.414213562373e-01,        +4.917159862393e-02,        +4.805944056817e-02
 2.30340000e+00,        +1.414213562373e-01,        +4.962369692021e-02,        +4.835175202389e-02
 2.30360000e+00,        +1.414213562373e-01,        +5.007901513636e-02,        +4.864052614778e-02
 2.30380000e+00,        +1.414213562373e-01,        +5.053754084615e-02,        +4.892570512483e-02
 2.30400000e+00,        +1.414213562373e-01,        +5.099926079632e-02,        +4.920723061471e-02
 2.30420000e+00,        +1.414213562373e-01,        +5.146416088620e-02,        +4.948504375559e-02
 2.30440000e+00,        +1.414213562373e-01,        +5.193222614693e-02,        +4.975908516844e-02
 2.30460000e+00,        +1.414213562373e-01,        +5.240344072037e-02,        +5.002929496174e-02
 2.30480000e+00,        +1.414213562373e-01,        +5.287778783779e-02,        +5.029561273666e-02
 2.30500000e+00,        +1.414213562373e-01,        +5.335524979811e-02,        +5.055797759278e-02
 2.30520000e+00,        +1.414213562373e-01,        +5.383580794593e-02,        +5.081632813420e-02
 2.30540000e+00,        +1.414213562373e-01,        +5.431944264922e-02,        +5.107060247626e-02
 2.30560000e+00,        +1.414213562373e-01,        +5.480613327671e-02,        +5.132073825276e-02
 2.30580000e+00,        +1.414213562373e-01,        +5.529585817495e-02,        +5.156667262373e-02
 2.30600000e+00,        +1.414213562373e-01,        +5.578859464516e-02,        +5.180834228377e-02
 2.30620000e+00,        +1.414213562373e-01,        +5.628431891971e-02,        +5.204568347097e-02
 2.30640000e+00,        +1.414213562373e-01,        +5.678300613834e-02,        +5.227863197648e-02
 2.30660000e+00,        +1.414213562373e-01,        +5.728463032416e-02,        +5.250712315467e-02
 2.30680000e+00,        +1.414213562373e-01,        +5.778916435932e-02,        +5.273109193395e-02
 2.30700000e+00,        +1.414213562373e-01,        +5.829657996046e-02,        +5.295047282825e-02
 2.30720000e+00,        +1.414213562373e-01,        +5.880684765390e-02,        +5.316519994924e-02
 2.30740000e+00,        +1.414213562373e-01,        +5.931993675059e-02,        +5.337520701917e-02
 2.30760000e+00,        +1.414213562373e-01,        +5.983581532087e-02,        +5.358042738456e-02
 2.30780000e+00,        +1.414213562373e-01,        +6.035445016894e-02,        +5.378079403051e-02
 2.30800000e+00,        +1.414213562373e-01,        +6.087580680722e-02,        +5.397623959592e-02
 2.30820000e+00,        +1.414213562373e-01,        +6.139984943047e-02,        +5.416669638940e-02
 2.30840000e+00,        +1.414213562373e-01,        +6.192654088974e-02,        +5.435209640607e-02
 2.30860000e+00,        +1.414213562373e-01,        +6.245584266614e-02,        +5.453237134515e-02
 2.30880000e+00,        +1.414213562373e-01,        +6.298771484457e-02,        +5.470745262847e-02
 2.30900000e+00,        +1.414213562373e-01,        +6.352211608717e-02,        +5.487727141983e-02
 2.30920000e+00,        +1.414213562373e-01,        +6.405900360680e-02,        +5.504175864525e-02
 2.30940000e+00,        +1.414213562373e-01,        +6.459833314038e-02,        +5.520084501422e-02
 2.30960000e+00,        +1.414213562373e-01,        +6.514005892214e-02,        +5.535446104186e-02
 2.30980000e+00,        +1.414213562373e-01,        +6.568413365687e-02,        +5.550253707202e-02
 2.31000000e+00,        +1.414213562373e-01,        +6.623050849313e-02,        +5.564500330150e-02
 2.31020000e+00,        +1.414213562373e-01,        +6.677913299647e-02,        +5.578178980515e-02
 2.31040000e+00,        +1.414213562373e-01,        +6.732995512268e-02,        +5.591282656212e-02
 2.31060000e+00,        +1.414213562373e-01,        +6.788292119109e-02,        +5.603804348315e-02
 2.31080000e+00,        +1.414213562373e-01,        +6.843797585794e-02,        +5.615737043893e-02
