        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.345936296623e+00,        +1.565567290207e+02
 2.30020000e+00,        -2.364432115472e+00,        +1.563055499110e+02
 2.30040000e+00,        -2.383132793025e+00,        +1.560538920982e+02
 2.30060000e+00,        -2.402041180206e+00,        +1.558017575362e+02
 2.30080000e+00,        -2.421160174094e+00,        +1.555491483221e+02
 2.30100000e+00,        -2.440492718744e+00,        +1.552960667010e+02
 2.30120000e+00,        -2.460041806028e+00,        +1.550425150715e+02
 2.30140000e+00,        -2.479810476489e+00,        +1.547884959907e+02
 2.30160000e+00,        -2.499801820210e+00,        +1.545340121803e+02
 2.30180000e+00,        -2.520018977702e+00,        +1.542790665318e+02
 2.30200000e+00,        -2.540465140808e+00,        +1.540236621129e+02
 2.30220000e+00,        -2.561143553619e+00,        +1.537678021733e+02
 2.30240000e+00,        -2.582057513416e+00,        +1.535114901514e+02
 2.30260000e+00,        -2.603210371620e+00,        +1.532547296805e+02
 2.30280000e+00,        -2.624605534767e+00,        +1.529975245957e+02
 2.30300000e+00,        -2.646246465498e+00,        +1.527398789413e+02
 2.30320000e+00,        -2.668136683564e+00,        +1.524817969773e+02
 2.30340000e+00,        -2.690279766856e+00,        +1.522232831878e+02
 2.30360000e+00,        -2.712679352451e+00,        +1.519643422877e+02
 2.30380000e+00,        -2.735339137674e+00,        +1.517049792319e+02
 2.30400000e+00,        -2.758262881187e+00,        +1.514451992225e+02
 2.30420000e+00,        -2.781454404090e+00,        +1.511850077181e+02
 2.30440000e+00,        -2.804917591044e+00,        +1.509244104425e+02
 2.30460000e+00,        -2.828656391421e+00,        +1.506634133934e+02
 2.30480000e+00,        -2.852674820467e+00,        +1.504020228526e+02
 2.30500000e+00,        -2.876976960487e+00,        +1.501402453954e+02
 2.30520000e+00,        -2.901566962056e+00,        +1.498780879009e+02
 2.30540000e+00,        -2.926449045249e+00,        +1.496155575622e+02
 2.30560000e+00,        -2.951627500888e+00,        +1.493526618976e+02
 2.30580000e+00,        -2.977106691822e+00,        +1.490894087618e+02
 2.30600000e+00,        -3.002891054221e+00,        +1.488258063575e+02
 2.30620000e+00,        -3.028985098895e+00,        +1.485618632471e+02
 2.30640000e+00,        -3.055393412637e+00,        +1.482975883658e+02
 2.30660000e+00,        -3.082120659589e+00,        +1.480329910339e+02
 2.30680000e+00,        -3.109171582633e+00,        +1.477680809707e+02
 2.30700000e+00,        -3.136551004802e+00,        +1.475028683077e+02
 2.30720000e+00,        -3.164263830720e+00,        +1.472373636035e+02
 2.30740000e+00,        -3.192315048060e+00,        +1.469715778584e+02
 2.30760000e+00,        -3.220709729038e+00,        +1.467055225297e+02
 2.30780000e+00,        -3.249453031917e+00,        +1.464392095474e+02
