        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +2.119158424319e+00,        +2.147324106150e+00
 2.30020000e+00,        +7.071067811865e+00,        +2.139132938173e+00,        +2.164398288588e+00
 2.30040000e+00,        +7.071067811865e+00,        +2.159273536297e+00,        +2.181338199130e+00
 2.30060000e+00,        +7.071067811865e+00,        +2.179580133214e+00,        +2.198141378724e+00
 2.30080000e+00,        +7.071067811865e+00,        +2.200052616259e+00,        +2.214805341317e+00
 2.30100000e+00,        +7.071067811865e+00,        +2.220690844807e+00,        +2.231327573798e+00
 2.30120000e+00,        +7.071067811865e+00,        +2.241494649493e+00,        +2.247705535945e+00
 2.30140000e+00,        +7.071067811865e+00,        +2.262463831417e+00,        +2.263936660396e+00
 2.30160000e+00,        +7.071067811865e+00,        +2.283598161327e+00,        +2.280018352628e+00
 2.30180000e+00,        +7.071067811865e+00,        +2.304897378791e+00,        +2.295947990940e+00
 2.30200000e+00,        +7.071067811865e+00,        +2.326361191355e+00,        +2.311722926464e+00
 2.30220000e+00,        +7.071067811865e+00,        +2.347989273681e+00,        +2.327340483177e+00
 2.30240000e+00,        +7.071067811865e+00,        +2.369781266668e+00,        +2.342797957937e+00
 2.30260000e+00,        +7.071067811865e+00,        +2.391736776564e+00,        +2.358092620525e+00
 2.30280000e+00,        +7.071067811865e+00,        +2.413855374055e+00,        +2.373221713714e+00
 2.30300000e+00,        +7.071067811865e+00,        +2.436136593341e+00,        +2.388182453341e+00
 2.30320000e+00,        +7.071067811865e+00,        +2.458579931196e+00,        +2.402972028408e+00
 2.30340000e+00,        +7.071067811865e+00,        +2.481184846011e+00,        +2.417587601195e+00
 2.30360000e+00,        +7.071067811865e+00,        +2.503950756818e+00,        +2.432026307389e+00
 2.30380000e+00,        +7.071067811865e+00,        +2.526877042307e+00,        +2.446285256241e+00
 2.30400000e+00,        +7.071067811865e+00,        +2.549963039816e+00,        +2.460361530735e+00
 2.30420000e+00,        +7.071067811865e+00,        +2.573208044310e+00,        +2.474252187780e+00
 2.30440000e+00,        +7.071067811865e+00,        +2.596611307346e+00,        +2.487954258422e+00
 2.30460000e+00,        +7.071067811865e+00,        +2.620172036019e+00,        +2.501464748087e+00
 2.30480000e+00,        +7.071067811865e+00,        +2.643889391889e+00,        +2.514780636833e+00
 2.30500000e+00,        +7.071067811865e+00,        +2.667762489905e+00,        +2.527898879639e+00
 2.30520000e+00,        +7.071067811865e+00,        +2.691790397296e+00,        +2.540816406710e+00
 2.30540000e+00,        +7.071067811865e+00,        +2.715972132461e+00,        +2.553530123813e+00
 2.30560000e+00,        +7.071067811865e+00,        +2.740306663835e+00,        +2.566036912638e+00
 2.30580000e+00,        +7.071067811865e+00,        +2.764792908748e+00,        +2.578333631187e+00
 2.30600000e+00,        +7.071067811865e+00,        +2.789429732258e+00,        +2.590417114189e+00
 2.30620000e+00,        +7.071067811865e+00,        +2.814215945985e+00,        +2.602284173549e+00
 2.30640000e+00,        +7.071067811865e+00,        +2.839150306917e+00,        +2.613931598824e+00
 2.30660000e+00,        +7.071067811865e+00,        +2.864231516208e+00,        +2.625356157734e+00
 2.30680000e+00,        +7.071067811865e+00,        +2.889458217966e+00,        +2.636554596697e+00
 2.30700000e+00,        +7.071067811865e+00,        +2.914828998023e+00,        +2.647523641413e+00
 2.30720000e+00,        +7.071067811865e+00,        +2.940342382695e+00,        +2.658259997462e+00
 2.30740000e+00,        +7.071067811865e+00,        +2.965996837530e+00,        +2.668760350959e+00
 2.30760000e+00,        +7.071067811865e+00,        +2.991790766043e+00,        +2.679021369228e+00
 2.30780000e+00,        +7.071067811865e+00,        +3.017722508447e+00,        +2.689039701526e+00
 2.30800000e+00,        +7.071067811865e+00,        +3.043790340361e+00,        +2.698811979796e+00
 2.30820000e+00,        +7.071067811865e+00,        +3.069992471524e+00,        +2.708334819470e+00
 2.30840000e+00,        +7.071067811865e+00,        +3.096327044487e+00,        +2.717604820303e+00
 2.30860000e+00,        +7.071067811865e+00,        +3.122792133307e+00,        +2.726618567258e+00
 2.30880000e+00,        +7.071067811865e+00,        +3.149385742228e+00,        +2.735372631424e+00
 2.30900000e+00,        +7.071067811865e+00,        +3.176105804358e+00,        +2.743863570991e+00
 2.30920000e+00,        +7.071067811865e+00,        +3.202950180340e+00,        +2.752087932262e+00
 2.30940000e+00,        +7.071067811865e+00,        +3.229916657019e+00,        +2.760042250711e+00
 2.30960000e+00,        +7.071067811865e+00,        +3.257002946107e+00,        +2.767723052093e+00
 2.30980000e+00,        +7.071067811865e+00,        +3.284206682843e+00,        +2.775126853601e+00
 2.31000000e+00,        +7.071067811865e+00,        +3.311525424656e+00,        +2.782250165075e+00
 2.31020000e+00,        +7.071067811865e+00,        +3.338956649823e+00,        +2.789089490257e+00
 2.31040000e+00,        +7.071067811865e+00,        +3.366497756134e+00,        +2.795641328106e+00
 2.31060000e+00,        +7.071067811865e+00,        +3.394146059554e+00,        +2.801902174158e+00
 2.31080000e+00,        +7.071067811865e+00,        +3.421898792897e+00,        +2.807868521947e+00
 2.31100000e+00,        +7.071067811865e+00,        +3.449753104497e+00,        +2.813536864479e+00
 2.31120000e+00,        +7.071067811865e+00,        +3.477706056892e+00,        +2.818903695765e+00
 2.31140000e+00,        +7.071067811865e+00,        +3.505754625515e+00,        +2.823965512405e+00
 2.31160000e+00,        +7.071067811865e+00,        +3.533895697398e+00,        +2.828718815241e+00
 2.31180000e+00,        +7.071067811865e+00,        +3.562126069883e+00,        +2.833160111062e+00
 2.31200000e+00,        +7.071067811865e+00,        +3.590442449350e+00,        +2.837285914371e+00
 2.31220000e+00,        +7.071067811865e+00,        +3.618841449966e+00,        +2.841092749218e+00
 2.31240000e+00,        +7.071067811865e+00,        +3.647319592443e+00,        +2.844577151092e+00
 2.31260000e+00,        +7.071067811865e+00,        +3.675873302822e+00,        +2.847735668875e+00
 2.31280000e+00,        +7.071067811865e+00,        +3.704498911279e+00,        +2.850564866867e+00
 2.31300000e+00,        +7.071067811865e+00,        +3.733192650953e+00,        +2.853061326870e+00
 2.31320000e+00,        +7.071067811865e+00,        +3.761950656804e+00,        +2.855221650338e+00
 2.31340000e+00,        +7.071067811865e+00,        +3.790768964494e+00,        +2.857042460601e+00
 2.31360000e+00,        +7.071067811865e+00,        +3.819643509311e+00,        +2.858520405145e+00
 2.31380000e+00,        +7.071067811865e+00,        +3.848570125115e+00,        +2.859652157972e+00
 2.31400000e+00,        +7.071067811865e+00,        +3.877544543327e+00,        +2.860434422018e+00
 2.31420000e+00,        +7.071067811865e+00,        +3.906562391959e+00,        +2.860863931646e+00
 2.31440000e+00,        +7.071067811865e+00,        +3.935619194683e+00,        +2.860937455209e+00
 2.31460000e+00,        +7.071067811865e+00,        +3.964710369944e+00,        +2.860651797674e+00
 2.31480000e+00,        +7.071067811865e+00,        +3.993831230126e+00,        +2.860003803329e+00
 2.31500000e+00,        +7.071067811865e+00,        +4.022976980767e+00,        +2.858990358547e+00
 2.31520000e+00,        +7.071067811865e+00,        +4.052142719827e+00,        +2.857608394629e+00
 2.31540000e+00,        +7.071067811865e+00,        +4.081323437013e+00,        +2.855854890711e+00
 2.31560000e+00,        +7.071067811865e+00,        +4.110514013170e+00,        +2.853726876744e+00
 2.31580000e+00,        +7.071067811865e+00,        +4.139709219728e+00,        +2.851221436540e+00
 2.31600000e+00,        +7.071067811865e+00,        +4.168903718224e+00,        +2.848335710890e+00
 2.31620000e+00,        +7.071067811865e+00,        +4.198092059891e+00,        +2.845066900750e+00
 2.31640000e+00,        +7.071067811865e+00,        +4.227268685321e+00,        +2.841412270490e+00
 2.31660000e+00,        +7.071067811865e+00,        +4.256427924208e+00,        +2.837369151215e+00
 2.31680000e+00,        +7.071067811865e+00,        +4.285563995172e+00,        +2.832934944148e+00
 2.31700000e+00,        +7.071067811865e+00,        +4.314671005669e+00,        +2.828107124082e+00
 2.31720000e+00,        +7.071067811865e+00,        +4.343742951987e+00,        +2.822883242887e+00
 2.31740000e+00,        +7.071067811865e+00,        +4.372773719342e+00,        +2.817260933090e+00
 2.31760000e+00,        +7.071067811865e+00,        +4.401757082060e+00,        +2.811237911504e+00
 2.31780000e+00,        +7.071067811865e+00,        +4.430686703870e+00,        +2.804811982924e+00
 2.31800000e+00,        +7.071067811865e+00,        +4.459556138296e+00,        +2.797981043873e+00
 2.31820000e+00,        +7.071067811865e+00,        +4.488358829160e+00,        +2.790743086406e+00
 2.31840000e+00,        +7.071067811865e+00,        +4.517088111192e+00,        +2.783096201967e+00
 2.31860000e+00,        +7.071067811865e+00,        +4.545737210762e+00,        +2.775038585291e+00
 2.31880000e+00,        +7.071067811865e+00,        +4.574299246731e+00,        +2.766568538355e+00
 2.31900000e+00,        +7.071067811865e+00,        +4.602767231425e+00,        +2.757684474370e+00
 2.31920000e+00,        +7.071067811865e+00,        +4.631134071734e+00,        +2.748384921823e+00
 2.31940000e+00,        +7.071067811865e+00,        +4.659392570348e+00,        +2.738668528541e+00
 2.31960000e+00,        +7.071067811865e+00,        +4.687535427125e+00,        +2.728534065799e+00
 2.31980000e+00,        +7.071067811865e+00,        +4.715555240602e+00,        +2.717980432458e+00
 2.32000000e+00,        +7.071067811865e+00,        +4.743444509639e+00,        +2.707006659119e+00
 2.32020000e+00,        +7.071067811865e+00,        +4.771195635226e+00,        +2.695611912312e+00
 2.32040000e+00,        +7.071067811865e+00,        +4.798800922421e+00,        +2.683795498689e+00
 2.32060000e+00,        +7.071067811865e+00,        +4.826252582461e+00,        +2.671556869235e+00
 2.32080000e+00,        +7.071067811865e+00,        +4.853542735011e+00,        +2.658895623488e+00
 2.32100000e+00,        +7.071067811865e+00,        +4.880663410588e+00,        +2.645811513758e+00
 2.32120000e+00,        +7.071067811865e+00,        +4.907606553137e+00,        +2.632304449338e+00
 2.32140000e+00,        +7.071067811865e+00,        +4.934364022782e+00,        +2.618374500716e+00
 2.32160000e+00,        +7.071067811865e+00,        +4.960927598741e+00,        +2.604021903761e+00
 2.32180000e+00,        +7.071067811865e+00,        +4.987288982410e+00,        +2.589247063896e+00
 2.32200000e+00,        +7.071067811865e+00,        +5.013439800624e+00,        +2.574050560237e+00
 2.32220000e+00,        +7.071067811865e+00,        +5.039371609096e+00,        +2.558433149698e+00
 2.32240000e+00,        +7.071067811865e+00,        +5.065075896027e+00,        +2.542395771062e+00
 2.32260000e+00,        +7.071067811865e+00,        +5.090544085900e+00,        +2.525939548993e+00
 2.32280000e+00,        +7.071067811865e+00,        +5.115767543456e+00,        +2.509065797999e+00
 2.32300000e+00,        +7.071067811865e+00,        +5.140737577847e+00,        +2.491776026330e+00
 2.32320000e+00,        +7.071067811865e+00,        +5.165445446978e+00,        +2.474071939802e+00
 2.32340000e+00,        +7.071067811865e+00,        +5.189882362023e+00,        +2.455955445552e+00
 2.32360000e+00,        +7.071067811865e+00,        +5.214039492138e+00,        +2.437428655692e+00
 2.32380000e+00,        +7.071067811865e+00,        +5.237907969346e+00,        +2.418493890880e+00
 2.32400000e+00,        +7.071067811865e+00,        +5.261478893610e+00,        +2.399153683780e+00
 2.32420000e+00,        +7.071067811865e+00,        +5.284743338088e+00,        +2.379410782415e+00
 2.32440000e+00,        +7.071067811865e+00,        +5.307692354572e+00,        +2.359268153397e+00
 2.32460000e+00,        +7.071067811865e+00,        +5.330316979099e+00,        +2.338728985023e+00
 2.32480000e+00,        +7.071067811865e+00,        +5.352608237745e+00,        +2.317796690249e+00
 2.32500000e+00,        +7.071067811865e+00,        +5.374557152600e+00,        +2.296474909491e+00
 2.32520000e+00,        +7.071067811865e+00,        +5.396154747901e+00,        +2.274767513298e+00
 2.32540000e+00,        +7.071067811865e+00,        +5.417392056347e+00,        +2.252678604836e+00
 2.32560000e+00,        +7.071067811865e+00,        +5.438260125577e+00,        +2.230212522214e+00
 2.32580000e+00,        +7.071067811865e+00,        +5.458750024801e+00,        +2.207373840619e+00
 2.32600000e+00,        +7.071067811865e+00,        +5.478852851601e+00,        +2.184167374262e+00
 2.32620000e+00,        +7.071067811865e+00,        +5.498559738875e+00,        +2.160598178118e+00
 2.32640000e+00,        +7.071067811865e+00,        +5.517861861924e+00,        +2.136671549464e+00
 2.32660000e+00,        +7.071067811865e+00,        +5.536750445693e+00,        +2.112393029190e+00
 2.32680000e+00,        +7.071067811865e+00,        +5.555216772128e+00,        +2.087768402890e+00
 2.32700000e+00,        +7.071067811865e+00,        +5.573252187673e+00,        +2.062803701709e+00
 2.32720000e+00,        +7.071067811865e+00,        +5.590848110878e+00,        +2.037505202952e+00
 2.32740000e+00,        +7.071067811865e+00,        +5.607996040120e+00,        +2.011879430438e+00
 2.32760000e+00,        +7.071067811865e+00,        +5.624687561426e+00,        +1.985933154595e+00
 2.32780000e+00,        +7.071067811865e+00,        +5.640914356391e+00,        +1.959673392288e+00
 2.32800000e+00,        +7.071067811865e+00,        +5.656668210175e+00,        +1.933107406366e+00
 2.32820000e+00,        +7.071067811865e+00,        +5.671941019577e+00,        +1.906242704934e+00
 2.32840000e+00,        +7.071067811865e+00,        +5.686724801170e+00,        +1.879087040337e+00
 2.32860000e+00,        +7.071067811865e+00,        +5.701011699493e+00,        +1.851648407838e+00
 2.32880000e+00,        +7.071067811865e+00,        +5.714793995272e+00,        +1.823935044012e+00
 2.32900000e+00,        +7.071067811865e+00,        +5.728064113685e+00,        +1.795955424821e+00
 2.32920000e+00,        +7.071067811865e+00,        +5.740814632633e+00,        +1.767718263383e+00
 2.32940000e+00,        +7.071067811865e+00,        +5.753038291014e+00,        +1.739232507426e+00
 2.32960000e+00,        +7.071067811865e+00,        +5.764727997000e+00,        +1.710507336426e+00
 2.32980000e+00,        +7.071067811865e+00,        +5.775876836275e+00,        +1.681552158414e+00
 2.33000000e+00,        +7.071067811865e+00,        +5.786478080251e+00,        +1.652376606470e+00
 2.33020000e+00,        +7.071067811865e+00,        +5.796525194227e+00,        +1.622990534883e+00
 2.33040000e+00,        +7.071067811865e+00,        +5.806011845485e+00,        +1.593404014984e+00
 2.33060000e+00,        +7.071067811865e+00,        +5.814931911306e+00,        +1.563627330651e+00
 2.33080000e+00,        +7.071067811865e+00,        +5.823279486897e+00,        +1.533670973485e+00
 2.33100000e+00,        +7.071067811865e+00,        +5.831048893207e+00,        +1.503545637661e+00
 2.33120000e+00,        +7.071067811865e+00,        +5.838234684617e+00,        +1.473262214447e+00
 2.33140000e+00,        +7.071067811865e+00,        +5.844831656500e+00,        +1.442831786401e+00
 2.33160000e+00,        +7.071067811865e+00,        +5.850834852617e+00,        +1.412265621253e+00
 2.33180000e+00,        +7.071067811865e+00,        +5.856239572357e+00,        +1.381575165453e+00
 2.33200000e+00,        +7.071067811865e+00,        +5.861041377782e+00,        +1.350772037425e+00
 2.33220000e+00,        +7.071067811865e+00,        +5.865236100483e+00,        +1.319868020500e+00
 2.33240000e+00,        +7.071067811865e+00,        +5.868819848214e+00,        +1.288875055551e+00
 2.33260000e+00,        +7.071067811865e+00,        +5.871789011310e+00,        +1.257805233333e+00
 2.33280000e+00,        +7.071067811865e+00,        +5.874140268848e+00,        +1.226670786534e+00
 2.33300000e+00,        +7.071067811865e+00,        +5.875870594566e+00,        +1.195484081552e+00
 2.33320000e+00,        +7.071067811865e+00,        +5.876977262498e+00,        +1.164257609990e+00
 2.33340000e+00,        +7.071067811865e+00,        +5.877457852335e+00,        +1.133003979907e+00
 2.33360000e+00,        +7.071067811865e+00,        +5.877310254485e+00,        +1.101735906807e+00
 2.33380000e+00,        +7.071067811865e+00,        +5.876532674820e+00,        +1.070466204393e+00
 2.33400000e+00,        +7.071067811865e+00,        +5.875123639106e+00,        +1.039207775100e+00
 2.33420000e+00,        +7.071067811865e+00,        +5.873081997094e+00,        +1.007973600406e+00
 2.33440000e+00,        +7.071067811865e+00,        +5.870406926270e+00,        +9.767767309558e-01
 2.33460000e+00,        +7.071067811865e+00,        +5.867097935242e+00,        +9.456302764854e-01
 2.33480000e+00,        +7.071067811865e+00,        +5.863154866772e+00,        +9.145473955861e-01
 2.33500000e+00,        +7.071067811865e+00,        +5.858577900423e+00,        +8.835412853088e-01
 2.33520000e+00,        +7.071067811865e+00,        +5.853367554823e+00,        +8.526251706295e-01
 2.33540000e+00,        +7.071067811865e+00,        +5.847524689549e+00,        +8.218122937922e-01
 2.33560000e+00,        +7.071067811865e+00,        +5.841050506594e+00,        +7.911159035454e-01
 2.33580000e+00,        +7.071067811865e+00,        +5.833946551448e+00,        +7.605492442889e-01
 2.33600000e+00,        +7.071067811865e+00,        +5.826214713753e+00,        +7.301255451506e-01
 2.33620000e+00,        +7.071067811865e+00,        +5.817857227558e+00,        +6.998580090093e-01
 2.33640000e+00,        +7.071067811865e+00,        +5.808876671147e+00,        +6.697598014819e-01
 2.33660000e+00,        +7.071067811865e+00,        +5.799275966448e+00,        +6.398440398952e-01
 2.33680000e+00,        +7.071067811865e+00,        +5.789058378025e+00,        +6.101237822591e-01
 2.33700000e+00,        +7.071067811865e+00,        +5.778227511639e+00,        +5.806120162609e-01
 2.33720000e+00,        +7.071067811865e+00,        +5.766787312395e+00,        +5.513216482990e-01
 2.33740000e+00,        +7.071067811865e+00,        +5.754742062463e+00,        +5.222654925764e-01
 2.33760000e+00,        +7.071067811865e+00,        +5.742096378380e+00,        +4.934562602703e-01
 2.33780000e+00,        +7.071067811865e+00,        +5.728855207936e+00,        +4.649065487995e-01
 2.33800000e+00,        +7.071067811865e+00,        +5.715023826654e+00,        +4.366288312048e-01
 2.33820000e+00,        +7.071067811865e+00,        +5.700607833852e+00,        +4.086354456652e-01
 2.33840000e+00,        +7.071067811865e+00,        +5.685613148316e+00,        +3.809385851634e-01
 2.33860000e+00,        +7.071067811865e+00,        +5.670046003570e+00,        +3.535502873217e-01
 2.33880000e+00,        +7.071067811865e+00,        +5.653912942764e+00,        +3.264824244244e-01
 2.33900000e+00,        +7.071067811865e+00,        +5.637220813189e+00,        +2.997466936442e-01
 2.33920000e+00,        +7.071067811865e+00,        +5.619976760411e+00,        +2.733546074885e-01
 2.33940000e+00,        +7.071067811865e+00,        +5.602188222065e+00,        +2.473174844832e-01
 2.33960000e+00,        +7.071067811865e+00,        +5.583862921287e+00,        +2.216464401076e-01
 2.33980000e+00,        +7.071067811865e+00,        +5.565008859824e+00,        +1.963523779961e-01
 2.34000000e+00,        +7.071067811865e+00,        +5.545634310813e+00,        +1.714459814222e-01
 2.34020000e+00,        +7.071067811865e+00,        +5.525747811257e+00,        +1.469377050755e-01
 2.34040000e+00,        +7.071067811865e+00,        +5.505358154209e+00,        +1.228377671480e-01
 2.34060000e+00,        +7.071067811865e+00,        +5.484474380668e+00,        +9.915614173866e-02
 2.34080000e+00,        +7.071067811865e+00,        +5.463105771218e+00,        +7.590255158935e-02
 2.34100000e+00,        +7.071067811865e+00,        +5.441261837420e+00,        +5.308646116253e-02
 2.34120000e+00,        +7.071067811865e+00,        +5.418952312960e+00,        +3.071707006896e-02
 2.34140000e+00,        +7.071067811865e+00,        +5.396187144593e+00,        +8.803306856282e-03
 2.34160000e+00,        +7.071067811865e+00,        +5.372976482885e+00,        -1.264617683561e-02
 2.34180000e+00,        +7.071067811865e+00,        +5.349330672766e+00,        -3.362301174439e-02
 2.34200000e+00,        +7.071067811865e+00,        +5.325260243928e+00,        -5.411911607449e-02
 2.34220000e+00,        +7.071067811865e+00,        +5.300775901072e+00,        -7.412670020011e-02
 2.34240000e+00,        +7.071067811865e+00,        +5.275888514023e+00,        -9.363827097908e-02
 2.34260000e+00,        +7.071067811865e+00,        +5.250609107739e+00,        -1.126466356722e-01
 2.34280000e+00,        +7.071067811865e+00,        +5.224948852225e+00,        -1.311449054680e-01
 2.34300000e+00,        +7.071067811865e+00,        +5.198919052369e+00,        -1.491264986095e-01
 2.34320000e+00,        +7.071067811865e+00,        +5.172531137723e+00,        -1.665851431236e-01
 2.34340000e+00,        +7.071067811865e+00,        +5.145796652245e+00,        -1.835148791525e-01
 2.34360000e+00,        +7.071067811865e+00,        +5.118727244015e+00,        -1.999100608897e-01
 2.34380000e+00,        +7.071067811865e+00,        +5.091334654952e+00,        -2.157653581210e-01
 2.34400000e+00,        +7.071067811865e+00,        +5.063630710534e+00,        -2.310757573742e-01
 2.34420000e+00,        +7.071067811865e+00,        +5.035627309557e+00,        -2.458365626819e-01
 2.34440000e+00,        +7.071067811865e+00,        +5.007336413934e+00,        -2.600433959604e-01
 2.34460000e+00,        +7.071067811865e+00,        +4.978770038551e+00,        -2.736921970108e-01
 2.34480000e+00,        +7.071067811865e+00,        +4.949940241214e+00,        -2.867792231491e-01
 2.34500000e+00,        +7.071067811865e+00,        +4.920859112669e+00,        -2.993010484695e-01
 2.34520000e+00,        +7.071067811865e+00,        +4.891538766745e+00,        -3.112545627512e-01
 2.34540000e+00,        +7.071067811865e+00,        +4.861991330611e+00,        -3.226369700151e-01
