        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +3.911152450817e-11,        +4.234037649888e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.646303905338e-14,        +1.187962873799e-03,        +1.747113234913e-13,        +4.126352619842e-03,        +2.899251782355e-11,        +7.412781319093e-01,        +3.275989065034e-11,        +7.737269566132e-01,        +3.794960878893e-12,        +9.702922416385e-02,        +3.171435324207e-12,        +7.490333309367e-02,        +1.225076859862e-12,        +3.132265681962e-02,        +1.404529608356e-12,        +3.317234574881e-02,        +1.197519963068e-12,        +3.061808451926e-02,        +1.393600454267e-12,        +3.291421970005e-02,        +3.801770544799e-12,        +9.720333309955e-02,        +3.174057171607e-12,        +7.496525619443e-02
 2.30020000e+00,        +3.915769975223e-11,        +4.237919095569e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.672555998196e-14,        +1.193266210161e-03,        +1.753195552228e-13,        +4.136925487939e-03,        +2.900044748363e-11,        +7.406065133328e-01,        +3.276367264498e-11,        +7.731075536396e-01,        +3.809015546992e-12,        +9.727373086503e-02,        +3.182356311761e-12,        +7.509242720296e-02,        +1.229938235263e-12,        +3.140986940104e-02,        +1.410281765296e-12,        +3.327769439417e-02,        +1.202235105000e-12,        +3.070239346557e-02,        +1.399290550727e-12,        +3.301834034988e-02,        +3.815878077314e-12,        +9.744898452817e-02,        +3.185001431141e-12,        +7.515484272625e-02
 2.30040000e+00,        +3.920419874099e-11,        +4.241832296994e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.699010168356e-14,        +1.198598700971e-03,        +1.759321125404e-13,        +4.147549931784e-03,        +2.900841879013e-11,        +7.399314288193e-01,        +3.276751350721e-11,        +7.724848889108e-01,        +3.823169882934e-12,        +9.751939857752e-02,        +3.193354835738e-12,        +7.528243957220e-02,        +1.234839486234e-12,        +3.149763356708e-02,        +1.416079854522e-12,        +3.338368316744e-02,        +1.206988801250e-12,        +3.078723300084e-02,        +1.405026049799e-12,        +3.312309283879e-02,        +3.830085872732e-12,        +9.769580799333e-02,        +3.196023492542e-12,        +7.534535240365e-02
 2.30060000e+00,        +3.925102442185e-11,        +4.245777543448e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.725668398716e-14,        +1.203960525445e-03,        +1.765490345652e-13,        +4.158226208475e-03,        +2.901643208638e-11,        +7.392528606266e-01,        +3.277141373919e-11,        +7.718589446535e-01,        +3.837424787978e-12,        +9.776623271627e-02,        +3.204431596222e-12,        +7.547337474539e-02,        +1.239780999831e-12,        +3.158595267493e-02,        +1.421924318068e-12,        +3.349031604970e-02,        +1.211781423429e-12,        +3.087260628934e-02,        +1.410807387207e-12,        +3.322848106783e-02,        +3.844394839242e-12,        +9.794380900547e-02,        +3.207124058654e-12,        +7.553678980669e-02
 2.30080000e+00,        +3.929817977694e-11,        +4.249755127639e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.752532696190e-14,        +1.209351863920e-03,        +1.771703608780e-13,        +4.168954576364e-03,        +2.902448771940e-11,        +7.385707909157e-01,        +3.277537384881e-11,        +7.712297029927e-01,        +3.851781173931e-12,        +9.801423872033e-02,        +3.215587301490e-12,        +7.566523728806e-02,        +1.244763167907e-12,        +3.167483010594e-02,        +1.427815603391e-12,        +3.359759704989e-02,        +1.216613347719e-12,        +3.095851651716e-02,        +1.416635004008e-12,        +3.333450896488e-02,        +3.858805895694e-12,        +9.819299310039e-02,        +3.218303840561e-12,        +7.572915953744e-02
 2.30100000e+00,        +3.934566782359e-11,        +4.253765345748e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.779605092053e-14,        +1.214772897866e-03,        +1.777961315250e-13,        +4.179735295055e-03,        +2.903258604001e-11,        +7.378852017502e-01,        +3.277939434978e-11,        +7.705971459508e-01,        +3.866239963298e-12,        +9.826342205277e-02,        +3.226822668131e-12,        +7.585803178722e-02,        +1.249786387189e-12,        +3.176426926575e-02,        +1.433754163457e-12,        +3.370553020492e-02,        +1.221484954939e-12,        +3.104496689231e-02,        +1.422509346674e-12,        +3.344118048486e-02,        +3.873319971743e-12,        +9.844336583913e-02,        +3.229563557700e-12,        +7.592246621993e-02
 2.30120000e+00,        +3.939349161486e-11,        +4.257808497472e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.806887642298e-14,        +1.220223809886e-03,        +1.784263870249e-13,        +4.190568625405e-03,        +2.904072740280e-11,        +7.371960750960e-01,        +3.278347576171e-11,        +7.699612554479e-01,        +3.880802089431e-12,        +9.851378820067e-02,        +3.238138421162e-12,        +7.605176285134e-02,        +1.254851059347e-12,        +3.185427358446e-02,        +1.439740456815e-12,        +3.381411957983e-02,        +1.226396630615e-12,        +3.113196064481e-02,        +1.428430867163e-12,        +3.354849960986e-02,        +3.887938008002e-12,        +9.869493280804e-02,        +3.240903937984e-12,        +7.611671450016e-02
 2.30140000e+00,        +3.944165423999e-11,        +4.261884886082e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.834382427988e-14,        +1.225704783723e-03,        +1.790611683752e-13,        +4.201454829527e-03,        +2.904891216625e-11,        +7.365033928216e-01,        +3.278761861018e-11,        +7.693220133011e-01,        +3.895468496684e-12,        +9.876534267507e-02,        +3.249535294146e-12,        +7.624643511038e-02,        +1.259957591064e-12,        +3.194484651678e-02,        +1.445774947682e-12,        +3.392336926798e-02,        +1.231348765045e-12,        +3.121950102683e-02,        +1.434400023004e-12,        +3.365647034927e-02,        +3.902660956202e-12,        +9.894769961870e-02,        +3.252325717917e-12,        +7.631190904610e-02
 2.30160000e+00,        +3.949015882496e-11,        +4.265994818469e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.862091555626e-14,        +1.231216004265e-03,        +1.797005170591e-13,        +4.212394170784e-03,        +2.905714069272e-11,        +7.358071366975e-01,        +3.279182342686e-11,        +7.686794012241e-01,        +3.910240140565e-12,        +9.901809101090e-02,        +3.261014029314e-12,        +7.644205321572e-02,        +1.265106394117e-12,        +3.203599154220e-02,        +1.451858106023e-12,        +3.403328339119e-02,        +1.236341753371e-12,        +3.130759131283e-02,        +1.440417277378e-12,        +3.376509673996e-02,        +3.917489779344e-12,        +9.920167190789e-02,        +3.263829642715e-12,        +7.650805454768e-02
 2.30180000e+00,        +3.953900853302e-11,        +4.270138605194e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.890017157523e-14,        +1.236757657552e-03,        +1.803444750527e-13,        +4.223386913796e-03,        +2.906541334858e-11,        +7.351072883960e-01,        +3.279609074953e-11,        +7.680334008276e-01,        +3.925117987897e-12,        +9.927203876696e-02,        +3.272575377686e-12,        +7.663862184018e-02,        +1.270297885443e-12,        +3.212771216512e-02,        +1.457990407638e-12,        +3.414386609991e-02,        +1.241375995647e-12,        +3.139623479962e-02,        +1.446483099196e-12,        +3.387438284641e-02,        +3.932425451861e-12,        +9.945685533760e-02,        +3.275416466435e-12,        +7.670515571675e-02
 2.30200000e+00,        +3.958820656519e-11,        +4.274316560549e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.918161392175e-14,        +1.242329930778e-03,        +1.809930848317e-13,        +4.234433324434e-03,        +2.907373050416e-11,        +7.344038294912e-01,        +3.280042112222e-11,        +7.673839936182e-01,        +3.940103016979e-12,        +9.952719152586e-02,        +3.284220099200e-12,        +7.683614567795e-02,        +1.275532487225e-12,        +3.222001191503e-02,        +1.464172334248e-12,        +3.425512157341e-02,        +1.246451896915e-12,        +3.148543480652e-02,        +1.452597963189e-12,        +3.398433276084e-02,        +3.947468959781e-12,        +9.971325559497e-02,        +3.287086952096e-12,        +7.690321728707e-02
 2.30220000e+00,        +3.963775616080e-11,        +4.278529002599e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.946526444646e-14,        +1.247933012298e-03,        +1.816463893785e-13,        +4.245533669823e-03,        +2.908209253391e-11,        +7.336967414587e-01,        +3.280481509530e-11,        +7.667311609989e-01,        +3.955196217743e-12,        +9.978355489394e-02,        +3.295948962832e-12,        +7.703462944460e-02,        +1.280810626962e-12,        +3.231289434665e-02,        +1.470404373580e-12,        +3.436705401988e-02,        +1.251569867276e-12,        +3.157519467547e-02,        +1.458762349989e-12,        +3.409495060341e-02,        +3.962621300892e-12,        +9.997087839225e-02,        +3.298841871807e-12,        +7.710224401431e-02
 2.30240000e+00,        +3.968766059807e-11,        +4.282776253245e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +4.975114526959e-14,        +1.253567091632e-03,        +1.823044321897e-13,        +4.256688218339e-03,        +2.909049981638e-11,        +7.329860056755e-01,        +3.280927322551e-11,        +7.660748842681e-01,        +3.970398591930e-12,        +1.000411345012e-01,        +3.307762746729e-12,        +7.723407787701e-02,        +1.286132737553e-12,        +3.240636304010e-02,        +1.476687019454e-12,        +3.447966767667e-02,        +1.256730321963e-12,        +3.166551777114e-02,        +1.464976746217e-12,        +3.420624052230e-02,        +3.977883484912e-12,        +1.002297294667e-01,        +3.310682006898e-12,        +7.730224067601e-02
 2.30260000e+00,        +3.973792319465e-11,        +4.287058638276e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +5.003927878492e-14,        +1.259232359472e-03,        +1.829672572835e-13,        +4.267897239611e-03,        +2.909895273431e-11,        +7.322716034196e-01,        +3.281379607611e-11,        +7.654151446200e-01,        +3.985711153250e-12,        +1.002999360014e-01,        +3.319662238343e-12,        +7.743449573338e-02,        +1.291499257376e-12,        +3.250042160104e-02,        +1.483020771881e-12,        +3.459296681040e-02,        +1.261933681419e-12,        +3.175640748102e-02,        +1.471241644573e-12,        +3.431820669391e-02,        +3.993256533657e-12,        +1.004898145808e-01,        +3.322608148054e-12,        +7.750321207153e-02
 2.30280000e+00,        +3.978854730820e-11,        +4.291376487426e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +5.032968766380e-14,        +1.264929007685e-03,        +1.836349092070e-13,        +4.279161004518e-03,        +2.910745167469e-11,        +7.315535158703e-01,        +3.281838421694e-11,        +7.647519231440e-01,        +4.001134927559e-12,        +1.005599650715e-01,        +3.331648234559e-12,        +7.763588779313e-02,        +1.296910630370e-12,        +3.259507366087e-02,        +1.489406137146e-12,        +3.470695571713e-02,        +1.267180371373e-12,        +3.184786721560e-02,        +1.477557543922e-12,        +3.443085332297e-02,        +4.008741481216e-12,        +1.007511395218e-01,        +3.334621095445e-12,        +7.770516302206e-02
 2.30300000e+00,        +3.983953633695e-11,        +4.295730134430e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +5.062239485929e-14,        +1.270657229320e-03,        +1.843074330440e-13,        +4.290479785188e-03,        +2.911599702878e-11,        +7.308317241076e-01,        +3.282303822455e-11,        +7.640852008246e-01,        +4.016670953030e-12,        +1.008212274123e-01,        +3.343721541833e-12,        +7.783825885693e-02,        +1.302367306118e-12,        +3.269032287682e-02,        +1.495843627907e-12,        +3.482163872255e-02,        +1.272470822919e-12,        +3.193990040840e-02,        +1.483924949391e-12,        +3.454418464272e-02,        +4.024339374131e-12,        +1.010137101018e-01,        +3.346721658865e-12,        +7.790809837055e-02
 2.30320000e+00,        +3.989089372029e-11,        +4.300119917084e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +5.091742361027e-14,        +1.276417218609e-03,        +1.849848744225e-13,        +4.301853854996e-03,        +2.912458919222e-11,        +7.301062091123e-01,        +3.282775868223e-11,        +7.634149585412e-01,        +4.032320280333e-12,        +1.010837287479e-01,        +3.355882976330e-12,        +7.804161374657e-02,        +1.307869739933e-12,        +3.278617293218e-02,        +1.502333763287e-12,        +3.493702018212e-02,        +1.277805472595e-12,        +3.203251051617e-02,        +1.490344372454e-12,        +3.465820491501e-02,        +4.040051271573e-12,        +1.012775321581e-01,        +3.358910657873e-12,        +7.811202298170e-02
