        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.826396593147e-01,        +6.629165335955e-03
 2.30020000e+00,        +1.414213562373e-01,        +2.826402553777e-01,        +6.614694848380e-03
 2.30040000e+00,        +1.414213562373e-01,        +2.826408500045e-01,        +6.600209138557e-03
 2.30060000e+00,        +1.414213562373e-01,        +2.826414431895e-01,        +6.585708092068e-03
 2.30080000e+00,        +1.414213562373e-01,        +2.826420349267e-01,        +6.571191593450e-03
 2.30100000e+00,        +1.414213562373e-01,        +2.826426252104e-01,        +6.556659526185e-03
 2.30120000e+00,        +1.414213562373e-01,        +2.826432140346e-01,        +6.542111772688e-03
 2.30140000e+00,        +1.414213562373e-01,        +2.826438013933e-01,        +6.527548214291e-03
 2.30160000e+00,        +1.414213562373e-01,        +2.826443872803e-01,        +6.512968731233e-03
 2.30180000e+00,        +1.414213562373e-01,        +2.826449716895e-01,        +6.498373202648e-03
 2.30200000e+00,        +1.414213562373e-01,        +2.826455546146e-01,        +6.483761506548e-03
 2.30220000e+00,        +1.414213562373e-01,        +2.826461360492e-01,        +6.469133519813e-03
 2.30240000e+00,        +1.414213562373e-01,        +2.826467159868e-01,        +6.454489118174e-03
 2.30260000e+00,        +1.414213562373e-01,        +2.826472944209e-01,        +6.439828176204e-03
 2.30280000e+00,        +1.414213562373e-01,        +2.826478713448e-01,        +6.425150567301e-03
 2.30300000e+00,        +1.414213562373e-01,        +2.826484467518e-01,        +6.410456163671e-03
 2.30320000e+00,        +1.414213562373e-01,        +2.826490206350e-01,        +6.395744836321e-03
 2.30340000e+00,        +1.414213562373e-01,        +2.826495929876e-01,        +6.381016455036e-03
 2.30360000e+00,        +1.414213562373e-01,        +2.826501638023e-01,        +6.366270888373e-03
 2.30380000e+00,        +1.414213562373e-01,        +2.826507330722e-01,        +6.351508003636e-03
 2.30400000e+00,        +1.414213562373e-01,        +2.826513007900e-01,        +6.336727666871e-03
 2.30420000e+00,        +1.414213562373e-01,        +2.826518669482e-01,        +6.321929742841e-03
 2.30440000e+00,        +1.414213562373e-01,        +2.826524315396e-01,        +6.307114095018e-03
 2.30460000e+00,        +1.414213562373e-01,        +2.826529945565e-01,        +6.292280585563e-03
 2.30480000e+00,        +1.414213562373e-01,        +2.826535559912e-01,        +6.277429075310e-03
 2.30500000e+00,        +1.414213562373e-01,        +2.826541158361e-01,        +6.262559423752e-03
 2.30520000e+00,        +1.414213562373e-01,        +2.826546740831e-01,        +6.247671489020e-03
 2.30540000e+00,        +1.414213562373e-01,        +2.826552307243e-01,        +6.232765127872e-03
 2.30560000e+00,        +1.414213562373e-01,        +2.826557857516e-01,        +6.217840195669e-03
 2.30580000e+00,        +1.414213562373e-01,        +2.826563391567e-01,        +6.202896546365e-03
 2.30600000e+00,        +1.414213562373e-01,        +2.826568909314e-01,        +6.187934032482e-03
 2.30620000e+00,        +1.414213562373e-01,        +2.826574410670e-01,        +6.172952505099e-03
 2.30640000e+00,        +1.414213562373e-01,        +2.826579895551e-01,        +6.157951813827e-03
 2.30660000e+00,        +1.414213562373e-01,        +2.826585363869e-01,        +6.142931806796e-03
