        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.920535748009e-03,        +2.687644312193e+00
 2.30020000e+00,        -2.925597542349e-03,        +2.681774853397e+00
 2.30040000e+00,        -2.930699993641e-03,        +2.675899252465e+00
 2.30060000e+00,        -2.935843493049e-03,        +2.670017463028e+00
 2.30080000e+00,        -2.941028436442e-03,        +2.664129438295e+00
 2.30100000e+00,        -2.946255224449e-03,        +2.658235131048e+00
 2.30120000e+00,        -2.951524262588e-03,        +2.652334493635e+00
 2.30140000e+00,        -2.956835961253e-03,        +2.646427477967e+00
 2.30160000e+00,        -2.962190735876e-03,        +2.640514035512e+00
 2.30180000e+00,        -2.967589006921e-03,        +2.634594117289e+00
 2.30200000e+00,        -2.973031200028e-03,        +2.628667673864e+00
 2.30220000e+00,        -2.978517746033e-03,        +2.622734655345e+00
 2.30240000e+00,        -2.984049081039e-03,        +2.616795011373e+00
 2.30260000e+00,        -2.989625646537e-03,        +2.610848691120e+00
 2.30280000e+00,        -2.995247889490e-03,        +2.604895643282e+00
 2.30300000e+00,        -3.000916262370e-03,        +2.598935816075e+00
 2.30320000e+00,        -3.006631223213e-03,        +2.592969157225e+00
 2.30340000e+00,        -3.012393235839e-03,        +2.586995613967e+00
 2.30360000e+00,        -3.018202769741e-03,        +2.581015133033e+00
 2.30380000e+00,        -3.024060300366e-03,        +2.575027660654e+00
 2.30400000e+00,        -3.029966309057e-03,        +2.569033142548e+00
 2.30420000e+00,        -3.035921283185e-03,        +2.563031523912e+00
 2.30440000e+00,        -3.041925716317e-03,        +2.557022749422e+00
 2.30460000e+00,        -3.047980108183e-03,        +2.551006763224e+00
 2.30480000e+00,        -3.054084964827e-03,        +2.544983508923e+00
 2.30500000e+00,        -3.060240798737e-03,        +2.538952929584e+00
 2.30520000e+00,        -3.066448128877e-03,        +2.532914967718e+00
 2.30540000e+00,        -3.072707480827e-03,        +2.526869565280e+00
 2.30560000e+00,        -3.079019386899e-03,        +2.520816663661e+00
 2.30580000e+00,        -3.085384386164e-03,        +2.514756203679e+00
 2.30600000e+00,        -3.091803024630e-03,        +2.508688125575e+00
 2.30620000e+00,        -3.098275855326e-03,        +2.502612369003e+00
 2.30640000e+00,        -3.104803438395e-03,        +2.496528873024e+00
 2.30660000e+00,        -3.111386341236e-03,        +2.490437576096e+00
 2.30680000e+00,        -3.118025138571e-03,        +2.484338416073e+00
 2.30700000e+00,        -3.124720412610e-03,        +2.478231330188e+00
 2.30720000e+00,        -3.131472753113e-03,        +2.472116255053e+00
 2.30740000e+00,        -3.138282757567e-03,        +2.465993126647e+00
 2.30760000e+00,        -3.145151031187e-03,        +2.459861880309e+00
 2.30780000e+00,        -3.152078187254e-03,        +2.453722450729e+00
 2.30800000e+00,        -3.159064846995e-03,        +2.447574771943e+00
 2.30820000e+00,        -3.166111639916e-03,        +2.441418777318e+00
 2.30840000e+00,        -3.173219203762e-03,        +2.435254399551e+00
 2.30860000e+00,        -3.180388184773e-03,        +2.429081570654e+00
 2.30880000e+00,        -3.187619237733e-03,        +2.422900221949e+00
 2.30900000e+00,        -3.194913026203e-03,        +2.416710284057e+00
 2.30920000e+00,        -3.202270222548e-03,        +2.410511686891e+00
 2.30940000e+00,        -3.209691508115e-03,        +2.404304359643e+00
 2.30960000e+00,        -3.217177573481e-03,        +2.398088230780e+00
 2.30980000e+00,        -3.224729118410e-03,        +2.391863228028e+00
 2.31000000e+00,        -3.232346852158e-03,        +2.385629278368e+00
 2.31020000e+00,        -3.240031493548e-03,        +2.379386308022e+00
 2.31040000e+00,        -3.247783771183e-03,        +2.373134242447e+00
 2.31060000e+00,        -3.255604423531e-03,        +2.366873006321e+00
 2.31080000e+00,        -3.263494199113e-03,        +2.360602523533e+00
 2.31100000e+00,        -3.271453856739e-03,        +2.354322717175e+00
 2.31120000e+00,        -3.279484165552e-03,        +2.348033509529e+00
 2.31140000e+00,        -3.287585905290e-03,        +2.341734822060e+00
 2.31160000e+00,        -3.295759866400e-03,        +2.335426575397e+00
 2.31180000e+00,        -3.304006850325e-03,        +2.329108689330e+00
 2.31200000e+00,        -3.312327669476e-03,        +2.322781082795e+00
 2.31220000e+00,        -3.320723147645e-03,        +2.316443673862e+00
 2.31240000e+00,        -3.329194120067e-03,        +2.310096379725e+00
 2.31260000e+00,        -3.337741433615e-03,        +2.303739116688e+00
 2.31280000e+00,        -3.346365947025e-03,        +2.297371800153e+00
 2.31300000e+00,        -3.355068531079e-03,        +2.290994344611e+00
 2.31320000e+00,        -3.363850068828e-03,        +2.284606663626e+00
 2.31340000e+00,        -3.372711455759e-03,        +2.278208669820e+00
 2.31360000e+00,        -3.381653600077e-03,        +2.271800274868e+00
 2.31380000e+00,        -3.390677422780e-03,        +2.265381389476e+00
 2.31400000e+00,        -3.399783858043e-03,        +2.258951923373e+00
 2.31420000e+00,        -3.408973853379e-03,        +2.252511785297e+00
 2.31440000e+00,        -3.418248369797e-03,        +2.246060882977e+00
 2.31460000e+00,        -3.427608382125e-03,        +2.239599123124e+00
 2.31480000e+00,        -3.437054879207e-03,        +2.233126411413e+00
 2.31500000e+00,        -3.446588864153e-03,        +2.226642652472e+00
 2.31520000e+00,        -3.456211354561e-03,        +2.220147749862e+00
 2.31540000e+00,        -3.465923382839e-03,        +2.213641606067e+00
 2.31560000e+00,        -3.475725996357e-03,        +2.207124122476e+00
 2.31580000e+00,        -3.485620257817e-03,        +2.200595199367e+00
 2.31600000e+00,        -3.495607245435e-03,        +2.194054735893e+00
 2.31620000e+00,        -3.505688053207e-03,        +2.187502630063e+00
 2.31640000e+00,        -3.515863791330e-03,        +2.180938778731e+00
 2.31660000e+00,        -3.526135586288e-03,        +2.174363077572e+00
 2.31680000e+00,        -3.536504581268e-03,        +2.167775421070e+00
 2.31700000e+00,        -3.546971936414e-03,        +2.161175702499e+00
 2.31720000e+00,        -3.557538829131e-03,        +2.154563813906e+00
 2.31740000e+00,        -3.568206454419e-03,        +2.147939646093e+00
 2.31760000e+00,        -3.578976025144e-03,        +2.141303088597e+00
 2.31780000e+00,        -3.589848772384e-03,        +2.134654029674e+00
 2.31800000e+00,        -3.600825945751e-03,        +2.127992356279e+00
 2.31820000e+00,        -3.611908813751e-03,        +2.121317954047e+00
 2.31840000e+00,        -3.623098664064e-03,        +2.114630707272e+00
 2.31860000e+00,        -3.634396803936e-03,        +2.107930498889e+00
 2.31880000e+00,        -3.645804560559e-03,        +2.101217210453e+00
 2.31900000e+00,        -3.657323281338e-03,        +2.094490722118e+00
 2.31920000e+00,        -3.668954334434e-03,        +2.087750912616e+00
 2.31940000e+00,        -3.680699108913e-03,        +2.080997659238e+00
 2.31960000e+00,        -3.692559015372e-03,        +2.074230837807e+00
 2.31980000e+00,        -3.704535486105e-03,        +2.067450322661e+00
 2.32000000e+00,        -3.716629975720e-03,        +2.060655986628e+00
 2.32020000e+00,        -3.728843961382e-03,        +2.053847701002e+00
 2.32040000e+00,        -3.741178943352e-03,        +2.047025335522e+00
 2.32060000e+00,        -3.753636445367e-03,        +2.040188758347e+00
 2.32080000e+00,        -3.766218015044e-03,        +2.033337836033e+00
 2.32100000e+00,        -3.778925224419e-03,        +2.026472433504e+00
 2.32120000e+00,        -3.791759670352e-03,        +2.019592414032e+00
 2.32140000e+00,        -3.804722974943e-03,        +2.012697639209e+00
 2.32160000e+00,        -3.817816786153e-03,        +2.005787968919e+00
 2.32180000e+00,        -3.831042778189e-03,        +1.998863261317e+00
 2.32200000e+00,        -3.844402652014e-03,        +1.991923372794e+00
 2.32220000e+00,        -3.857898135871e-03,        +1.984968157957e+00
 2.32240000e+00,        -3.871530985853e-03,        +1.977997469594e+00
 2.32260000e+00,        -3.885302986373e-03,        +1.971011158652e+00
 2.32280000e+00,        -3.899215950756e-03,        +1.964009074202e+00
 2.32300000e+00,        -3.913271721740e-03,        +1.956991063412e+00
 2.32320000e+00,        -3.927472172172e-03,        +1.949956971516e+00
 2.32340000e+00,        -3.941819205428e-03,        +1.942906641784e+00
 2.32360000e+00,        -3.956314756181e-03,        +1.935839915488e+00
 2.32380000e+00,        -3.970960790887e-03,        +1.928756631873e+00
 2.32400000e+00,        -3.985759308456e-03,        +1.921656628121e+00
 2.32420000e+00,        -4.000712340946e-03,        +1.914539739320e+00
 2.32440000e+00,        -4.015821954115e-03,        +1.907405798429e+00
 2.32460000e+00,        -4.031090248185e-03,        +1.900254636242e+00
 2.32480000e+00,        -4.046519358497e-03,        +1.893086081356e+00
 2.32500000e+00,        -4.062111456196e-03,        +1.885899960129e+00
 2.32520000e+00,        -4.077868748984e-03,        +1.878696096650e+00
 2.32540000e+00,        -4.093793481844e-03,        +1.871474312696e+00
 2.32560000e+00,        -4.109887937783e-03,        +1.864234427696e+00
 2.32580000e+00,        -4.126154438617e-03,        +1.856976258692e+00
 2.32600000e+00,        -4.142595345776e-03,        +1.849699620298e+00
 2.32620000e+00,        -4.159213061087e-03,        +1.842404324661e+00
 2.32640000e+00,        -4.176010027625e-03,        +1.835090181417e+00
 2.32660000e+00,        -4.192988730527e-03,        +1.827756997650e+00
 2.32680000e+00,        -4.210151697906e-03,        +1.820404577849e+00
 2.32700000e+00,        -4.227501501739e-03,        +1.813032723863e+00
