        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412966216649e+01,        +3.337496344853e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412968331722e+01,        +3.330117935504e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412970432247e+01,        +3.322730763410e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412972518118e+01,        +3.315334759665e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412974589228e+01,        +3.307929854700e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412976645472e+01,        +3.300515978269e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412978686738e+01,        +3.293093059445e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412980712916e+01,        +3.285661026609e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412982723895e+01,        +3.278219807443e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412984719561e+01,        +3.270769328918e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412986699798e+01,        +3.263309517289e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412988664491e+01,        +3.255840298085e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412990613519e+01,        +3.248361596097e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412992546765e+01,        +3.240873335373e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412994464105e+01,        +3.233375439204e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412996365418e+01,        +3.225867830118e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412998250577e+01,        +3.218350429870e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.413000119457e+01,        +3.210823159429e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.413001971929e+01,        +3.203285938971e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.413003807862e+01,        +3.195738687868e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.413005627126e+01,        +3.188181324676e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.413007429586e+01,        +3.180613767129e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.413009215107e+01,        +3.173035932122e-01
 2.30460000e+00,        +7.071067811865e+00,        +1.413010983551e+01,        +3.165447735705e-01
 2.30480000e+00,        +7.071067811865e+00,        +1.413012734778e+01,        +3.157849093070e-01
 2.30500000e+00,        +7.071067811865e+00,        +1.413014468649e+01,        +3.150239918540e-01
 2.30520000e+00,        +7.071067811865e+00,        +1.413016185018e+01,        +3.142620125558e-01
 2.30540000e+00,        +7.071067811865e+00,        +1.413017883741e+01,        +3.134989626675e-01
 2.30560000e+00,        +7.071067811865e+00,        +1.413019564670e+01,        +3.127348333538e-01
 2.30580000e+00,        +7.071067811865e+00,        +1.413021227657e+01,        +3.119696156881e-01
 2.30600000e+00,        +7.071067811865e+00,        +1.413022872549e+01,        +3.112033006508e-01
 2.30620000e+00,        +7.071067811865e+00,        +1.413024499192e+01,        +3.104358791284e-01
 2.30640000e+00,        +7.071067811865e+00,        +1.413026107432e+01,        +3.096673419120e-01
 2.30660000e+00,        +7.071067811865e+00,        +1.413027697109e+01,        +3.088976796967e-01
 2.30680000e+00,        +7.071067811865e+00,        +1.413029268063e+01,        +3.081268830792e-01
 2.30700000e+00,        +7.071067811865e+00,        +1.413030820132e+01,        +3.073549425575e-01
 2.30720000e+00,        +7.071067811865e+00,        +1.413032353151e+01,        +3.065818485290e-01
 2.30740000e+00,        +7.071067811865e+00,        +1.413033866952e+01,        +3.058075912895e-01
 2.30760000e+00,        +7.071067811865e+00,        +1.413035361366e+01,        +3.050321610314e-01
 2.30780000e+00,        +7.071067811865e+00,        +1.413036836220e+01,        +3.042555478428e-01
 2.30800000e+00,        +7.071067811865e+00,        +1.413038291340e+01,        +3.034777417057e-01
 2.30820000e+00,        +7.071067811865e+00,        +1.413039726548e+01,        +3.026987324946e-01
 2.30840000e+00,        +7.071067811865e+00,        +1.413041141665e+01,        +3.019185099753e-01
 2.30860000e+00,        +7.071067811865e+00,        +1.413042536508e+01,        +3.011370638033e-01
 2.30880000e+00,        +7.071067811865e+00,        +1.413043910892e+01,        +3.003543835219e-01
 2.30900000e+00,        +7.071067811865e+00,        +1.413045264629e+01,        +2.995704585612e-01
 2.30920000e+00,        +7.071067811865e+00,        +1.413046597529e+01,        +2.987852782364e-01
 2.30940000e+00,        +7.071067811865e+00,        +1.413047909399e+01,        +2.979988317460e-01
 2.30960000e+00,        +7.071067811865e+00,        +1.413049200042e+01,        +2.972111081703e-01
 2.30980000e+00,        +7.071067811865e+00,        +1.413050469258e+01,        +2.964220964699e-01
 2.31000000e+00,        +7.071067811865e+00,        +1.413051716847e+01,        +2.956317854838e-01
 2.31020000e+00,        +7.071067811865e+00,        +1.413052942603e+01,        +2.948401639277e-01
 2.31040000e+00,        +7.071067811865e+00,        +1.413054146317e+01,        +2.940472203927e-01
 2.31060000e+00,        +7.071067811865e+00,        +1.413055327779e+01,        +2.932529433429e-01
 2.31080000e+00,        +7.071067811865e+00,        +1.413056486774e+01,        +2.924573211141e-01
 2.31100000e+00,        +7.071067811865e+00,        +1.413057623085e+01,        +2.916603419118e-01
 2.31120000e+00,        +7.071067811865e+00,        +1.413058736490e+01,        +2.908619938093e-01
 2.31140000e+00,        +7.071067811865e+00,        +1.413059826766e+01,        +2.900622647459e-01
 2.31160000e+00,        +7.071067811865e+00,        +1.413060893684e+01,        +2.892611425252e-01
 2.31180000e+00,        +7.071067811865e+00,        +1.413061937014e+01,        +2.884586148127e-01
 2.31200000e+00,        +7.071067811865e+00,        +1.413062956521e+01,        +2.876546691341e-01
 2.31220000e+00,        +7.071067811865e+00,        +1.413063951968e+01,        +2.868492928734e-01
 2.31240000e+00,        +7.071067811865e+00,        +1.413064923111e+01,        +2.860424732705e-01
 2.31260000e+00,        +7.071067811865e+00,        +1.413065869706e+01,        +2.852341974196e-01
 2.31280000e+00,        +7.071067811865e+00,        +1.413066791503e+01,        +2.844244522666e-01
 2.31300000e+00,        +7.071067811865e+00,        +1.413067688250e+01,        +2.836132246073e-01
 2.31320000e+00,        +7.071067811865e+00,        +1.413068559688e+01,        +2.828005010850e-01
 2.31340000e+00,        +7.071067811865e+00,        +1.413069405558e+01,        +2.819862681884e-01
 2.31360000e+00,        +7.071067811865e+00,        +1.413070225594e+01,        +2.811705122491e-01
 2.31380000e+00,        +7.071067811865e+00,        +1.413071019527e+01,        +2.803532194399e-01
 2.31400000e+00,        +7.071067811865e+00,        +1.413071787083e+01,        +2.795343757715e-01
