        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +4.094858264300e-11,        +4.429070745401e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.817358581433e-15,        +1.909066951007e-04,        +8.568003607492e-14,        +1.934492380007e-03,        +2.869364835236e-11,        +7.007238468427e-01,        +3.277068415443e-11,        +7.398997676534e-01,        +4.537211056372e-12,        +1.108026398845e-01,        +3.735046073648e-12,        +8.433024190292e-02,        +1.589573537500e-12,        +3.881876819422e-02,        +1.776759583135e-12,        +4.011585466274e-02,        +1.447076301964e-12,        +3.533886177649e-02,        +1.721323275401e-12,        +3.886420819058e-02,        +4.590969326118e-12,        +1.121154635838e-01,        +3.761497831148e-12,        +8.492747231580e-02
 2.30020000e+00,        +4.101415984997e-11,        +4.434862494635e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.860612220097e-15,        +1.916560585137e-04,        +8.612204057700e-14,        +1.941932600643e-03,        +2.870257386331e-11,        +6.998210854082e-01,        +3.277679854546e-11,        +7.390713598248e-01,        +4.557555527933e-12,        +1.111215137554e-01,        +3.750738690253e-12,        +8.457395679777e-02,        +1.597542201560e-12,        +3.895099174052e-02,        +1.785770310638e-12,        +4.026664440664e-02,        +1.454091455397e-12,        +3.545340098922e-02,        +1.729944653324e-12,        +3.900785324047e-02,        +4.611744081258e-12,        +1.124427294897e-01,        +3.777383575502e-12,        +8.517476201509e-02
 2.30040000e+00,        +4.108027316609e-11,        +4.440706954428e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.904241944709e-15,        +1.924096734399e-04,        +8.656781773036e-14,        +1.949415230925e-03,        +2.871155414432e-11,        +6.989134183271e-01,        +3.278299946089e-11,        +7.382382984809e-01,        +4.578066543104e-12,        +1.114419693510e-01,        +3.766559882485e-12,        +8.481892457977e-02,        +1.605585195401e-12,        +3.908409247693e-02,        +1.794863075565e-12,        +4.041840846479e-02,        +1.461170942661e-12,        +3.556867639981e-02,        +1.738644038670e-12,        +3.915241551654e-02,        +4.632690242851e-12,        +1.127716513501e-01,        +3.793399854284e-12,        +8.542333221292e-02
 2.30060000e+00,        +4.114692833015e-11,        +4.446604690348e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.948251958120e-15,        +1.931675651302e-04,        +8.701740911818e-14,        +1.956940523790e-03,        +2.872058971899e-11,        +6.980008200987e-01,        +3.278928777821e-11,        +7.374005575396e-01,        +4.598745865763e-12,        +1.117640138011e-01,        +3.782511011916e-12,        +8.506515139803e-02,        +1.613703370269e-12,        +3.921807619080e-02,        +1.804038803321e-12,        +4.057115324952e-02,        +1.468315479526e-12,        +3.568469237229e-02,        +1.747422302356e-12,        +3.929790084891e-02,        +4.653809642223e-12,        +1.131022370584e-01,        +3.809548055193e-12,        +8.567318933169e-02
 2.30080000e+00,        +4.121413115905e-11,        +4.452556275687e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.992646521435e-15,        +1.939297589604e-04,        +8.747085689599e-14,        +1.964508733413e-03,        +2.872968111744e-11,        +6.970832651202e-01,        +3.279566438654e-11,        +7.365581108006e-01,        +4.619595283536e-12,        +1.120876542492e-01,        +3.798593458494e-12,        +8.531264341869e-02,        +1.621897589638e-12,        +3.935294871021e-02,        +1.813298432397e-12,        +4.072488521479e-02,        +1.475525791717e-12,        +3.580145329336e-02,        +1.756280327470e-12,        +3.944431510187e-02,        +4.675104135588e-12,        +1.134344945317e-01,        +3.825829584729e-12,        +8.592433981396e-02
 2.30100000e+00,        +4.128188754903e-11,        +4.458562291593e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.037429954974e-15,        +1.946962804312e-04,        +8.792820380102e-14,        +1.972120115195e-03,        +2.873882887647e-11,        +6.961607276880e-01,        +3.280213018686e-11,        +7.357109319458e-01,        +4.640616608181e-12,        +1.124128978519e-01,        +3.814808620835e-12,        +8.556140682453e-02,        +1.630168729411e-12,        +3.948871590415e-02,        +1.822642914587e-12,        +4.087961085625e-02,        +1.482802615073e-12,        +3.591896357239e-02,        +1.765219009473e-12,        +3.959166417394e-02,        +4.696575604456e-12,        +1.137684317094e-01,        +3.842245868491e-12,        +8.617679012214e-02
 2.30120000e+00,        +4.135020347703e-11,        +4.464623327190e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.082606639250e-15,        +1.954671551674e-04,        +8.838949316180e-14,        +1.979774925770e-03,        +2.874803353962e-11,        +6.952331819984e-01,        +3.280868609220e-11,        +7.348589945401e-01,        +4.661811675978e-12,        +1.127397517782e-01,        +3.831157916530e-12,        +8.581144781459e-02,        +1.638517678136e-12,        +3.962538368273e-02,        +1.832073215209e-12,        +4.103533671142e-02,        +1.490146695714e-12,        +3.603722764126e-02,        +1.774239256402e-12,        +3.973995399783e-02,        +4.718225956041e-12,        +1.141040565535e-01,        +3.858798351488e-12,        +8.643054673811e-02
 2.30140000e+00,        +4.141908500194e-11,        +4.470739979718e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.128181015965e-15,        +1.962424089181e-04,        +8.885476890790e-14,        +1.987473422990e-03,        +2.875729565728e-11,        +6.943006021483e-01,        +3.281533302778e-11,        +7.340022720321e-01,        +4.683182348122e-12,        +1.130682232092e-01,        +3.847642782450e-12,        +8.606277260375e-02,        +1.646945337223e-12,        +3.976295799739e-02,        +1.841590313338e-12,        +4.119206935971e-02,        +1.497558790211e-12,        +3.615624995437e-02,        +1.783341989080e-12,        +3.988919054049e-02,        +4.740057123685e-12,        +1.144413770479e-01,        +3.875488498459e-12,        +8.668561616289e-02
 2.30160000e+00,        +4.148853826600e-11,        +4.476912854657e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.174157589030e-15,        +1.970220675557e-04,        +8.932407557986e-14,        +1.995215865927e-03,        +2.876661578682e-11,        +6.933629621364e-01,        +3.282207193127e-11,        +7.331407377548e-01,        +4.704730511132e-12,        +1.133983193375e-01,        +3.864264675057e-12,        +8.631538742233e-02,        +1.655452621158e-12,        +3.990144484110e-02,        +1.851195202032e-12,        +4.134981542262e-02,        +1.505039665758e-12,        +3.627603498847e-02,        +1.792528141327e-12,        +4.003937980304e-02,        +4.762071067280e-12,        +1.147804011978e-01,        +3.892317794191e-12,        +8.694200491623e-02
 2.30180000e+00,        +4.155856949610e-11,        +4.483142565868e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.220540925596e-15,        +1.978061570759e-04,        +8.979745833928e-14,        +2.003002514864e-03,        +2.877599449266e-11,        +6.924202358640e-01,        +3.282890375295e-11,        +7.322743649263e-01,        +4.726458077256e-12,        +1.137300473660e-01,        +3.881025070729e-12,        +8.656929851566e-02,        +1.664040457737e-12,        +4.004085024855e-02,        +1.860888888575e-12,        +4.150858156380e-02,        +1.512590100344e-12,        +3.639658724263e-02,        +1.801798660181e-12,        +4.019052782079e-02,        +4.784269773709e-12,        +1.151211370295e-01,        +3.909287743847e-12,        +8.719971953624e-02
