        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.824506269778e-01,        +6.860645990344e-03
 2.30020000e+00,        +1.414213562373e-01,        +2.824504253124e-01,        +6.845587393522e-03
 2.30040000e+00,        +1.414213562373e-01,        +2.824502150254e-01,        +6.830507740886e-03
 2.30060000e+00,        +1.414213562373e-01,        +2.824499960302e-01,        +6.815406858522e-03
 2.30080000e+00,        +1.414213562373e-01,        +2.824497682393e-01,        +6.800284570756e-03
 2.30100000e+00,        +1.414213562373e-01,        +2.824495315635e-01,        +6.785140700137e-03
 2.30120000e+00,        +1.414213562373e-01,        +2.824492859127e-01,        +6.769975067408e-03
 2.30140000e+00,        +1.414213562373e-01,        +2.824490311954e-01,        +6.754787491488e-03
 2.30160000e+00,        +1.414213562373e-01,        +2.824487673188e-01,        +6.739577789447e-03
 2.30180000e+00,        +1.414213562373e-01,        +2.824484941888e-01,        +6.724345776482e-03
 2.30200000e+00,        +1.414213562373e-01,        +2.824482117099e-01,        +6.709091265894e-03
 2.30220000e+00,        +1.414213562373e-01,        +2.824479197854e-01,        +6.693814069066e-03
 2.30240000e+00,        +1.414213562373e-01,        +2.824476183169e-01,        +6.678513995433e-03
 2.30260000e+00,        +1.414213562373e-01,        +2.824473072049e-01,        +6.663190852462e-03
 2.30280000e+00,        +1.414213562373e-01,        +2.824469863483e-01,        +6.647844445624e-03
 2.30300000e+00,        +1.414213562373e-01,        +2.824466556446e-01,        +6.632474578371e-03
 2.30320000e+00,        +1.414213562373e-01,        +2.824463149899e-01,        +6.617081052106e-03
 2.30340000e+00,        +1.414213562373e-01,        +2.824459642785e-01,        +6.601663666160e-03
 2.30360000e+00,        +1.414213562373e-01,        +2.824456034034e-01,        +6.586222217765e-03
 2.30380000e+00,        +1.414213562373e-01,        +2.824452322560e-01,        +6.570756502023e-03
 2.30400000e+00,        +1.414213562373e-01,        +2.824448507262e-01,        +6.555266311883e-03
 2.30420000e+00,        +1.414213562373e-01,        +2.824444587021e-01,        +6.539751438112e-03
 2.30440000e+00,        +1.414213562373e-01,        +2.824440560701e-01,        +6.524211669264e-03
 2.30460000e+00,        +1.414213562373e-01,        +2.824436427153e-01,        +6.508646791653e-03
 2.30480000e+00,        +1.414213562373e-01,        +2.824432185207e-01,        +6.493056589323e-03
 2.30500000e+00,        +1.414213562373e-01,        +2.824427833677e-01,        +6.477440844021e-03
 2.30520000e+00,        +1.414213562373e-01,        +2.824423371361e-01,        +6.461799335161e-03
 2.30540000e+00,        +1.414213562373e-01,        +2.824418797037e-01,        +6.446131839798e-03
 2.30560000e+00,        +1.414213562373e-01,        +2.824414109464e-01,        +6.430438132597e-03
 2.30580000e+00,        +1.414213562373e-01,        +2.824409307386e-01,        +6.414717985799e-03
 2.30600000e+00,        +1.414213562373e-01,        +2.824404389525e-01,        +6.398971169188e-03
 2.30620000e+00,        +1.414213562373e-01,        +2.824399354584e-01,        +6.383197450064e-03
 2.30640000e+00,        +1.414213562373e-01,        +2.824394201247e-01,        +6.367396593202e-03
 2.30660000e+00,        +1.414213562373e-01,        +2.824388928180e-01,        +6.351568360825e-03
 2.30680000e+00,        +1.414213562373e-01,        +2.824383534025e-01,        +6.335712512569e-03
 2.30700000e+00,        +1.414213562373e-01,        +2.824378017405e-01,        +6.319828805442e-03
 2.30720000e+00,        +1.414213562373e-01,        +2.824372376923e-01,        +6.303916993798e-03
 2.30740000e+00,        +1.414213562373e-01,        +2.824366611160e-01,        +6.287976829295e-03
 2.30760000e+00,        +1.414213562373e-01,        +2.824360718674e-01,        +6.272008060862e-03
 2.30780000e+00,        +1.414213562373e-01,        +2.824354698002e-01,        +6.256010434659e-03
 2.30800000e+00,        +1.414213562373e-01,        +2.824348547658e-01,        +6.239983694042e-03
 2.30820000e+00,        +1.414213562373e-01,        +2.824342266133e-01,        +6.223927579527e-03
 2.30840000e+00,        +1.414213562373e-01,        +2.824335851895e-01,        +6.207841828745e-03
 2.30860000e+00,        +1.414213562373e-01,        +2.824329303388e-01,        +6.191726176411e-03
 2.30880000e+00,        +1.414213562373e-01,        +2.824322619030e-01,        +6.175580354277e-03
 2.30900000e+00,        +1.414213562373e-01,        +2.824315797218e-01,        +6.159404091095e-03
 2.30920000e+00,        +1.414213562373e-01,        +2.824308836319e-01,        +6.143197112579e-03
 2.30940000e+00,        +1.414213562373e-01,        +2.824301734679e-01,        +6.126959141355e-03
 2.30960000e+00,        +1.414213562373e-01,        +2.824294490614e-01,        +6.110689896928e-03
 2.30980000e+00,        +1.414213562373e-01,        +2.824287102415e-01,        +6.094389095634e-03
 2.31000000e+00,        +1.414213562373e-01,        +2.824279568347e-01,        +6.078056450596e-03
 2.31020000e+00,        +1.414213562373e-01,        +2.824271886646e-01,        +6.061691671682e-03
 2.31040000e+00,        +1.414213562373e-01,        +2.824264055519e-01,        +6.045294465460e-03
 2.31060000e+00,        +1.414213562373e-01,        +2.824256073146e-01,        +6.028864535148e-03
 2.31080000e+00,        +1.414213562373e-01,        +2.824247937677e-01,        +6.012401580576e-03
 2.31100000e+00,        +1.414213562373e-01,        +2.824239647231e-01,        +5.995905298129e-03
 2.31120000e+00,        +1.414213562373e-01,        +2.824231199900e-01,        +5.979375380706e-03
 2.31140000e+00,        +1.414213562373e-01,        +2.824222593741e-01,        +5.962811517670e-03
 2.31160000e+00,        +1.414213562373e-01,        +2.824213826781e-01,        +5.946213394797e-03
 2.31180000e+00,        +1.414213562373e-01,        +2.824204897017e-01,        +5.929580694227e-03
 2.31200000e+00,        +1.414213562373e-01,        +2.824195802410e-01,        +5.912913094413e-03
 2.31220000e+00,        +1.414213562373e-01,        +2.824186540889e-01,        +5.896210270067e-03
 2.31240000e+00,        +1.414213562373e-01,        +2.824177110348e-01,        +5.879471892114e-03
 2.31260000e+00,        +1.414213562373e-01,        +2.824167508649e-01,        +5.862697627628e-03
 2.31280000e+00,        +1.414213562373e-01,        +2.824157733615e-01,        +5.845887139789e-03
 2.31300000e+00,        +1.414213562373e-01,        +2.824147783035e-01,        +5.829040087820e-03
 2.31320000e+00,        +1.414213562373e-01,        +2.824137654661e-01,        +5.812156126935e-03
 2.31340000e+00,        +1.414213562373e-01,        +2.824127346207e-01,        +5.795234908278e-03
 2.31360000e+00,        +1.414213562373e-01,        +2.824116855348e-01,        +5.778276078871e-03
 2.31380000e+00,        +1.414213562373e-01,        +2.824106179722e-01,        +5.761279281552e-03
 2.31400000e+00,        +1.414213562373e-01,        +2.824095316926e-01,        +5.744244154913e-03
 2.31420000e+00,        +1.414213562373e-01,        +2.824084264515e-01,        +5.727170333245e-03
 2.31440000e+00,        +1.414213562373e-01,        +2.824073020005e-01,        +5.710057446473e-03
 2.31460000e+00,        +1.414213562373e-01,        +2.824061580869e-01,        +5.692905120093e-03
 2.31480000e+00,        +1.414213562373e-01,        +2.824049944536e-01,        +5.675712975110e-03
 2.31500000e+00,        +1.414213562373e-01,        +2.824038108391e-01,        +5.658480627973e-03
 2.31520000e+00,        +1.414213562373e-01,        +2.824026069776e-01,        +5.641207690509e-03
 2.31540000e+00,        +1.414213562373e-01,        +2.824013825985e-01,        +5.623893769859e-03
 2.31560000e+00,        +1.414213562373e-01,        +2.824001374267e-01,        +5.606538468405e-03
 2.31580000e+00,        +1.414213562373e-01,        +2.823988711821e-01,        +5.589141383708e-03
 2.31600000e+00,        +1.414213562373e-01,        +2.823975835800e-01,        +5.571702108432e-03
 2.31620000e+00,        +1.414213562373e-01,        +2.823962743306e-01,        +5.554220230277e-03
