        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -1.384919796099e-02,        +2.785070180934e+00
 2.30020000e+00,        -1.390655104274e-02,        +2.778970724081e+00
 2.30040000e+00,        -1.396439848567e-02,        +2.772862821675e+00
 2.30060000e+00,        -1.402274572407e-02,        +2.766746403638e+00
 2.30080000e+00,        -1.408159826733e-02,        +2.760621399184e+00
 2.30100000e+00,        -1.414096170116e-02,        +2.754487736807e+00
 2.30120000e+00,        -1.420084168886e-02,        +2.748345344276e+00
 2.30140000e+00,        -1.426124397263e-02,        +2.742194148620e+00
 2.30160000e+00,        -1.432217437489e-02,        +2.736034076124e+00
 2.30180000e+00,        -1.438363879952e-02,        +2.729865052316e+00
 2.30200000e+00,        -1.444564323333e-02,        +2.723687001959e+00
 2.30220000e+00,        -1.450819374735e-02,        +2.717499849041e+00
 2.30240000e+00,        -1.457129649841e-02,        +2.711303516764e+00
 2.30260000e+00,        -1.463495773035e-02,        +2.705097927536e+00
 2.30280000e+00,        -1.469918377565e-02,        +2.698883002958e+00
 2.30300000e+00,        -1.476398105691e-02,        +2.692658663816e+00
 2.30320000e+00,        -1.482935608834e-02,        +2.686424830069e+00
 2.30340000e+00,        -1.489531547730e-02,        +2.680181420838e+00
 2.30360000e+00,        -1.496186592598e-02,        +2.673928354398e+00
 2.30380000e+00,        -1.502901423292e-02,        +2.667665548162e+00
 2.30400000e+00,        -1.509676729470e-02,        +2.661392918675e+00
 2.30420000e+00,        -1.516513210769e-02,        +2.655110381598e+00
 2.30440000e+00,        -1.523411576961e-02,        +2.648817851701e+00
 2.30460000e+00,        -1.530372548147e-02,        +2.642515242847e+00
 2.30480000e+00,        -1.537396854923e-02,        +2.636202467983e+00
 2.30500000e+00,        -1.544485238567e-02,        +2.629879439126e+00
 2.30520000e+00,        -1.551638451227e-02,        +2.623546067351e+00
 2.30540000e+00,        -1.558857256108e-02,        +2.617202262782e+00
 2.30560000e+00,        -1.566142427661e-02,        +2.610847934574e+00
 2.30580000e+00,        -1.573494751796e-02,        +2.604482990903e+00
 2.30600000e+00,        -1.580915026065e-02,        +2.598107338952e+00
 2.30620000e+00,        -1.588404059883e-02,        +2.591720884901e+00
 2.30640000e+00,        -1.595962674728e-02,        +2.585323533907e+00
 2.30660000e+00,        -1.603591704364e-02,        +2.578915190097e+00
 2.30680000e+00,        -1.611291995051e-02,        +2.572495756551e+00
 2.30700000e+00,        -1.619064405774e-02,        +2.566065135287e+00
 2.30720000e+00,        -1.626909808471e-02,        +2.559623227248e+00
 2.30740000e+00,        -1.634829088264e-02,        +2.553169932290e+00
 2.30760000e+00,        -1.642823143699e-02,        +2.546705149161e+00
 2.30780000e+00,        -1.650892886984e-02,        +2.540228775491e+00
 2.30800000e+00,        -1.659039244239e-02,        +2.533740707777e+00
 2.30820000e+00,        -1.667263155752e-02,        +2.527240841365e+00
 2.30840000e+00,        -1.675565576235e-02,        +2.520729070434e+00
 2.30860000e+00,        -1.683947475089e-02,        +2.514205287984e+00
 2.30880000e+00,        -1.692409836664e-02,        +2.507669385813e+00
 2.30900000e+00,        -1.700953660551e-02,        +2.501121254510e+00
 2.30920000e+00,        -1.709579961849e-02,        +2.494560783429e+00
 2.30940000e+00,        -1.718289771461e-02,        +2.487987860678e+00
 2.30960000e+00,        -1.727084136375e-02,        +2.481402373099e+00
 2.30980000e+00,        -1.735964119981e-02,        +2.474804206251e+00
 2.31000000e+00,        -1.744930802359e-02,        +2.468193244394e+00
 2.31020000e+00,        -1.753985280604e-02,        +2.461569370469e+00
 2.31040000e+00,        -1.763128669143e-02,        +2.454932466078e+00
 2.31060000e+00,        -1.772362100053e-02,        +2.448282411470e+00
 2.31080000e+00,        -1.781686723405e-02,        +2.441619085519e+00
 2.31100000e+00,        -1.791103707598e-02,        +2.434942365705e+00
 2.31120000e+00,        -1.800614239710e-02,        +2.428252128094e+00
 2.31140000e+00,        -1.810219525856e-02,        +2.421548247321e+00
 2.31160000e+00,        -1.819920791546e-02,        +2.414830596564e+00
 2.31180000e+00,        -1.829719282059e-02,        +2.408099047532e+00
 2.31200000e+00,        -1.839616262827e-02,        +2.401353470436e+00
 2.31220000e+00,        -1.849613019812e-02,        +2.394593733972e+00
 2.31240000e+00,        -1.859710859924e-02,        +2.387819705300e+00
 2.31260000e+00,        -1.869911111403e-02,        +2.381031250019e+00
 2.31280000e+00,        -1.880215124250e-02,        +2.374228232147e+00
 2.31300000e+00,        -1.890624270648e-02,        +2.367410514100e+00
 2.31320000e+00,        -1.901139945393e-02,        +2.360577956666e+00
 2.31340000e+00,        -1.911763566341e-02,        +2.353730418982e+00
 2.31360000e+00,        -1.922496574862e-02,        +2.346867758513e+00
 2.31380000e+00,        -1.933340436302e-02,        +2.339989831026e+00
 2.31400000e+00,        -1.944296640463e-02,        +2.333096490566e+00
 2.31420000e+00,        -1.955366702082e-02,        +2.326187589429e+00
