        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412253134889e+01,        +3.430322995172e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412252126562e+01,        +3.422793696761e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412251075127e+01,        +3.415253870443e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412249980151e+01,        +3.407703429261e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412248841196e+01,        +3.400142285378e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412247657817e+01,        +3.392570350069e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412246429564e+01,        +3.384987533704e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412245155977e+01,        +3.377393745744e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412243836594e+01,        +3.369788894723e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412242470944e+01,        +3.362172888241e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412241058550e+01,        +3.354545632947e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412239598927e+01,        +3.346907034533e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412238091584e+01,        +3.339256997717e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412236536024e+01,        +3.331595426231e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412234931742e+01,        +3.323922222812e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412233278223e+01,        +3.316237289186e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412231574949e+01,        +3.308540526053e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412229821392e+01,        +3.300831833080e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412228017017e+01,        +3.293111108882e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412226161280e+01,        +3.285378251011e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412224253631e+01,        +3.277633155942e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412222293510e+01,        +3.269875719056e-01
