        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +6.981197059558e-10,        +7.048308202508e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.871872310878e-13,        +5.546143845886e-04,        +3.827386907520e-12,        +5.430220696307e-03,        +5.879633354380e-11,        +8.422099110254e-02,        +1.113807753656e-10,        +1.580248368338e-01,        +1.882747242269e-10,        +2.696883107878e-01,        +1.464248314753e-10,        +2.077446491673e-01,        +1.273100549969e-10,        +1.823613542359e-01,        +1.379734820235e-10,        +1.957540420472e-01,        +1.258401302557e-10,        +1.802558059630e-01,        +1.374355383446e-10,        +1.949908182160e-01,        +1.892924536691e-10,        +2.711461258782e-01,        +1.467853297823e-10,        +2.082561170213e-01
 2.40002500e+00,        +6.948612257388e-10,        +7.015580480836e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.853193039142e-13,        +5.545269899101e-04,        +3.808701906303e-12,        +5.428919127515e-03,        +5.860144027032e-11,        +8.433545879325e-02,        +1.109425762786e-10,        +1.581374151171e-01,        +1.873369479641e-10,        +2.696033985275e-01,        +1.456973423925e-10,        +2.076768170368e-01,        +1.267358955870e-10,        +1.823902254040e-01,        +1.373426453116e-10,        +1.957680418417e-01,        +1.252704957558e-10,        +1.802813153413e-01,        +1.368065730396e-10,        +1.950039250684e-01,        +1.883522023820e-10,        +2.710644879943e-01,        +1.460572084438e-10,        +2.081897696745e-01
 2.40005000e+00,        +6.916268441336e-10,        +6.983094398134e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.834650445770e-13,        +5.544392150616e-04,        +3.790154587643e-12,        +5.427614709971e-03,        +5.840809075341e-11,        +8.445029461888e-02,        +1.105076785450e-10,        +1.582503002888e-01,        +1.864061343844e-10,        +2.695183623445e-01,        +1.449752555044e-10,        +2.076089012102e-01,        +1.261659033032e-10,        +1.824190376260e-01,        +1.367164007528e-10,        +1.957819742338e-01,        +1.247050064774e-10,        +1.803067760240e-01,        +1.361821902474e-10,        +1.950169688152e-01,        +1.874189244323e-10,        +2.709827214227e-01,        +1.453344911293e-10,        +2.081233373676e-01
 2.40007500e+00,        +6.884163252112e-10,        +6.950847590379e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.816243197027e-13,        +5.543510601462e-04,        +3.771743604270e-12,        +5.426307447010e-03,        +5.821626941306e-11,        +8.456549805846e-02,        +1.100760495160e-10,        +1.583634917681e-01,        +1.854822151202e-10,        +2.694332024495e-01,        +1.442585177734e-10,        +2.075409018795e-01,        +1.256000377916e-10,        +1.824477909543e-01,        +1.360947037846e-10,        +1.957958393059e-01,        +1.241436222157e-10,        +1.803321880515e-01,        +1.355623454766e-10,        +1.950299495334e-01,        +1.864925513914e-10,        +2.709008263774e-01,        +1.446171248001e-10,        +2.080568202938e-01
 2.40010000e+00,        +6.852294359215e-10,        +6.918837722384e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.797969975418e-13,        +5.542625252680e-04,        +3.753467625347e-12,        +5.424997341973e-03,        +5.802596086293e-11,        +8.468106858967e-02,        +1.096476569436e-10,        +1.584769889729e-01,        +1.845651226396e-10,        +2.693479190535e-01,        +1.435470768107e-10,        +2.074728192371e-01,        +1.250382591879e-10,        +1.824764854414e-01,        +1.354775103856e-10,        +1.958096371409e-01,        +1.235863032541e-10,        +1.803575514643e-01,        +1.349469947758e-10,        +1.950428673002e-01,        +1.855730156665e-10,        +2.708188030728e-01,        +1.439050570659e-10,        +2.079902186466e-01
 2.40012500e+00,        +6.820659460521e-10,        +6.887062487380e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.779829479447e-13,        +5.541736105322e-04,        +3.735325336229e-12,        +5.423684398208e-03,        +5.783714990753e-11,        +8.479700568882e-02,        +1.092224689746e-10,        +1.585907913203e-01,        +1.836547902345e-10,        +2.692625123677e-01,        +1.428408808660e-10,        +2.074046534756e-01,        +1.244805281097e-10,        +1.825051211400e-01,        +1.348647770677e-10,        +1.958233678217e-01,        +1.230330103567e-10,        +1.803828663032e-01,        +1.343360947264e-10,        +1.950557221930e-01,        +1.846602504887e-10,        +2.707366517235e-01,        +1.431982361749e-10,        +2.079235326198e-01
 2.40015000e+00,        +6.789256281865e-10,        +6.855519606604e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.761820423387e-13,        +5.540843160443e-04,        +3.717315438227e-12,        +5.422368619071e-03,        +5.764982153940e-11,        +8.491330883088e-02,        +1.088004541453e-10,        +1.587048982261e-01,        +1.827511520078e-10,        +2.691769826041e-01,        +1.421398788185e-10,        +2.073364047878e-01,        +1.239268056500e-10,        +1.825336981033e-01,        +1.342564608680e-10,        +1.958370314318e-01,        +1.224837047617e-10,        +1.804081326093e-01,        +1.337296024345e-10,        +1.950685142898e-01,        +1.837541899013e-10,        +2.706543725447e-01,        +1.424966110048e-10,        +2.078567624073e-01
 2.40017500e+00,        +6.758082576633e-10,        +6.824206828887e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.743941537047e-13,        +5.539946419110e-04,        +3.699436648379e-12,        +5.421050007921e-03,        +5.746396093631e-11,        +8.502997748947e-02,        +1.083815813755e-10,        +1.588193091052e-01,        +1.818541428625e-10,        +2.690913299747e-01,        +1.414440201680e-10,        +2.072680733668e-01,        +1.233770533700e-10,        +1.825622163845e-01,        +1.336525193412e-10,        +1.958506280546e-01,        +1.219383481744e-10,        +1.804333504240e-01,        +1.331274755229e-10,        +1.950812436683e-01,        +1.828547687473e-10,        +2.705719657519e-01,        +1.418001310535e-10,        +2.077899082034e-01
 2.40020000e+00,        +6.727136125368e-10,        +6.793121930261e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.726191565554e-13,        +5.539045882397e-04,        +3.681687699220e-12,        +5.419728568126e-03,        +5.727955345859e-11,        +8.514701113686e-02,        +1.079658199627e-10,        +1.589340233711e-01,        +1.809636984894e-10,        +2.690055546921e-01,        +1.407532550253e-10,        +2.071996594059e-01,        +1.228312332925e-10,        +1.825906760371e-01,        +1.330529105527e-10,        +1.958641577741e-01,        +1.213969027603e-10,        +1.804585197890e-01,        +1.325296721247e-10,        +1.950939104071e-01,        +1.819619226585e-10,        +2.704894315611e-01,        +1.411087464302e-10,        +2.077229702026e-01
 2.40022500e+00,        +6.696414735374e-10,        +6.762262713560e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.708569269128e-13,        +5.538141551385e-04,        +3.664067338558e-12,        +5.418404303061e-03,        +5.709658464642e-11,        +8.526440924396e-02,        +1.075531395772e-10,        +1.590490404366e-01,        +1.800797553562e-10,        +2.689196569695e-01,        +1.400675341039e-10,        +2.071311630987e-01,        +1.222893078954e-10,        +1.826190771151e-01,        +1.324575930707e-10,        +1.958776206743e-01,        +1.208593311387e-10,        +1.804836407462e-01,        +1.319361508747e-10,        +1.951065145845e-01,        +1.810755880435e-10,        +2.704067701885e-01,        +1.404224078465e-10,        +2.076559485997e-01
