        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.819612039830e-01,        +1.445211841659e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.819649201000e-01,        +1.442124771444e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.819686107726e-01,        +1.439051954662e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.819722762416e-01,        +1.435993286970e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.819759167450e-01,        +1.432948665032e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.819795325178e-01,        +1.429917986515e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.819831237923e-01,        +1.426901150067e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.819866907979e-01,        +1.423898055311e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.819902337616e-01,        +1.420908602834e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.819937529074e-01,        +1.417932694171e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.819972484569e-01,        +1.414970231797e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.820007206288e-01,        +1.412021119118e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.820041696396e-01,        +1.409085260453e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.820075957031e-01,        +1.406162561029e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.820109990304e-01,        +1.403252926971e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.820143798306e-01,        +1.400356265285e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.820177383100e-01,        +1.397472483855e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.820210746727e-01,        +1.394601491429e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.820243891202e-01,        +1.391743197607e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.820276818521e-01,        +1.388897512836e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.820309530653e-01,        +1.386064348398e-02
 2.40052500e+00,        +1.414213562373e-01,        +2.820342029547e-01,        +1.383243616397e-02
 2.40055000e+00,        +1.414213562373e-01,        +2.820374317129e-01,        +1.380435229755e-02
 2.40057500e+00,        +1.414213562373e-01,        +2.820406395301e-01,        +1.377639102199e-02
 2.40060000e+00,        +1.414213562373e-01,        +2.820438265948e-01,        +1.374855148253e-02
 2.40062500e+00,        +1.414213562373e-01,        +2.820469930928e-01,        +1.372083283228e-02
 2.40065000e+00,        +1.414213562373e-01,        +2.820501392082e-01,        +1.369323423215e-02
 2.40067500e+00,        +1.414213562373e-01,        +2.820532651229e-01,        +1.366575485071e-02
 2.40070000e+00,        +1.414213562373e-01,        +2.820563710168e-01,        +1.363839386419e-02
 2.40072500e+00,        +1.414213562373e-01,        +2.820594570675e-01,        +1.361115045630e-02
 2.40075000e+00,        +1.414213562373e-01,        +2.820625234511e-01,        +1.358402381819e-02
 2.40077500e+00,        +1.414213562373e-01,        +2.820655703412e-01,        +1.355701314839e-02
 2.40080000e+00,        +1.414213562373e-01,        +2.820685979099e-01,        +1.353011765266e-02
 2.40082500e+00,        +1.414213562373e-01,        +2.820716063271e-01,        +1.350333654397e-02
 2.40085000e+00,        +1.414213562373e-01,        +2.820745957609e-01,        +1.347666904240e-02
 2.40087500e+00,        +1.414213562373e-01,        +2.820775663776e-01,        +1.345011437503e-02
 2.40090000e+00,        +1.414213562373e-01,        +2.820805183415e-01,        +1.342367177591e-02
 2.40092500e+00,        +1.414213562373e-01,        +2.820834518153e-01,        +1.339734048595e-02
 2.40095000e+00,        +1.414213562373e-01,        +2.820863669598e-01,        +1.337111975285e-02
 2.40097500e+00,        +1.414213562373e-01,        +2.820892639339e-01,        +1.334500883102e-02
 2.40100000e+00,        +1.414213562373e-01,        +2.820921428949e-01,        +1.331900698152e-02
 2.40102500e+00,        +1.414213562373e-01,        +2.820950039984e-01,        +1.329311347199e-02
 2.40105000e+00,        +1.414213562373e-01,        +2.820978473983e-01,        +1.326732757654e-02
 2.40107500e+00,        +1.414213562373e-01,        +2.821006732468e-01,        +1.324164857572e-02
 2.40110000e+00,        +1.414213562373e-01,        +2.821034816943e-01,        +1.321607575643e-02
 2.40112500e+00,        +1.414213562373e-01,        +2.821062728898e-01,        +1.319060841184e-02
 2.40115000e+00,        +1.414213562373e-01,        +2.821090469806e-01,        +1.316524584135e-02
 2.40117500e+00,        +1.414213562373e-01,        +2.821118041124e-01,        +1.313998735050e-02
 2.40120000e+00,        +1.414213562373e-01,        +2.821145444292e-01,        +1.311483225091e-02
 2.40122500e+00,        +1.414213562373e-01,        +2.821172680737e-01,        +1.308977986021e-02
 2.40125000e+00,        +1.414213562373e-01,        +2.821199751870e-01,        +1.306482950197e-02
 2.40127500e+00,        +1.414213562373e-01,        +2.821226659085e-01,        +1.303998050566e-02
 2.40130000e+00,        +1.414213562373e-01,        +2.821253403763e-01,        +1.301523220655e-02
 2.40132500e+00,        +1.414213562373e-01,        +2.821279987271e-01,        +1.299058394567e-02
 2.40135000e+00,        +1.414213562373e-01,        +2.821306410958e-01,        +1.296603506975e-02
 2.40137500e+00,        +1.414213562373e-01,        +2.821332676163e-01,        +1.294158493114e-02
 2.40140000e+00,        +1.414213562373e-01,        +2.821358784208e-01,        +1.291723288779e-02
 2.40142500e+00,        +1.414213562373e-01,        +2.821384736402e-01,        +1.289297830312e-02
 2.40145000e+00,        +1.414213562373e-01,        +2.821410534041e-01,        +1.286882054603e-02
 2.40147500e+00,        +1.414213562373e-01,        +2.821436178404e-01,        +1.284475899082e-02
 2.40150000e+00,        +1.414213562373e-01,        +2.821461670761e-01,        +1.282079301711e-02
 2.40152500e+00,        +1.414213562373e-01,        +2.821487012366e-01,        +1.279692200979e-02
 2.40155000e+00,        +1.414213562373e-01,        +2.821512204462e-01,        +1.277314535902e-02
 2.40157500e+00,        +1.414213562373e-01,        +2.821537248275e-01,        +1.274946246008e-02
 2.40160000e+00,        +1.414213562373e-01,        +2.821562145024e-01,        +1.272587271339e-02
 2.40162500e+00,        +1.414213562373e-01,        +2.821586895910e-01,        +1.270237552442e-02
 2.40165000e+00,        +1.414213562373e-01,        +2.821611502124e-01,        +1.267897030366e-02
 2.40167500e+00,        +1.414213562373e-01,        +2.821635964846e-01,        +1.265565646654e-02
 2.40170000e+00,        +1.414213562373e-01,        +2.821660285242e-01,        +1.263243343341e-02
 2.40172500e+00,        +1.414213562373e-01,        +2.821684464465e-01,        +1.260930062945e-02
 2.40175000e+00,        +1.414213562373e-01,        +2.821708503659e-01,        +1.258625748465e-02
 2.40177500e+00,        +1.414213562373e-01,        +2.821732403954e-01,        +1.256330343377e-02
 2.40180000e+00,        +1.414213562373e-01,        +2.821756166471e-01,        +1.254043791623e-02
 2.40182500e+00,        +1.414213562373e-01,        +2.821779792315e-01,        +1.251766037615e-02
 2.40185000e+00,        +1.414213562373e-01,        +2.821803282585e-01,        +1.249497026222e-02
 2.40187500e+00,        +1.414213562373e-01,        +2.821826638365e-01,        +1.247236702771e-02
 2.40190000e+00,        +1.414213562373e-01,        +2.821849860731e-01,        +1.244985013037e-02
 2.40192500e+00,        +1.414213562373e-01,        +2.821872950745e-01,        +1.242741903245e-02
 2.40195000e+00,        +1.414213562373e-01,        +2.821895909460e-01,        +1.240507320059e-02
 2.40197500e+00,        +1.414213562373e-01,        +2.821918737920e-01,        +1.238281210582e-02
 2.40200000e+00,        +1.414213562373e-01,        +2.821941437155e-01,        +1.236063522348e-02
 2.40202500e+00,        +1.414213562373e-01,        +2.821964008187e-01,        +1.233854203322e-02
 2.40205000e+00,        +1.414213562373e-01,        +2.821986452027e-01,        +1.231653201891e-02
 2.40207500e+00,        +1.414213562373e-01,        +2.822008769676e-01,        +1.229460466861e-02
 2.40210000e+00,        +1.414213562373e-01,        +2.822030962126e-01,        +1.227275947456e-02
