        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -8.626586386435e-03,        +5.871253122781e+00
 2.40002500e+00,        -8.593253902210e-03,        +5.858645226832e+00
 2.40005000e+00,        -8.560164571158e-03,        +5.846095982286e+00
 2.40007500e+00,        -8.527316021828e-03,        +5.833604955918e+00
 2.40010000e+00,        -8.494705911655e-03,        +5.821171718739e+00
 2.40012500e+00,        -8.462331926484e-03,        +5.808795845951e+00
 2.40015000e+00,        -8.430191780282e-03,        +5.796476916890e+00
 2.40017500e+00,        -8.398283214619e-03,        +5.784214514978e+00
 2.40020000e+00,        -8.366603998310e-03,        +5.772008227674e+00
 2.40022500e+00,        -8.335151927030e-03,        +5.759857646425e+00
 2.40025000e+00,        -8.303924822914e-03,        +5.747762366619e+00
 2.40027500e+00,        -8.272920534158e-03,        +5.735721987533e+00
 2.40030000e+00,        -8.242136934693e-03,        +5.723736112291e+00
 2.40032500e+00,        -8.211571923777e-03,        +5.711804347818e+00
 2.40035000e+00,        -8.181223425618e-03,        +5.699926304792e+00
 2.40037500e+00,        -8.151089389114e-03,        +5.688101597600e+00
 2.40040000e+00,        -8.121167787386e-03,        +5.676329844296e+00
 2.40042500e+00,        -8.091456617451e-03,        +5.664610666555e+00
 2.40045000e+00,        -8.061953899971e-03,        +5.652943689630e+00
 2.40047500e+00,        -8.032657678879e-03,        +5.641328542312e+00
 2.40050000e+00,        -8.003566020966e-03,        +5.629764856889e+00
 2.40052500e+00,        -7.974677015709e-03,        +5.618252269100e+00
 2.40055000e+00,        -7.945988774815e-03,        +5.606790418099e+00
 2.40057500e+00,        -7.917499431991e-03,        +5.595378946414e+00
 2.40060000e+00,        -7.889207142633e-03,        +5.584017499909e+00
 2.40062500e+00,        -7.861110083504e-03,        +5.572705727740e+00
 2.40065000e+00,        -7.833206452404e-03,        +5.561443282323e+00
 2.40067500e+00,        -7.805494467954e-03,        +5.550229819293e+00
 2.40070000e+00,        -7.777972369257e-03,        +5.539064997469e+00
 2.40072500e+00,        -7.750638415687e-03,        +5.527948478813e+00
 2.40075000e+00,        -7.723490886433e-03,        +5.516879928398e+00
 2.40077500e+00,        -7.696528080455e-03,        +5.505859014372e+00
 2.40080000e+00,        -7.669748316043e-03,        +5.494885407919e+00
 2.40082500e+00,        -7.643149930653e-03,        +5.483958783229e+00
 2.40085000e+00,        -7.616731280577e-03,        +5.473078817462e+00
 2.40087500e+00,        -7.590490740754e-03,        +5.462245190713e+00
 2.40090000e+00,        -7.564426704465e-03,        +5.451457585979e+00
 2.40092500e+00,        -7.538537583078e-03,        +5.440715689129e+00
 2.40095000e+00,        -7.512821805840e-03,        +5.430019188868e+00
 2.40097500e+00,        -7.487277819650e-03,        +5.419367776705e+00
 2.40100000e+00,        -7.461904088771e-03,        +5.408761146927e+00
 2.40102500e+00,        -7.436699094606e-03,        +5.398198996558e+00
 2.40105000e+00,        -7.411661335534e-03,        +5.387681025339e+00
 2.40107500e+00,        -7.386789326559e-03,        +5.377206935691e+00
 2.40110000e+00,        -7.362081599237e-03,        +5.366776432686e+00
 2.40112500e+00,        -7.337536701326e-03,        +5.356389224020e+00
 2.40115000e+00,        -7.313153196675e-03,        +5.346045019980e+00
 2.40117500e+00,        -7.288929664908e-03,        +5.335743533419e+00
 2.40120000e+00,        -7.264864701293e-03,        +5.325484479727e+00
 2.40122500e+00,        -7.240956916541e-03,        +5.315267576800e+00
 2.40125000e+00,        -7.217204936544e-03,        +5.305092545018e+00
 2.40127500e+00,        -7.193607402197e-03,        +5.294959107210e+00
 2.40130000e+00,        -7.170162969249e-03,        +5.284866988635e+00
 2.40132500e+00,        -7.146870308036e-03,        +5.274815916952e+00
 2.40135000e+00,        -7.123728103352e-03,        +5.264805622191e+00
 2.40137500e+00,        -7.100735054221e-03,        +5.254835836733e+00
