        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.409806019915e+01,        +7.226059208294e-01
 2.40002500e+00,        +7.071067811865e+00,        +1.409824600500e+01,        +7.210623857221e-01
 2.40005000e+00,        +7.071067811865e+00,        +1.409843053863e+01,        +7.195259773311e-01
 2.40007500e+00,        +7.071067811865e+00,        +1.409861381208e+01,        +7.179966434848e-01
 2.40010000e+00,        +7.071067811865e+00,        +1.409879583725e+01,        +7.164743325162e-01
 2.40012500e+00,        +7.071067811865e+00,        +1.409897662589e+01,        +7.149589932575e-01
 2.40015000e+00,        +7.071067811865e+00,        +1.409915618961e+01,        +7.134505750334e-01
 2.40017500e+00,        +7.071067811865e+00,        +1.409933453990e+01,        +7.119490276556e-01
 2.40020000e+00,        +7.071067811865e+00,        +1.409951168808e+01,        +7.104543014169e-01
 2.40022500e+00,        +7.071067811865e+00,        +1.409968764537e+01,        +7.089663470853e-01
 2.40025000e+00,        +7.071067811865e+00,        +1.409986242284e+01,        +7.074851158987e-01
 2.40027500e+00,        +7.071067811865e+00,        +1.410003603144e+01,        +7.060105595589e-01
 2.40030000e+00,        +7.071067811865e+00,        +1.410020848198e+01,        +7.045426302263e-01
 2.40032500e+00,        +7.071067811865e+00,        +1.410037978515e+01,        +7.030812805146e-01
 2.40035000e+00,        +7.071067811865e+00,        +1.410054995152e+01,        +7.016264634854e-01
 2.40037500e+00,        +7.071067811865e+00,        +1.410071899153e+01,        +7.001781326426e-01
 2.40040000e+00,        +7.071067811865e+00,        +1.410088691550e+01,        +6.987362419277e-01
 2.40042500e+00,        +7.071067811865e+00,        +1.410105373363e+01,        +6.973007457143e-01
 2.40045000e+00,        +7.071067811865e+00,        +1.410121945601e+01,        +6.958715988035e-01
 2.40047500e+00,        +7.071067811865e+00,        +1.410138409261e+01,        +6.944487564182e-01
 2.40050000e+00,        +7.071067811865e+00,        +1.410154765327e+01,        +6.930321741988e-01
 2.40052500e+00,        +7.071067811865e+00,        +1.410171014774e+01,        +6.916218081984e-01
 2.40055000e+00,        +7.071067811865e+00,        +1.410187158564e+01,        +6.902176148774e-01
 2.40057500e+00,        +7.071067811865e+00,        +1.410203197651e+01,        +6.888195510995e-01
 2.40060000e+00,        +7.071067811865e+00,        +1.410219132974e+01,        +6.874275741265e-01
 2.40062500e+00,        +7.071067811865e+00,        +1.410234965464e+01,        +6.860416416141e-01
 2.40065000e+00,        +7.071067811865e+00,        +1.410250696041e+01,        +6.846617116073e-01
 2.40067500e+00,        +7.071067811865e+00,        +1.410266325615e+01,        +6.832877425357e-01
 2.40070000e+00,        +7.071067811865e+00,        +1.410281855084e+01,        +6.819196932095e-01
 2.40072500e+00,        +7.071067811865e+00,        +1.410297285338e+01,        +6.805575228148e-01
 2.40075000e+00,        +7.071067811865e+00,        +1.410312617255e+01,        +6.792011909096e-01
 2.40077500e+00,        +7.071067811865e+00,        +1.410327851706e+01,        +6.778506574193e-01
 2.40080000e+00,        +7.071067811865e+00,        +1.410342989550e+01,        +6.765058826329e-01
 2.40082500e+00,        +7.071067811865e+00,        +1.410358031636e+01,        +6.751668271987e-01
 2.40085000e+00,        +7.071067811865e+00,        +1.410372978805e+01,        +6.738334521200e-01
 2.40087500e+00,        +7.071067811865e+00,        +1.410387831888e+01,        +6.725057187517e-01
 2.40090000e+00,        +7.071067811865e+00,        +1.410402591708e+01,        +6.711835887957e-01
 2.40092500e+00,        +7.071067811865e+00,        +1.410417259077e+01,        +6.698670242975e-01
 2.40095000e+00,        +7.071067811865e+00,        +1.410431834799e+01,        +6.685559876423e-01
 2.40097500e+00,        +7.071067811865e+00,        +1.410446319669e+01,        +6.672504415508e-01
 2.40100000e+00,        +7.071067811865e+00,        +1.410460714474e+01,        +6.659503490762e-01
 2.40102500e+00,        +7.071067811865e+00,        +1.410475019992e+01,        +6.646556735995e-01
 2.40105000e+00,        +7.071067811865e+00,        +1.410489236992e+01,        +6.633663788270e-01
 2.40107500e+00,        +7.071067811865e+00,        +1.410503366234e+01,        +6.620824287860e-01
 2.40110000e+00,        +7.071067811865e+00,        +1.410517408472e+01,        +6.608037878213e-01
 2.40112500e+00,        +7.071067811865e+00,        +1.410531364449e+01,        +6.595304205919e-01
 2.40115000e+00,        +7.071067811865e+00,        +1.410545234903e+01,        +6.582622920676e-01
 2.40117500e+00,        +7.071067811865e+00,        +1.410559020562e+01,        +6.569993675252e-01
 2.40120000e+00,        +7.071067811865e+00,        +1.410572722146e+01,        +6.557416125457e-01
 2.40122500e+00,        +7.071067811865e+00,        +1.410586340369e+01,        +6.544889930106e-01
 2.40125000e+00,        +7.071067811865e+00,        +1.410599875935e+01,        +6.532414750987e-01
 2.40127500e+00,        +7.071067811865e+00,        +1.410613329542e+01,        +6.519990252831e-01
 2.40130000e+00,        +7.071067811865e+00,        +1.410626701882e+01,        +6.507616103274e-01
 2.40132500e+00,        +7.071067811865e+00,        +1.410639993635e+01,        +6.495291972834e-01
 2.40135000e+00,        +7.071067811865e+00,        +1.410653205479e+01,        +6.483017534874e-01
 2.40137500e+00,        +7.071067811865e+00,        +1.410666338082e+01,        +6.470792465572e-01
 2.40140000e+00,        +7.071067811865e+00,        +1.410679392104e+01,        +6.458616443894e-01
 2.40142500e+00,        +7.071067811865e+00,        +1.410692368201e+01,        +6.446489151560e-01
 2.40145000e+00,        +7.071067811865e+00,        +1.410705267020e+01,        +6.434410273017e-01
 2.40147500e+00,        +7.071067811865e+00,        +1.410718089202e+01,        +6.422379495410e-01
 2.40150000e+00,        +7.071067811865e+00,        +1.410730835381e+01,        +6.410396508553e-01
 2.40152500e+00,        +7.071067811865e+00,        +1.410743506183e+01,        +6.398461004897e-01
 2.40155000e+00,        +7.071067811865e+00,        +1.410756102231e+01,        +6.386572679509e-01
 2.40157500e+00,        +7.071067811865e+00,        +1.410768624138e+01,        +6.374731230039e-01
 2.40160000e+00,        +7.071067811865e+00,        +1.410781072512e+01,        +6.362936356693e-01
 2.40162500e+00,        +7.071067811865e+00,        +1.410793447955e+01,        +6.351187762209e-01
 2.40165000e+00,        +7.071067811865e+00,        +1.410805751062e+01,        +6.339485151829e-01
 2.40167500e+00,        +7.071067811865e+00,        +1.410817982423e+01,        +6.327828233270e-01
 2.40170000e+00,        +7.071067811865e+00,        +1.410830142621e+01,        +6.316216716703e-01
 2.40172500e+00,        +7.071067811865e+00,        +1.410842232233e+01,        +6.304650314723e-01
 2.40175000e+00,        +7.071067811865e+00,        +1.410854251830e+01,        +6.293128742325e-01
 2.40177500e+00,        +7.071067811865e+00,        +1.410866201977e+01,        +6.281651716883e-01
 2.40180000e+00,        +7.071067811865e+00,        +1.410878083235e+01,        +6.270218958117e-01
 2.40182500e+00,        +7.071067811865e+00,        +1.410889896158e+01,        +6.258830188076e-01
 2.40185000e+00,        +7.071067811865e+00,        +1.410901641292e+01,        +6.247485131112e-01
 2.40187500e+00,        +7.071067811865e+00,        +1.410913319183e+01,        +6.236183513854e-01
 2.40190000e+00,        +7.071067811865e+00,        +1.410924930365e+01,        +6.224925065186e-01
 2.40192500e+00,        +7.071067811865e+00,        +1.410936475372e+01,        +6.213709516225e-01
 2.40195000e+00,        +7.071067811865e+00,        +1.410947954730e+01,        +6.202536600295e-01
 2.40197500e+00,        +7.071067811865e+00,        +1.410959368960e+01,        +6.191406052909e-01
 2.40200000e+00,        +7.071067811865e+00,        +1.410970718577e+01,        +6.180317611742e-01
 2.40202500e+00,        +7.071067811865e+00,        +1.410982004093e+01,        +6.169271016611e-01
 2.40205000e+00,        +7.071067811865e+00,        +1.410993226013e+01,        +6.158266009453e-01
 2.40207500e+00,        +7.071067811865e+00,        +1.411004384838e+01,        +6.147302334305e-01
 2.40210000e+00,        +7.071067811865e+00,        +1.411015481063e+01,        +6.136379737280e-01
 2.40212500e+00,        +7.071067811865e+00,        +1.411026515179e+01,        +6.125497966547e-01
 2.40215000e+00,        +7.071067811865e+00,        +1.411037487671e+01,        +6.114656772310e-01
 2.40217500e+00,        +7.071067811865e+00,        +1.411048399021e+01,        +6.103855906789e-01
 2.40220000e+00,        +7.071067811865e+00,        +1.411059249705e+01,        +6.093095124199e-01
