        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.44500000e+00,        -5.481710135340e-01,        -2.286109464134e+00
 2.44502000e+00,        -5.484783520397e-01,        -2.286734006684e+00
 2.44504000e+00,        -5.487849090525e-01,        -2.287387470056e+00
 2.44506000e+00,        -5.490907119819e-01,        -2.288070194672e+00
 2.44508000e+00,        -5.493957888139e-01,        -2.288782522994e+00
 2.44510000e+00,        -5.497001681187e-01,        -2.289524799527e+00
 2.44512000e+00,        -5.500038790586e-01,        -2.290297370827e+00
 2.44514000e+00,        -5.503069513957e-01,        -2.291100585499e+00
 2.44516000e+00,        -5.506094155004e-01,        -2.291934794206e+00
 2.44518000e+00,        -5.509113023592e-01,        -2.292800349667e+00
 2.44520000e+00,        -5.512126435833e-01,        -2.293697606664e+00
 2.44522000e+00,        -5.515134714171e-01,        -2.294626922046e+00
 2.44524000e+00,        -5.518138187465e-01,        -2.295588654729e+00
 2.44526000e+00,        -5.521137191078e-01,        -2.296583165697e+00
 2.44528000e+00,        -5.524132066965e-01,        -2.297610818013e+00
 2.44530000e+00,        -5.527123163762e-01,        -2.298671976813e+00
 2.44532000e+00,        -5.530110836879e-01,        -2.299767009311e+00
 2.44534000e+00,        -5.533095448592e-01,        -2.300896284802e+00
 2.44536000e+00,        -5.536077368133e-01,        -2.302060174665e+00
 2.44538000e+00,        -5.539056971791e-01,        -2.303259052361e+00
 2.44540000e+00,        -5.542034643006e-01,        -2.304493293438e+00
 2.44542000e+00,        -5.545010772469e-01,        -2.305763275530e+00
 2.44544000e+00,        -5.547985758217e-01,        -2.307069378358e+00
 2.44546000e+00,        -5.550960005742e-01,        -2.308411983735e+00
 2.44548000e+00,        -5.553933928087e-01,        -2.309791475559e+00
 2.44550000e+00,        -5.556907945954e-01,        -2.311208239819e+00
 2.44552000e+00,        -5.559882487811e-01,        -2.312662664594e+00
 2.44554000e+00,        -5.562857989999e-01,        -2.314155140052e+00
 2.44556000e+00,        -5.565834896838e-01,        -2.315686058448e+00
 2.44558000e+00,        -5.568813660746e-01,        -2.317255814125e+00
 2.44560000e+00,        -5.571794742345e-01,        -2.318864803514e+00
 2.44562000e+00,        -5.574778610581e-01,        -2.320513425127e+00
 2.44564000e+00,        -5.577765742836e-01,        -2.322202079562e+00
 2.44566000e+00,        -5.580756625051e-01,        -2.323931169496e+00
 2.44568000e+00,        -5.583751751846e-01,        -2.325701099682e+00
 2.44570000e+00,        -5.586751626638e-01,        -2.327512276950e+00
 2.44572000e+00,        -5.589756761772e-01,        -2.329365110200e+00
 2.44574000e+00,        -5.592767678644e-01,        -2.331260010398e+00
 2.44576000e+00,        -5.595784907829e-01,        -2.333197390573e+00
 2.44578000e+00,        -5.598808989214e-01,        -2.335177665813e+00
 2.44580000e+00,        -5.601840472129e-01,        -2.337201253257e+00
 2.44582000e+00,        -5.604879915484e-01,        -2.339268572091e+00
 2.44584000e+00,        -5.607927887902e-01,        -2.341380043540e+00
 2.44586000e+00,        -5.610984967866e-01,        -2.343536090864e+00
 2.44588000e+00,        -5.614051743851e-01,        -2.345737139348e+00
 2.44590000e+00,        -5.617128814479e-01,        -2.347983616293e+00
 2.44592000e+00,        -5.620216788655e-01,        -2.350275951012e+00
 2.44594000e+00,        -5.623316285725e-01,        -2.352614574815e+00
 2.44596000e+00,        -5.626427935621e-01,        -2.354999921002e+00
 2.44598000e+00,        -5.629552379019e-01,        -2.357432424853e+00
 2.44600000e+00,        -5.632690267492e-01,        -2.359912523615e+00
 2.44602000e+00,        -5.635842263675e-01,        -2.362440656492e+00
 2.44604000e+00,        -5.639009041420e-01,        -2.365017264627e+00
 2.44606000e+00,        -5.642191285964e-01,        -2.367642791096e+00
 2.44608000e+00,        -5.645389694098e-01,        -2.370317680887e+00
 2.44610000e+00,        -5.648604974335e-01,        -2.373042380889e+00
 2.44612000e+00,        -5.651837847081e-01,        -2.375817339873e+00
 2.44614000e+00,        -5.655089044816e-01,        -2.378643008476e+00
 2.44616000e+00,        -5.658359312270e-01,        -2.381519839182e+00
 2.44618000e+00,        -5.661649406604e-01,        -2.384448286307e+00
 2.44620000e+00,        -5.664960097598e-01,        -2.387428805972e+00
 2.44622000e+00,        -5.668292167838e-01,        -2.390461856087e+00
 2.44624000e+00,        -5.671646412905e-01,        -2.393547896329e+00
 2.44626000e+00,        -5.675023641574e-01,        -2.396687388115e+00
 2.44628000e+00,        -5.678424676011e-01,        -2.399880794579e+00
 2.44630000e+00,        -5.681850351969e-01,        -2.403128580550e+00
 2.44632000e+00,        -5.685301519002e-01,        -2.406431212518e+00
 2.44634000e+00,        -5.688779040667e-01,        -2.409789158612e+00
 2.44636000e+00,        -5.692283794735e-01,        -2.413202888567e+00
 2.44638000e+00,        -5.695816673413e-01,        -2.416672873692e+00
 2.44640000e+00,        -5.699378583558e-01,        -2.420199586841e+00
 2.44642000e+00,        -5.702970446900e-01,        -2.423783502377e+00
 2.44644000e+00,        -5.706593200271e-01,        -2.427425096135e+00
 2.44646000e+00,        -5.710247795836e-01,        -2.431124845386e+00
 2.44648000e+00,        -5.713935201325e-01,        -2.434883228800e+00
 2.44650000e+00,        -5.717656400274e-01,        -2.438700726402e+00
 2.44652000e+00,        -5.721412392267e-01,        -2.442577819530e+00
 2.44654000e+00,        -5.725204193182e-01,        -2.446514990795e+00
 2.44656000e+00,        -5.729032835445e-01,        -2.450512724027e+00
 2.44658000e+00,        -5.732899368282e-01,        -2.454571504235e+00
 2.44660000e+00,        -5.736804857982e-01,        -2.458691817551e+00
 2.44662000e+00,        -5.740750388158e-01,        -2.462874151179e+00
 2.44664000e+00,        -5.744737060019e-01,        -2.467118993341e+00
 2.44666000e+00,        -5.748765992643e-01,        -2.471426833220e+00
 2.44668000e+00,        -5.752838323251e-01,        -2.475798160900e+00
 2.44670000e+00,        -5.756955207497e-01,        -2.480233467304e+00
 2.44672000e+00,        -5.761117819750e-01,        -2.484733244133e+00
 2.44674000e+00,        -5.765327353388e-01,        -2.489297983791e+00
 2.44676000e+00,        -5.769585021096e-01,        -2.493928179326e+00
 2.44678000e+00,        -5.773892055171e-01,        -2.498624324348e+00
 2.44680000e+00,        -5.778249707825e-01,        -2.503386912960e+00
 2.44682000e+00,        -5.782659251501e-01,        -2.508216439677e+00
 2.44684000e+00,        -5.787121979191e-01,        -2.513113399342e+00
 2.44686000e+00,        -5.791639204760e-01,        -2.518078287049e+00
 2.44688000e+00,        -5.796212263274e-01,        -2.523111598045e+00
 2.44690000e+00,        -5.800842511336e-01,        -2.528213827645e+00
 2.44692000e+00,        -5.805531327425e-01,        -2.533385471138e+00
 2.44694000e+00,        -5.810280112243e-01,        -2.538627023681e+00
 2.44696000e+00,        -5.815090289067e-01,        -2.543938980204e+00
 2.44698000e+00,        -5.819963304105e-01,        -2.549321835300e+00
 2.44700000e+00,        -5.824900626861e-01,        -2.554776083115e+00
 2.44702000e+00,        -5.829903750507e-01,        -2.560302217232e+00
 2.44704000e+00,        -5.834974192252e-01,        -2.565900730555e+00
 2.44706000e+00,        -5.840113493731e-01,        -2.571572115182e+00
 2.44708000e+00,        -5.845323221391e-01,        -2.577316862278e+00
 2.44710000e+00,        -5.850604966882e-01,        -2.583135461945e+00
 2.44712000e+00,        -5.855960347463e-01,        -2.589028403077e+00
 2.44714000e+00,        -5.861391006408e-01,        -2.594996173225e+00
 2.44716000e+00,        -5.866898613418e-01,        -2.601039258442e+00
 2.44718000e+00,        -5.872484865044e-01,        -2.607158143132e+00
 2.44720000e+00,        -5.878151485113e-01,        -2.613353309893e+00
 2.44722000e+00,        -5.883900225166e-01,        -2.619625239344e+00
 2.44724000e+00,        -5.889732864892e-01,        -2.625974409964e+00
 2.44726000e+00,        -5.895651212584e-01,        -2.632401297904e+00
 2.44728000e+00,        -5.901657105588e-01,        -2.638906376811e+00
 2.44730000e+00,        -5.907752410770e-01,        -2.645490117631e+00
 2.44732000e+00,        -5.913939024981e-01,        -2.652152988416e+00
 2.44734000e+00,        -5.920218875536e-01,        -2.658895454118e+00
 2.44736000e+00,        -5.926593920701e-01,        -2.665717976376e+00
 2.44738000e+00,        -5.933066150175e-01,        -2.672621013296e+00
 2.44740000e+00,        -5.939637585599e-01,        -2.679605019226e+00
 2.44742000e+00,        -5.946310281055e-01,        -2.686670444517e+00
 2.44744000e+00,        -5.953086323583e-01,        -2.693817735283e+00
 2.44746000e+00,        -5.959967833699e-01,        -2.701047333146e+00
 2.44748000e+00,        -5.966956965927e-01,        -2.708359674975e+00
 2.44750000e+00,        -5.974055909333e-01,        -2.715755192617e+00
 2.44752000e+00,        -5.981266888068e-01,        -2.723234312614e+00
 2.44754000e+00,        -5.988592161921e-01,        -2.730797455918e+00
 2.44756000e+00,        -5.996034026877e-01,        -2.738445037585e+00
 2.44758000e+00,        -6.003594815685e-01,        -2.746177466471e+00
 2.44760000e+00,        -6.011276898430e-01,        -2.753995144907e+00
 2.44762000e+00,        -6.019082683116e-01,        -2.761898468369e+00
 2.44764000e+00,        -6.027014616257e-01,        -2.769887825134e+00
 2.44766000e+00,        -6.035075183471e-01,        -2.777963595922e+00
 2.44768000e+00,        -6.043266910089e-01,        -2.786126153535e+00
 2.44770000e+00,        -6.051592361763e-01,        -2.794375862470e+00
 2.44772000e+00,        -6.060054145089e-01,        -2.802713078531e+00
 2.44774000e+00,        -6.068654908231e-01,        -2.811138148421e+00
 2.44776000e+00,        -6.077397341560e-01,        -2.819651409320e+00
 2.44778000e+00,        -6.086284178292e-01,        -2.828253188456e+00
 2.44780000e+00,        -6.095318195139e-01,        -2.836943802650e+00
 2.44782000e+00,        -6.104502212964e-01,        -2.845723557854e+00
 2.44784000e+00,        -6.113839097446e-01,        -2.854592748677e+00
 2.44786000e+00,        -6.123331759749e-01,        -2.863551657880e+00
 2.44788000e+00,        -6.132983157196e-01,        -2.872600555869e+00
 2.44790000e+00,        -6.142796293958e-01,        -2.881739700168e+00
 2.44792000e+00,        -6.152774221737e-01,        -2.890969334866e+00
 2.44794000e+00,        -6.162920040466e-01,        -2.900289690058e+00
 2.44796000e+00,        -6.173236899007e-01,        -2.909700981258e+00
 2.44798000e+00,        -6.183727995862e-01,        -2.919203408797e+00
 2.44800000e+00,        -6.194396579884e-01,        -2.928797157201e+00
 2.44802000e+00,        -6.205245950990e-01,        -2.938482394547e+00
 2.44804000e+00,        -6.216279460891e-01,        -2.948259271801e+00
 2.44806000e+00,        -6.227500513812e-01,        -2.958127922128e+00
 2.44808000e+00,        -6.238912567227e-01,        -2.968088460191e+00
 2.44810000e+00,        -6.250519132590e-01,        -2.978140981413e+00
 2.44812000e+00,        -6.262323776077e-01,        -2.988285561227e+00
 2.44814000e+00,        -6.274330119319e-01,        -2.998522254296e+00
 2.44816000e+00,        -6.286541840153e-01,        -3.008851093709e+00
 2.44818000e+00,        -6.298962673363e-01,        -3.019272090152e+00
 2.44820000e+00,        -6.311596411421e-01,        -3.029785231050e+00
 2.44822000e+00,        -6.324446905241e-01,        -3.040390479688e+00
 2.44824000e+00,        -6.337518064920e-01,        -3.051087774297e+00
 2.44826000e+00,        -6.350813860482e-01,        -3.061877027113e+00
 2.44828000e+00,        -6.364338322629e-01,        -3.072758123410e+00
 2.44830000e+00,        -6.378095543474e-01,        -3.083730920497e+00
 2.44832000e+00,        -6.392089677284e-01,        -3.094795246690e+00
