        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.44738000e+00,        -5.933066158599e-01,        -2.672621014055e+00
 2.44765348e+00,        -6.032433643604e-01,        -2.775321863125e+00
 2.44792696e+00,        -6.156286977484e-01,        -2.894203629757e+00
 2.44820044e+00,        -6.311879068870e-01,        -3.030019452157e+00
 2.44847392e+00,        -6.508187768675e-01,        -3.182984194575e+00
 2.44874741e+00,        -6.756259170718e-01,        -3.352404610258e+00
 2.44902089e+00,        -7.069531861276e-01,        -3.536116113926e+00
 2.44929437e+00,        -7.464033116565e-01,        -3.729645861809e+00
 2.44956785e+00,        -7.958228445813e-01,        -3.925012989044e+00
 2.44984133e+00,        -8.572125428490e-01,        -4.109103938648e+00
 2.45011481e+00,        -9.324975356305e-01,        -4.261680163047e+00
 2.45038829e+00,        -1.023064756498e+00,        -4.353385366068e+00
 2.45066177e+00,        -1.128972911874e+00,        -4.344737398200e+00
 2.45093526e+00,        -1.247823138656e+00,        -4.188009975692e+00
 2.45120874e+00,        -1.373534387789e+00,        -3.834630488058e+00
 2.45148222e+00,        -1.495713067386e+00,        -3.249800342337e+00
 2.45175570e+00,        -1.600655955777e+00,        -2.431633602210e+00
 2.45202918e+00,        -1.674595553713e+00,        -1.425040684120e+00
 2.45230266e+00,        -1.708206868750e+00,        -3.178426732349e-01
 2.45257614e+00,        -1.699809499575e+00,        +7.839106908937e-01
 2.45284962e+00,        -1.655200338636e+00,        +1.788181384646e+00
 2.45312311e+00,        -1.584570033718e+00,        +2.638115504675e+00
 2.45339659e+00,        -1.498786552618e+00,        +3.314600062517e+00
 2.45367007e+00,        -1.406904026886e+00,        +3.826122015753e+00
 2.45394355e+00,        -1.315285751397e+00,        +4.195662569159e+00
 2.45421703e+00,        -1.227800880183e+00,        +4.450559293764e+00
 2.45449051e+00,        -1.146443046247e+00,        +4.616681171465e+00
 2.45476399e+00,        -1.071968508464e+00,        +4.715951788493e+00
 2.45503747e+00,        -1.004396417915e+00,        +4.765834188431e+00
 2.45531095e+00,        -9.433504155381e-01,        +4.779733923036e+00
 2.45558444e+00,        -8.882721399309e-01,        +4.767713518846e+00
 2.45585792e+00,        -8.385457023336e-01,        +4.737224138172e+00
 2.45613140e+00,        -7.935653059997e-01,        +4.693738554563e+00
 2.45640488e+00,        -7.527685862226e-01,        +4.641257120505e+00
 2.45667836e+00,        -7.156502382230e-01,        +4.582695335337e+00
 2.45695184e+00,        -6.817648573619e-01,        +4.520173633426e+00
 2.45722532e+00,        -6.507242582668e-01,        +4.455231118571e+00
