        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.825153364017e-01,        +6.941407660903e-03
 2.30020000e+00,        +1.414213562373e-01,        +2.825153199570e-01,        +6.927084335347e-03
 2.30040000e+00,        +1.414213562373e-01,        +2.825152971541e-01,        +6.912746377887e-03
 2.30060000e+00,        +1.414213562373e-01,        +2.825152679390e-01,        +6.898393683563e-03
 2.30080000e+00,        +1.414213562373e-01,        +2.825152322566e-01,        +6.884026146530e-03
 2.30100000e+00,        +1.414213562373e-01,        +2.825151900516e-01,        +6.869643660054e-03
 2.30120000e+00,        +1.414213562373e-01,        +2.825151412675e-01,        +6.855246116500e-03
 2.30140000e+00,        +1.414213562373e-01,        +2.825150858476e-01,        +6.840833407321e-03
 2.30160000e+00,        +1.414213562373e-01,        +2.825150237342e-01,        +6.826405423053e-03
 2.30180000e+00,        +1.414213562373e-01,        +2.825149548690e-01,        +6.811962053301e-03
 2.30200000e+00,        +1.414213562373e-01,        +2.825148791929e-01,        +6.797503186731e-03
 2.30220000e+00,        +1.414213562373e-01,        +2.825147966463e-01,        +6.783028711058e-03
 2.30240000e+00,        +1.414213562373e-01,        +2.825147071684e-01,        +6.768538513041e-03
 2.30260000e+00,        +1.414213562373e-01,        +2.825146106982e-01,        +6.754032478466e-03
 2.30280000e+00,        +1.414213562373e-01,        +2.825145071735e-01,        +6.739510492142e-03
 2.30300000e+00,        +1.414213562373e-01,        +2.825143965316e-01,        +6.724972437884e-03
 2.30320000e+00,        +1.414213562373e-01,        +2.825142787088e-01,        +6.710418198510e-03
 2.30340000e+00,        +1.414213562373e-01,        +2.825141536408e-01,        +6.695847655822e-03
 2.30360000e+00,        +1.414213562373e-01,        +2.825140212624e-01,        +6.681260690603e-03
 2.30380000e+00,        +1.414213562373e-01,        +2.825138815075e-01,        +6.666657182600e-03
 2.30400000e+00,        +1.414213562373e-01,        +2.825137343093e-01,        +6.652037010517e-03
 2.30420000e+00,        +1.414213562373e-01,        +2.825135796002e-01,        +6.637400052000e-03
 2.30440000e+00,        +1.414213562373e-01,        +2.825134173114e-01,        +6.622746183629e-03
 2.30460000e+00,        +1.414213562373e-01,        +2.825132473737e-01,        +6.608075280904e-03
 2.30480000e+00,        +1.414213562373e-01,        +2.825130697168e-01,        +6.593387218237e-03
 2.30500000e+00,        +1.414213562373e-01,        +2.825128842693e-01,        +6.578681868934e-03
 2.30520000e+00,        +1.414213562373e-01,        +2.825126909593e-01,        +6.563959105188e-03
 2.30540000e+00,        +1.414213562373e-01,        +2.825124897136e-01,        +6.549218798067e-03
 2.30560000e+00,        +1.414213562373e-01,        +2.825122804584e-01,        +6.534460817498e-03
 2.30580000e+00,        +1.414213562373e-01,        +2.825120631186e-01,        +6.519685032259e-03
 2.30600000e+00,        +1.414213562373e-01,        +2.825118376184e-01,        +6.504891309962e-03
 2.30620000e+00,        +1.414213562373e-01,        +2.825116038809e-01,        +6.490079517044e-03
 2.30640000e+00,        +1.414213562373e-01,        +2.825113618283e-01,        +6.475249518752e-03
 2.30660000e+00,        +1.414213562373e-01,        +2.825111113817e-01,        +6.460401179131e-03
 2.30680000e+00,        +1.414213562373e-01,        +2.825108524612e-01,        +6.445534361011e-03
 2.30700000e+00,        +1.414213562373e-01,        +2.825105849859e-01,        +6.430648925993e-03
 2.30720000e+00,        +1.414213562373e-01,        +2.825103088737e-01,        +6.415744734434e-03
 2.30740000e+00,        +1.414213562373e-01,        +2.825100240416e-01,        +6.400821645436e-03
 2.30760000e+00,        +1.414213562373e-01,        +2.825097304055e-01,        +6.385879516833e-03
 2.30780000e+00,        +1.414213562373e-01,        +2.825094278800e-01,        +6.370918205171e-03
 2.30800000e+00,        +1.414213562373e-01,        +2.825091163788e-01,        +6.355937565702e-03
 2.30820000e+00,        +1.414213562373e-01,        +2.825087958145e-01,        +6.340937452363e-03
 2.30840000e+00,        +1.414213562373e-01,        +2.825084660982e-01,        +6.325917717763e-03
 2.30860000e+00,        +1.414213562373e-01,        +2.825081271401e-01,        +6.310878213172e-03
 2.30880000e+00,        +1.414213562373e-01,        +2.825077788493e-01,        +6.295818788502e-03
 2.30900000e+00,        +1.414213562373e-01,        +2.825074211334e-01,        +6.280739292292e-03
 2.30920000e+00,        +1.414213562373e-01,        +2.825070538989e-01,        +6.265639571696e-03
 2.30940000e+00,        +1.414213562373e-01,        +2.825066770511e-01,        +6.250519472464e-03
 2.30960000e+00,        +1.414213562373e-01,        +2.825062904940e-01,        +6.235378838928e-03
 2.30980000e+00,        +1.414213562373e-01,        +2.825058941303e-01,        +6.220217513986e-03
 2.31000000e+00,        +1.414213562373e-01,        +2.825054878613e-01,        +6.205035339086e-03
