        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412576682008e+01,        +3.470703830452e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412576599785e+01,        +3.463542167674e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412576485771e+01,        +3.456373188944e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412576339695e+01,        +3.449196841782e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412576161283e+01,        +3.442013073265e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412575950258e+01,        +3.434821830027e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412575706338e+01,        +3.427623058250e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412575429238e+01,        +3.420416703661e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412575118671e+01,        +3.413202711527e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412574774345e+01,        +3.405981026651e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412574395965e+01,        +3.398751593365e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412573983231e+01,        +3.391514355529e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412573535842e+01,        +3.384269256520e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412573053491e+01,        +3.377016239233e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412572535868e+01,        +3.369755246071e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412571982658e+01,        +3.362486218942e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412571393544e+01,        +3.355209099255e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412570768204e+01,        +3.347923827911e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412570106312e+01,        +3.340630345302e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412569407538e+01,        +3.333328591300e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412568671547e+01,        +3.326018505258e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412567898001e+01,        +3.318700026000e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.412567086557e+01,        +3.311373091814e-01
 2.30460000e+00,        +7.071067811865e+00,        +1.412566236869e+01,        +3.304037640452e-01
 2.30480000e+00,        +7.071067811865e+00,        +1.412565348584e+01,        +3.296693609118e-01
 2.30500000e+00,        +7.071067811865e+00,        +1.412564421347e+01,        +3.289340934467e-01
 2.30520000e+00,        +7.071067811865e+00,        +1.412563454796e+01,        +3.281979552594e-01
 2.30540000e+00,        +7.071067811865e+00,        +1.412562448568e+01,        +3.274609399034e-01
 2.30560000e+00,        +7.071067811865e+00,        +1.412561402292e+01,        +3.267230408749e-01
 2.30580000e+00,        +7.071067811865e+00,        +1.412560315593e+01,        +3.259842516129e-01
 2.30600000e+00,        +7.071067811865e+00,        +1.412559188092e+01,        +3.252445654981e-01
 2.30620000e+00,        +7.071067811865e+00,        +1.412558019405e+01,        +3.245039758522e-01
 2.30640000e+00,        +7.071067811865e+00,        +1.412556809142e+01,        +3.237624759376e-01
 2.30660000e+00,        +7.071067811865e+00,        +1.412555556909e+01,        +3.230200589565e-01
 2.30680000e+00,        +7.071067811865e+00,        +1.412554262306e+01,        +3.222767180506e-01
 2.30700000e+00,        +7.071067811865e+00,        +1.412552924929e+01,        +3.215324462996e-01
 2.30720000e+00,        +7.071067811865e+00,        +1.412551544368e+01,        +3.207872367217e-01
 2.30740000e+00,        +7.071067811865e+00,        +1.412550120208e+01,        +3.200410822718e-01
 2.30760000e+00,        +7.071067811865e+00,        +1.412548652027e+01,        +3.192939758416e-01
 2.30780000e+00,        +7.071067811865e+00,        +1.412547139400e+01,        +3.185459102586e-01
 2.30800000e+00,        +7.071067811865e+00,        +1.412545581894e+01,        +3.177968782851e-01
 2.30820000e+00,        +7.071067811865e+00,        +1.412543979072e+01,        +3.170468726181e-01
 2.30840000e+00,        +7.071067811865e+00,        +1.412542330491e+01,        +3.162958858881e-01
 2.30860000e+00,        +7.071067811865e+00,        +1.412540635701e+01,        +3.155439106586e-01
 2.30880000e+00,        +7.071067811865e+00,        +1.412538894247e+01,        +3.147909394251e-01
