        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.44500000e+00,        +4.685329411982e-10,        +4.687727226766e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.020384381288e-13,        +4.312150125712e-04,        +2.054866561766e-12,        +4.383502841276e-03,        +8.621835484678e-11,        +1.840177013516e-01,        +1.005581560264e-10,        +2.145136676304e-01,        +1.097033840900e-10,        +2.341423077094e-01,        +9.163488481594e-11,        +1.954782784560e-01,        +8.026690694027e-11,        +1.713153972376e-01,        +8.174931114790e-11,        +1.743900768823e-01,        +7.994105819195e-11,        +1.706199311995e-01,        +8.161426229543e-11,        +1.741019866289e-01,        +1.098808565364e-10,        +2.345210909940e-01,        +9.169219817388e-11,        +1.956005410262e-01
 2.44502000e+00,        +4.689393832804e-10,        +4.691777903453e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.017097842881e-13,        +4.301404221524e-04,        +2.053621150688e-12,        +4.377063861392e-03,        +8.636454208963e-11,        +1.841699485453e-01,        +1.006665806277e-10,        +2.145595607875e-01,        +1.097481569995e-10,        +2.340348473863e-01,        +9.169903804707e-11,        +1.954462464636e-01,        +8.035381467262e-11,        +1.713522419689e-01,        +8.182085515358e-11,        +1.743920041342e-01,        +8.002816163797e-11,        +1.706577960634e-01,        +8.168575872583e-11,        +1.741040612040e-01,        +1.099253620877e-10,        +2.344127322358e-01,        +9.175617215236e-11,        +1.955680214207e-01
 2.44504000e+00,        +4.693495246896e-10,        +4.695865482434e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.013815383752e-13,        +4.290651801734e-04,        +2.052385314900e-12,        +4.370622034590e-03,        +8.651157635229e-11,        +1.843222839301e-01,        +1.007758459849e-10,        +2.146054787172e-01,        +1.097937821676e-10,        +2.339275452344e-01,        +9.176397645386e-11,        +1.954144061348e-01,        +8.044129338187e-11,        +1.713888885582e-01,        +8.189294470491e-11,        +1.743937193500e-01,        +8.011583517838e-11,        +1.706954646036e-01,        +8.175779957649e-11,        +1.741059233539e-01,        +1.099707187097e-10,        +2.343045277023e-01,        +9.182093015230e-11,        +1.955356909089e-01
 2.44506000e+00,        +4.697633824232e-10,        +4.699990134545e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.010537034312e-13,        +4.279893047305e-04,        +2.051159104856e-12,        +4.364177468756e-03,        +8.665946134979e-11,        +1.844747049094e-01,        +1.008859559473e-10,        +2.146514206611e-01,        +1.098402636055e-10,        +2.338204034526e-01,        +9.182970371411e-11,        +1.953827584427e-01,        +8.052934568147e-11,        +1.714253360193e-01,        +8.196558231342e-11,        +1.743952220473e-01,        +8.020408141593e-11,        +1.707329358074e-01,        +8.183038735049e-11,        +1.741075725862e-01,        +1.100169304099e-10,        +2.341964796029e-01,        +9.188647584553e-11,        +1.955035504653e-01
 2.44508000e+00,        +4.701809735019e-10,        +4.704152030863e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.007262824895e-13,        +4.269128140053e-04,        +2.049942571010e-12,        +4.357730272238e-03,        +8.680820080699e-11,        +1.846272088818e-01,        +1.009969143734e-10,        +2.146973858642e-01,        +1.098876053297e-10,        +2.337134242402e-01,        +9.189622351177e-11,        +1.953513043559e-01,        +8.061797418611e-11,        +1.714615833679e-01,        +8.203877049133e-11,        +1.743965117477e-01,        +8.029290295455e-11,        +1.707702086636e-01,        +8.190352455155e-11,        +1.741090084126e-01,        +1.100640012010e-10,        +2.340885901471e-01,        +9.195281291000e-11,        +1.954716010595e-01
 2.44510000e+00,        +4.706023149689e-10,        +4.708351342695e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.003992785764e-13,        +4.258357262642e-04,        +2.048735763813e-12,        +4.351280553843e-03,        +8.695779845846e-11,        +1.847797932405e-01,        +1.011087251306e-10,        +2.147433735749e-01,        +1.099358113624e-10,        +2.336066097967e-01,        +9.196353953683e-11,        +1.953200448380e-01,        +8.070718151162e-11,        +1.714976296216e-01,        +8.211251175141e-11,        +1.743975879769e-01,        +8.038230239932e-11,        +1.708072821627e-01,        +8.197721368391e-11,        +1.741102303487e-01,        +1.101119351015e-10,        +2.339808615450e-01,        +9.201994502964e-11,        +1.954398436565e-01
 2.44512000e+00,        +4.710274238900e-10,        +4.712588241584e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.000726947113e-13,        +4.247580598577e-04,        +2.047538733715e-12,        +4.344828422835e-03,        +8.710825804839e-11,        +1.849324553738e-01,        +1.012213920954e-10,        +2.147893830448e-01,        +1.099848857308e-10,        +2.334999623218e-01,        +9.203165548527e-11,        +1.952889808475e-01,        +8.079697027485e-11,        +1.715334737999e-01,        +8.218680860688e-11,        +1.743984502649e-01,        +8.047228235629e-11,        +1.708441552972e-01,        +8.205145725226e-11,        +1.741112379143e-01,        +1.101607361348e-10,        +2.338732960070e-01,        +9.208787589434e-11,        +1.954082792164e-01
 2.44514000e+00,        +4.714563173526e-10,        +4.716862899292e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.997465339064e-13,        +4.236798332198e-04,        +2.046351531164e-12,        +4.338373988931e-03,        +8.725958333049e-11,        +1.850851926653e-01,        +1.013349191531e-10,        +2.148354135294e-01,        +1.100348324679e-10,        +2.333934840152e-01,        +9.210057505900e-11,        +1.952581133380e-01,        +8.088734309356e-11,        +1.715691149241e-01,        +8.226166357135e-11,        +1.743990981457e-01,        +8.056284543242e-11,        +1.708808270612e-01,        +8.212625776160e-11,        +1.741120306336e-01,        +1.102104083299e-10,        +2.337658957437e-01,        +9.215660919986e-11,        +1.953769086943e-01
 2.44516000e+00,        +4.718890124656e-10,        +4.721175487808e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.994207991673e-13,        +4.226010648676e-04,        +2.045174206607e-12,        +4.331917362294e-03,        +8.741177806788e-11,        +1.852380024938e-01,        +1.014493101978e-10,        +2.148814642875e-01,        +1.100856556115e-10,        +2.332871770765e-01,        +9.217030196576e-11,        +1.952274432581e-01,        +8.097830258631e-11,        +1.716045520179e-01,        +8.233707915864e-11,        +1.743995311576e-01,        +8.065399423542e-11,        +1.709172964507e-01,        +8.220161771715e-11,        +1.741126080347e-01,        +1.102609557209e-10,        +2.336586629656e-01,        +9.222614864775e-11,        +1.953457330403e-01
 2.44518000e+00,        +4.723255263585e-10,        +4.725526179331e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.990954934928e-13,        +4.215217734001e-04,        +2.044006810488e-12,        +4.325458653532e-03,        +8.756484603295e-11,        +1.853908822334e-01,        +1.015645691324e-10,        +2.149275345815e-01,        +1.101373592048e-10,        +2.331810437050e-01,        +9.224083991903e-11,        +1.951969715510e-01,        +8.106985137233e-11,        +1.716397841068e-01,        +8.241305788275e-11,        +1.743997488432e-01,        +8.074573137365e-11,        +1.709535624639e-01,        +8.227753962425e-11,        +1.741129696501e-01,        +1.103123823468e-10,        +2.335515998833e-01,        +9.229649794529e-11,        +1.953147531993e-01
