        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.44836000e+00,        +6.015014041691e-10,        +6.014808159682e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.548324277464e-13,        +2.574099190347e-04,        +2.017916966571e-12,        +3.354914924964e-03,        +1.255957735533e-10,        +2.088037911180e-01,        +1.336165632337e-10,        +2.221460097919e-01,        +1.322608296944e-10,        +2.198844903398e-01,        +1.162717731344e-10,        +1.933091963161e-01,        +1.047118227263e-10,        +1.740840869208e-01,        +1.031759470277e-10,        +1.715365549300e-01,        +1.043994449712e-10,        +1.735647568694e-01,        +1.030112078815e-10,        +1.712626656524e-01,        +1.323744282878e-10,        +2.200733487408e-01,        +1.162788935738e-10,        +1.933210344983e-01
 2.44836491e+00,        +6.018059035931e-10,        +6.017850995750e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.547787187615e-13,        +2.571904294015e-04,        +2.018165686657e-12,        +3.353631866396e-03,        +1.256787509816e-10,        +2.088360220982e-01,        +1.336905999857e-10,        +2.221567135512e-01,        +1.323197850892e-10,        +2.198711981706e-01,        +1.163317401138e-10,        +1.933111009161e-01,        +1.047638420123e-10,        +1.740824431712e-01,        +1.032228325813e-10,        +1.715277308364e-01,        +1.044514343768e-10,        +1.735633262371e-01,        +1.030580018201e-10,        +1.712538278081e-01,        +1.324332512302e-10,        +2.200597409223e-01,        +1.163387426846e-10,        +1.933227372476e-01
 2.44836981e+00,        +6.021107423842e-10,        +6.020897238709e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.547250650515e-13,        +2.569711087347e-04,        +2.018415387664e-12,        +3.352349836976e-03,        +1.257618078667e-10,        +2.088682347183e-01,        +1.337647182339e-10,        +2.221674161351e-01,        +1.323788225813e-10,        +2.198579318766e-01,        +1.163917827185e-10,        +1.933130198107e-01,        +1.048159088654e-10,        +1.740807819677e-01,        +1.032697636417e-10,        +1.715188941903e-01,        +1.045034711704e-10,        +1.735618779306e-01,        +1.031048410946e-10,        +1.712449772963e-01,        +1.324921561298e-10,        +2.200461589593e-01,        +1.163986672592e-10,        +1.933244542206e-01
 2.44837472e+00,        +6.024159203971e-10,        +6.023946887159e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.546714666671e-13,        +2.567519572941e-04,        +2.018666069619e-12,        +3.351068838143e-03,        +1.258449441819e-10,        +2.089004289577e-01,        +1.338389179604e-10,        +2.221781175489e-01,        +1.324379421532e-10,        +2.198446914648e-01,        +1.164519009310e-10,        +1.933149529908e-01,        +1.048680232436e-10,        +1.740791033121e-01,        +1.033167401698e-10,        +1.715100450006e-01,        +1.045555553101e-10,        +1.735604119513e-01,        +1.031517256657e-10,        +1.712361141258e-01,        +1.325511429689e-10,        +2.200326028593e-01,        +1.164586672797e-10,        +1.933261854084e-01
 2.44837963e+00,        +6.027214374849e-10,        +6.026999939677e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.546179236588e-13,        +2.565329753393e-04,        +2.018917732545e-12,        +3.349788871332e-03,        +1.259281599002e-10,        +2.089326047961e-01,        +1.339131991466e-10,        +2.221888177981e-01,        +1.324971437871e-10,        +2.198314769423e-01,        +1.165120947333e-10,        +1.933169004471e-01,        +1.049201851049e-10,        +1.740774072061e-01,        +1.033637621261e-10,        +1.715011832763e-01,        +1.046076867537e-10,        +1.735589283006e-01,        +1.031986554939e-10,        +1.712272383055e-01,        +1.326102117295e-10,        +2.200190726298e-01,        +1.165187427282e-10,        +1.933279308020e-01
 2.44838453e+00,        +6.030272934982e-10,        +6.030056394819e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.545644360771e-13,        +2.563141631292e-04,        +2.019170376461e-12,        +3.348509937976e-03,        +1.260114549938e-10,        +2.089647622131e-01,        +1.339875617737e-10,        +2.221995168882e-01,        +1.325564274646e-10,        +2.198182883161e-01,        +1.165723641070e-10,        +1.933188621704e-01,        +1.049723944067e-10,        +1.740756936518e-01,        +1.034108294708e-10,        +1.714923090265e-01,        +1.046598654582e-10,        +1.735574269799e-01,        +1.032456305390e-10,        +1.712183498445e-01,        +1.326693623934e-10,        +2.200055682782e-01,        +1.165788935860e-10,        +1.933296903925e-01
 2.44838944e+00,        +6.033334882856e-10,        +6.033116251120e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.545110039726e-13,        +2.560955209227e-04,        +2.019424001381e-12,        +3.347232039505e-03,        +1.260948294348e-10,        +2.089969011883e-01,        +1.340620058224e-10,        +2.222102148247e-01,        +1.326157931671e-10,        +2.198051255930e-01,        +1.166327090331e-10,        +1.933208381514e-01,        +1.050246511060e-10,        +1.740739626511e-01,        +1.034579421636e-10,        +1.714834222602e-01,        +1.047120913806e-10,        +1.735559079908e-01,        +1.032926507609e-10,        +1.712094487517e-01,        +1.327285949415e-10,        +2.199920898120e-01,        +1.166391198341e-10,        +1.933314641707e-01
 2.44839435e+00,        +6.036400216933e-10,        +6.036179507092e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.544576273959e-13,        +2.558770489779e-04,        +2.019678607315e-12,        +3.345955177347e-03,        +1.261782831945e-10,        +2.090290217016e-01,        +1.341365312726e-10,        +2.222209116131e-01,        +1.326752408751e-10,        +2.197919887799e-01,        +1.166931294925e-10,        +1.933228283808e-01,        +1.050769551594e-10,        +1.740722142058e-01,        +1.035051001639e-10,        +1.714745229865e-01,        +1.047643644774e-10,        +1.735543713347e-01,        +1.033397161188e-10,        +1.712005350361e-01,        +1.327879093547e-10,        +2.199786372384e-01,        +1.166994214533e-10,        +1.933332521277e-01
 2.44839925e+00,        +6.039468935657e-10,        +6.039246161226e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.544043063975e-13,        +2.556587475530e-04,        +2.019934194271e-12,        +3.344679352929e-03,        +1.262618162438e-10,        +2.090611237328e-01,        +1.342111381042e-10,        +2.222316072590e-01,        +1.327347705691e-10,        +2.197788778836e-01,        +1.167536254655e-10,        +1.933248328493e-01,        +1.051293065233e-10,        +1.740704483180e-01,        +1.035523034309e-10,        +1.714656112144e-01,        +1.048166847047e-10,        +1.735528170132e-01,        +1.033868265717e-10,        +1.711916087068e-01,        +1.328473056131e-10,        +2.199652105647e-01,        +1.167597984236e-10,        +1.933350542543e-01
 2.44840416e+00,        +6.042541037447e-10,        +6.042316211993e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.543510410281e-13,        +2.554406169052e-04,        +2.020190762250e-12,        +3.343404567673e-03,        +1.263454285531e-10,        +2.090932072618e-01,        +1.342858262963e-10,        +2.222423017680e-01,        +1.327943822291e-10,        +2.197657929108e-01,        +1.168141969319e-10,        +1.933268515475e-01,        +1.051817051534e-10,        +1.740686649898e-01,        +1.035995519232e-10,        +1.714566869532e-01,        +1.048690520181e-10,        +1.735512450280e-01,        +1.034339820780e-10,        +1.711826697727e-01,        +1.329067836965e-10,        +2.199518097980e-01,        +1.168202507248e-10,        +1.933368705414e-01
