        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.44836000e+00,        +1.414213562373e-01,        +2.750112159362e-01,        +1.697114864552e-05
 2.44836491e+00,        +1.414213562373e-01,        +2.750089766914e-01,        +1.651276064644e-05
 2.44836981e+00,        +1.414213562373e-01,        +2.750067332283e-01,        +1.605727031790e-05
 2.44837472e+00,        +1.414213562373e-01,        +2.750044855475e-01,        +1.560468831081e-05
 2.44837963e+00,        +1.414213562373e-01,        +2.750022336493e-01,        +1.515502529249e-05
 2.44838453e+00,        +1.414213562373e-01,        +2.749999775340e-01,        +1.470829194600e-05
 2.44838944e+00,        +1.414213562373e-01,        +2.749977172022e-01,        +1.426449897087e-05
 2.44839435e+00,        +1.414213562373e-01,        +2.749954526542e-01,        +1.382365708293e-05
 2.44839925e+00,        +1.414213562373e-01,        +2.749931838906e-01,        +1.338577701441e-05
 2.44840416e+00,        +1.414213562373e-01,        +2.749909109118e-01,        +1.295086951335e-05
 2.44840907e+00,        +1.414213562373e-01,        +2.749886337183e-01,        +1.251894534398e-05
 2.44841397e+00,        +1.414213562373e-01,        +2.749863523106e-01,        +1.209001528690e-05
 2.44841888e+00,        +1.414213562373e-01,        +2.749840666894e-01,        +1.166409013911e-05
 2.44842379e+00,        +1.414213562373e-01,        +2.749817768552e-01,        +1.124118071343e-05
 2.44842869e+00,        +1.414213562373e-01,        +2.749794828085e-01,        +1.082129783867e-05
 2.44843360e+00,        +1.414213562373e-01,        +2.749771845500e-01,        +1.040445236016e-05
 2.44843851e+00,        +1.414213562373e-01,        +2.749748820803e-01,        +9.990655139011e-06
 2.44844341e+00,        +1.414213562373e-01,        +2.749725754002e-01,        +9.579917052728e-06
 2.44844832e+00,        +1.414213562373e-01,        +2.749702645101e-01,        +9.172248994751e-06
 2.44845323e+00,        +1.414213562373e-01,        +2.749679494110e-01,        +8.767661874418e-06
 2.44845813e+00,        +1.414213562373e-01,        +2.749656301035e-01,        +8.366166617403e-06
 2.44846304e+00,        +1.414213562373e-01,        +2.749633065883e-01,        +7.967774165273e-06
 2.44846795e+00,        +1.414213562373e-01,        +2.749609788662e-01,        +7.572495475502e-06
 2.44847285e+00,        +1.414213562373e-01,        +2.749586469380e-01,        +7.180341521615e-06
 2.44847776e+00,        +1.414213562373e-01,        +2.749563108045e-01,        +6.791323293467e-06
 2.44848267e+00,        +1.414213562373e-01,        +2.749539704666e-01,        +6.405451796331e-06
 2.44848757e+00,        +1.414213562373e-01,        +2.749516259250e-01,        +6.022738051666e-06
 2.44849248e+00,        +1.414213562373e-01,        +2.749492771808e-01,        +5.643193097123e-06
 2.44849739e+00,        +1.414213562373e-01,        +2.749469242347e-01,        +5.266827985733e-06
 2.44850229e+00,        +1.414213562373e-01,        +2.749445670878e-01,        +4.893653786771e-06
 2.44850720e+00,        +1.414213562373e-01,        +2.749422057409e-01,        +4.523681585432e-06
 2.44851211e+00,        +1.414213562373e-01,        +2.749398401950e-01,        +4.156922482458e-06
 2.44851702e+00,        +1.414213562373e-01,        +2.749374704512e-01,        +3.793387594781e-06
 2.44852192e+00,        +1.414213562373e-01,        +2.749350965104e-01,        +3.433088054805e-06
 2.44852683e+00,        +1.414213562373e-01,        +2.749327183737e-01,        +3.076035011169e-06
 2.44853174e+00,        +1.414213562373e-01,        +2.749303360421e-01,        +2.722239627840e-06
 2.44853664e+00,        +1.414213562373e-01,        +2.749279495168e-01,        +2.371713084562e-06
 2.44854155e+00,        +1.414213562373e-01,        +2.749255587988e-01,        +2.024466577093e-06
 2.44854646e+00,        +1.414213562373e-01,        +2.749231638892e-01,        +1.680511316907e-06
 2.44855136e+00,        +1.414213562373e-01,        +2.749207647893e-01,        +1.339858530953e-06
 2.44855627e+00,        +1.414213562373e-01,        +2.749183615003e-01,        +1.002519461911e-06
 2.44856118e+00,        +1.414213562373e-01,        +2.749159540232e-01,        +6.685053680039e-07
 2.44856608e+00,        +1.414213562373e-01,        +2.749135423594e-01,        +3.378275232799e-07
 2.44857099e+00,        +1.414213562373e-01,        +2.749111265101e-01,        +1.049721724921e-08
 2.44857590e+00,        +1.414213562373e-01,        +2.749087064765e-01,        -3.134742446675e-07
 2.44858080e+00,        +1.414213562373e-01,        +2.749062822600e-01,        -6.340755421573e-07
 2.44858571e+00,        +1.414213562373e-01,        +2.749038538620e-01,        -9.512953390491e-07
 2.44859062e+00,        +1.414213562373e-01,        +2.749014212836e-01,        -1.265122283071e-06
 2.44859552e+00,        +1.414213562373e-01,        +2.748989845264e-01,        -1.575545007804e-06
 2.44860043e+00,        +1.414213562373e-01,        +2.748965435918e-01,        -1.882552129903e-06
 2.44860534e+00,        +1.414213562373e-01,        +2.748940984810e-01,        -2.186132251871e-06
 2.44861024e+00,        +1.414213562373e-01,        +2.748916491957e-01,        -2.486273959759e-06
 2.44861515e+00,        +1.414213562373e-01,        +2.748891957372e-01,        -2.782965825126e-06
 2.44862006e+00,        +1.414213562373e-01,        +2.748867381070e-01,        -3.076196403466e-06
 2.44862496e+00,        +1.414213562373e-01,        +2.748842763067e-01,        -3.365954235293e-06
 2.44862987e+00,        +1.414213562373e-01,        +2.748818103379e-01,        -3.652227846120e-06
 2.44863478e+00,        +1.414213562373e-01,        +2.748793402021e-01,        -3.935005745216e-06
 2.44863968e+00,        +1.414213562373e-01,        +2.748768659008e-01,        -4.214276428057e-06
 2.44864459e+00,        +1.414213562373e-01,        +2.748743874358e-01,        -4.490028373400e-06
 2.44864950e+00,        +1.414213562373e-01,        +2.748719048086e-01,        -4.762250046171e-06
 2.44865440e+00,        +1.414213562373e-01,        +2.748694180210e-01,        -5.030929894888e-06
 2.44865931e+00,        +1.414213562373e-01,        +2.748669270746e-01,        -5.296056354031e-06
 2.44866422e+00,        +1.414213562373e-01,        +2.748644319712e-01,        -5.557617842345e-06
 2.44866912e+00,        +1.414213562373e-01,        +2.748619327124e-01,        -5.815602763761e-06
 2.44867403e+00,        +1.414213562373e-01,        +2.748594293002e-01,        -6.069999506800e-06
 2.44867894e+00,        +1.414213562373e-01,        +2.748569217363e-01,        -6.320796445804e-06
 2.44868384e+00,        +1.414213562373e-01,        +2.748544100224e-01,        -6.567981939031e-06
 2.44868875e+00,        +1.414213562373e-01,        +2.748518941606e-01,        -6.811544330992e-06
 2.44869366e+00,        +1.414213562373e-01,        +2.748493741526e-01,        -7.051471950173e-06
 2.44869856e+00,        +1.414213562373e-01,        +2.748468500004e-01,        -7.287753110961e-06
 2.44870347e+00,        +1.414213562373e-01,        +2.748443217058e-01,        -7.520376112618e-06
 2.44870838e+00,        +1.414213562373e-01,        +2.748417892709e-01,        -7.749329239600e-06
